,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,42,40,0,2,1,1,0
1,80,40,0,4,0,0,0
2,0,80,0,4,1,3,0
3,4,40,0,6,1,1,2
4,25,20,0,1,1,1,1
5,48,40,0,5,1,1,0
6,77,20,0,1,0,0,0
7,10,40,0,2,1,1,2
8,65,20,0,1,0,0,0
9,26,20,0,1,1,1,1
10,38,40,0,3,1,1,0
11,18,40,0,3,1,1,1
12,22,40,0,2,1,1,1
13,20,80,1,1,0,0,0
14,36,20,0,1,1,1,0
15,11,40,0,5,1,1,1
16,70,40,0,3,0,0,0
17,20,40,0,5,1,1,1
18,70,20,0,1,1,0,0
19,0,80,0,0,1,1,2
20,8,40,0,5,1,1,1
21,68,40,0,2,0,0,0
22,80,20,0,1,0,0,0
23,0,77,0,14,2,1,1
24,76,40,0,5,0,0,0
25,80,40,0,2,0,0,0
26,80,20,0,1,0,0,0
27,19,20,0,1,1,1,1
28,20,78,1,1,0,0,0
29,14,40,0,6,2,0,1
30,72,40,0,4,0,0,0
31,72,40,0,2,0,0,0
32,24,40,0,3,1,1,1
33,34,40,0,3,1,1,1
34,20,80,1,1,0,0,0
35,63,20,0,1,0,0,0
36,23,40,0,3,1,1,0
37,80,20,0,1,1,0,0
38,9,40,0,3,1,2,0
39,24,40,0,8,1,1,0
40,18,40,0,8,2,1,0
41,80,40,0,2,0,0,0
42,20,80,1,1,0,0,0
43,31,40,0,2,2,0,1
44,56,20,0,1,0,0,0
45,7,40,0,3,1,1,1
46,5,40,0,2,1,2,0
47,0,80,0,1,2,1,1
48,80,20,0,1,0,0,0
49,30,20,0,1,1,1,1
50,20,74,1,1,0,0,0
51,80,40,0,2,0,0,0
52,80,40,0,5,0,0,0
53,0,80,0,7,1,1,2
54,24,40,0,6,2,1,0
55,69,40,0,2,1,0,0
56,80,20,0,1,0,0,0
57,3,20,0,1,1,2,1
58,80,40,0,2,0,0,0
59,69,40,0,8,1,0,0
60,20,54,1,1,1,1,0
61,53,20,0,1,0,0,0
62,0,80,0,1,1,2,1
63,56,20,0,1,1,1,0
64,38,20,0,1,1,1,0
65,35,40,0,2,1,1,0
66,21,20,0,1,1,1,1
67,0,80,0,1,1,2,1
68,75,40,0,4,0,0,0
69,36,40,0,2,1,1,1
70,80,40,0,2,0,0,0
71,48,40,0,2,1,1,0
72,28,40,0,3,2,0,1
73,67,20,0,1,0,0,0
74,39,20,0,1,1,1,0
75,80,20,0,1,0,0,0
76,66,20,0,1,1,0,0
77,73,20,0,1,1,0,0
78,72,40,0,2,0,0,0
79,20,80,1,1,0,0,0
80,78,40,0,4,0,0,0
81,6,40,0,3,1,1,2
82,66,40,0,2,0,0,0
83,3,40,0,2,1,1,2
84,64,40,0,2,1,0,0
85,20,80,1,1,0,0,0
86,75,40,0,3,0,0,0
87,0,80,0,1,1,1,2
88,38,40,0,2,1,1,0
89,71,20,0,1,1,0,0
90,39,20,0,1,1,1,0
91,25,40,0,2,1,1,1
92,58,20,0,1,1,0,0
93,80,20,0,1,1,0,0
94,64,20,0,1,0,0,0
95,9,20,0,1,1,1,1
96,69,20,0,1,0,0,0
97,21,40,0,2,2,0,1
98,0,80,0,2,2,1,1
99,60,20,0,1,1,0,0
100,0,80,0,1,1,2,1
101,43,20,0,1,1,1,0
102,80,40,0,5,0,0,0
103,80,40,0,3,0,0,0
104,8,40,0,5,1,1,1
105,20,77,1,1,1,0,0
106,75,20,0,1,0,0,0
107,36,20,0,1,1,1,1
108,70,40,0,9,0,0,0
109,20,20,0,1,1,1,1
110,26,40,0,5,1,1,1
111,20,52,1,1,2,0,0
112,20,57,1,1,0,0,0
113,20,49,1,1,1,1,0
114,0,80,0,1,1,1,2
115,78,20,0,1,0,0,0
116,3,40,0,3,3,1,0
117,47,40,0,2,1,1,0
118,0,41,0,5,1,2,1
119,0,80,0,1,3,1,0
120,11,40,0,4,1,1,1
121,0,80,0,2,2,2,0
122,79,40,0,2,0,0,0
123,20,33,1,1,1,1,0
124,0,76,0,2,2,0,2
125,20,80,1,1,0,0,0
126,0,69,0,7,1,2,1
127,80,40,0,2,0,0,0
128,78,20,0,1,0,0,0
129,16,40,0,4,2,0,1
130,80,20,0,1,0,0,0
131,20,35,1,1,1,1,1
132,19,40,0,7,1,1,1
133,24,20,0,1,1,1,1
134,0,80,0,4,2,1,1
135,21,40,0,5,2,1,0
136,20,23,1,1,1,2,0
137,20,71,1,1,0,0,0
138,14,40,0,4,1,2,0
139,25,40,0,2,1,1,0
140,60,40,0,3,1,0,0
141,80,40,0,3,0,0,0
142,80,40,0,2,0,0,0
143,18,40,0,2,1,1,1
144,0,80,0,2,2,2,0
145,20,40,0,6,3,0,0
146,24,40,0,6,2,1,0
147,80,20,0,1,0,0,0
148,80,20,0,1,0,0,0
149,80,20,0,1,0,0,0
150,35,40,0,3,1,1,0
151,61,20,0,1,2,0,0
152,37,20,0,1,1,2,0
153,35,40,0,2,1,1,1
154,0,51,0,3,1,2,1
155,20,69,1,1,0,0,0
156,80,20,0,1,0,0,0
157,54,40,0,3,1,0,0
158,40,40,0,4,1,1,0
159,65,40,0,8,0,0,0
160,48,20,0,1,1,1,0
161,80,20,0,1,0,0,0
162,0,80,0,3,1,2,1
163,21,40,0,3,1,1,0
164,20,75,1,1,0,0,0
165,0,80,0,5,1,2,1
166,76,40,0,3,0,0,0
167,74,40,0,3,0,0,0
168,80,40,0,3,0,0,0
169,20,75,1,1,0,0,0
170,16,20,0,1,1,1,1
171,59,20,0,1,1,0,0
172,54,40,0,2,2,0,0
173,20,23,1,1,1,1,1
174,52,20,0,1,2,0,0
175,80,20,0,1,0,0,0
176,68,20,0,1,1,0,0
177,49,20,0,1,1,1,0
178,7,40,0,2,1,2,1
179,78,20,0,1,0,0,0
180,79,40,0,2,0,0,0
181,65,40,0,2,1,0,0
182,52,20,0,1,1,1,0
183,80,20,0,1,0,0,0
184,80,20,0,1,0,0,0
185,20,80,1,1,0,0,0
186,31,20,0,1,1,1,1
187,68,20,0,1,0,0,0
188,38,40,0,4,1,1,0
189,74,20,0,1,0,0,0
190,15,40,0,4,1,2,0
191,43,40,0,2,1,1,0
192,40,40,0,2,1,1,0
193,80,40,0,2,0,0,0
194,0,80,0,7,2,1,1
195,3,40,0,4,1,1,2
196,2,40,0,3,1,2,1
197,67,40,0,4,0,0,0
198,59,20,0,1,1,0,0
199,20,80,1,1,0,0,0
200,0,43,0,4,2,1,1
201,20,80,1,1,0,0,0
202,30,40,0,2,1,1,1
203,20,20,0,1,1,2,0
204,0,72,0,0,2,0,2
205,0,79,0,3,2,1,1
206,80,20,0,1,0,0,0
207,4,40,0,4,2,0,2
208,64,20,0,1,0,0,0
209,38,40,0,6,1,0,0
210,80,40,0,2,0,0,0
211,16,40,0,5,1,1,1
212,19,40,0,3,2,0,1
213,43,40,0,2,1,0,0
214,72,20,0,1,0,0,0
215,23,40,0,4,1,1,1
216,0,80,0,2,1,1,2
217,0,80,0,3,1,1,2
218,20,80,1,1,0,0,0
219,42,40,0,2,1,1,0
220,20,34,1,1,1,1,0
221,80,40,0,4,1,0,0
222,14,20,0,1,1,1,1
223,20,80,1,1,0,0,0
224,80,40,0,3,1,0,0
225,80,40,0,3,0,0,0
226,51,40,0,2,1,1,0
227,80,40,0,3,0,0,0
228,0,40,0,1,1,1,2
229,58,20,0,1,0,0,0
230,5,20,0,1,1,3,0
231,3,40,0,6,1,2,1
232,17,40,0,7,1,1,1
233,80,20,0,1,0,0,0
234,0,80,0,5,2,1,1
235,11,40,0,3,2,1,0
236,80,40,0,3,0,0,0
237,75,40,0,2,0,0,0
238,65,40,0,3,1,0,0
239,0,77,0,1,1,3,0
240,80,40,0,2,0,0,0
241,27,20,0,1,2,0,1
242,14,20,0,1,1,2,0
243,79,40,0,2,0,0,0
244,0,65,0,6,1,1,2
245,80,20,0,1,0,0,0
246,0,75,0,3,2,2,0
247,3,40,0,2,1,2,1
248,56,20,0,1,1,1,0
249,2,40,0,3,1,2,1
250,10,40,0,5,1,2,0
251,74,40,0,2,0,0,0
252,18,20,0,1,1,1,1
253,80,40,0,4,0,0,0
254,80,40,0,4,0,0,0
255,20,40,0,3,1,1,1
256,20,49,1,1,2,0,0
257,14,20,0,1,1,2,0
258,60,20,0,1,1,1,0
259,0,44,0,1,1,3,0
260,73,20,0,1,1,0,0
261,0,28,0,1,1,2,1
262,20,80,1,1,0,0,0
263,75,40,0,2,0,0,0
264,39,40,0,2,1,1,0
265,0,36,0,2,2,1,1
266,20,75,1,1,0,0,0
267,0,80,0,3,1,3,0
268,73,40,0,3,1,0,0
269,68,20,0,1,0,0,0
270,80,20,0,1,0,0,0
271,20,71,1,1,0,0,0
272,80,20,0,1,0,0,0
273,80,20,0,1,0,0,0
274,35,40,0,2,1,1,0
275,41,20,0,1,1,1,0
276,80,20,0,1,0,0,0
277,33,40,0,2,1,1,1
278,48,20,0,1,1,1,0
279,27,40,0,4,1,1,1
280,78,40,0,3,0,0,0
281,73,40,0,2,1,0,0
282,19,40,0,5,1,1,1
283,78,40,0,3,0,0,0
284,68,40,0,2,1,0,0
285,0,80,0,3,1,2,0
286,75,40,0,3,0,0,0
287,51,20,0,1,1,0,0
288,20,71,1,1,0,0,0
289,62,40,0,2,0,0,0
290,63,40,0,8,0,0,0
291,60,40,0,4,1,0,0
292,73,40,0,6,1,0,0
293,80,40,0,3,0,0,0
294,0,45,0,4,1,1,2
295,4,20,0,1,1,1,2
296,0,80,0,6,1,1,2
297,20,80,1,1,1,0,0
298,0,34,0,1,1,3,0
299,65,40,0,3,0,0,0
300,65,40,0,3,0,0,0
301,80,40,0,2,0,0,0
302,21,40,0,5,2,1,0
303,80,40,0,2,1,0,0
304,29,20,0,1,2,1,0
305,0,71,0,3,1,2,1
306,72,20,0,1,0,0,0
307,20,35,1,1,1,1,0
308,24,20,0,1,2,1,0
309,41,20,0,1,1,1,0
310,22,40,0,3,1,1,1
311,42,20,0,1,1,1,0
312,33,20,0,1,1,1,0
313,69,40,0,9,0,0,0
314,68,40,0,3,0,0,0
315,80,20,0,1,0,0,0
316,62,40,0,2,0,0,0
317,12,40,0,5,1,1,1
318,0,80,0,4,1,1,2
319,16,40,0,2,1,1,1
320,0,80,0,5,1,1,2
321,74,40,0,2,0,0,0
322,30,20,0,1,1,2,0
323,22,40,0,4,3,0,0
324,60,40,0,4,1,0,0
325,0,15,0,1,2,1,1
326,80,40,0,3,0,0,0
327,20,47,1,1,1,1,0
328,80,20,0,1,0,0,0
329,80,20,0,1,0,0,0
330,75,20,0,1,0,0,0
331,25,20,0,1,1,1,1
332,20,71,1,1,1,0,0
333,38,40,0,3,2,0,0
334,80,20,0,1,0,0,0
335,71,20,0,1,0,0,0
336,20,80,1,1,0,0,0
337,0,80,0,2,1,2,1
338,80,20,0,1,0,0,0
339,80,40,0,2,0,0,0
340,30,40,0,3,1,1,0
341,47,40,0,2,1,1,0
342,80,40,0,3,0,0,0
343,27,20,0,1,2,1,0
344,79,20,0,1,0,0,0
345,33,40,0,4,1,1,1
346,20,48,1,1,0,0,0
347,80,40,0,5,0,0,0
348,38,20,0,1,1,1,0
349,19,40,0,3,1,1,1
350,74,20,0,1,1,0,0
351,2,40,0,4,1,2,1
352,37,40,0,3,1,1,0
353,68,40,0,2,0,0,0
354,70,20,0,1,1,0,0
355,80,40,0,12,0,0,0
356,80,40,0,4,0,0,0
357,62,20,0,1,0,0,0
358,0,80,0,5,2,1,1
359,0,80,0,2,2,1,1
360,80,20,0,1,0,0,0
361,67,40,0,10,0,0,0
362,31,40,0,4,1,1,1
363,80,40,0,2,0,0,0
364,0,64,0,0,1,1,2
365,80,20,0,1,1,0,0
366,80,20,0,1,0,0,0
367,80,40,0,3,0,0,0
368,80,40,0,2,0,0,0
369,0,80,0,3,1,1,2
370,23,20,0,1,1,2,0
371,15,40,0,12,1,1,1
372,23,40,0,2,1,2,0
373,45,20,0,1,2,0,0
374,36,40,0,3,1,1,1
375,68,20,0,1,0,0,0
376,59,20,0,1,0,0,0
377,0,50,0,2,1,1,2
378,80,40,0,3,0,0,0
379,39,40,0,2,2,0,0
