,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,49,20,0,1,1,1,0
1,11,0,1,4,2,1,1
2,0,60,0,6,1,1,2
3,0,80,0,1,1,2,1
4,40,0,1,4,1,1,2
5,0,72,0,11,1,1,2
6,57,20,0,1,1,0,0
7,80,0,1,2,1,1,2
8,0,56,0,6,2,1,1
9,12,0,1,6,1,2,1
10,32,0,1,4,2,1,1
11,68,0,1,9,1,3,0
12,0,16,0,11,3,1,0
13,0,7,0,1,3,0,1
14,0,80,0,6,1,2,1
15,0,80,0,9,4,0,0
16,0,34,0,6,2,0,2
17,20,80,1,1,0,0,0
18,0,75,0,3,1,1,2
19,80,0,1,3,2,2,0
20,7,0,1,1,1,1,2
21,0,13,0,8,1,1,2
22,20,80,1,1,0,0,0
23,80,0,1,5,1,1,2
24,0,75,0,5,1,1,2
25,0,77,0,8,1,2,1
26,20,80,1,1,0,0,0
27,0,17,0,6,1,1,2
28,11,0,1,5,2,1,1
29,0,43,0,5,3,0,1
30,0,50,0,5,3,1,0
31,51,0,1,8,1,2,1
32,72,0,1,4,1,1,2
33,16,0,1,7,1,1,2
34,4,0,1,12,1,2,0
35,13,0,1,6,1,2,1
36,0,79,0,4,2,0,2
37,20,79,1,1,0,0,0
38,80,0,1,7,1,1,2
39,0,80,0,5,1,2,1
40,80,20,0,1,0,0,0
41,17,20,0,1,2,1,0
42,0,2,0,8,2,1,1
43,0,59,0,3,1,1,2
44,80,20,0,1,0,0,0
45,17,0,1,4,1,3,0
46,0,15,0,5,1,1,2
47,20,69,1,1,1,0,0
48,17,0,1,13,2,2,0
49,18,0,1,11,1,1,2
50,0,56,0,2,1,1,2
51,0,57,0,13,2,1,1
52,0,72,0,7,1,2,1
53,0,80,0,4,1,3,0
54,0,22,0,9,1,1,2
55,69,0,1,5,2,1,1
56,2,0,1,8,1,1,2
57,67,0,1,7,1,1,2
58,0,5,0,4,2,1,1
59,0,41,0,5,2,2,0
60,0,65,0,7,1,1,2
61,80,0,1,3,2,1,1
62,44,0,1,8,2,0,2
63,80,0,1,5,3,1,0
64,0,57,0,4,3,1,0
65,22,20,0,1,1,1,1
66,14,0,1,4,2,1,1
67,0,19,0,9,2,1,0
68,21,0,1,2,2,1,1
69,0,29,0,11,3,0,1
70,16,20,0,1,1,2,0
71,74,0,1,5,2,0,2
72,0,48,0,8,3,0,1
73,80,0,1,3,2,0,2
74,34,0,1,8,3,1,0
75,0,80,0,6,2,1,1
76,0,78,0,7,1,1,2
77,22,0,1,9,1,1,2
78,0,38,0,2,2,0,2
79,80,0,1,3,1,2,1
80,0,80,0,8,1,1,2
81,4,0,1,7,1,2,1
82,0,4,0,5,1,1,2
83,0,14,0,1,2,0,2
84,24,0,1,4,2,0,2
85,80,20,0,1,0,0,0
86,0,80,0,20,1,1,2
87,54,0,1,6,2,1,1
88,0,76,0,1,2,1,1
89,0,23,0,2,1,1,2
90,47,0,1,3,1,2,1
91,0,3,0,8,1,2,1
92,71,0,1,4,3,1,0
93,0,37,0,5,1,1,2
94,20,80,1,1,0,0,0
95,20,75,1,1,0,0,0
96,0,19,0,4,2,1,1
97,0,25,0,6,1,2,1
98,3,0,1,7,3,0,1
99,19,0,1,10,2,1,1
100,10,0,1,5,1,3,0
101,0,74,0,7,2,2,0
102,47,0,1,4,1,1,2
103,80,0,1,9,1,1,2
104,5,0,1,8,3,0,1
105,0,80,0,1,2,2,0
106,73,20,0,1,0,0,0
107,20,8,1,1,1,2,0
108,0,66,0,7,1,2,1
109,4,0,1,13,2,2,0
110,20,80,1,1,0,0,0
111,20,80,1,1,0,0,0
112,19,0,1,8,2,0,2
113,20,80,1,1,0,0,0
114,68,20,0,1,1,0,0
115,0,72,0,2,2,2,0
116,51,0,1,1,1,2,1
117,39,0,1,5,1,1,2
118,0,24,0,6,1,2,1
119,0,67,0,3,3,1,0
120,2,0,1,7,1,2,1
121,0,80,0,8,1,2,1
122,80,20,0,1,1,0,0
123,0,25,0,2,3,0,1
124,22,0,1,8,2,1,1
125,19,0,1,6,1,1,2
126,36,0,1,2,1,1,2
