,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,0,80,0,10,1,1,2
1,0,60,0,2,1,3,0
2,20,80,1,1,0,0,0
3,0,80,0,5,1,1,2
4,0,80,0,10,1,2,1
5,0,80,0,5,2,2,0
6,0,80,0,4,2,0,2
7,20,55,1,1,1,1,0
8,20,61,1,1,0,0,0
9,0,80,0,6,1,1,2
10,0,69,0,4,1,1,2
11,20,79,1,1,0,0,0
12,20,80,1,1,0,0,0
13,0,33,0,2,2,1,1
14,0,80,0,5,1,1,2
15,20,80,1,1,0,0,0
16,0,80,0,4,1,2,1
17,20,80,1,1,0,0,0
18,0,80,0,9,1,1,2
19,20,55,1,1,1,1,0
20,0,18,0,1,1,1,2
21,0,80,0,6,2,1,1
22,0,80,0,6,1,1,2
23,20,65,1,1,0,0,0
24,0,80,0,6,1,1,2
25,20,80,1,1,0,0,0
26,20,80,1,1,0,0,0
27,20,55,1,1,1,1,0
28,0,80,0,5,1,1,2
29,0,80,0,9,1,1,2
30,0,80,0,4,1,2,1
31,20,80,1,1,0,0,0
32,0,80,0,6,1,1,2
33,0,80,0,6,2,1,0
34,0,80,0,2,1,1,2
35,0,80,0,6,1,1,2
36,0,80,0,5,1,1,2
37,0,80,0,10,2,1,1
38,20,29,1,1,1,1,1
39,0,80,0,6,2,2,0
40,20,80,1,1,0,0,0
41,0,80,0,4,2,2,0
42,0,80,0,3,1,3,0
43,20,60,1,1,0,0,0
44,20,80,1,1,0,0,0
45,0,80,0,5,1,1,2
46,0,80,0,5,1,1,2
47,20,69,1,1,1,0,0
48,0,80,0,6,1,1,2
49,20,75,1,1,0,0,0
50,0,80,0,3,1,2,1
51,0,80,0,13,3,0,0
52,0,80,0,8,1,1,2
53,0,80,0,5,1,2,1
54,20,80,1,1,1,0,0
55,20,80,1,1,0,0,0
56,20,58,1,1,0,0,0
57,20,75,1,1,1,0,0
58,0,80,0,9,2,1,1
59,0,80,0,5,1,1,2
60,20,72,1,1,0,0,0
61,20,65,1,1,0,0,0
62,20,74,1,1,0,0,0
63,20,25,1,1,2,1,0
64,0,76,0,2,2,1,1
65,0,80,0,6,1,1,2
66,20,26,1,1,2,1,0
67,0,80,0,7,3,1,0
68,0,80,0,2,1,2,1
69,0,80,0,6,1,2,1
70,0,80,0,3,2,2,0
71,0,80,0,7,1,1,2
72,20,69,1,1,1,0,0
73,20,46,1,1,1,1,0
74,0,80,0,5,2,1,1
75,20,80,1,1,0,0,0
76,0,80,0,10,2,0,2
77,0,80,0,6,2,1,1
78,0,80,0,5,1,1,2
79,20,79,1,1,0,0,0
80,0,80,0,7,2,0,2
81,20,72,1,1,1,0,0
82,0,80,0,9,1,1,2
83,0,44,0,2,1,2,1
84,0,74,0,4,1,1,2
85,20,58,1,1,1,0,0
86,20,80,1,1,0,0,0
87,0,80,0,15,3,1,0
88,0,71,0,2,1,2,1
89,20,36,1,1,1,1,0
90,0,80,0,2,2,1,1
91,0,80,0,9,1,1,2
92,20,80,1,1,0,0,0
93,20,47,1,1,1,1,0
94,20,80,1,1,0,0,0
95,20,75,1,1,0,0,0
96,0,78,0,3,1,3,0
97,0,80,0,6,1,1,2
98,0,80,0,9,1,1,2
99,0,80,0,8,2,0,2
100,20,42,1,1,1,1,0
101,0,80,0,7,1,2,1
102,0,80,0,6,2,1,1
103,20,67,1,1,1,0,0
104,0,80,0,8,1,2,0
105,0,80,0,1,2,1,1
106,0,80,0,10,1,2,1
107,20,8,1,1,1,2,0
108,0,80,0,8,1,1,2
109,20,72,1,1,0,0,0
110,20,80,1,1,0,0,0
111,20,80,1,1,0,0,0
112,0,80,0,6,1,1,2
113,20,80,1,1,0,0,0
114,0,80,0,14,2,2,0
115,0,80,0,3,1,1,2
116,0,78,0,4,1,3,0
117,0,80,0,14,2,0,1
118,0,80,0,2,1,1,2
119,0,80,0,2,2,1,1
120,20,72,1,1,0,0,0
121,20,80,1,1,0,0,0
122,0,80,0,10,1,2,1
123,0,77,0,2,1,2,1
124,0,80,0,8,1,2,1
125,0,80,0,6,1,1,2
126,0,80,0,3,2,1,1
127,0,80,0,5,1,1,2
128,0,80,0,6,1,2,1
129,20,77,1,1,0,0,0
130,20,74,1,1,0,0,0
131,0,80,0,3,1,1,2
132,20,75,1,1,0,0,0
133,20,80,1,1,0,0,0
134,20,76,1,1,0,0,0
135,0,80,0,1,2,1,1
136,20,67,1,1,1,0,0
137,20,80,1,1,0,0,0
138,20,80,1,1,0,0,0
139,20,61,1,1,0,0,0
140,20,80,1,1,0,0,0
141,0,80,0,3,2,1,1
142,0,80,0,15,1,1,2
143,20,53,1,1,1,1,0
144,0,80,0,4,1,3,0
145,20,73,1,1,0,0,0
146,0,80,0,4,1,3,0
147,0,80,0,5,2,1,1
148,20,80,1,1,0,0,0
149,0,80,0,4,1,1,2
150,0,80,0,3,2,0,2
151,20,80,1,1,0,0,0
152,0,80,0,10,2,1,1
153,0,80,0,7,2,0,2
154,20,76,1,1,1,0,0
155,0,80,0,3,2,0,2
156,0,80,0,5,1,1,2
157,0,80,0,6,1,2,1
158,20,64,1,1,1,0,0
159,20,59,1,1,1,0,0
160,20,51,1,1,1,1,0
161,0,80,0,4,1,1,2
162,0,80,0,5,3,0,1
163,0,80,0,8,1,1,2
164,0,80,0,3,1,2,1
165,0,80,0,5,2,2,0
166,20,56,1,1,0,0,0
167,20,77,1,1,0,0,0
168,20,80,1,1,0,0,0
169,20,80,1,1,0,0,0
170,20,80,1,1,0,0,0
171,0,80,0,6,1,2,1
172,20,59,1,1,0,0,0
173,0,76,0,1,1,2,1
174,0,80,0,6,1,3,0
175,0,80,0,6,1,2,1
176,20,80,1,1,0,0,0
177,0,80,0,4,1,1,2
178,20,71,1,1,0,0,0
179,0,80,0,8,1,1,2
180,0,80,0,6,2,2,0
181,20,60,1,1,1,0,0
182,20,67,1,1,1,0,0
183,0,80,0,2,2,2,0
184,0,80,0,7,1,1,2
185,20,80,1,1,0,0,0
186,0,80,0,8,2,1,1
187,20,75,1,1,0,0,0
188,20,77,1,1,0,0,0
189,0,80,0,1,1,2,1
190,20,80,1,1,0,0,0
191,20,80,1,1,0,0,0
192,20,46,1,1,1,1,0
193,0,80,0,15,1,3,0
194,20,80,1,1,0,0,0
195,20,33,1,1,1,1,0
196,0,80,0,2,1,2,1
197,0,80,0,7,1,2,1
198,0,80,0,4,1,2,1
199,20,71,1,1,1,0,0
200,20,63,1,1,1,0,0
201,0,80,0,12,1,3,0
202,0,80,0,7,1,2,1
203,20,71,1,1,1,0,0
204,20,46,1,1,1,1,0
205,0,68,0,3,1,2,1
206,20,80,1,1,0,0,0
207,0,80,0,2,1,2,1
208,0,80,0,5,1,1,2
209,0,80,0,5,1,3,0
210,20,80,1,1,0,0,0
211,20,73,1,1,0,0,0
212,20,68,1,1,0,0,0
213,20,80,1,1,0,0,0
214,0,80,0,6,1,3,0
215,0,80,0,6,2,1,1
216,0,80,0,3,1,2,1
217,0,80,0,9,2,1,1
218,0,80,0,4,1,1,2
219,0,80,0,10,3,0,1
220,20,18,1,1,1,1,1
221,20,80,1,1,0,0,0
222,0,80,0,3,1,2,1
223,20,49,1,1,1,1,0
224,0,80,0,2,1,3,0
225,20,45,1,1,1,1,0
226,20,47,1,1,0,0,0
227,20,70,1,1,0,0,0
228,20,80,1,1,0,0,0
229,20,20,1,1,2,1,0
230,20,77,1,1,0,0,0
231,0,80,0,9,2,0,2
232,0,80,0,2,1,2,1
233,20,80,1,1,0,0,0
234,20,78,1,1,1,0,0
235,20,80,1,1,0,0,0
236,20,44,1,1,2,0,0
237,20,55,1,1,1,1,0
238,20,80,1,1,0,0,0
239,0,80,0,12,1,1,2
240,20,73,1,1,1,0,0
241,20,75,1,1,0,0,0
242,0,80,0,2,1,1,2
243,20,12,1,1,1,1,1
244,20,80,1,1,0,0,0
245,20,67,1,1,1,0,0
246,20,77,1,1,0,0,0
247,0,80,0,17,1,2,1
248,20,80,1,1,0,0,0
249,20,64,1,1,1,0,0
250,20,80,1,1,0,0,0
251,20,80,1,1,0,0,0
252,20,80,1,1,0,0,0
253,0,80,0,7,1,3,0
254,0,56,0,4,1,1,2
255,0,80,0,5,3,1,0
256,20,80,1,1,0,0,0
257,20,10,1,1,1,2,1
258,0,80,0,9,2,0,2
259,0,80,0,10,1,1,2
260,20,80,1,1,0,0,0
261,20,80,1,1,0,0,0
262,20,80,1,1,0,0,0
263,0,80,0,4,2,1,1
264,0,80,0,6,3,0,1
265,20,68,1,1,0,0,0
266,0,62,0,3,1,2,1
267,0,80,0,3,2,1,1
268,20,80,1,1,0,0,0
269,20,80,1,1,0,0,0
270,20,80,1,1,0,0,0
271,0,80,0,3,1,1,2
272,0,80,0,2,1,2,1
273,0,80,0,4,2,2,0
274,0,80,0,4,1,2,1
275,20,65,1,1,0,0,0
276,0,80,0,4,3,1,0
277,0,80,0,2,1,1,2
278,20,61,1,1,1,0,0
279,20,80,1,1,0,0,0
280,20,80,1,1,0,0,0
281,20,78,1,1,0,0,0
282,0,80,0,5,1,2,1
283,0,80,0,7,1,2,1
284,20,80,1,1,0,0,0
285,0,80,0,3,1,1,2
286,20,80,1,1,0,0,0
287,20,43,1,1,1,1,0
288,20,29,1,1,1,1,1
289,20,80,1,1,0,0,0
290,0,80,0,4,2,2,0
291,0,80,0,7,2,2,0
292,20,77,1,1,0,0,0
293,0,80,0,4,1,2,1
294,0,80,0,3,1,1,2
295,0,80,0,8,1,2,1
296,0,80,0,7,2,2,0
297,0,80,0,5,2,0,2
298,0,80,0,10,2,1,0
299,20,80,1,1,0,0,0
300,20,46,1,1,1,1,0
301,0,80,0,5,2,1,1
302,0,80,0,4,2,2,0
303,0,80,0,3,2,1,1
304,0,80,0,5,1,2,1
305,0,80,0,7,1,1,2
306,0,80,0,7,2,1,1
307,20,72,1,1,0,0,0
308,0,80,0,6,2,2,0
309,20,69,1,1,0,0,0
310,20,79,1,1,1,0,0
311,0,80,0,6,1,2,1
312,0,80,0,4,1,1,2
313,0,80,0,11,1,1,2
314,20,80,1,1,0,0,0
315,0,80,0,9,1,1,2
316,20,72,1,1,0,0,0
317,0,80,0,2,1,1,2
318,20,69,1,1,1,0,0
319,0,80,0,7,1,2,1
320,20,80,1,1,1,0,0
321,0,80,0,7,1,1,2
322,0,80,0,5,1,1,1
323,0,80,0,7,1,3,0
324,0,80,0,1,1,1,2
325,20,45,1,1,1,1,0
326,20,72,1,1,0,0,0
327,0,80,0,4,1,1,2
328,0,75,0,3,1,2,1
329,0,80,0,11,1,2,1
330,0,80,0,5,1,2,1
331,20,80,1,1,0,0,0
332,0,80,0,0,1,2,1
333,0,80,0,6,1,1,2
334,0,80,0,12,3,1,0
335,20,80,1,1,0,0,0
336,20,37,1,1,1,1,0
337,0,80,0,6,1,1,2
338,20,80,1,1,0,0,0
339,0,80,0,9,3,0,1
340,76,0,1,1,1,1,2
