,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,42,20,0,1,1,1,0
1,2,0,1,5,2,1,1
2,20,80,1,1,0,0,0
3,0,80,0,3,1,2,1
4,63,0,1,4,1,1,2
5,0,80,0,6,2,1,1
6,41,20,0,1,1,0,0
7,20,55,1,1,1,1,0
8,20,61,1,1,0,0,0
9,46,0,1,4,1,1,2
10,11,0,1,4,2,1,1
11,20,79,1,1,0,0,0
12,20,80,1,1,0,0,0
13,15,0,1,1,1,2,1
14,0,80,0,8,1,2,1
15,20,80,1,1,0,0,0
16,0,38,0,6,3,1,0
17,20,80,1,1,0,0,0
18,0,13,0,7,2,1,1
19,20,55,1,1,1,1,0
20,7,0,1,1,1,1,2
21,2,0,1,7,3,1,0
22,2,0,1,10,1,1,2
23,20,65,1,1,0,0,0
24,0,74,0,5,1,1,2
25,20,80,1,1,0,0,0
26,20,80,1,1,0,0,0
27,20,55,1,1,1,1,0
28,18,0,1,5,1,1,2
29,0,80,0,3,2,0,2
30,0,50,0,8,2,2,0
31,20,80,1,1,0,0,0
32,0,7,0,10,1,2,1
33,45,0,1,3,2,1,1
34,46,0,1,7,1,2,0
35,32,0,1,5,2,1,1
36,0,74,0,4,3,0,1
37,71,20,0,1,1,0,0
38,20,29,1,1,1,1,1
39,0,22,0,13,1,1,2
40,20,80,1,1,0,0,0
41,14,20,0,1,2,1,0
42,6,0,1,7,1,1,2
43,20,60,1,1,0,0,0
44,20,80,1,1,0,0,0
45,9,0,1,5,1,3,0
46,0,15,0,6,1,2,1
47,20,69,1,1,1,0,0
48,0,19,0,13,1,1,2
49,20,75,1,1,0,0,0
50,0,56,0,3,2,2,0
51,0,41,0,12,2,0,1
52,0,72,0,7,1,2,1
53,0,80,0,5,1,1,2
54,20,80,1,1,1,0,0
55,20,80,1,1,0,0,0
56,20,58,1,1,0,0,0
57,20,75,1,1,1,0,0
58,10,0,1,4,2,1,1
59,0,41,0,9,1,2,0
60,20,72,1,1,0,0,0
61,20,65,1,1,0,0,0
62,20,74,1,1,0,0,0
63,20,25,1,1,2,1,0
64,0,57,0,6,2,1,0
65,14,20,0,1,1,1,1
66,20,26,1,1,2,1,0
67,0,79,0,6,2,1,1
68,14,0,1,2,2,1,1
69,0,39,0,8,3,0,1
70,15,20,0,1,1,2,0
71,52,0,1,9,1,1,2
72,20,69,1,1,1,0,0
73,20,46,1,1,1,1,0
74,17,0,1,9,3,1,0
75,20,80,1,1,0,0,0
76,0,78,0,6,1,1,2
77,13,0,1,9,1,1,2
78,0,38,0,2,2,0,2
79,20,79,1,1,0,0,0
80,13,0,1,3,1,1,2
81,20,72,1,1,1,0,0
82,9,0,1,6,4,0,0
83,2,0,1,3,1,1,2
84,11,0,1,6,1,1,2
85,20,58,1,1,1,0,0
86,20,80,1,1,0,0,0
87,2,0,1,13,2,1,1
88,0,4,0,4,2,1,1
89,20,36,1,1,1,1,0
90,37,0,1,4,1,2,1
91,0,24,0,7,1,2,1
92,20,80,1,1,0,0,0
93,20,47,1,1,1,1,0
94,20,80,1,1,0,0,0
95,20,75,1,1,0,0,0
96,0,80,0,6,3,1,0
97,0,63,0,9,1,2,1
98,13,0,1,9,3,0,1
99,4,0,1,10,1,1,2
100,20,42,1,1,1,1,0
101,12,0,1,7,1,1,2
102,31,0,1,3,1,1,2
103,20,67,1,1,1,0,0
104,23,0,1,7,2,1,1
105,0,80,0,1,2,2,0
106,65,20,0,1,0,0,0
107,20,8,1,1,1,2,0
108,0,58,0,6,2,2,0
109,20,72,1,1,0,0,0
110,20,80,1,1,0,0,0
111,20,80,1,1,0,0,0
112,58,0,1,7,2,1,1
113,20,80,1,1,0,0,0
114,68,20,0,1,1,0,0
115,0,78,0,4,1,1,2
116,52,0,1,1,1,2,1
117,47,0,1,5,1,1,2
118,13,0,1,7,1,2,1
119,0,72,0,9,2,1,1
120,20,72,1,1,0,0,0
121,20,80,1,1,0,0,0
122,74,20,0,1,1,0,0
123,32,0,1,2,2,2,0
124,4,0,1,8,2,1,1
125,15,0,1,7,1,1,2
126,6,0,1,6,1,1,2
127,0,73,0,5,1,1,2
128,11,0,1,4,2,2,0
129,20,77,1,1,0,0,0
130,20,74,1,1,0,0,0
131,0,56,0,4,1,1,2
132,20,75,1,1,0,0,0
133,20,80,1,1,0,0,0
134,20,76,1,1,0,0,0
135,0,26,0,4,2,1,1
136,20,67,1,1,1,0,0
137,20,80,1,1,0,0,0
138,20,80,1,1,0,0,0
139,20,61,1,1,0,0,0
140,20,80,1,1,0,0,0
141,0,77,0,5,2,2,0
142,0,80,0,9,1,1,2
143,20,53,1,1,1,1,0
144,27,20,0,1,1,2,0
145,20,73,1,1,0,0,0
146,67,20,0,1,0,0,0
147,4,0,1,9,1,1,2
148,20,80,1,1,0,0,0
149,0,80,0,8,2,1,1
150,48,0,1,1,1,2,1
151,20,80,1,1,0,0,0
152,11,0,1,9,1,1,2
153,20,0,1,6,1,1,2
154,20,76,1,1,1,0,0
155,17,20,0,1,1,1,1
156,4,0,1,8,1,2,1
157,73,20,0,1,0,0,0
158,20,64,1,1,1,0,0
159,20,59,1,1,1,0,0
160,20,51,1,1,1,1,0
161,45,0,1,2,1,3,0
162,0,80,0,3,2,1,1
163,0,39,0,2,1,1,2
164,44,20,0,1,1,1,0
165,0,79,0,8,3,1,0
166,20,56,1,1,0,0,0
167,20,77,1,1,0,0,0
168,20,80,1,1,0,0,0
169,20,80,1,1,0,0,0
170,20,80,1,1,0,0,0
171,2,0,1,5,2,1,1
172,20,59,1,1,0,0,0
173,0,48,0,1,1,2,1
174,3,0,1,9,1,2,1
175,43,0,1,6,1,1,2
176,20,80,1,1,0,0,0
177,0,80,0,10,1,1,2
178,20,71,1,1,0,0,0
179,57,20,0,1,0,0,0
180,2,0,1,6,1,1,2
181,20,60,1,1,1,0,0
182,20,67,1,1,1,0,0
183,0,77,0,8,1,1,2
184,0,30,0,7,2,1,1
185,20,80,1,1,0,0,0
186,2,0,1,5,2,0,2
187,20,75,1,1,0,0,0
188,20,77,1,1,0,0,0
189,8,0,1,3,1,1,2
190,20,80,1,1,0,0,0
191,20,80,1,1,0,0,0
192,20,46,1,1,1,1,0
193,0,7,0,13,1,1,2
194,20,80,1,1,0,0,0
195,20,33,1,1,1,1,0
196,2,0,1,5,1,2,1
197,0,80,0,7,2,1,1
198,33,20,0,1,1,1,0
199,20,71,1,1,1,0,0
200,20,63,1,1,1,0,0
201,2,0,1,5,2,1,1
202,0,76,0,6,2,1,1
203,20,71,1,1,1,0,0
