,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,42,20,0,1,1,1,0
1,2,0,1,4,2,1,1
2,20,80,1,1,0,0,0
3,0,80,0,1,1,2,1
4,26,0,1,4,1,1,2
5,0,34,0,6,2,1,1
6,41,20,0,1,1,0,0
7,20,55,1,1,1,1,0
8,20,61,1,1,0,0,0
9,29,0,1,4,2,0,2
10,11,0,1,5,3,0,1
11,20,79,1,1,0,0,0
12,20,80,1,1,0,0,0
13,15,0,1,1,1,2,1
14,0,14,0,10,1,1,2
15,20,80,1,1,0,0,0
16,0,38,0,6,2,2,0
17,20,80,1,1,0,0,0
18,0,80,0,5,1,1,2
19,20,55,1,1,1,1,0
20,7,0,1,1,1,1,2
21,2,0,1,6,3,1,0
22,7,0,1,11,1,1,2
23,20,65,1,1,0,0,0
24,0,59,0,11,2,1,1
25,20,80,1,1,0,0,0
26,20,80,1,1,0,0,0
27,20,55,1,1,1,1,0
28,21,0,1,5,1,1,2
29,0,60,0,4,2,0,2
30,0,58,0,6,1,2,1
31,20,80,1,1,0,0,0
32,2,0,1,8,1,1,2
33,35,0,1,4,3,1,0
34,0,13,0,10,1,1,2
35,38,0,1,4,2,1,1
36,0,80,0,4,2,1,1
37,71,20,0,1,1,0,0
38,20,29,1,1,1,1,1
39,6,0,1,6,2,1,1
40,20,80,1,1,0,0,0
41,14,20,0,1,2,1,0
42,0,4,0,6,2,2,0
43,20,60,1,1,0,0,0
44,20,80,1,1,0,0,0
45,47,0,1,5,2,1,1
46,0,22,0,6,1,2,1
47,20,69,1,1,1,0,0
48,9,0,1,13,2,1,1
49,20,75,1,1,0,0,0
50,5,0,1,3,1,1,2
51,36,0,1,5,2,0,2
52,0,59,0,7,1,2,1
53,2,0,1,9,1,1,2
54,20,80,1,1,1,0,0
55,20,80,1,1,0,0,0
56,20,58,1,1,0,0,0
57,20,75,1,1,1,0,0
58,2,0,1,6,3,0,1
59,0,16,0,9,2,1,1
60,20,72,1,1,0,0,0
61,20,65,1,1,0,0,0
62,20,74,1,1,0,0,0
63,20,25,1,1,2,1,0
64,0,52,0,5,2,1,0
65,14,20,0,1,1,1,1
66,20,26,1,1,2,1,0
67,0,23,0,5,2,1,1
68,14,0,1,2,2,1,1
69,0,10,0,9,2,1,1
70,15,20,0,1,1,2,0
71,0,29,0,5,1,1,2
72,20,69,1,1,1,0,0
73,20,46,1,1,1,1,0
74,16,0,1,6,2,1,1
75,20,80,1,1,0,0,0
76,0,24,0,11,1,3,0
77,5,0,1,16,1,1,2
78,0,32,0,2,2,0,2
79,20,79,1,1,0,0,0
80,4,0,1,9,1,1,2
81,20,72,1,1,1,0,0
82,2,0,1,8,3,0,1
83,0,13,0,3,2,0,2
84,19,0,1,4,1,1,2
85,20,58,1,1,1,0,0
86,20,80,1,1,0,0,0
87,57,0,1,5,2,1,1
88,4,0,1,4,1,2,1
89,20,36,1,1,1,1,0
90,32,0,1,4,1,2,1
91,0,25,0,6,1,1,2
92,20,80,1,1,0,0,0
93,20,47,1,1,1,1,0
94,20,80,1,1,0,0,0
95,20,75,1,1,0,0,0
96,13,0,1,3,1,2,1
97,0,33,0,7,1,1,2
98,2,0,1,8,3,0,1
99,5,0,1,9,1,1,2
100,20,42,1,1,1,1,0
101,23,0,1,6,2,1,1
102,28,0,1,3,1,1,2
103,20,67,1,1,1,0,0
104,21,0,1,5,2,1,1
105,0,77,0,1,2,2,0
106,65,20,0,1,0,0,0
107,20,8,1,1,1,2,0
108,0,8,0,9,1,2,1
109,20,72,1,1,0,0,0
110,20,80,1,1,0,0,0
111,20,80,1,1,0,0,0
112,59,0,1,7,2,1,1
113,20,80,1,1,0,0,0
114,68,20,0,1,1,0,0
115,0,75,0,5,1,2,1
116,52,0,1,1,1,2,1
117,48,0,1,5,1,1,2
118,2,0,1,6,2,1,1
119,0,78,0,12,2,2,0
120,20,72,1,1,0,0,0
121,20,80,1,1,0,0,0
122,74,20,0,1,1,0,0
123,0,17,0,5,1,1,2
124,3,0,1,8,2,1,1
125,0,4,0,10,2,0,2
126,10,0,1,6,1,1,2
127,0,80,0,5,1,2,1
128,11,0,1,4,2,2,0
129,20,77,1,1,0,0,0
130,20,74,1,1,0,0,0
131,0,62,0,4,1,1,2
132,20,75,1,1,0,0,0
133,20,80,1,1,0,0,0
134,20,76,1,1,0,0,0
135,10,0,1,5,1,1,2
