,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,42,20,0,1,1,1,0
1,21,20,0,1,1,1,1
2,20,80,1,1,0,0,0
3,59,20,0,1,0,0,0
4,26,0,1,4,1,1,2
5,25,20,0,1,1,1,1
6,41,20,0,1,1,0,0
7,20,55,1,1,1,1,0
8,20,61,1,1,0,0,0
9,24,0,1,4,1,1,2
10,11,0,1,4,2,1,1
11,20,79,1,1,0,0,0
12,20,80,1,1,0,0,0
13,0,3,0,2,3,0,1
14,69,20,0,1,0,0,0
15,20,80,1,1,0,0,0
16,0,21,0,7,2,2,0
17,20,80,1,1,0,0,0
18,0,12,0,9,1,2,1
19,20,55,1,1,1,1,0
20,7,0,1,1,1,1,2
21,30,20,0,1,1,1,0
22,65,20,0,1,0,0,0
23,20,65,1,1,0,0,0
24,66,20,0,1,0,0,0
25,20,80,1,1,0,0,0
26,20,80,1,1,0,0,0
27,20,55,1,1,1,1,0
28,44,20,0,1,1,1,0
29,43,20,0,1,1,1,0
30,0,22,0,6,1,2,0
31,20,80,1,1,0,0,0
32,9,0,1,10,2,1,1
33,31,0,1,6,3,1,0
34,68,20,0,1,1,0,0
35,45,20,0,1,2,0,0
36,20,20,0,1,1,1,1
37,4,0,1,14,2,1,1
38,20,29,1,1,1,1,1
39,20,20,0,1,1,1,0
40,20,80,1,1,0,0,0
41,14,20,0,1,2,1,0
42,0,5,0,10,1,2,1
43,20,60,1,1,0,0,0
44,20,80,1,1,0,0,0
45,14,0,1,4,2,1,1
46,0,12,0,6,1,1,2
47,20,69,1,1,1,0,0
48,45,0,1,13,2,0,2
49,20,75,1,1,0,0,0
50,0,56,0,1,1,1,2
51,43,20,0,1,1,0,0
52,0,53,0,7,1,2,1
53,38,20,0,1,1,1,0
54,20,80,1,1,1,0,0
55,20,80,1,1,0,0,0
56,20,58,1,1,0,0,0
57,20,75,1,1,1,0,0
58,10,0,1,4,2,1,1
59,0,16,0,4,1,2,1
60,20,72,1,1,0,0,0
61,20,65,1,1,0,0,0
62,20,74,1,1,0,0,0
63,20,25,1,1,2,1,0
64,0,45,0,5,3,0,1
65,14,20,0,1,1,1,1
66,20,26,1,1,2,1,0
67,0,57,0,6,2,1,1
68,20,20,0,1,1,1,1
69,3,0,1,11,1,1,2
70,15,20,0,1,1,2,0
71,73,20,0,1,0,0,0
72,20,69,1,1,1,0,0
73,20,46,1,1,1,1,0
74,0,3,0,6,1,1,2
75,20,80,1,1,0,0,0
76,59,20,0,1,0,0,0
77,49,20,0,1,2,0,0
78,50,20,0,1,1,0,0
79,20,79,1,1,0,0,0
80,0,2,0,6,3,0,1
81,20,72,1,1,1,0,0
82,5,0,1,6,4,0,0
83,2,0,1,4,1,1,2
84,2,0,1,8,2,1,1
85,20,58,1,1,1,0,0
86,20,80,1,1,0,0,0
87,8,0,1,14,3,0,1
88,17,20,0,1,1,1,1
89,20,36,1,1,1,1,0
90,32,0,1,6,1,1,2
91,2,0,1,7,2,0,2
