,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,40,80,1,2,0,0,0
1,40,80,1,4,0,0,0
2,40,80,1,8,0,0,0
3,40,80,1,3,0,0,0
4,20,80,1,1,0,0,0
5,40,80,1,5,0,0,0
6,20,80,1,1,0,0,0
7,40,80,1,2,0,0,0
8,20,80,1,1,0,0,0
9,20,16,1,1,1,1,1
10,40,80,1,3,0,0,0
11,40,80,1,3,0,0,0
12,40,79,1,2,1,0,0
13,40,80,1,2,0,0,0
14,20,39,1,1,1,1,0
15,40,56,1,5,1,0,0
16,40,80,1,3,0,0,0
17,40,80,1,5,0,0,0
18,20,56,1,1,0,0,0
19,40,80,1,7,0,0,0
20,40,80,1,5,0,0,0
21,20,80,1,1,0,0,0
22,40,80,1,3,0,0,0
23,20,50,1,1,1,0,0
24,40,67,1,3,1,0,0
25,20,80,1,1,0,0,0
26,20,80,1,1,0,0,0
27,40,80,1,4,0,0,0
28,40,80,1,19,0,0,0
29,20,80,1,1,0,0,0
30,40,80,1,4,0,0,0
31,40,80,1,2,0,0,0
32,40,80,1,3,0,0,0
33,40,34,1,3,1,1,1
34,20,80,1,1,0,0,0
35,40,80,1,12,0,0,0
36,40,22,1,2,2,0,1
37,40,80,1,2,0,0,0
38,20,80,1,1,1,0,0
39,40,80,1,16,1,0,0
40,40,80,1,3,0,0,0
41,20,7,1,1,1,2,1
42,40,72,1,9,1,0,0
43,40,80,1,14,0,0,0
44,20,27,1,1,1,2,0
45,40,80,1,2,0,0,0
46,20,80,1,1,0,0,0
47,40,62,1,4,1,0,0
48,20,69,1,1,0,0,0
49,20,75,1,1,0,0,0
50,40,80,1,4,0,0,0
51,40,80,1,3,0,0,0
52,20,80,1,1,0,0,0
53,40,80,1,4,0,0,0
54,40,80,1,3,0,0,0
55,40,80,1,9,1,0,0
56,40,75,1,4,0,0,0
57,20,80,1,1,0,0,0
58,20,80,1,1,0,0,0
59,20,72,1,1,0,0,0
60,20,25,1,1,2,1,0
61,20,61,1,1,0,0,0
62,40,80,1,4,0,0,0
63,20,80,1,1,0,0,0
64,40,80,1,2,0,0,0
65,20,78,1,1,0,0,0
66,20,80,1,1,0,0,0
67,40,80,1,8,0,0,0
68,40,80,1,3,0,0,0
69,20,80,1,1,0,0,0
70,20,80,1,1,0,0,0
71,40,59,1,5,1,0,0
72,40,80,1,5,0,0,0
73,40,80,1,4,0,0,0
74,20,80,1,1,0,0,0
75,20,80,1,1,0,0,0
76,40,80,1,4,0,0,0
77,20,78,1,1,0,0,0
78,40,80,1,11,0,0,0
79,40,80,1,4,0,0,0
80,40,80,1,3,0,0,0
81,40,51,1,2,1,1,0
82,40,57,1,2,2,0,0
83,40,80,1,2,0,0,0
84,40,80,1,2,0,0,0
85,40,80,1,2,0,0,0
86,40,80,1,2,0,0,0
87,40,57,1,2,1,0,0
88,20,80,1,1,0,0,0
89,20,80,1,1,0,0,0
90,40,80,1,2,0,0,0
91,20,73,1,1,0,0,0
92,20,77,1,1,0,0,0
93,20,63,1,1,1,0,0
94,20,60,1,1,2,0,0
95,20,62,1,1,1,0,0
96,40,80,1,2,0,0,0
97,40,80,1,3,0,0,0
98,20,68,1,1,1,0,0
99,40,80,1,4,0,0,0
100,40,80,1,2,0,0,0
101,20,75,1,1,1,0,0
102,40,59,1,3,1,1,0
103,40,80,1,5,0,0,0
104,20,77,1,1,1,0,0
105,20,80,1,1,0,0,0
106,20,35,1,1,2,0,1
107,40,80,1,9,0,0,0
108,20,76,1,1,0,0,0
109,40,80,1,5,0,0,0
110,40,76,1,2,1,0,0
111,40,80,1,5,0,0,0
112,40,77,1,2,1,0,0
113,40,80,1,2,0,0,0
114,40,80,1,3,0,0,0
115,40,80,1,2,0,0,0
116,20,80,1,1,0,0,0
117,20,77,1,1,0,0,0
118,40,80,1,5,0,0,0
119,40,80,1,2,0,0,0
120,20,80,1,1,0,0,0
121,40,80,1,4,0,0,0
122,40,80,1,6,0,0,0
123,20,20,1,1,1,1,1
124,40,80,1,5,0,0,0
125,20,27,1,1,1,1,1
126,40,80,1,4,0,0,0
127,20,59,1,1,1,0,0
128,40,80,1,4,0,0,0
129,20,47,1,1,1,1,0
130,40,52,1,2,1,1,0
131,20,80,1,1,0,0,0
132,20,80,1,1,0,0,0
133,20,32,1,1,2,1,0
134,20,80,1,1,0,0,0
135,40,80,1,14,0,0,0
136,40,80,1,5,0,0,0
137,20,80,1,1,0,0,0
138,40,78,1,2,0,0,0
139,40,80,1,3,0,0,0
140,40,63,1,3,1,0,0
141,40,80,1,2,0,0,0
142,40,80,1,2,0,0,0
143,40,80,1,7,0,0,0
144,40,22,1,2,2,1,0
145,20,80,1,1,0,0,0
146,40,80,1,3,0,0,0
147,20,80,1,1,0,0,0
148,20,80,1,1,0,0,0
149,40,80,1,3,0,0,0
150,20,71,1,1,1,0,0
151,20,80,1,1,0,0,0
152,40,80,1,2,0,0,0
153,40,80,1,5,0,0,0
154,40,21,1,3,1,1,1
155,40,80,1,2,0,0,0
156,20,80,1,1,0,0,0
157,40,80,1,4,0,0,0
158,40,80,1,8,0,0,0
159,20,76,1,1,0,0,0
160,20,37,1,1,1,1,0
161,40,80,1,4,0,0,0
162,40,80,1,3,0,0,0
163,40,80,1,3,0,0,0
164,40,80,1,6,0,0,0
165,40,80,1,3,0,0,0
166,40,80,1,3,0,0,0
167,40,80,1,3,0,0,0
168,40,80,1,6,0,0,0
169,20,80,1,1,0,0,0
170,40,80,1,2,0,0,0
171,40,80,1,3,0,0,0
172,40,80,1,3,0,0,0
173,20,80,1,1,0,0,0
174,20,80,1,1,0,0,0
175,40,80,1,6,0,0,0
176,20,68,1,1,0,0,0
177,40,80,1,7,0,0,0
178,40,73,1,2,0,0,0
179,40,80,1,4,0,0,0
180,40,80,1,4,0,0,0
181,40,80,1,3,0,0,0
182,20,30,1,1,1,1,1
183,40,75,1,3,1,0,0
184,40,80,1,2,0,0,0
185,40,80,1,2,0,0,0
186,40,62,1,11,1,0,0
187,40,80,1,5,0,0,0
188,40,80,1,3,0,0,0
189,40,80,1,2,0,0,0
190,20,72,1,1,0,0,0
191,20,73,1,1,1,0,0
192,20,66,1,1,1,0,0
193,40,80,1,8,0,0,0
194,20,80,1,1,0,0,0
195,20,80,1,1,0,0,0
196,40,80,1,4,0,0,0
197,40,80,1,10,0,0,0
198,40,80,1,10,1,0,0
199,20,80,1,1,0,0,0
200,40,30,1,2,1,1,0
201,20,69,1,1,1,0,0
202,20,45,1,1,1,1,0
203,40,80,1,5,0,0,0
204,40,80,1,5,0,0,0
205,40,80,1,4,0,0,0
206,40,80,1,3,0,0,0
207,40,36,1,3,1,1,0
208,40,80,1,3,0,0,0
209,40,46,1,2,1,1,0
210,40,80,1,2,0,0,0
211,40,80,1,7,0,0,0
212,40,80,1,2,0,0,0
213,40,72,1,4,1,0,0
214,40,80,1,3,0,0,0
215,20,80,1,1,0,0,0
216,20,48,1,1,1,1,0
217,40,73,1,2,0,0,0
218,20,34,1,1,1,1,0
219,40,80,1,4,1,0,0
220,20,80,1,1,0,0,0
221,40,80,1,2,0,0,0
222,40,80,1,4,0,0,0
223,20,80,1,1,1,0,0
224,40,80,1,2,0,0,0
225,40,80,1,3,0,0,0
226,40,76,1,2,1,0,0
227,40,80,1,10,0,0,0
228,40,80,1,5,0,0,0
229,40,80,1,10,0,0,0
230,20,80,1,1,0,0,0
231,40,80,1,2,0,0,0
232,40,80,1,4,0,0,0
233,40,80,1,3,0,0,0
234,40,80,1,3,0,0,0
235,40,80,1,2,0,0,0
236,40,80,1,3,0,0,0
237,40,80,1,3,0,0,0
238,40,80,1,4,0,0,0
239,40,80,1,4,0,0,0
240,40,80,1,7,0,0,0
241,40,80,1,7,0,0,0
242,40,80,1,4,0,0,0
243,20,59,1,1,0,0,0
244,40,48,1,2,1,1,0
245,40,80,1,5,0,0,0
246,20,39,1,1,1,1,0
247,40,80,1,2,1,0,0
248,20,64,1,1,1,0,0
249,40,80,1,4,0,0,0
250,40,80,1,2,0,0,0
251,40,80,1,6,0,0,0
252,40,80,1,3,0,0,0
253,40,80,1,4,0,0,0
254,40,80,1,2,0,0,0
255,20,78,1,1,0,0,0
256,40,47,1,4,1,1,0
257,40,77,1,2,0,0,0
258,20,80,1,1,0,0,0
259,40,80,1,8,0,0,0
260,40,80,1,6,0,0,0
261,20,80,1,1,0,0,0
262,20,50,1,1,1,0,0
263,40,80,1,3,0,0,0
264,40,33,1,2,1,1,0
265,40,80,1,6,0,0,0
266,20,80,1,1,0,0,0
267,20,80,1,1,0,0,0
268,40,80,1,2,0,0,0
269,40,80,1,2,1,0,0
270,40,80,1,5,0,0,0
271,20,59,1,1,1,0,0
272,40,80,1,3,0,0,0
273,20,72,1,1,0,0,0
274,40,80,1,6,0,0,0
275,20,80,1,1,0,0,0
276,40,80,1,2,0,0,0
277,40,78,1,3,0,0,0
278,40,80,1,2,0,0,0
279,40,80,1,5,0,0,0
280,40,80,1,3,0,0,0
281,40,77,1,2,0,0,0
282,40,80,1,4,0,0,0
283,40,80,1,5,0,0,0
284,20,80,1,1,0,0,0
285,20,80,1,1,0,0,0
286,20,80,1,1,0,0,0
287,40,74,1,5,1,0,0
288,40,80,1,4,0,0,0
289,40,80,1,6,0,0,0
290,40,59,1,3,0,0,0
291,40,80,1,6,0,0,0
292,20,79,1,1,0,0,0
293,40,80,1,7,0,0,0
294,40,80,1,6,0,0,0
295,40,80,1,3,0,0,0
296,40,80,1,4,0,0,0
297,40,76,1,2,0,0,0
298,20,80,1,1,0,0,0
299,40,80,1,5,0,0,0
300,40,80,1,2,0,0,0
301,20,77,1,1,0,0,0
302,40,80,1,5,0,0,0
303,40,75,1,3,0,0,0
304,20,80,1,1,0,0,0
305,20,22,1,1,1,1,1
306,40,80,1,2,0,0,0
307,40,80,1,5,0,0,0
308,40,64,1,2,1,0,0
309,40,80,1,2,0,0,0
310,40,80,1,6,0,0,0
311,40,80,1,6,0,0,0
312,40,80,1,2,0,0,0
313,20,80,1,1,0,0,0
314,20,34,1,1,1,1,0
315,40,80,1,6,0,0,0
316,40,80,1,8,0,0,0
317,40,73,1,2,1,0,0
318,40,80,1,5,0,0,0
319,40,80,1,2,0,0,0
320,20,79,1,1,1,0,0
321,40,80,1,6,0,0,0
322,40,80,1,5,0,0,0
323,20,75,1,1,0,0,0
324,40,80,1,2,0,0,0
325,20,80,1,1,0,0,0
326,20,65,1,1,1,0,0
327,40,73,1,2,0,0,0
328,20,77,1,1,0,0,0
329,40,34,1,2,1,1,0
330,40,80,1,8,0,0,0
331,20,80,1,1,0,0,0
332,40,80,1,3,0,0,0
333,40,80,1,3,0,0,0
334,20,26,1,1,1,1,1
335,40,80,1,3,0,0,0
336,40,80,1,2,0,0,0
337,20,37,1,1,2,0,1
338,40,80,1,10,0,0,0
339,20,80,1,1,0,0,0
340,40,80,1,3,0,0,0
341,40,80,1,11,0,0,0
342,20,48,1,1,0,0,0
343,40,80,1,5,0,0,0
344,20,77,1,1,0,0,0
345,40,72,1,3,0,0,0
346,20,80,1,1,0,0,0
347,40,80,1,4,0,0,0
