,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,45,20,0,1,1,1,0
1,40,73,1,4,0,0,0
2,80,0,1,7,1,2,1
3,40,65,1,3,1,0,0
4,20,69,1,1,1,0,0
5,40,20,1,5,1,2,0
6,20,80,1,1,0,0,0
7,80,20,0,1,0,0,0
8,20,80,1,1,0,0,0
9,20,16,1,1,1,1,1
10,40,80,1,3,1,0,0
11,40,80,1,3,0,0,0
12,40,32,1,2,1,1,1
13,40,78,1,2,1,0,0
14,20,39,1,1,1,1,0
15,73,20,0,1,0,0,0
16,40,68,1,3,0,0,0
17,40,13,1,5,1,1,1
18,20,56,1,1,0,0,0
19,76,0,1,3,1,2,1
20,40,78,1,3,0,0,0
21,17,20,0,1,1,1,1
22,20,80,1,1,0,0,0
23,80,0,1,10,1,2,1
24,40,80,1,3,0,0,0
25,20,80,1,1,0,0,0
26,20,80,1,1,0,0,0
27,40,33,1,4,1,1,1
28,31,0,1,9,2,1,1
29,20,80,1,1,0,0,0
30,20,80,1,1,0,0,0
31,40,70,1,5,0,0,0
32,40,80,1,2,0,0,0
33,20,45,1,1,1,1,0
34,40,80,1,7,0,0,0
35,40,15,1,6,1,1,1
36,20,80,1,1,0,0,0
37,40,2,1,5,1,1,2
38,40,23,1,5,1,1,1
39,40,80,1,3,0,0,0
40,40,65,1,2,0,0,0
41,40,10,1,3,1,1,1
42,20,61,1,1,1,0,0
43,40,68,1,3,0,0,0
44,20,80,1,1,0,0,0
45,20,22,1,1,1,1,1
46,20,80,1,1,0,0,0
47,20,80,1,1,0,0,0
48,80,0,1,2,1,3,0
49,20,69,1,1,0,0,0
50,20,75,1,1,0,0,0
51,40,20,1,4,1,2,0
52,40,80,1,3,1,0,0
53,20,80,1,1,0,0,0
54,40,68,1,4,0,0,0
55,40,80,1,3,0,0,0
56,26,20,0,1,1,1,1
57,40,25,1,2,1,1,1
58,20,54,1,1,1,0,0
59,65,20,0,1,0,0,0
60,40,13,1,2,1,1,1
61,40,80,1,3,0,0,0
62,40,31,1,3,1,1,1
63,20,80,1,1,0,0,0
64,40,9,1,3,1,1,1
65,40,80,1,3,0,0,0
66,40,24,1,5,1,1,1
67,20,80,1,1,0,0,0
68,77,0,1,7,1,1,2
69,40,80,1,3,0,0,0
70,20,80,1,1,0,0,0
71,20,80,1,1,0,0,0
72,40,13,1,5,2,1,0
73,40,54,1,5,0,0,0
74,76,0,1,2,1,3,0
75,20,70,1,1,1,0,0
76,20,80,1,1,0,0,0
77,40,12,1,4,1,1,1
78,20,78,1,1,0,0,0
79,40,66,1,11,0,0,0
80,40,65,1,4,1,0,0
81,40,80,1,3,0,0,0
82,40,30,1,2,1,1,1
83,40,35,1,2,2,1,0
84,40,80,1,2,0,0,0
85,40,80,1,2,0,0,0
86,80,20,0,1,0,0,0
87,19,20,0,1,1,1,1
88,40,50,1,2,1,1,0
89,20,80,1,1,0,0,0
90,20,80,1,1,0,0,0
91,67,20,0,1,0,0,0
92,20,80,1,1,0,0,0
93,20,77,1,1,0,0,0
94,20,63,1,1,1,0,0
95,20,60,1,1,2,0,0
96,20,62,1,1,1,0,0
97,40,80,1,2,0,0,0
98,40,49,1,3,1,1,0
99,20,68,1,1,1,0,0
100,21,20,0,1,1,2,0
101,20,33,1,1,1,1,0
102,40,63,1,5,1,0,0
103,40,15,1,3,1,1,1
104,69,0,1,4,1,1,2
105,20,60,1,1,1,1,0
106,20,80,1,1,0,0,0
107,20,35,1,1,2,0,1
108,80,20,0,1,0,0,0
109,20,80,1,1,0,0,0
110,40,71,1,3,0,0,0
111,20,67,1,1,1,0,0
112,74,0,1,8,1,1,2
113,40,72,1,3,0,0,0
114,40,9,1,3,2,0,2
115,40,80,1,3,0,0,0
116,20,80,1,1,0,0,0
117,40,69,1,5,0,0,0
118,20,22,1,1,2,0,0
119,20,40,1,1,2,0,0
120,35,0,1,3,1,2,1
121,40,70,1,4,0,0,0
122,47,20,0,1,1,1,0
123,80,20,0,1,0,0,0
124,40,80,1,2,0,0,0
125,20,71,1,1,0,0,0
126,40,30,1,7,1,1,1
