,Random,Random,Random,Random,Random,Random,Defeat,Defeat,Defeat,Defeat,Defeat,Defeat,Minscore,Minscore,Minscore,Minscore,Minscore,Minscore,Mindist,Mindist,Mindist,Mindist,Mindist,Mindist,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp
,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp
0,20,-40,20,20,20,20,40,0,20,20,20,20,40,80,20,20,20,20,40,80,20,20,20,20,40,80,20,20,20,20,40,80,20,20,20,20
1,40,-40,20,-40,-40,-40,40,0,20,-80,-80,-58,-20,60,20,-2,-2,-2,40,60,20,13,21,5,40,80,20,-11,-11,-11,40,80,20,-14,-14,-14
2,40,-40,20,-40,-40,-80,40,0,20,-80,-80,-80,40,-20,-20,-20,-20,-20,80,80,20,13,58,42,80,80,20,60,58,42,80,80,20,13,11,66
3,-40,-40,-40,-40,-40,-40,40,4,20,-80,-80,-80,40,80,20,80,80,80,40,80,20,80,80,80,40,80,20,80,80,80,-20,80,20,80,80,80
4,-20,-20,20,-20,-20,-20,20,0,-80,-80,-80,-80,40,80,-26,-63,-26,-26,20,80,-29,-29,-29,-29,20,80,2,-40,-40,-40,40,80,-11,-30,-30,-30
5,-40,-40,-40,-40,-40,-40,40,0,20,-80,-80,-80,40,80,20,80,80,34,40,80,20,72,29,28,40,80,20,72,35,34,40,80,20,78,21,20
6,-20,-20,-20,-20,-20,-20,20,0,20,20,20,20,-20,80,20,20,20,20,20,80,20,20,20,20,20,80,20,20,20,20,20,80,20,20,20,20
7,20,-40,-20,20,20,20,40,0,-80,-80,-80,-80,20,-20,-20,-20,-20,-20,40,80,-79,-79,-79,-79,40,80,3,-80,-80,-80,20,80,3,-80,-80,-80
8,-20,-20,-40,-20,-20,-20,20,0,-80,-80,-80,-80,40,-20,-20,-20,-20,-20,20,80,-22,56,46,-22,20,77,44,56,-20,-20,40,77,44,56,46,-18
9,-20,-20,-40,-20,-20,-20,20,0,-80,-80,-80,-80,-20,80,-24,-46,-29,-29,20,80,-33,-14,-33,-14,20,80,-14,-12,2,-12,40,80,10,-11,2,-11
10,-40,-40,20,-40,-40,-40,40,0,-80,-80,-80,-80,40,69,-11,-11,-12,-11,40,69,-29,-29,-29,-29,40,69,-5,-32,14,-32,40,69,-5,-32,14,-32
11,-40,-40,20,-40,-40,-40,40,0,-80,-80,-80,-80,-20,-20,-20,-20,-20,-20,40,80,-80,-58,-58,-58,40,80,-8,-68,-68,-68,40,80,-5,-18,-18,-58
12,20,-40,-20,-40,-40,-40,40,0,20,-80,-80,-80,-20,-20,-20,-20,-20,-20,40,80,20,-25,30,30,40,80,20,16,-44,-44,40,80,20,16,-44,-44
13,20,-40,-20,-40,-40,-40,40,0,-45,-45,-45,-45,20,33,3,-15,-15,-15,-20,17,3,7,7,7,-20,13,3,7,7,7,-20,13,3,7,7,7
14,-20,-20,-20,-20,-20,-20,20,0,20,-80,-80,-80,20,80,20,80,69,14,20,80,20,-77,14,-77,20,80,20,80,23,49,20,80,20,80,19,-73
15,-40,-40,-40,20,20,20,40,0,20,-80,-80,-80,80,-20,-20,-20,-20,-20,40,80,20,-5,-5,13,40,74,20,80,80,16,40,80,20,80,25,80
16,-40,-40,-20,-40,-40,-40,40,0,-80,-80,-80,-80,20,80,21,38,20,38,40,80,33,38,21,31,40,80,16,34,18,30,40,80,16,34,18,30
17,-40,-40,-40,-40,-40,-40,40,0,20,-80,-80,-80,40,-20,-20,-20,-20,-20,40,-20,-20,-20,-20,-20,40,-20,-20,-20,-20,-20,40,-20,-20,-20,-20,-20
18,-20,-20,20,-20,-20,-20,20,0,-80,-80,-80,-80,40,80,12,13,80,80,20,80,66,70,72,72,20,80,-10,75,74,80,20,80,66,75,74,80
19,-40,-40,-20,-80,-76,-76,40,0,-80,-80,-80,-80,-20,-20,-20,-20,-20,-20,80,80,-80,-80,-80,-80,80,80,-80,-80,-80,-80,80,80,-80,-80,-80,-80
20,-40,-40,-40,-40,-40,-40,40,0,-42,-42,-42,-42,-20,18,-7,-7,-7,-7,40,2,-12,-12,-12,-12,40,18,-7,-7,-7,-7,40,18,-7,-7,-7,-7
21,-20,-20,-20,20,20,20,20,0,20,-80,-80,-80,40,80,20,-2,-2,-2,40,80,20,41,7,42,40,80,20,13,17,17,40,80,20,-20,-25,-20
22,-40,-40,-20,-20,-20,-20,40,0,20,-80,-80,-80,-20,80,20,-2,-3,-7,20,-20,-20,-20,-20,-20,20,-20,-20,-20,-20,-20,20,-20,-20,-20,-20,-20
23,-20,-20,20,-80,-80,-80,20,22,-80,-80,-80,-80,40,-20,-20,-20,-20,-20,77,80,-69,-80,-69,-69,74,80,4,-80,-5,-5,77,80,-30,-80,-37,-37
24,-40,-40,-20,-20,-20,-40,40,0,20,-80,-80,-80,20,80,20,74,72,59,40,80,20,78,80,80,40,80,20,75,47,-6,40,80,20,80,54,68
25,-20,-20,-20,-40,-40,-20,20,0,20,-80,-80,-80,20,-20,-20,-20,-20,-20,40,80,20,-26,44,-43,59,80,20,77,55,-37,40,80,20,75,80,23
26,-20,-20,-40,-80,-80,-20,20,0,20,-80,-80,-80,-20,-20,-20,-20,-20,-20,20,-20,-20,-20,-20,-20,20,-20,-20,-20,-20,-20,20,-20,-20,-20,-20,-20
27,40,-40,-40,-40,-40,-40,40,0,-80,-80,-80,-80,-20,-20,-20,-20,-20,-20,20,80,8,-64,-80,-80,40,80,8,17,-80,-80,20,80,-13,-27,-12,-27
28,-40,-40,20,-80,-80,-31,40,0,20,-80,-80,-80,20,80,20,-18,-13,-21,-20,80,20,-14,-14,-14,61,80,20,-11,-43,-43,-20,80,20,-20,-20,-20
29,-20,-20,20,-40,-40,-20,20,0,20,-80,-80,-80,20,80,20,80,20,60,40,80,20,40,24,23,20,80,20,43,63,17,40,80,20,43,44,66
30,40,-40,-40,-40,-40,-20,40,0,-80,-80,-80,-80,20,80,22,50,34,58,40,80,16,38,20,43,20,80,6,50,-4,17,40,80,13,38,37,37
31,20,-40,-20,-40,-40,-40,40,0,20,-80,-80,-80,-20,-20,-20,-20,-20,-20,40,80,20,-14,-37,-37,80,80,20,-51,-36,-36,40,80,20,-66,-66,-66
32,-40,-40,20,-40,-40,-40,40,-24,-80,-80,-80,-78,-20,80,-9,7,-9,-2,40,80,7,-72,-69,-69,80,80,-16,-72,7,-72,40,80,5,-72,64,-72
