,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,0,27,0,10,1,2,1
1,0,7,0,5,1,1,2
2,80,0,1,14,1,1,2
3,0,80,0,1,1,2,1
4,29,0,1,4,1,1,2
5,0,55,0,7,1,2,1
6,0,80,0,3,2,0,2
7,79,0,1,3,1,2,1
8,22,0,1,6,1,2,1
9,33,0,1,7,1,3,0
10,29,0,1,4,2,0,2
11,80,0,1,10,1,3,0
12,0,26,0,8,2,1,1
13,0,3,0,1,3,0,1
14,0,31,0,9,1,2,1
15,0,5,0,13,1,1,2
16,0,33,0,3,3,1,0
17,80,0,1,6,1,1,2
18,0,66,0,3,1,1,2
19,80,0,1,5,3,1,0
20,12,0,1,1,2,1,1
21,0,10,0,13,1,1,2
22,0,2,0,14,2,1,1
23,69,0,1,8,1,2,1
24,0,64,0,7,1,2,1
25,0,55,0,9,2,0,2
26,8,0,1,9,1,1,2
27,0,8,0,8,1,1,2
28,14,0,1,6,2,2,0
29,0,30,0,6,2,0,2
30,0,16,0,5,2,0,2
31,37,0,1,7,1,1,2
32,0,7,0,6,1,1,2
33,37,0,1,6,2,1,1
34,77,0,1,11,1,1,2
35,57,0,1,5,3,0,1
36,17,0,1,17,3,0,1
37,22,0,1,8,1,1,2
38,80,0,1,8,1,1,2
39,0,80,0,4,1,1,2
40,23,0,1,10,2,0,2
41,0,17,0,7,3,1,0
42,0,63,0,3,1,2,1
43,0,54,0,3,1,1,2
44,26,0,1,11,1,1,2
45,58,0,1,5,2,1,1
46,0,11,0,5,1,1,2
47,14,0,1,18,2,0,2
48,0,4,0,12,2,1,1
49,0,55,0,5,1,2,1
50,0,56,0,1,1,1,2
51,9,0,1,12,3,0,1
52,72,0,1,15,1,2,1
53,0,36,0,9,1,3,0
54,0,43,0,8,1,2,1
55,80,0,1,7,1,2,1
56,66,0,1,6,1,3,0
57,19,0,1,10,2,0,2
58,20,0,1,4,2,1,1
59,10,0,1,10,3,0,1
60,79,0,1,7,1,2,1
61,80,0,1,4,1,1,2
62,0,2,0,9,1,1,2
63,80,0,1,5,3,1,0
64,0,60,0,2,1,2,1
65,0,80,0,3,1,1,2
66,21,0,1,4,2,1,1
67,0,60,0,6,2,1,1
68,20,0,1,3,2,1,1
69,0,13,0,12,1,1,2
70,0,73,0,1,2,1,1
71,0,80,0,3,1,1,2
72,0,12,0,10,1,1,2
73,0,6,0,5,1,1,2
74,45,0,1,7,2,1,1
75,80,0,1,6,2,1,1
76,0,32,0,7,1,2,1
77,0,7,0,10,3,0,1
78,0,37,0,2,2,0,2
79,0,23,0,3,1,1,2
80,0,2,0,11,1,2,1
81,80,0,1,8,2,0,2
82,0,3,0,5,1,2,1
83,7,0,1,3,1,1,2
84,2,0,1,7,1,1,2
85,0,9,0,10,1,2,1
86,80,0,1,12,2,1,1
87,37,0,1,17,2,1,1
88,0,76,0,1,2,1,1
89,0,5,0,2,1,1,2
90,41,0,1,5,1,1,2
91,0,2,0,6,1,2,1
92,76,0,1,10,2,1,1
93,0,17,0,2,1,1,2
94,0,73,0,7,1,2,1
95,59,0,1,8,2,2,0
96,0,14,0,6,1,2,1
97,0,19,0,5,1,2,1
98,0,9,0,8,3,1,0
99,23,0,1,11,4,0,0
100,0,19,0,4,1,2,1
101,48,0,1,7,1,1,2
102,65,0,1,3,2,1,1
103,80,0,1,11,1,1,2
104,30,0,1,8,2,0,2
105,0,55,0,1,1,2,1
106,0,38,0,9,1,1,2
107,80,0,1,1,1,2,1
108,0,34,0,7,2,2,0
109,74,0,1,10,2,0,2
110,0,8,0,13,1,1,2
111,43,0,1,7,1,1,2
112,79,0,1,5,2,1,1
113,13,0,1,17,2,1,1
114,10,0,1,17,2,1,1
115,0,72,0,2,1,2,1
116,32,0,1,2,1,1,2
117,0,15,0,9,4,0,0
118,0,38,0,2,2,2,0
119,0,8,0,5,2,1,1
120,0,35,0,13,1,1,2
121,80,0,1,11,1,1,2
122,36,0,1,13,3,1,0
123,0,14,0,4,3,0,1
124,44,0,1,7,2,1,1
125,18,0,1,9,2,0,2
126,0,27,0,3,2,1,1
127,0,80,0,5,1,2,1
128,38,0,1,4,2,2,0
129,19,0,1,7,1,2,1
130,80,0,1,16,1,2,1
131,0,80,0,3,1,1,2
132,80,0,1,10,1,1,2
133,0,4,0,20,1,1,2
134,80,0,1,12,3,1,0
135,0,48,0,2,2,1,1
136,0,17,0,5,1,2,1
137,80,0,1,10,2,1,1
138,80,0,1,9,2,1,1
139,0,2,0,7,1,1,2
140,76,0,1,9,1,2,1
141,0,80,0,3,2,2,0
142,74,0,1,9,3,0,1
143,0,18,0,9,2,1,1
144,0,40,0,3,1,1,2
145,0,13,0,3,1,2,1
146,0,15,0,8,1,1,2
147,0,61,0,4,1,2,1
148,0,54,0,3,1,1,2
149,0,80,0,6,1,2,1
150,51,0,1,1,1,2,1
151,0,80,0,2,1,1,2
152,0,17,0,10,3,0,1
153,0,80,0,5,2,1,1
154,0,15,0,11,1,1,2
155,0,6,0,9,1,1,2
156,53,0,1,8,2,1,1
157,0,49,0,6,1,1,2
158,0,43,0,5,1,3,0
159,0,13,0,3,2,2,0
160,0,38,0,2,2,1,1
161,21,0,1,2,1,3,0
162,0,80,0,2,3,1,0
163,0,30,0,5,2,0,2
164,0,80,0,6,1,1,2
165,0,2,0,7,2,1,1
166,0,34,0,6,1,1,2
167,0,61,0,6,2,1,1
168,0,39,0,4,1,1,2
169,0,17,0,7,2,1,1
170,0,80,0,7,1,2,1
171,58,0,1,4,1,2,1
172,0,46,0,3,2,1,1
173,0,44,0,1,1,2,1
174,0,17,0,7,1,1,2
175,55,0,1,5,2,1,1
176,0,7,0,9,1,1,2
177,0,80,0,9,1,2,1
178,10,0,1,8,1,1,2
179,0,4,0,7,1,2,1
180,12,0,1,5,1,2,1
181,80,0,1,6,2,1,1
182,0,9,0,7,1,1,2
183,0,13,0,4,2,2,0
184,0,17,0,8,2,0,2
185,79,0,1,8,2,0,2
186,0,34,0,3,1,3,0
187,0,7,0,10,1,3,0
188,80,0,1,6,2,0,2
189,0,80,0,1,1,2,1
190,0,36,0,9,2,1,1
191,0,39,0,10,1,2,1
192,0,40,0,2,1,2,1
193,12,0,1,5,2,1,1
194,0,58,0,6,1,1,2
195,61,0,1,7,1,3,0
196,0,56,0,5,1,2,1
197,2,0,1,8,1,1,2
198,0,54,0,5,2,2,0
199,0,11,0,7,1,3,0
200,40,0,1,6,2,0,2
201,0,19,0,3,1,2,1
202,0,12,0,9,1,2,1
203,0,28,0,12,2,0,2
204,0,27,0,6,1,1,2
205,0,6,0,3,1,1,2
206,0,7,0,9,1,2,1
207,0,58,0,2,1,1,1
208,0,54,0,5,1,2,1
209,0,2,0,9,1,2,1
210,9,0,1,13,2,1,1
211,0,53,0,5,1,2,1
212,0,3,0,5,1,1,2
213,0,80,0,4,1,2,1
214,0,12,0,4,1,1,2
215,0,53,0,1,2,1,1
216,0,41,0,5,1,1,2
217,0,17,0,14,1,1,2
218,0,80,0,1,1,1,2
219,14,0,1,15,2,0,2
220,80,0,1,3,2,1,1
