,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,0,80,0,4,1,2,1
1,0,57,0,10,1,3,0
2,0,80,0,15,2,2,0
3,0,79,0,9,1,1,2
4,0,80,0,12,1,2,1
5,0,80,0,9,1,3,0
6,0,69,0,5,2,1,1
7,0,76,0,2,1,2,1
8,0,67,0,11,2,1,1
9,0,80,0,21,1,1,2
10,0,44,0,2,2,1,1
11,0,80,0,10,1,3,0
12,0,25,0,2,3,0,1
13,0,80,0,4,1,1,2
14,0,71,0,3,1,1,2
15,0,80,0,6,2,2,0
16,0,79,0,4,2,1,1
17,0,77,0,12,2,2,0
18,0,80,0,5,1,1,2
19,0,75,0,6,1,1,2
20,0,80,0,9,1,1,2
21,0,79,0,4,2,1,1
22,0,53,0,3,1,1,2
23,0,80,0,0,1,1,2
24,0,80,0,8,1,2,1
25,0,64,0,1,1,2,1
26,0,69,0,14,1,1,2
27,0,80,0,6,1,2,1
28,0,73,0,5,1,3,0
29,0,80,0,6,1,3,0
30,0,75,0,2,2,1,1
31,0,33,0,7,1,3,0
32,0,21,0,12,2,2,0
33,0,22,0,3,1,1,2
34,0,80,0,4,2,1,1
35,0,80,0,11,1,1,2
36,0,57,0,28,1,1,2
37,0,80,0,2,1,2,1
38,0,67,0,4,1,1,2
39,0,80,0,1,1,1,2
40,0,80,0,9,1,1,2
41,0,34,0,7,1,2,1
42,0,78,0,4,1,3,0
43,0,80,0,14,2,2,0
44,0,80,0,2,2,1,1
45,0,74,0,7,1,2,1
46,0,27,0,3,1,2,1
47,0,80,0,10,2,1,1
48,0,80,0,11,1,1,2
49,0,73,0,5,1,1,2
50,0,80,0,7,1,1,2
51,0,78,0,5,2,0,2
52,0,80,0,2,1,2,1
53,0,80,0,6,1,1,2
54,0,70,0,5,2,1,1
55,0,80,0,8,2,1,1
56,0,72,0,4,2,0,2
57,0,80,0,8,1,1,2
58,0,80,0,11,1,2,1
59,0,65,0,4,2,2,0
60,0,79,0,4,1,2,1
61,0,67,0,7,1,1,2
62,0,80,0,14,2,1,1
63,0,80,0,13,1,1,2
64,0,80,0,11,1,1,2
65,0,80,0,2,2,1,1
66,0,16,0,10,1,3,0
67,0,29,0,3,2,2,0
68,0,75,0,2,1,1,2
69,0,79,0,6,2,1,1
70,0,40,0,11,1,2,1
71,0,70,0,8,3,0,1
72,0,80,0,6,1,2,1
73,0,76,0,7,1,2,1
74,0,80,0,13,2,0,2
75,0,72,0,6,1,1,2
76,0,72,0,17,1,1,2
77,0,80,0,10,2,2,0
78,0,71,0,6,1,2,1
79,0,79,0,5,2,1,1
80,0,78,0,14,1,1,2
81,0,66,0,3,1,1,2
82,0,75,0,3,2,2,0
83,0,80,0,2,3,0,1
84,0,80,0,16,1,1,2
85,0,80,0,2,1,2,1
86,0,80,0,7,2,2,0
87,0,80,0,6,1,1,2
88,0,64,0,6,2,1,1
89,0,10,0,1,1,1,2
90,0,41,0,1,2,1,1
91,0,80,0,3,1,2,1
92,0,80,0,5,1,1,2
93,0,47,0,9,1,1,2
94,0,68,0,1,1,1,2
95,0,80,0,10,1,1,2
96,0,80,0,7,1,1,2
97,0,80,0,7,2,2,0
98,0,51,0,11,1,1,2
99,0,80,0,3,1,2,1
100,0,9,0,4,1,1,2
101,0,80,0,12,1,1,2
102,0,80,0,12,1,2,1
103,0,69,0,8,1,1,2
104,0,80,0,4,1,1,2
105,0,80,0,8,1,2,1
106,0,80,0,28,1,1,1
107,0,80,0,8,1,2,1
108,0,80,0,22,1,1,2
109,0,78,0,14,2,0,2
110,0,69,0,9,1,2,1
111,0,41,0,8,2,1,1
112,0,72,0,11,2,0,2
113,0,42,0,28,1,1,2
114,0,69,0,3,1,3,0
115,0,80,0,5,1,1,2
116,0,15,0,2,1,1,2
117,0,80,0,9,1,1,2
118,0,80,0,13,1,2,1
119,0,17,0,39,1,1,2
120,0,43,0,4,2,1,1
121,0,36,0,8,1,2,1
122,0,79,0,8,1,1,2
123,0,80,0,9,1,1,2
124,0,33,0,11,2,2,0
125,0,20,0,5,3,1,0
126,0,59,0,7,1,1,2
127,0,80,0,7,2,2,0
128,0,80,0,11,1,2,1
129,0,80,0,9,1,1,2
130,0,80,0,6,3,0,1
131,0,80,0,3,1,1,2
132,0,70,0,11,2,2,0
133,0,80,0,6,2,1,1
134,0,72,0,12,1,1,2
135,0,80,0,3,1,1,2
136,0,80,0,7,1,2,1
137,0,78,0,17,2,1,1
138,0,80,0,16,1,1,2
139,0,55,0,5,1,1,2
140,0,37,0,5,2,1,1
141,0,80,0,17,2,0,2
142,0,80,0,8,1,1,2
143,0,78,0,7,2,2,0
144,0,80,0,9,2,1,1
145,0,51,0,3,1,2,1
146,0,51,0,6,1,3,0
147,0,80,0,6,1,2,1
148,0,77,0,5,1,1,2
149,0,30,0,2,2,0,2
150,0,70,0,3,1,1,2
151,0,80,0,1,1,1,2
152,0,28,0,8,1,1,2
153,0,80,0,7,2,1,1
154,0,80,0,2,1,1,2
155,0,77,0,9,1,2,1
156,0,79,0,2,2,0,2
157,0,79,0,8,1,1,2
