,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,0,44,0,9,1,2,1
1,14,0,1,3,2,1,1
2,0,13,0,15,2,1,1
3,0,80,0,1,1,2,1
4,30,0,1,4,1,1,2
5,0,78,0,7,1,2,1
6,0,80,0,4,2,0,2
7,80,0,1,2,1,1,2
8,0,56,0,5,2,1,1
9,11,0,1,6,1,2,1
10,32,0,1,4,3,0,1
11,18,0,1,14,1,3,0
12,0,16,0,11,3,1,0
13,0,7,0,1,3,0,1
14,0,80,0,6,1,2,1
15,0,80,0,4,2,1,1
16,0,34,0,6,2,0,2
17,77,0,1,4,1,1,2
18,0,75,0,3,1,1,2
19,80,0,1,3,2,2,0
20,7,0,1,1,1,1,2
21,20,0,1,18,1,3,0
22,0,80,0,14,1,2,1
23,80,0,1,5,1,1,2
24,0,80,0,5,1,2,1
25,0,75,0,10,2,2,0
26,0,3,0,7,1,2,1
27,27,0,1,8,2,1,1
28,20,0,1,5,2,1,1
29,0,43,0,5,3,0,1
30,0,38,0,6,3,1,0
31,66,0,1,8,1,2,1
32,72,0,1,4,1,1,2
33,26,0,1,7,1,1,2
34,3,0,1,12,1,2,0
35,21,0,1,6,1,2,1
36,0,78,0,8,2,1,1
37,35,0,1,10,2,2,0
38,0,30,0,6,1,2,1
39,0,80,0,5,1,2,1
40,0,56,0,5,1,1,2
41,0,17,0,7,2,1,1
42,0,76,0,4,1,2,1
43,0,59,0,3,1,1,2
44,10,0,1,10,1,2,1
45,25,0,1,4,1,3,0
46,0,58,0,5,1,2,1
47,0,22,0,18,3,1,0
48,0,19,0,12,2,0,2
49,0,72,0,6,1,2,1
50,0,56,0,2,1,1,2
51,0,57,0,13,2,0,2
52,0,35,0,14,1,2,1
53,0,80,0,4,1,3,0
54,0,2,0,8,1,2,1
55,69,0,1,5,2,1,1
56,19,0,1,6,1,1,2
57,80,0,1,7,1,1,2
58,0,5,0,4,2,1,1
59,0,41,0,5,2,2,0
60,0,65,0,7,1,1,2
61,73,0,1,3,2,1,1
62,0,8,0,5,2,0,2
63,77,0,1,5,2,2,0
