,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,0,79,0,9,1,2,1
1,14,0,1,3,2,1,1
2,0,66,0,5,1,1,2
3,0,80,0,1,1,2,1
4,30,0,1,4,1,1,2
5,0,20,0,7,1,2,1
6,0,78,0,8,3,0,1
7,80,0,1,2,1,1,2
8,18,0,1,5,1,2,1
9,11,0,1,6,1,2,1
10,32,0,1,4,3,0,1
11,58,0,1,14,1,3,0
12,44,0,1,5,1,1,2
13,0,7,0,1,3,0,1
14,73,0,1,7,2,1,1
15,0,80,0,8,2,1,1
16,0,30,0,6,2,1,1
17,80,0,1,6,1,1,2
18,0,80,0,3,1,1,2
19,80,0,1,3,2,2,0
20,7,0,1,1,1,1,2
21,20,0,1,18,1,3,0
22,0,13,0,11,2,1,1
23,37,0,1,11,1,1,2
24,0,68,0,8,1,3,0
25,0,23,0,9,2,2,0
26,40,0,1,5,1,1,2
27,27,0,1,6,1,1,2
28,20,0,1,5,2,1,1
29,0,66,0,6,3,0,1
30,0,37,0,6,2,2,0
31,66,0,1,8,1,2,1
32,72,0,1,4,1,1,2
33,21,0,1,8,1,1,2
34,0,10,0,12,1,1,2
35,0,15,0,5,1,1,2
36,0,78,0,8,2,1,1
37,8,0,1,11,1,2,1
38,0,27,0,6,1,2,1
39,0,23,0,14,2,1,1
40,26,0,1,10,1,2,1
41,10,0,1,8,2,1,1
42,0,80,0,4,1,2,1
43,62,0,1,11,1,3,0
44,57,0,1,6,2,2,0
45,25,0,1,4,2,1,1
46,0,67,0,5,1,2,1
47,38,0,1,14,1,1,2
48,71,0,1,10,2,1,1
49,70,0,1,9,1,2,1
50,30,0,1,3,1,1,2
51,0,42,0,13,2,0,2
52,70,0,1,16,1,1,2
53,0,79,0,8,1,3,0
54,0,5,0,8,1,2,1
55,69,0,1,5,2,1,1
56,78,0,1,5,1,3,0
57,0,10,0,4,2,1,1
58,0,10,0,3,3,1,0
59,0,60,0,4,1,2,1
60,0,70,0,7,1,1,2
61,80,0,1,3,1,1,2
62,0,12,0,7,2,1,1
63,77,0,1,5,2,2,0
64,0,50,0,8,3,0,1
65,0,20,0,7,2,0,2
66,14,0,1,4,2,1,1
67,0,32,0,6,3,1,0
68,21,0,1,2,2,1,1
69,0,10,0,10,3,0,1
70,0,72,0,5,2,1,1
71,0,80,0,3,1,2,1
72,0,33,0,11,1,1,2
73,0,10,0,6,1,1,2
74,0,10,0,9,1,1,2
75,80,0,1,6,2,1,1
76,0,73,0,7,1,2,1
77,0,79,0,8,3,0,1
78,0,32,0,2,2,0,2
79,76,0,1,5,1,2,1
80,21,0,1,7,1,1,2
81,48,0,1,5,1,1,2
82,0,10,0,5,1,2,1
83,0,19,0,1,2,0,2
84,23,0,1,6,2,2,0
85,0,50,0,6,1,2,1
86,80,0,1,12,2,1,1
87,64,0,1,5,2,1,1
88,0,80,0,3,1,2,1
89,0,28,0,2,1,1,2
90,47,0,1,3,1,2,1
91,78,0,1,8,2,0,2
92,74,0,1,6,1,1,2
93,0,10,0,5,1,1,2
94,0,77,0,4,2,1,1
95,80,0,1,9,2,1,1
96,22,0,1,6,1,2,1
97,0,16,0,6,1,2,1
98,33,0,1,7,3,1,0
99,0,12,0,10,2,0,2
100,0,25,0,4,1,1,2
101,53,0,1,6,1,2,1
102,40,0,1,5,2,1,1
103,80,0,1,8,1,2,1
104,16,0,1,6,3,0,1
105,0,77,0,1,1,2,1
106,25,0,1,10,1,1,2
107,80,0,1,1,1,2,1
108,0,50,0,6,2,2,0
109,80,0,1,4,2,2,0
110,0,6,0,12,1,1,2
111,29,0,1,6,2,1,1
112,0,20,0,9,1,1,2
113,18,0,1,7,1,1,2
114,0,18,0,8,2,2,0
115,0,75,0,3,2,2,0
116,51,0,1,1,1,2,1
117,26,0,1,9,2,1,1
118,0,46,0,2,3,1,0
119,0,18,0,11,2,2,0
120,0,69,0,5,4,0,0
121,80,0,1,6,1,2,1
122,26,0,1,10,2,1,1
123,0,30,0,2,3,0,1
124,26,0,1,8,2,1,1
125,27,0,1,6,2,1,1
126,49,0,1,2,1,1,2
127,0,80,0,8,2,1,1
128,16,0,1,4,1,1,2
129,3,0,1,8,1,2,1
130,80,0,1,8,1,1,2
131,0,62,0,4,1,1,2
132,49,0,1,5,1,2,1
133,0,60,0,11,1,1,2
134,13,0,1,9,2,1,1
135,13,0,1,6,2,0,2
136,0,13,0,6,1,2,1
137,0,70,0,7,2,1,1
138,80,0,1,7,2,1,1
139,80,0,1,5,1,1,2
140,11,0,1,7,1,3,0
141,0,80,0,2,2,1,1
142,0,10,0,12,2,2,0
143,0,68,0,8,2,1,1
144,0,41,0,2,1,1,2
145,0,17,0,3,1,2,1
146,0,26,0,8,2,1,1
147,0,80,0,8,2,1,1
148,0,64,0,7,1,2,1
149,62,0,1,12,1,2,1
150,48,0,1,1,1,2,1
151,0,80,0,2,1,1,2
152,0,80,0,7,3,0,1
153,0,80,0,9,3,1,0
154,0,29,0,9,2,1,1
155,0,23,0,8,1,1,2
156,54,0,1,7,2,1,1
157,0,80,0,3,1,1,2
158,0,18,0,8,1,3,0
159,0,66,0,2,1,3,0
160,0,33,0,3,2,2,0
161,27,0,1,2,1,3,0
162,6,0,1,6,1,1,2
163,0,40,0,5,2,1,1
164,0,80,0,8,1,1,2
165,0,73,0,4,2,1,1
166,0,52,0,7,1,2,1
167,21,0,1,5,2,0,2
168,0,79,0,5,1,2,1
169,0,80,0,6,1,1,2
170,5,0,1,7,1,2,1
171,67,0,1,3,2,1,1
172,0,52,0,3,2,1,1
173,0,3,0,5,1,2,1
174,35,0,1,4,1,1,2
175,58,0,1,13,1,1,2
176,0,38,0,5,1,1,2
177,0,37,0,6,1,2,1
178,0,64,0,3,1,1,2
179,0,34,0,8,1,2,1
180,15,0,1,5,1,2,1
181,80,0,1,6,2,1,1
182,0,20,0,4,2,1,1
183,0,77,0,4,2,2,0
184,0,76,0,7,1,1,2
185,20,0,1,8,1,1,2
186,0,70,0,3,1,2,1
187,0,73,0,9,1,2,1
188,80,0,1,8,2,0,2
189,9,0,1,3,1,1,2
190,0,56,0,10,2,1,1
191,78,0,1,12,1,2,1
192,20,0,1,3,1,1,2
193,0,15,0,4,2,1,1
194,0,72,0,4,2,0,2
195,48,0,1,7,1,2,1
196,0,59,0,5,1,2,1
197,0,22,0,11,1,2,1
198,0,80,0,2,2,1,1
199,13,0,1,6,2,1,1
200,38,0,1,5,2,0,2
201,0,80,0,1,1,2,1
202,0,76,0,5,1,2,1
203,0,72,0,12,3,1,0
204,80,0,1,4,3,1,0
205,0,18,0,2,1,1,2
206,73,0,1,7,3,0,1
207,0,74,0,2,2,2,0
208,38,0,1,3,1,1,2
209,60,0,1,4,2,1,1
210,80,0,1,15,2,0,2
211,80,0,1,6,1,2,1
212,0,52,0,5,2,1,1
213,0,70,0,6,2,1,1
214,0,20,0,3,1,1,2
215,0,80,0,1,2,1,1
216,0,66,0,2,1,2,0
217,0,71,0,5,1,3,0
218,0,80,0,1,1,1,2
219,0,31,0,16,1,1,2
220,10,0,1,4,1,1,2
221,0,19,0,10,2,1,1
222,0,80,0,1,1,1,2
223,0,4,0,9,1,1,2
224,18,0,1,2,1,1,2
225,80,0,1,6,3,1,0
226,28,0,1,6,1,1,2
227,0,64,0,15,1,1,2
228,33,0,1,8,1,1,2
229,0,8,0,15,2,1,1
230,80,0,1,6,1,3,0
231,0,80,0,10,2,1,1
232,0,15,0,2,2,2,0
233,0,80,0,8,1,1,2
