,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,0,80,0,9,1,2,1
1,11,0,1,4,2,1,1
2,0,58,0,5,1,1,2
3,0,80,0,1,1,2,1
4,40,0,1,4,1,1,2
5,0,35,0,7,1,2,1
6,0,80,0,7,2,1,1
7,80,0,1,2,1,1,2
8,20,0,1,5,1,2,1
9,0,2,0,9,2,0,2
10,0,14,0,4,1,1,2
11,68,0,1,9,1,3,0
12,44,0,1,5,1,1,2
13,0,7,0,1,3,0,1
14,0,23,0,7,1,2,1
15,0,80,0,8,1,1,2
16,0,18,0,6,2,1,1
17,80,0,1,6,1,1,2
18,0,74,0,3,1,1,2
19,80,0,1,3,2,2,0
20,7,0,1,1,1,1,2
21,0,17,0,8,1,1,2
22,0,10,0,13,2,1,0
23,5,0,1,14,2,1,1
24,0,47,0,11,1,1,2
25,0,55,0,12,2,2,0
26,12,0,1,6,2,0,2
27,80,0,1,8,1,1,2
28,43,0,1,4,1,1,2
29,0,63,0,5,2,0,2
30,4,0,1,10,1,1,2
31,36,0,1,9,1,2,1
32,0,7,0,10,1,2,1
33,8,0,1,11,1,1,2
34,78,0,1,6,1,2,0
35,0,16,0,5,1,1,2
36,0,29,0,7,2,0,2
37,28,0,1,10,2,2,0
38,80,0,1,5,1,1,2
39,8,0,1,6,2,1,1
40,59,0,1,10,1,2,1
41,0,30,0,7,2,1,1
42,0,66,0,10,2,1,1
43,0,48,0,4,1,1,2
44,0,49,0,4,2,1,1
45,17,0,1,4,2,1,1
46,0,20,0,5,1,1,2
47,80,0,1,10,2,1,1
48,66,0,1,13,1,2,1
49,0,47,0,11,1,2,1
50,20,0,1,3,1,1,2
51,0,40,0,13,2,1,1
52,59,0,1,11,1,1,2
53,0,80,0,7,2,2,0
54,0,25,0,9,2,1,1
55,69,0,1,5,2,1,1
56,16,0,1,8,1,3,0
57,0,23,0,6,2,0,2
58,0,10,0,3,3,1,0
59,0,16,0,8,2,1,1
60,0,56,0,7,1,1,2
61,80,0,1,3,1,1,2
62,11,0,1,13,2,0,2
63,80,0,1,3,4,0,0
64,0,41,0,8,3,0,1
65,0,67,0,6,2,1,1
66,14,0,1,4,2,1,1
67,0,72,0,7,2,1,1
68,21,0,1,2,2,1,1
69,0,8,0,11,3,0,1
70,0,72,0,5,2,1,1
71,74,0,1,5,2,0,2
72,2,0,1,14,3,0,1
73,0,7,0,7,1,1,2
74,19,0,1,12,2,1,1
75,80,0,1,6,2,1,1
76,0,33,0,8,1,2,1
77,22,0,1,9,1,1,2
78,0,42,0,2,2,0,2
79,74,0,1,5,1,2,1
80,6,0,1,9,2,1,1
81,0,9,0,7,2,1,1
82,0,9,0,5,1,1,2
83,0,19,0,1,2,0,2
84,18,0,1,4,2,0,2
85,0,27,0,5,1,2,1
86,26,0,1,19,1,3,0
87,9,0,1,11,3,0,1
88,0,80,0,3,1,1,2
89,0,28,0,2,1,1,2
90,47,0,1,3,1,2,1
91,72,0,1,7,2,0,2
92,77,0,1,5,3,1,0
93,0,28,0,5,1,1,2
94,0,67,0,9,1,2,1
95,18,0,1,19,2,1,1
96,3,0,1,5,1,2,1
97,0,5,0,7,1,2,1
98,2,0,1,8,4,0,0
99,19,0,1,11,2,1,1
100,12,0,1,5,1,1,2
101,59,0,1,7,1,2,1
102,47,0,1,4,1,2,1
103,80,0,1,8,1,1,2
104,7,0,1,9,2,1,1
105,0,77,0,1,1,2,1
106,0,26,0,11,2,0,2
107,80,0,1,1,1,2,1
108,0,50,0,6,2,1,1
109,80,0,1,8,2,2,0
110,80,0,1,6,1,1,2
111,28,0,1,10,2,0,2
112,0,13,0,11,1,1,2
113,80,0,1,6,1,1,2
114,26,0,1,12,3,0,1
115,9,0,1,8,1,1,2
116,51,0,1,1,1,2,1
117,39,0,1,5,1,1,2
118,0,46,0,2,3,1,0
119,0,19,0,7,3,1,0
120,0,64,0,12,3,0,1
121,0,2,0,9,1,2,1
122,0,12,0,9,1,2,1
123,0,30,0,2,3,0,1
124,0,3,0,8,3,0,1
125,19,0,1,6,2,1,1
126,36,0,1,2,1,1,2
127,0,80,0,5,1,1,2
128,16,0,1,4,1,1,2
129,0,18,0,6,1,1,2
130,69,0,1,10,1,2,1
131,0,62,0,4,1,1,2
132,20,0,1,9,1,1,2
133,0,79,0,17,1,2,1
134,80,0,1,10,1,1,2
135,0,44,0,2,2,1,1
136,0,6,0,7,1,1,2
137,0,23,0,7,1,1,2
138,80,0,1,9,1,2,1
139,80,0,1,5,1,2,1
140,14,0,1,6,2,2,0
141,0,80,0,2,2,1,1
142,0,20,0,10,2,2,0
143,13,0,1,8,1,1,2
144,0,41,0,2,1,1,2
145,0,17,0,3,1,2,1
146,0,9,0,15,1,1,2
147,2,0,1,8,1,1,2
148,0,59,0,3,1,1,2
149,40,0,1,8,1,2,1
150,48,0,1,1,1,2,1
151,0,80,0,2,1,1,2
152,0,80,0,7,3,0,1
153,0,80,0,6,2,1,1
154,0,64,0,8,1,1,2
155,0,15,0,9,1,2,1
156,52,0,1,7,1,2,1
