,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,0,18,0,11,1,2,1
1,2,0,1,4,2,1,1
2,0,50,0,7,1,2,1
3,0,80,0,3,1,2,1
4,26,0,1,4,1,1,2
5,0,80,0,6,2,1,1
6,0,80,0,4,2,0,2
7,69,0,1,4,1,1,2
8,2,0,1,6,1,1,2
9,29,0,1,4,2,0,2
10,12,0,1,4,3,0,1
11,80,0,1,4,2,2,0
12,0,6,0,9,3,0,1
13,15,0,1,1,1,2,1
14,0,69,0,8,1,2,1
15,5,0,1,13,1,2,1
16,0,20,0,9,2,1,0
17,80,0,1,4,1,2,1
18,0,80,0,5,1,1,2
19,80,0,1,3,2,2,0
20,7,0,1,1,1,1,2
21,2,0,1,6,3,0,1
22,3,0,1,10,1,1,2
23,62,0,1,6,1,1,2
24,0,72,0,8,1,1,2
25,6,0,1,14,1,2,1
26,40,0,1,4,1,1,2
27,0,2,0,12,1,1,2
28,13,0,1,5,1,1,2
29,0,20,0,8,2,0,2
30,0,34,0,7,1,2,0
31,32,0,1,10,1,1,2
32,9,0,1,11,1,1,2
33,0,2,0,12,2,0,2
34,13,0,1,11,1,3,0
35,7,0,1,7,1,2,1
36,0,14,0,14,2,0,2
37,15,0,1,11,1,1,2
38,5,0,1,7,1,1,2
39,0,10,0,9,2,1,0
40,0,19,0,13,2,1,1
41,0,80,0,7,2,1,1
42,19,0,1,10,1,1,2
43,28,0,1,10,1,1,2
44,51,0,1,9,2,1,1
45,47,0,1,5,2,1,1
46,0,19,0,6,1,2,1
47,46,0,1,11,2,1,1
48,0,12,0,16,1,3,0
49,9,0,1,9,1,1,2
50,5,0,1,3,1,1,2
51,36,0,1,5,2,0,2
52,0,53,0,7,1,2,1
53,0,80,0,5,1,2,1
54,34,0,1,11,1,1,2
55,53,0,1,8,2,1,1
56,12,0,1,10,1,3,0
57,42,0,1,11,1,1,2
58,2,0,1,7,2,1,1
59,0,5,0,7,1,2,1
60,72,0,1,3,1,1,2
61,6,0,1,9,1,1,2
62,59,0,1,8,2,0,2
63,80,0,1,3,4,0,0
64,0,51,0,5,2,1,1
65,0,77,0,5,1,1,2
66,20,0,1,4,2,1,1
67,0,53,0,7,2,1,1
68,14,0,1,2,2,1,1
69,3,0,1,11,1,1,2
70,0,80,0,5,2,2,0
71,0,80,0,3,1,1,2
72,0,37,0,7,3,0,1
73,61,0,1,6,4,0,0
74,19,0,1,8,3,1,0
75,5,0,1,7,2,1,1
76,0,79,0,8,1,2,1
77,11,0,1,10,1,1,2
78,0,42,0,2,2,0,2
79,70,0,1,4,1,2,1
80,0,21,0,5,2,0,2
81,0,22,0,6,1,1,2
82,8,0,1,7,3,1,0
83,0,8,0,6,1,1,2
84,19,0,1,4,1,1,2
85,5,0,1,10,3,0,1
86,80,0,1,21,1,2,1
87,11,0,1,11,2,0,2
88,4,0,1,4,1,2,1
89,0,25,0,8,2,1,1
90,15,0,1,4,1,1,2
91,8,0,1,7,2,1,1
92,78,0,1,4,3,0,1
93,0,38,0,3,1,1,2
94,0,24,0,14,2,1,1
95,80,0,1,12,1,1,2
96,13,0,1,3,1,2,1
97,0,46,0,13,1,2,0
98,0,17,0,11,1,1,2
99,2,0,1,11,1,1,2
100,29,0,1,4,1,1,2
101,0,15,0,8,1,2,1
102,28,0,1,3,1,1,2
103,80,0,1,8,1,2,1
104,21,0,1,5,2,1,1
105,0,77,0,1,2,2,0
106,19,0,1,8,2,1,1
107,80,0,1,1,1,2,1
108,0,40,0,7,2,2,0
109,66,0,1,5,2,2,0
110,11,0,1,17,1,2,1
111,7,0,1,10,2,1,1
112,66,0,1,6,2,1,1
113,2,0,1,13,2,0,2
114,14,0,1,12,3,0,1
115,0,69,0,7,1,1,2
116,52,0,1,1,1,2,1
117,44,0,1,5,1,1,2
118,2,0,1,7,2,1,1
119,0,4,0,9,3,1,0
120,0,66,0,6,3,0,1
121,0,3,0,8,2,2,0
122,45,0,1,9,1,1,2
123,0,17,0,5,1,1,2
124,3,0,1,8,2,1,1
125,54,0,1,5,2,1,1
126,0,5,0,6,1,2,1
127,0,80,0,5,1,1,2
128,11,0,1,4,2,2,0
129,0,43,0,8,2,1,1
130,80,0,1,8,1,1,2
131,0,62,0,4,1,1,2
132,16,0,1,10,1,2,1
133,53,0,1,6,2,0,2
134,44,0,1,9,2,1,1
135,0,44,0,2,2,1,1
136,25,0,1,7,1,2,0
137,80,0,1,8,1,2,1
138,80,0,1,8,2,1,1
139,80,0,1,5,1,2,1
140,46,0,1,13,1,1,2
141,0,80,0,2,2,2,0
142,0,20,0,13,2,0,2
143,41,0,1,9,3,1,0
144,0,12,0,5,2,0,2
145,0,17,0,3,1,2,1
146,0,49,0,5,1,2,1
147,0,49,0,5,2,1,1
148,3,0,1,9,1,1,2
149,0,80,0,14,2,1,1
150,48,0,1,1,1,2,1
151,0,80,0,8,1,1,2
152,0,80,0,9,3,0,1
153,13,0,1,7,1,1,2
154,0,15,0,13,1,1,2
155,0,4,0,9,1,1,2
156,4,0,1,7,1,3,0
157,0,80,0,6,1,1,2
158,0,8,0,7,1,2,1
159,0,57,0,7,1,3,0
160,0,17,0,6,2,0,2
161,41,0,1,2,1,3,0
162,2,0,1,6,1,1,2
163,0,23,0,5,2,1,1
164,3,0,1,6,1,1,2
165,0,80,0,7,2,0,2
166,32,0,1,7,1,3,0
167,0,48,0,14,1,1,2
168,13,0,1,7,1,1,2
169,18,0,1,9,2,1,1
170,37,0,1,7,1,2,1
171,59,0,1,4,1,2,1
172,0,53,0,3,2,1,1
173,0,3,0,6,1,2,1
174,0,7,0,10,1,2,1
175,41,0,1,5,2,2,0
176,47,0,1,5,1,2,1
177,0,44,0,10,1,1,2
178,26,0,1,13,1,2,1
179,15,0,1,7,1,1,2
180,14,0,1,4,1,2,1
181,20,0,1,14,2,1,1
182,10,0,1,10,2,2,0
183,0,41,0,13,2,1,1
184,0,68,0,7,1,1,2
185,14,0,1,17,1,1,2
186,4,0,1,4,2,0,2
187,53,0,1,9,1,1,2
188,80,0,1,5,2,1,1
189,8,0,1,3,1,1,2
190,0,53,0,12,1,1,2
191,65,0,1,3,1,3,0
192,0,20,0,4,1,2,1
193,15,0,1,7,1,1,2
194,80,0,1,15,1,1,2
195,15,0,1,6,1,2,1
196,0,11,0,5,1,2,1
197,0,80,0,7,2,1,1
198,0,54,0,12,3,0,1
199,80,0,1,5,2,1,1
200,54,0,1,5,2,0,2
201,2,0,1,4,2,0,2
202,0,68,0,6,1,2,1
203,0,18,0,8,2,1,1
204,57,0,1,7,3,1,0
205,0,8,0,3,1,1,2
206,0,56,0,7,1,1,2
207,0,74,0,2,2,1,1
208,28,0,1,3,1,1,2
209,15,0,1,3,1,2,1
210,49,0,1,13,1,1,2
211,80,0,1,6,2,1,1
212,2,0,1,6,2,0,2
213,0,69,0,7,2,1,1
214,0,20,0,3,1,2,1
215,0,80,0,2,2,1,1
216,0,54,0,6,1,2,0
217,0,64,0,8,1,1,2
218,6,0,1,6,2,0,2
219,2,0,1,10,3,0,1
220,80,0,1,2,2,1,1
221,0,12,0,13,3,0,1
222,0,80,0,1,1,2,1
223,57,0,1,9,1,1,2
224,2,0,1,2,1,1,2
225,9,0,1,13,2,1,1
226,31,0,1,6,1,1,2
227,80,0,1,5,1,2,1
228,0,20,0,14,2,1,1
229,80,0,1,6,2,1,1
230,80,0,1,3,1,3,0
231,0,75,0,12,2,1,1
232,0,15,0,2,1,2,1
233,28,0,1,5,1,1,2
234,56,0,1,6,3,1,0
235,0,22,0,6,2,0,2
236,0,11,0,13,3,0,1
237,80,0,1,5,1,2,1
238,80,0,1,5,2,1,1
239,0,80,0,4,1,2,1
240,52,0,1,5,2,0,2
241,0,80,0,3,2,1,1
242,0,80,0,2,1,2,1
243,60,0,1,3,1,2,1
244,21,0,1,8,1,1,2
245,0,3,0,11,1,1,2
246,0,2,0,13,4,0,0
247,36,0,1,8,1,1,2
248,0,14,0,6,2,1,1
249,63,0,1,8,1,1,2
250,80,0,1,4,1,1,2
251,0,2,0,10,2,1,1
252,0,9,0,11,2,1,1
253,71,0,1,2,1,1,2
254,0,14,0,6,2,1,1
255,0,45,0,3,3,1,0
256,40,0,1,5,1,3,0
257,74,0,1,1,1,2,1
258,11,0,1,10,2,1,1
259,38,0,1,9,3,1,0
260,51,0,1,5,3,0,1
261,0,67,0,7,3,0,1
262,2,0,1,9,1,1,2
263,0,30,0,9,2,1,0
264,0,39,0,5,2,0,2
265,80,0,1,5,1,1,2
266,39,0,1,2,2,1,1
267,0,80,0,4,1,2,1
268,0,80,0,12,3,1,0
269,9,0,1,10,2,2,0
270,2,0,1,13,1,2,1
271,0,5,0,8,2,1,1
272,7,0,1,4,1,2,1
273,0,58,0,2,3,0,1
274,0,2,0,8,2,1,1
275,80,0,1,6,2,0,2
276,0,57,0,4,3,0,1
277,0,27,0,2,1,1,2
278,54,0,1,11,1,2,1
279,0,63,0,9,1,2,1
280,2,0,1,9,1,1,2
281,29,0,1,5,2,1,1
282,0,6,0,6,1,2,1
283,13,0,1,4,1,1,2
284,16,0,1,7,1,1,2
285,0,80,0,3,1,1,2
286,0,4,0,4,2,1,1
287,80,0,1,5,2,2,0
288,44,0,1,2,1,2,1
289,0,77,0,10,1,1,2
290,0,18,0,4,3,1,0
291,20,0,1,10,3,0,1
292,0,28,0,5,2,1,1
293,14,0,1,9,1,2,1
294,12,0,1,6,2,0,2
295,59,0,1,4,2,1,1
296,14,0,1,11,1,1,2
297,12,0,1,4,1,1,2
298,0,14,0,8,2,1,1
299,3,0,1,11,3,1,0
300,60,0,1,3,3,1,0
301,9,0,1,5,1,2,1
302,16,0,1,5,1,2,1
303,0,64,0,10,2,1,1
304,0,79,0,3,2,1,1
305,0,28,0,7,2,0,2
306,15,0,1,6,1,1,2
307,77,0,1,9,1,1,2
308,10,0,1,7,1,2,1
309,15,0,1,4,1,2,1
310,0,35,0,4,1,2,1
311,0,54,0,9,1,2,1
312,0,76,0,7,1,2,1
313,46,0,1,9,2,1,1
314,80,0,1,13,2,1,1
315,9,0,1,8,1,1,2
316,80,0,1,9,2,1,1
317,4,0,1,11,1,2,1
318,0,4,0,11,2,0,2
319,7,0,1,5,2,1,1
320,0,68,0,9,1,1,2
321,32,0,1,4,1,1,2
322,0,3,0,6,1,1,2
323,53,0,1,8,1,1,2
324,0,53,0,5,2,0,2
325,12,0,1,7,2,1,1
326,80,0,1,6,1,1,2
327,0,43,0,9,1,1,2
328,0,12,0,6,2,1,1
329,5,0,1,11,2,1,1
330,0,80,0,3,1,1,2
331,54,0,1,6,2,2,0
332,0,80,0,0,1,2,1
333,10,0,1,14,1,1,2
334,30,0,1,11,1,1,2
335,61,0,1,9,2,2,0
336,0,7,0,7,1,1,2
337,3,0,1,6,2,2,0
338,0,20,0,9,1,1,2
339,0,47,0,1,3,0,1
340,76,0,1,1,1,1,2
341,52,0,1,9,2,1,1
342,2,0,1,12,3,0,1
343,4,0,1,9,1,3,0
344,0,66,0,2,3,1,0
345,10,0,1,12,1,2,1
346,32,0,1,9,2,0,2
347,57,0,1,5,1,2,1
348,6,0,1,8,2,2,0
349,63,0,1,3,2,2,0
350,21,0,1,10,1,2,1
351,2,0,1,18,1,2,1
352,0,19,0,14,1,1,2
