,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,0,80,0,74,1,2,1
1,80,80,0,100,0,0,0
2,80,80,0,100,0,0,0
3,42,80,0,100,1,1,0
4,0,80,0,4,1,2,1
5,56,80,0,100,1,1,0
6,68,80,0,100,1,0,0
7,80,80,0,100,0,0,0
8,78,80,0,100,0,0,0
9,80,80,1,100,0,0,0
10,58,80,0,100,0,0,0
11,36,80,0,100,1,0,0
12,71,80,0,100,0,0,0
13,80,80,0,100,0,0,0
14,80,80,0,100,0,0,0
15,80,80,0,100,0,0,0
16,70,80,0,100,0,0,0
17,80,80,1,100,0,0,0
18,0,80,0,11,1,1,2
19,75,80,0,100,1,0,0
20,74,80,0,100,0,0,0
21,13,80,0,100,1,1,1
22,65,80,0,100,1,0,0
23,80,80,0,100,0,0,0
24,75,80,0,100,0,0,0
25,73,80,0,100,0,0,0
26,61,80,0,100,1,0,0
27,50,80,0,100,1,0,0
28,80,80,1,100,0,0,0
29,67,80,0,100,1,0,0
30,70,80,0,100,1,0,0
31,80,80,0,100,0,0,0
32,24,80,0,100,1,1,1
33,61,80,0,100,0,0,0
34,68,80,0,100,0,0,0
35,80,80,1,100,0,0,0
36,80,80,0,100,0,0,0
37,54,80,0,100,1,0,0
38,0,80,0,15,1,1,2
39,75,80,0,100,0,0,0
40,0,80,0,1,1,2,1
41,0,80,0,63,1,1,2
42,80,80,0,100,0,0,0
43,73,80,0,100,0,0,0
44,80,80,0,100,0,0,0
45,61,80,0,100,1,0,0
46,27,80,0,100,1,1,1
47,80,80,0,100,0,0,0
48,61,80,0,100,0,0,0
49,67,80,0,100,0,0,0
50,66,80,0,100,0,0,0
51,80,80,0,100,0,0,0
52,71,80,0,100,0,0,0
53,28,80,0,100,1,1,1
54,62,80,0,100,0,0,0
55,41,80,0,100,1,1,0
56,26,80,0,100,1,1,0
57,74,80,0,100,0,0,0
58,0,80,0,74,2,1,1
59,0,80,0,74,1,1,2
60,80,80,0,100,0,0,0
61,80,80,0,100,0,0,0
62,80,80,0,100,0,0,0
63,77,80,0,100,0,0,0
64,28,80,0,100,2,1,0
65,80,80,0,100,0,0,0
66,77,80,0,100,0,0,0
67,2,80,0,100,1,2,1
68,65,80,0,100,0,0,0
69,80,80,1,100,0,0,0
70,66,80,0,100,0,0,0
71,80,80,0,100,0,0,0
72,80,80,1,100,0,0,0
73,4,80,0,100,1,2,1
74,77,80,0,100,0,0,0
75,25,80,0,100,1,1,1
76,80,80,0,100,0,0,0
77,36,80,0,100,2,0,0
78,69,80,0,100,0,0,0
79,0,80,0,20,1,1,2
80,62,80,0,100,0,0,0
81,31,80,0,100,1,1,1
82,80,80,0,100,0,0,0
83,80,80,1,100,0,0,0
84,74,80,0,100,0,0,0
85,41,80,0,100,1,1,0
86,69,80,0,100,0,0,0
87,28,80,0,100,1,2,0
88,69,80,0,100,1,0,0
89,80,80,0,100,0,0,0
90,64,80,0,100,1,0,0
91,79,80,0,100,0,0,0
92,80,80,0,100,0,0,0
93,76,80,0,100,0,0,0
94,80,80,0,100,0,0,0
95,42,80,0,100,1,1,0
96,49,80,0,100,1,1,0
97,0,80,0,42,1,1,2
98,80,80,1,100,0,0,0
99,66,80,0,100,0,0,0
100,80,80,1,100,0,0,0
101,69,80,0,100,0,0,0
102,80,80,0,100,0,0,0
103,7,80,0,100,1,2,0
104,0,80,0,22,1,2,1
105,31,80,0,100,2,1,0
106,80,80,0,100,0,0,0
107,80,80,0,100,0,0,0
108,80,80,1,100,0,0,0
109,80,80,0,100,0,0,0
110,58,80,0,100,0,0,0
111,80,80,0,100,0,0,0
112,0,80,0,19,1,1,2
113,80,80,0,100,0,0,0
114,75,80,0,100,0,0,0
115,0,80,0,8,1,1,2
116,60,80,0,100,1,1,0
117,57,80,0,100,0,0,0
118,78,80,0,100,0,0,0
119,0,80,0,77,1,1,2
120,71,80,0,100,0,0,0
121,79,80,0,100,0,0,0
122,66,80,0,100,0,0,0
123,74,80,0,100,0,0,0
124,79,80,0,100,0,0,0
125,72,80,0,100,1,0,0
126,76,80,0,100,0,0,0
127,80,80,0,100,0,0,0
128,17,80,0,100,1,1,1
129,76,80,0,100,0,0,0
130,57,80,0,100,0,0,0
131,56,80,0,100,0,0,0
132,25,80,0,100,1,2,0
133,68,80,0,100,0,0,0
134,0,80,0,61,1,2,1
135,60,80,0,100,0,0,0
136,80,80,0,100,0,0,0
137,64,80,0,100,0,0,0
138,0,80,0,9,2,2,0
139,80,80,0,100,0,0,0
140,70,80,0,100,0,0,0
141,0,80,0,25,1,3,0
142,80,80,0,100,0,0,0
143,79,80,0,100,0,0,0
