,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,73,0,1,19,2,0,2
1,54,0,1,8,1,1,2
2,80,0,1,6,2,1,1
3,80,0,1,13,1,1,2
4,77,0,1,8,1,1,2
5,74,0,1,14,2,1,1
6,80,0,1,3,1,1,2
7,80,0,1,9,2,1,1
8,80,0,1,6,1,1,2
9,69,0,1,3,1,3,0
10,80,0,1,4,1,2,1
11,80,0,1,8,1,1,2
12,61,0,1,19,1,1,2
13,80,0,1,27,1,1,2
14,80,0,1,17,1,2,1
15,45,0,1,13,1,2,1
16,80,0,1,19,2,0,2
17,69,0,1,33,1,2,1
18,80,0,1,5,2,0,2
19,77,0,1,6,1,2,1
20,73,0,1,6,1,3,0
21,71,0,1,4,1,2,1
22,23,0,1,4,3,1,0
23,80,0,1,5,1,2,1
24,80,0,1,4,1,1,2
25,80,0,1,7,1,2,1
26,80,0,1,2,2,0,2
27,80,0,1,12,2,2,0
28,80,0,1,14,1,2,1
29,76,0,1,7,1,1,2
30,19,0,1,7,3,1,0
31,80,0,1,35,1,1,2
32,80,0,1,2,1,1,2
33,29,0,1,1,1,3,0
34,33,0,1,17,1,2,1
35,49,0,1,6,1,2,1
36,4,0,1,8,2,1,1
37,20,0,1,12,1,1,2
38,70,0,1,13,1,2,1
39,80,0,1,7,1,1,2
40,78,0,1,9,1,1,2
41,80,0,1,2,1,1,2
42,53,0,1,9,1,1,2
43,29,0,1,23,1,1,2
44,24,0,1,13,2,1,1
45,68,0,1,9,1,1,2
46,80,0,1,7,1,2,1
47,60,0,1,12,1,1,2
48,80,0,1,5,1,2,1
49,80,0,1,5,2,2,0
50,80,0,1,15,1,2,1
51,80,0,1,5,1,1,2
52,80,0,1,9,1,1,2
53,80,0,1,9,2,1,1
54,21,0,1,2,1,2,1
55,78,0,1,7,1,2,1
56,80,0,1,15,2,1,1
57,44,0,1,2,3,1,0
58,80,0,1,5,1,3,0
59,77,0,1,3,2,2,0
60,80,0,1,9,1,2,1
61,80,0,1,8,1,1,2
62,80,0,1,26,1,1,2
63,80,0,1,7,1,1,2
64,80,0,1,8,2,1,1
65,59,0,1,7,1,2,1
66,80,0,1,13,1,1,2
67,75,0,1,14,2,2,0
68,80,0,1,8,3,0,1
69,17,0,1,8,2,0,2
70,37,0,1,8,1,2,1
71,80,0,1,11,1,1,2
72,80,0,1,7,1,1,2
73,53,0,1,3,1,2,1
74,80,0,1,10,1,1,2
75,38,0,1,8,2,1,1
