,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,78,0,1,18,3,0,1
1,80,0,1,6,3,0,1
2,79,0,1,11,1,1,2
3,61,0,1,5,2,1,1
4,46,0,1,14,2,1,1
5,80,0,1,6,2,1,1
6,80,0,1,8,1,2,1
7,67,0,1,9,2,1,1
8,80,0,1,6,1,1,2
9,61,0,1,3,1,3,0
10,80,0,1,4,1,2,1
11,80,0,1,8,1,1,2
12,22,0,1,19,1,1,2
13,80,0,1,12,1,1,2
14,80,0,1,7,2,1,1
15,80,0,1,6,1,2,1
16,52,0,1,5,1,2,1
17,80,0,1,14,1,1,2
18,63,0,1,13,1,2,1
19,80,0,1,5,2,0,2
20,80,0,1,6,1,2,1
21,77,0,1,6,1,3,0
22,71,0,1,4,1,2,1
23,23,0,1,4,3,1,0
24,80,0,1,5,1,2,1
25,48,0,1,5,1,1,2
26,79,0,1,4,1,1,2
27,80,0,1,5,2,2,0
28,6,0,1,7,2,2,0
29,80,0,1,17,1,1,2
30,71,0,1,8,3,1,0
31,68,0,1,7,1,1,2
32,80,0,1,8,1,2,1
33,80,0,1,7,2,2,0
34,78,0,1,2,1,2,1
35,71,0,1,7,1,2,1
36,80,0,1,5,1,2,1
37,43,0,1,14,1,2,1
38,77,0,1,6,2,1,1
39,71,0,1,18,1,2,1
40,80,0,1,5,2,0,2
41,73,0,1,4,1,1,2
42,80,0,1,4,1,2,1
43,79,0,1,11,1,1,2
44,38,0,1,6,1,2,1
45,80,0,1,7,1,1,2
46,52,0,1,5,2,0,2
47,80,0,1,3,1,2,1
48,80,0,1,8,2,2,0
49,70,0,1,9,2,1,1
50,80,0,1,17,2,1,1
51,80,0,1,4,2,2,0
52,69,0,1,6,2,1,1
53,80,0,1,10,1,2,1
54,80,0,1,7,2,2,0
55,26,0,1,3,1,1,2
56,80,0,1,19,1,1,2
57,75,0,1,9,1,1,2
58,35,0,1,7,2,2,0
59,80,0,1,4,1,1,2
60,77,0,1,7,1,1,2
61,80,0,1,21,1,1,2
62,80,0,1,5,1,1,2
63,80,0,1,4,1,1,2
64,80,0,1,13,1,1,2
65,8,0,1,4,1,1,2
66,80,0,1,4,2,2,0
67,70,0,1,8,1,1,2
68,80,0,1,12,1,1,2
69,37,0,1,5,1,1,2
70,72,0,1,7,1,1,2
71,10,0,1,9,2,2,0
72,80,0,1,4,1,2,1
73,75,0,1,5,1,2,1
74,80,0,1,4,1,1,2
75,80,0,1,4,2,1,1
76,80,0,1,11,1,2,1
77,80,0,1,3,1,1,2
78,18,0,1,6,1,2,1
79,52,0,1,10,2,2,0
80,80,0,1,7,1,2,1
81,80,0,1,11,2,1,1
82,24,0,1,3,1,2,1
83,75,0,1,10,1,3,0
84,80,0,1,10,1,2,1
85,80,0,1,3,1,1,2
86,78,0,1,5,1,1,2
87,80,0,1,7,1,1,2
88,37,0,1,8,1,1,2
89,80,0,1,2,1,3,0
90,33,0,1,5,1,3,0
91,61,0,1,10,1,2,1
92,80,0,1,6,1,1,2
93,60,0,1,9,1,1,2
94,80,0,1,7,2,2,0
95,57,0,1,10,2,0,2
96,80,0,1,6,2,2,0
97,80,0,1,10,2,0,2
98,79,0,1,5,1,2,1
99,80,0,1,9,2,1,1
100,80,0,1,11,1,1,2
101,80,0,1,14,1,3,0
102,80,0,1,9,1,1,2
103,77,0,1,9,1,1,2
104,80,0,1,10,2,1,1
105,80,0,1,6,1,2,1
106,80,0,1,3,1,1,2
107,79,0,1,11,1,1,2
108,23,0,1,13,1,2,1
109,80,0,1,9,1,2,1
110,57,0,1,9,2,2,0
111,80,0,1,18,1,1,2
112,80,0,1,9,1,2,0
113,49,0,1,7,1,1,2
114,48,0,1,18,2,1,1
115,80,0,1,7,3,1,0
116,80,0,1,5,2,1,1
117,80,0,1,13,2,1,1
118,80,0,1,4,1,1,2
119,80,0,1,17,1,2,1
120,23,0,1,3,1,3,0
121,78,0,1,4,1,2,1
122,80,0,1,4,1,2,1
123,80,0,1,9,1,1,2
124,80,0,1,12,2,1,1
