,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,73,0,1,19,2,0,2
1,64,0,1,7,1,2,1
2,27,0,1,5,2,2,0
3,61,0,1,5,2,1,1
4,80,0,1,13,2,0,2
5,80,0,1,5,1,1,2
6,50,0,1,15,1,1,2
7,54,0,1,15,2,2,0
8,80,0,1,16,2,0,2
9,80,0,1,2,1,1,2
10,80,0,1,11,2,1,1
11,80,0,1,5,2,0,2
12,77,0,1,5,3,0,0
13,80,0,1,4,1,1,2
14,54,0,1,4,2,2,0
15,49,0,1,4,2,1,1
16,21,0,1,5,1,1,2
17,73,0,1,5,1,1,2
18,80,0,1,12,1,1,2
19,65,0,1,22,1,1,2
20,80,0,1,9,1,1,2
21,80,0,1,7,1,1,2
22,76,0,1,9,1,2,1
23,80,0,1,6,1,3,0
24,54,0,1,13,1,2,1
25,78,0,1,15,2,1,1
26,48,0,1,7,1,2,1
27,80,0,1,3,1,2,1
28,80,0,1,6,1,2,1
29,80,0,1,10,1,1,2
30,80,0,1,30,1,3,0
31,42,0,1,11,1,3,0
32,79,0,1,9,2,1,1
33,80,0,1,10,1,2,1
34,80,0,1,6,1,1,2
35,80,0,1,11,1,2,1
36,78,0,1,7,1,1,2
37,31,0,1,13,3,0,1
38,80,0,1,10,2,1,1
39,80,0,1,15,2,1,1
40,21,0,1,27,1,3,0
41,80,0,1,3,1,1,2
42,75,0,1,5,3,0,1
43,80,0,1,12,2,1,0
44,80,0,1,8,1,2,1
45,73,0,1,7,2,1,1
46,22,0,1,16,1,1,2
47,30,0,1,7,1,3,0
48,51,0,1,7,2,0,2
49,80,0,1,7,2,0,2
50,39,0,1,3,1,2,1
51,80,0,1,9,1,1,2
52,70,0,1,6,1,2,1
53,80,0,1,11,3,0,1
54,52,0,1,6,1,1,2
55,75,0,1,18,2,1,1
56,80,0,1,16,1,1,2
57,80,0,1,5,1,2,1
58,50,0,1,15,1,2,1
59,80,0,1,5,1,2,1
60,68,0,1,8,1,2,1
61,69,0,1,4,1,2,1
62,80,0,1,13,2,1,0
63,80,0,1,4,1,1,2
64,80,0,1,10,1,1,2
65,61,0,1,9,1,2,1
66,80,0,1,9,1,1,2
67,52,0,1,2,1,1,2
68,70,0,1,6,1,2,1
69,80,0,1,8,2,1,1
70,77,0,1,3,1,1,2
71,38,0,1,4,1,2,1
72,80,0,1,7,2,0,2
73,79,0,1,5,1,1,2
74,80,0,1,4,1,1,2
75,80,0,1,7,1,1,2
76,48,0,1,16,1,1,2
77,80,0,1,4,1,2,1
78,80,0,1,8,2,1,1
79,80,0,1,12,2,2,0
80,80,0,1,11,1,2,1
81,80,0,1,15,1,2,1
82,80,0,1,18,3,1,0
83,79,0,1,3,1,1,2
84,78,0,1,5,1,2,1
85,80,0,1,7,1,1,2
86,52,0,1,5,1,1,2
87,51,0,1,14,1,2,1
88,80,0,1,12,1,2,1
89,80,0,1,7,2,1,0
90,42,0,1,5,1,1,2
91,80,0,1,8,1,1,2
92,80,0,1,6,1,1,2
93,77,0,1,4,2,2,0
94,80,0,1,10,1,1,2
95,80,0,1,8,3,0,1
96,20,0,1,7,2,2,0
97,80,0,1,8,2,2,0
98,80,0,1,9,1,1,2
99,24,0,1,5,1,1,2
100,59,0,1,9,2,0,2
101,80,0,1,8,1,2,1
102,80,0,1,9,2,1,1
103,80,0,1,4,1,1,2
104,29,0,1,3,1,1,2
105,57,0,1,3,2,1,1
106,80,0,1,4,2,1,1
107,80,0,1,13,1,2,1
108,80,0,1,5,1,2,1
109,80,0,1,7,2,1,1
110,74,0,1,17,1,3,0
111,80,0,1,19,1,2,1
112,80,0,1,9,2,2,0
113,80,0,1,9,1,2,1
114,80,0,1,18,1,2,1
115,80,0,1,3,2,1,1
116,65,0,1,14,1,1,2
117,65,0,1,16,1,2,1
118,80,0,1,8,1,2,1
119,80,0,1,6,1,1,2
120,22,0,1,10,2,0,2
121,50,0,1,15,1,2,1
122,80,0,1,11,1,1,2
123,80,0,1,22,1,1,2
124,74,0,1,13,2,1,1
125,80,0,1,13,1,1,2
126,80,0,1,4,1,1,2
127,80,0,1,13,3,1,0
128,80,0,1,5,2,1,1
129,80,0,1,15,1,1,2
130,60,0,1,5,2,1,1
131,33,0,1,5,1,1,2
132,26,0,1,9,1,1,2
133,80,0,1,21,2,2,0
134,80,0,1,11,1,2,1
135,80,0,1,9,1,3,0
136,56,0,1,12,1,1,2
137,80,0,1,12,1,1,2
138,6,0,1,4,1,2,1
139,41,0,1,6,1,1,2
140,80,0,1,7,1,1,2
141,80,0,1,14,2,0,2
142,80,0,1,1,2,2,0
143,80,0,1,6,1,1,2
144,79,0,1,15,2,1,1
145,66,0,1,8,2,1,1
146,80,0,1,12,1,2,1
147,80,0,1,10,2,1,1
148,23,0,1,23,2,2,0
149,80,0,1,7,2,0,2
150,79,0,1,4,2,0,2
151,80,0,1,12,1,3,0
152,80,0,1,16,1,1,2
153,9,0,1,10,1,2,1
154,80,0,1,6,1,2,1
155,80,0,1,8,2,1,1
156,55,0,1,7,1,1,2
157,80,0,1,7,2,1,1
158,80,0,1,12,3,0,1
159,65,0,1,13,1,1,2
160,80,0,1,18,1,1,2
161,80,0,1,4,1,1,2
162,80,0,1,16,2,0,2
163,33,0,1,13,2,1,1
164,50,0,1,5,1,1,2
165,80,0,1,4,1,3,0
166,27,0,1,6,1,1,2
167,80,0,1,11,1,2,1
168,80,0,1,6,2,1,1
169,80,0,1,20,2,1,1
170,80,0,1,4,2,1,1
171,80,0,1,15,3,1,0
172,80,0,1,9,1,2,1
173,73,0,1,6,2,1,1
174,80,0,1,11,1,2,0
175,80,0,1,12,3,0,1
176,44,0,1,8,1,2,1
177,49,0,1,10,1,2,1
178,73,0,1,8,1,2,1
179,80,0,1,21,3,0,1
180,67,0,1,12,1,2,1
181,24,0,1,10,1,2,1
182,80,0,1,8,1,2,1
183,80,0,1,7,2,1,1
184,80,0,1,4,1,2,1
185,46,0,1,3,2,1,1
186,67,0,1,14,1,1,2
187,80,0,1,9,1,2,1
188,80,0,1,4,1,1,2
189,80,0,1,5,1,2,1
190,80,0,1,14,2,2,0
191,80,0,1,6,2,2,0
192,53,0,1,8,1,1,2
193,80,0,1,3,1,2,1
194,80,0,1,7,2,0,2
195,80,0,1,15,1,2,1
196,76,0,1,10,1,1,2
197,77,0,1,8,2,2,0
198,73,0,1,4,1,2,1
199,80,0,1,16,1,1,2
200,80,0,1,20,1,1,2
201,80,0,1,4,1,2,1
202,48,0,1,10,1,1,2
203,80,0,1,5,3,1,0
204,80,0,1,21,1,3,0
205,80,0,1,8,3,1,0
206,48,0,1,11,2,1,1
207,19,0,1,3,2,1,1
208,41,0,1,12,2,1,1
209,25,0,1,14,1,1,2
210,80,0,1,15,3,0,1
211,80,0,1,15,2,1,1
212,80,0,1,9,1,1,2
213,72,0,1,8,3,1,0
214,80,0,1,12,2,2,0
215,47,0,1,16,1,1,2
216,5,0,1,17,2,1,1
217,80,0,1,17,1,1,2
218,63,0,1,7,2,0,2
219,52,0,1,5,2,2,0
220,80,0,1,4,1,2,1
221,80,0,1,5,1,1,2
222,66,0,1,8,1,3,0
223,80,0,1,4,1,1,2
224,53,0,1,10,1,1,2
225,66,0,1,4,1,2,1
