,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,80,0,1,24,3,1,0
1,71,0,1,9,1,1,2
2,53,0,1,17,1,1,2
3,65,0,1,13,1,2,1
4,80,0,1,11,1,2,1
5,80,0,1,9,3,0,1
6,80,0,1,11,2,2,0
7,75,0,1,7,2,1,1
8,79,0,1,11,1,1,2
9,80,0,1,9,1,1,2
10,80,0,1,11,1,1,1
11,80,0,1,4,1,1,2
12,80,0,1,8,1,2,1
13,30,0,1,5,1,1,2
14,80,0,1,3,1,2,1
15,80,0,1,7,1,1,2
16,80,0,1,15,1,1,2
17,72,0,1,7,1,3,0
18,80,0,1,4,1,1,2
19,76,0,1,7,1,2,1
20,60,0,1,9,1,2,1
21,78,0,1,8,1,2,0
22,55,0,1,5,1,2,1
23,80,0,1,13,1,2,1
24,48,0,1,7,2,1,1
25,80,0,1,7,1,3,0
26,79,0,1,8,1,1,2
27,80,0,1,21,2,0,2
28,80,0,1,12,2,1,1
29,41,0,1,10,1,3,0
30,64,0,1,10,2,1,1
31,80,0,1,5,2,1,1
32,68,0,1,12,1,2,1
33,80,0,1,9,3,1,0
34,80,0,1,12,1,2,1
35,80,0,1,25,3,0,0
36,62,0,1,9,2,0,2
37,80,0,1,7,1,2,1
38,80,0,1,10,1,1,2
39,80,0,1,12,1,1,2
40,60,0,1,5,2,1,1
41,80,0,1,10,1,1,2
42,80,0,1,8,1,2,1
43,22,0,1,14,1,2,1
44,80,0,1,4,1,1,2
45,80,0,1,13,1,2,1
46,77,0,1,15,2,1,1
47,79,0,1,3,1,1,2
48,62,0,1,18,1,1,1
49,80,0,1,33,2,0,2
50,80,0,1,20,3,0,1
51,39,0,1,68,1,1,2
52,80,0,1,19,1,2,1
53,28,0,1,10,2,1,1
54,34,0,1,11,1,1,2
55,80,0,1,9,2,1,1
56,80,0,1,2,2,1,1
57,76,0,1,16,2,1,1
58,80,0,1,11,1,1,2
59,80,0,1,4,1,1,2
60,80,0,1,18,2,2,0
61,38,0,1,17,1,2,1
62,20,0,1,9,2,0,2
63,80,0,1,9,2,1,1
64,52,0,1,2,1,2,1
65,80,0,1,8,2,2,0
66,76,0,1,7,1,2,1
67,68,0,1,8,2,1,1
68,80,0,1,9,3,1,0
69,80,0,1,20,4,0,0
70,80,0,1,5,2,1,1
71,35,0,1,3,1,2,1
72,74,0,1,4,1,2,1
73,80,0,1,8,2,1,1
74,80,0,1,10,2,0,2
75,80,0,1,15,3,1,0
76,80,0,1,12,1,1,2
77,72,0,1,14,2,2,0
78,80,0,1,5,2,1,1
79,80,0,1,12,1,1,2
80,80,0,1,3,1,1,2
81,38,0,1,1,1,2,1
82,27,0,1,4,2,1,1
83,62,0,1,4,2,1,1
84,80,0,1,13,1,1,2
85,80,0,1,9,1,2,1
86,47,0,1,7,2,0,2
87,79,0,1,24,1,2,1
88,26,0,1,9,2,1,1
89,45,0,1,14,2,0,2
90,74,0,1,12,2,1,1
91,80,0,1,10,2,1,1
92,80,0,1,4,1,3,0
93,80,0,1,8,2,0,2
94,68,0,1,3,2,1,1
95,80,0,1,6,2,1,1
96,80,0,1,15,1,1,2
97,43,0,1,13,1,1,2
98,80,0,1,15,1,1,2
99,69,0,1,18,1,3,0
100,80,0,1,10,1,2,1
101,66,0,1,13,2,1,1
102,72,0,1,6,2,1,1
103,31,0,1,12,2,0,2
104,80,0,1,13,1,2,1
105,80,0,1,5,1,2,1
106,69,0,1,9,2,1,1
107,80,0,1,8,1,2,1
108,80,0,1,11,1,1,2
109,80,0,1,32,3,0,1
110,80,0,1,6,1,1,2
111,80,0,1,23,1,1,1
112,80,0,1,4,1,2,1
113,80,0,1,24,1,1,2
114,78,0,1,26,2,0,2
115,80,0,1,7,1,1,2
116,80,0,1,12,2,1,1
117,45,0,1,5,2,1,1
118,80,0,1,8,1,1,2
119,80,0,1,8,1,1,2
120,55,0,1,18,3,1,0
121,76,0,1,17,2,2,0
122,80,0,1,3,2,1,1
123,80,0,1,8,1,1,2
124,80,0,1,4,1,1,2
125,80,0,1,8,2,1,1
126,74,0,1,7,1,2,1
127,80,0,1,15,2,0,2
128,74,0,1,3,2,1,1
129,80,0,1,7,1,2,1
130,80,0,1,14,2,2,0
131,48,0,1,15,1,1,2
132,80,0,1,12,2,2,0
133,71,0,1,2,1,1,2
134,71,0,1,4,1,3,0
