,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,15,16,0,100,1,2,0
1,37,80,0,100,1,1,0
2,73,80,0,100,1,0,0
3,80,80,0,100,0,0,0
4,80,80,1,100,0,0,0
5,80,80,0,100,0,0,0
6,80,80,0,100,0,0,0
7,0,66,0,41,1,1,2
8,0,25,0,80,2,2,0
9,80,72,1,100,0,0,0
10,80,75,1,100,1,0,0
11,73,80,0,100,0,0,0
12,52,80,0,100,1,0,0
13,80,0,1,24,2,1,1
14,75,80,0,100,0,0,0
15,80,0,1,92,1,1,2
16,31,80,0,100,1,2,0
17,77,69,1,100,0,0,0
18,32,73,0,100,1,1,0
19,40,80,0,100,1,1,0
20,74,0,1,59,1,2,1
21,80,47,1,100,1,1,0
22,80,76,1,100,1,0,0
23,72,75,0,100,0,0,0
24,72,80,0,100,0,0,0
25,78,64,1,100,0,0,0
26,77,61,1,100,0,0,0
27,80,22,1,100,1,2,0
28,80,80,1,100,0,0,0
29,80,36,1,100,1,1,0
30,33,34,0,100,2,0,0
31,80,32,1,100,1,1,0
32,80,80,1,100,0,0,0
33,75,59,1,100,1,0,0
34,59,0,1,27,1,3,0
35,77,80,0,100,0,0,0
36,29,80,0,100,1,1,1
37,69,80,0,100,1,0,0
38,17,80,0,100,1,2,0
39,60,80,0,100,1,0,0
40,78,58,1,100,1,1,0
41,31,67,0,100,1,2,0
42,40,74,0,100,1,1,0
43,80,80,1,100,0,0,0
44,80,61,1,100,0,0,0
45,79,80,0,100,0,0,0
46,64,73,0,100,1,0,0
47,70,41,1,100,2,0,0
48,37,80,0,100,1,1,1
49,80,80,0,100,0,0,0
50,32,80,0,100,1,2,0
51,80,80,1,100,0,0,0
52,80,49,1,100,1,1,0
53,74,75,0,100,0,0,0
54,75,79,0,100,1,0,0
55,69,65,1,100,0,0,0
56,80,80,1,100,0,0,0
57,80,73,1,100,1,0,0
58,22,65,0,100,1,2,0
59,80,68,1,100,0,0,0
60,80,68,1,100,1,0,0
61,80,70,1,100,0,0,0
62,80,0,1,85,2,1,1
63,80,70,1,100,1,0,0
64,62,35,1,100,1,1,0
65,80,80,0,100,0,0,0
66,80,21,1,100,1,1,1
67,66,0,1,82,1,3,0
68,78,48,1,100,1,1,0
69,67,78,0,100,0,0,0
70,38,80,0,100,2,0,0
71,21,40,0,100,2,0,1
72,80,65,1,100,1,0,0
73,80,80,1,100,0,0,0
74,80,57,1,100,1,0,0
75,80,80,1,100,0,0,0
76,77,52,1,100,1,1,0
77,80,41,1,100,1,1,0
78,80,70,1,100,0,0,0
79,80,80,1,100,0,0,0
80,34,34,1,100,2,0,0
81,77,80,0,100,1,0,0
82,68,80,0,100,0,0,0
83,65,22,1,100,1,1,1
84,34,80,0,100,1,1,0
85,80,70,1,100,0,0,0
86,80,70,1,100,0,0,0
87,80,80,1,100,0,0,0
88,50,80,0,100,1,0,0
89,44,80,0,100,1,1,0
90,80,74,1,100,0,0,0
91,80,74,1,100,1,0,0
92,36,25,1,100,1,1,1
93,66,27,1,100,1,2,0
94,80,80,1,100,0,0,0
95,80,80,0,100,0,0,0
96,0,80,0,63,1,2,1
97,70,80,0,100,1,0,0
98,60,42,1,100,1,1,0
99,80,76,1,100,1,0,0
100,0,80,0,80,1,2,1
101,74,79,0,100,0,0,0
102,80,80,0,100,0,0,0
103,80,40,1,100,3,0,0
104,75,29,1,100,1,1,1
105,23,80,0,100,2,0,1
106,80,23,1,100,1,1,1
107,80,80,0,100,0,0,0
108,59,80,0,100,0,0,0
109,80,80,1,100,1,0,0
110,80,80,0,100,0,0,0
111,79,80,0,100,0,0,0
112,60,56,1,100,2,0,0
113,69,34,1,100,1,1,1
114,80,50,1,100,1,1,0
115,80,75,1,100,0,0,0
116,80,77,1,100,0,0,0
117,78,22,1,100,1,1,1
118,80,80,1,100,0,0,0
119,80,61,1,100,1,0,0
120,62,38,1,100,1,1,0
121,77,71,1,100,0,0,0
122,24,80,0,100,2,0,1
123,80,80,1,100,0,0,0
124,72,0,1,29,2,0,2
125,69,71,0,100,0,0,0
126,80,80,1,100,0,0,0
127,80,62,1,100,1,0,0
128,79,80,0,100,0,0,0
129,80,9,1,100,1,2,0
130,50,80,0,100,1,1,0
131,75,80,0,100,1,0,0
132,48,80,0,100,1,1,0
133,80,74,1,100,1,0,0
134,43,41,1,100,1,1,0
135,40,80,0,100,2,0,0
136,80,43,1,100,1,1,0
137,80,80,0,100,1,0,0
138,79,80,0,100,0,0,0
139,80,80,0,100,0,0,0
140,77,25,1,100,1,1,1
141,80,70,1,100,0,0,0
142,80,80,1,100,0,0,0
143,79,29,1,100,1,1,0
144,49,80,0,100,1,1,0
145,80,23,1,100,1,2,0
146,80,80,1,100,0,0,0
147,80,80,0,100,0,0,0
148,27,80,0,100,1,2,0
149,80,26,1,100,1,2,0
150,0,80,0,36,1,2,1
151,73,65,1,100,0,0,0
152,36,73,0,100,2,0,0
153,80,72,1,100,1,0,0
154,80,80,1,100,0,0,0
155,0,80,0,0,1,2,1
156,0,66,0,4,1,1,2
157,80,75,1,100,0,0,0
158,80,32,1,100,1,1,1
159,46,65,0,100,1,1,0
160,80,80,1,100,0,0,0
161,45,68,0,100,1,1,0
162,80,80,1,100,0,0,0
163,67,80,0,100,0,0,0
164,58,0,1,58,2,2,0
165,78,80,0,100,0,0,0
166,33,80,0,100,1,1,1
167,80,54,1,100,1,0,0
168,80,75,1,100,1,0,0
169,80,80,1,100,0,0,0
170,80,68,1,100,1,0,0
171,80,49,1,100,0,0,0
172,80,80,1,100,0,0,0
173,13,66,0,100,1,1,1
174,72,80,0,100,0,0,0
175,80,80,1,100,0,0,0
176,0,35,0,13,1,3,0
177,72,80,0,100,1,0,0
178,55,79,0,100,1,1,0
179,80,80,1,100,0,0,0
180,43,71,0,100,1,1,0
181,80,20,1,100,1,1,1
182,78,75,1,100,1,0,0
183,73,77,0,100,0,0,0
184,80,49,1,100,1,1,0
185,24,80,0,100,1,1,1
186,77,80,0,100,0,0,0
187,56,64,0,100,2,0,0
188,80,78,1,100,0,0,0
189,52,80,0,100,1,1,0
190,80,25,1,100,1,1,1
191,69,80,0,100,1,0,0
192,74,80,0,100,1,0,0
193,69,75,0,100,0,0,0
194,41,80,0,100,1,1,0
195,61,69,0,100,0,0,0
196,80,80,1,100,0,0,0
197,80,74,1,100,0,0,0
198,59,80,0,100,1,1,0
199,80,76,1,100,0,0,0
200,80,80,1,100,0,0,0
201,62,71,0,100,0,0,0
202,80,79,1,100,0,0,0
