,mdist1,mdist2
0,3,3
1,4,2
2,3,2
3,2,3
4,3,3
5,4,2
6,3,2
7,4,4
8,2,4
9,2,5
10,5,1
11,4,5
12,4,1
13,4,3
14,3,4
15,4,4
16,2,2
17,4,2
18,3,3
19,3,3
20,4,2
21,3,3
22,1,3
23,3,5
24,3,3
25,4,2
26,3,1
27,3,2
28,3,3
29,4,3
30,3,4
31,3,3
32,2,3
33,3,3
34,3,2
35,3,2
36,3,4
37,3,2
38,2,3
39,2,2
40,3,4
41,2,2
42,3,3
43,4,2
44,2,3
45,3,2
46,4,3
47,2,3
48,4,2
49,3,3
50,3,2
51,3,2
52,3,2
53,5,2
54,2,3
55,3,4
56,1,4
57,3,3
58,3,4
59,5,3
60,4,2
61,4,3
62,2,2
63,3,2
64,4,3
65,2,3
66,3,3
67,4,3
68,2,4
69,4,3
70,2,2
71,3,3
72,3,3
73,3,5
74,4,4
75,3,0
76,4,3
77,2,3
78,4,3
79,3,2
80,2,3
81,3,4
82,2,3
83,3,4
84,3,4
85,3,3
86,4,1
87,4,4
88,4,4
89,4,3
90,2,3
91,2,4
92,3,2
93,3,3
94,2,3
95,3,4
96,3,3
97,3,4
98,3,3
99,4,3
100,1,3
101,2,2
102,2,3
103,3,3
104,5,3
105,3,3
106,4,3
107,2,3
108,3,3
109,4,3
110,4,4
111,3,3
112,3,3
113,3,4
114,4,2
115,3,1
116,4,3
117,4,2
118,3,3
119,3,3
120,4,2
121,3,2
122,3,3
123,3,3
124,3,5
125,4,2
126,4,4
127,4,4
128,3,4
129,3,4
130,4,3
131,3,3
132,2,2
133,3,2
134,4,3
135,4,3
136,3,3
137,3,2
138,3,3
139,3,2
140,3,3
141,3,3
142,3,3
143,4,2
144,4,2
145,3,4
146,3,3
147,2,3
148,2,5
149,2,3
150,3,3
151,3,4
152,2,3
153,4,4
154,3,3
155,4,3
156,4,1
157,3,3
158,2,4
159,3,2
160,4,3
161,2,2
162,3,4
163,3,2
164,4,3
165,3,3
166,3,4
167,3,1
168,4,3
169,3,3
170,2,3
171,4,4
172,2,3
173,3,1
174,4,5
