,mscore
0,33
1,42
2,21
3,36
4,50
5,19
6,48
7,8
8,22
9,73
10,47
11,36
12,34
13,37
14,30
15,40
16,42
17,29
18,40
19,78
20,35
21,38
22,31
23,57
24,25
25,44
26,33
27,40
28,51
29,75
30,52
31,52
32,13
33,80
34,21
35,39
36,27
37,68
38,56
39,32
40,40
41,19
42,58
43,80
44,11
45,46
46,19
47,20
48,69
49,28
50,62
51,41
52,17
53,21
54,22
55,73
56,13
57,32
58,20
59,57
60,49
61,69
62,65
63,47
64,35
65,25
66,72
67,21
68,69
69,52
70,47
71,28
72,71
73,25
74,19
75,50
76,25
77,22
78,53
79,25
80,57
81,47
82,31
83,23
84,2
85,28
86,66
87,28
88,36
89,52
90,73
91,23
92,23
93,25
94,67
95,47
96,73
97,51
98,20
99,29
100,18
101,28
102,47
103,25
104,50
105,30
106,36
107,73
108,22
109,24
110,48
111,22
112,23
113,31
114,24
115,50
116,43
117,26
118,5
119,77
120,64
121,45
122,39
123,69
124,51
125,46
126,34
127,64
128,0
129,78
130,25
131,52
132,47
133,35
134,74
135,47
136,2
137,39
138,39
139,39
140,48
141,32
142,34
143,11
144,46
145,26
146,37
147,37
148,72
149,67
150,58
151,17
152,46
153,20
154,18
155,22
156,0
157,27
158,43
159,22
160,80
161,19
162,70
163,36
164,22
165,44
166,64
167,77
168,18
169,39
170,5
171,40
172,46
173,15
174,17
175,47
176,20
177,32
178,36
179,49
180,15
181,45
182,51
183,28
184,22
185,25
186,52
187,30
188,31
189,62
190,34
191,43
192,23
193,76
194,23
195,80
196,40
197,71
198,59
199,41
200,62
201,8
202,43
203,7
204,42
205,44
206,24
207,24
208,25
209,35
210,35
211,34
212,32
213,44
214,77
215,45
216,44
217,31
218,48
219,43
220,24
221,29
222,70
223,62
224,35
225,17
226,30
227,48
228,58
229,44
230,43
231,52
232,37
233,18
234,32
235,51
236,41
237,22
238,40
239,34
240,56
241,35
242,46
243,22
244,5
245,71
246,38
247,35
248,43
249,28
250,71
251,49
252,19
253,64
254,17
255,25
256,42
257,48
258,39
259,73
260,72
261,6
262,30
263,22
264,21
