Winner,Player1,Player2,Init.Score1,Init.Score2,Final.Score1,Final.Score2
0,MindistScore,Random,75,68,0,38
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,23,60,0,69
0,MindistScore,Random,80,50,0,20
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,65,32,0,32
0,MindistScore,Random,37,74,0,53
0,MindistScore,Random,37,80,0,80
0,MindistScore,Random,43,58,0,70
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,80,45,0,35
0,MindistScore,Random,47,80,0,80
0,MindistScore,Random,23,70,0,71
0,MindistScore,Random,80,46,0,76
0,MindistScore,Random,48,80,0,73
0,MindistScore,Random,51,80,0,80
0,MindistScore,Random,44,76,0,7
0,MindistScore,Random,80,70,0,80
0,MindistScore,Random,53,80,0,39
0,MindistScore,Random,26,80,0,53
0,MindistScore,Random,24,80,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,20,53,0,29
0,MindistScore,Random,69,80,0,46
0,MindistScore,Random,80,80,0,78
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,80,32,0,47
0,MindistScore,Random,75,24,0,43
0,MindistScore,Random,80,68,0,65
0,MindistScore,Random,37,80,0,80
0,MindistScore,Random,35,73,0,66
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,74,56,0,36
0,MindistScore,Random,24,71,0,66
0,MindistScore,Random,59,29,0,20
0,MindistScore,Random,19,80,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,18,27,0,80
0,MindistScore,Random,76,68,0,80
0,MindistScore,Random,79,78,0,54
0,MindistScore,Random,74,75,0,13
0,MindistScore,Random,80,67,0,80
0,MindistScore,Random,73,80,0,80
0,MindistScore,Random,18,22,0,25
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,80,80,0,75
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,80,61,0,80
0,MindistScore,Random,80,25,0,74
0,MindistScore,Random,69,80,0,80
0,MindistScore,Random,75,80,0,80
0,MindistScore,Random,76,80,0,80
0,MindistScore,Random,44,37,0,74
0,MindistScore,Random,80,29,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,51,75,0,72
0,MindistScore,Random,46,80,0,42
0,MindistScore,Random,76,22,0,80
0,MindistScore,Random,43,62,0,67
0,MindistScore,Random,0,46,0,46
0,MindistScore,Random,80,80,0,80
1,MindistScore,Random,80,80,80,0
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,62,18,0,24
0,MindistScore,Random,80,80,0,68
0,MindistScore,Random,80,62,0,80
0,MindistScore,Random,78,79,0,63
0,MindistScore,Random,80,80,0,74
0,MindistScore,Random,80,32,0,24
0,MindistScore,Random,52,50,0,80
0,MindistScore,Random,47,80,0,80
0,MindistScore,Random,66,51,0,29
0,MindistScore,Random,46,63,0,51
0,MindistScore,Random,78,78,0,37
0,MindistScore,Random,80,69,0,72
0,MindistScore,Random,33,71,0,80
0,MindistScore,Random,70,68,0,28
0,MindistScore,Random,44,80,0,76
0,MindistScore,Random,65,10,0,20
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,71,80,0,24
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,40,80,0,53
0,MindistScore,Random,80,44,0,80
0,MindistScore,Random,75,73,0,75
0,MindistScore,Random,65,80,0,44
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,80,79,0,80
0,MindistScore,Random,80,65,0,56
0,MindistScore,Random,16,0,0,28
0,MindistScore,Random,76,80,0,80
0,MindistScore,Random,54,74,0,77
0,MindistScore,Random,33,79,0,78
0,MindistScore,Random,80,13,0,13
0,MindistScore,Random,80,73,0,73
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,80,44,0,80
0,MindistScore,Random,80,78,0,76
0,MindistScore,Random,37,80,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,80,80,0,69
0,MindistScore,Random,80,78,0,80
0,MindistScore,Random,80,75,0,72
0,MindistScore,Random,49,48,0,46
0,MindistScore,Random,33,80,0,80
0,MindistScore,Random,79,80,0,23
0,MindistScore,Random,80,80,0,36
0,MindistScore,Random,57,67,0,71
0,MindistScore,Random,73,80,0,80
0,MindistScore,Random,80,26,0,34
0,MindistScore,Random,21,78,0,80
0,MindistScore,Random,26,75,0,68
0,MindistScore,Random,78,80,0,80
0,MindistScore,Random,80,80,0,75
0,MindistScore,Random,80,25,0,80
0,MindistScore,Random,80,80,0,78
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,24,24,0,29
0,MindistScore,Random,19,44,0,44
1,MindistScore,Random,79,64,70,0
0,MindistScore,Random,80,20,0,47
0,MindistScore,Random,80,80,0,23
0,MindistScore,Random,80,31,0,80
0,MindistScore,Random,63,66,0,67
0,MindistScore,Random,80,80,0,69
0,MindistScore,Random,66,73,0,80
0,MindistScore,Random,80,67,0,62
0,MindistScore,Random,72,80,0,23
0,MindistScore,Random,63,12,0,74
0,MindistScore,Random,80,75,0,76
0,MindistScore,Random,75,80,0,80
0,MindistScore,Random,80,50,0,22
0,MindistScore,Random,22,31,0,26
0,MindistScore,Random,72,18,0,25
0,MindistScore,Random,71,80,0,80
0,MindistScore,Random,80,69,0,80
0,MindistScore,Random,61,80,0,80
0,MindistScore,Random,30,35,0,46
0,MindistScore,Random,24,68,0,68
0,MindistScore,Random,80,80,0,67
0,MindistScore,Random,80,77,0,80
0,MindistScore,Random,35,25,0,80
0,MindistScore,Random,80,35,0,25
0,MindistScore,Random,80,74,0,80
0,MindistScore,Random,39,10,0,17
0,MindistScore,Random,80,78,0,80
0,MindistScore,Random,26,14,0,72
0,MindistScore,Random,32,78,0,80
0,MindistScore,Random,50,80,0,80
0,MindistScore,Random,80,45,0,80
0,MindistScore,Random,71,80,0,80
0,MindistScore,Random,80,65,0,57
0,MindistScore,Random,69,30,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,46,80,0,80
