init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
43 41 23 3 30 27 48 19 40 29,47 15 8 1 17 32 0 34 52 38,20,45,0,1,3,52 27 40 41 3 29 16 43 30 19,0 1 12 52 15 17 47 8 34 46,1,1,1
42 46 52 48 23 18 21 0 45 6,35 30 22 36 50 44 40 49 12 16,17,0,60,0,3,46 48 45 47 52 23 21 0 2 52,35 30 22 36 50 44 40 49 12 16,1,2,0
52 32 43 9 24 52 40 17 33 27,39 15 14 16 42 20 44 23 6 4,18,0,14,0,6,32 33 34 52 40 51 52 43 17 5,15 14 16 44 6 4 39 26 42 29,1,1,1
20 35 4 47 30 34 32 13 31 0,23 48 29 6 22 17 25 40 16 15,38,2,0,1,7,30 32 31 35 34 36 0 1 51 13,17 16 15 23 22 25 20 28 29 12,1,2,0
30 50 46 18 22 0 12 38 51 19,36 39 5 17 23 3 13 48 40 34,8,39,0,1,7,50 51 49 0 14 15 30 18 19 46,40 41 42 34 3 5 6 39 21 13,1,1,1
52 40 43 32 12 1 18 36 10 19,7 6 50 2 14 13 26 48 0 24,34,0,24,0,7,18 19 17 52 21 40 43 8 30 32,50 48 49 13 26 0 14 2 28 5,1,2,0
2 34 29 49 50 12 5 6 44 33,0 21 30 45 24 3 23 38 32 13,47,60,0,1,9,2 34 29 49 50 12 5 6 44 33,24 23 25 21 0 1 3 30 32 31,2,1,0
4 37 51 18 8 21 10 43 24 52,9 29 12 45 14 52 3 49 40 42,46,0,31,0,9,8 10 9 52 37 38 30 4 43 7,52 33 13 14 40 1 29 3 42 16,1,1,1
24 23 22 41 0 52 20 9 19 47,21 31 46 45 52 42 51 34 28 15,44,2,0,1,8,24 23 22 52 20 19 2 3 4 0,40 42 41 31 45 46 52 28 15 18,1,1,1
5 8 34 16 37 25 19 36 17 21,23 0 38 10 45 33 9 52 4 13,41,0,7,0,13,19 21 20 22 23 24 16 29 3 42,28 26 27 52 4 5 7 0 13 1,2,0,1
8 31 42 19 30 3 14 43 0 29,22 32 7 52 47 46 15 13 48 18,37,10,0,1,5,42 43 41 31 30 29 32 0 14 3,47 46 48 7 52 8 13 15 50 25,1,2,0
52 49 41 28 48 47 46 44 13 52,25 17 24 3 23 27 9 42 20 30,11,0,34,0,1,49 48 47 52 46 44 43 41 28 52,25 24 23 22 27 3 42 17 30 20,1,1,1
44 31 50 35 30 41 29 49 7 40,6 24 27 46 2 32 13 25 37 12,3,0,60,0,5,31 30 29 40 41 16 7 20 52 42,6 24 27 46 2 32 13 25 37 12,1,1,1
