init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
30 11 39 28 50 40 41 24 7 32,43 5 1 38 16 14 17 36 25 4,51,19,0,1,3,30 11 39 28 50 40 41 24 31 0,43 17 4 38 5 7 16 14 25 13,0,2,1
19 51 52 22 43 29 39 20 35 10,32 52 16 28 21 23 14 49 27 48,45,0,3,0,3,19 51 52 22 39 20 35 7 40 33,32 21 23 52 49 48 28 27 29 14,1,0,2
19 49 3 40 24 28 11 31 27 20,34 44 12 17 4 15 48 50 0 39,29,0,8,0,4,3 40 24 28 11 31 27 52 14 52,48 50 49 51 17 4 43 0 39 15,0,1,2
18 35 6 12 39 42 29 41 46 47,51 34 5 8 37 16 15 40 26 0,27,0,39,0,4,12 39 42 41 46 47 25 14 48 51,34 8 40 26 15 16 30 5 18 32,1,1,1
47 31 9 25 22 33 16 0 51 5,45 17 10 6 2 18 49 12 35 41,29,0,43,0,4,31 9 25 22 33 16 51 35 32 12,10 49 23 2 41 17 4 18 45 6,1,0,2
24 39 36 5 4 29 21 8 9 1,28 52 26 34 27 41 31 12 35 32,43,8,0,1,5,5 4 21 8 9 44 10 45 47 31,52 34 35 32 26 17 39 28 27 29,1,1,1
22 8 32 25 52 28 20 30 40 44,49 39 52 41 50 13 14 51 9 47,26,41,0,1,2,22 8 32 52 20 30 40 44 1 2,49 50 39 47 52 9 8 51 13 25,0,2,1
52 21 38 11 17 46 31 29 22 48,39 23 24 1 19 4 15 18 12,44,0,40,0,5,52 21 46 31 29 22 48 3 5 49,23 24 18 39 26 15 4 19 32 12,0,2,1
52 3 50 33 18 23 31 6 9 37,8 25 28 2 14 5 27 32 39 45,16,0,58,0,2,52 3 50 33 31 6 9 37 11 42,39 14 27 28 2 5 18 32 8 23,0,2,1
20 36 10 51 26 25 21 40 50 18,47 13 28 7 27 6 46 30 9 33,17,0,2,0,3,20 36 10 51 25 21 18 52 52 12,7 46 33 30 28 2 43 27 38 13,0,1,2
