init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
47 34 11 37 9 16 2 28 26 12,30 25 23 3 43 14 40 52 50 17,48,41,0,1,2,47 34 9 26 2 28 16 5 46 11,30 25 23 43 14 40 52 17 52 22,0,1,2
40 8 52 11 35 45 2 22 30 42,23 49 31 17 43 52 27 26 15 12,21,0,15,0,3,42 45 43 44 8 52 2 35 22 9,23 49 17 52 27 26 15 12 18 36,1,1,1
52 43 10 12 41 15 36 2 37 0,32 9 19 25 50 30 18 40 5 34,21,0,26,0,3,41 15 2 43 17 30 52 10 12 9,32 19 25 50 18 5 34 37 44 31,0,1,2
3 0 7 44 52 43 5 6 4,33 34 36 9 32 23 37 15 30 20,2,0,20,0,4,7 5 6 43 4 30 3 0 52 1,33 34 36 32 23 37 15 20 52 26,1,1,1
14 32 1 21 7 44 37 3 24 19,17 29 48 31 34 35 12 52 30 15,45,13,0,1,6,32 37 24 19 7 46 20 39 28 5,17 29 48 31 35 52 30 15 14 6,1,1,1
5 21 47 40 9 22 27 52 1 46,29 32 30 36 23 7 49 37 28 19,38,24,0,1,6,40 27 1 52 51 5 2 16 46 21,29 32 30 36 23 49 28 19 10 45,1,0,2
36 45 2 34 18 40 1 19 43 47,32 0 39 17 3 16 44 7 5 6,10,2,0,1,6,36 43 45 34 47 21 1 2 0 13,17 16 44 7 5 6 31 15 18 52,2,0,1
15 26 18 24 27 16 33 14 51 44,10 12 22 43 34 30 8 29 23 46,11,0,29,0,5,18 24 44 0 2 1 15 16 14 17,10 12 34 30 8 29 46 31 21 47,2,0,1
39 16 24 19 43 33 52 20 32 46,27 21 12 40 36 22 6 50 11 15,35,14,0,1,4,33 20 46 19 52 16 18 39 43 30,27 40 22 6 50 11 24 3 52 14,0,1,2
0 19 24 52 47 45 32 8 39,31 20 37 13 22 33 51 48 14 3,42,18,0,1,7,24 52 37 36 37 52 0 39 30 45,31 20 22 33 51 48 3 29 32 49,1,2,0
41 31 34 17 32 29 1 36 16,12 13 50 15 28 23 43 25 51 11,24,0,5,0,6,31 32 37 29 34 36 35 16 17 52,12 13 50 15 28 25 51 11 27 42,1,2,0
17 23 41 9 5 11 24 52 51 39,42 10 2 33 43 52 38 12 3 25,7,43,0,1,1,9 11 52 39 41 15 17 5 23 24,42 2 33 43 52 38 12 3 25 51,0,2,1
52 2 13 24 19 40 18 15 37 4,32 12 0 35 26 42 31 51 29 52,30,0,17,0,7,52 19 18 39 40 41 24 37 50 4,32 12 0 42 31 29 52 33 2 44,1,1,1
20 19 52 24 22 46 12 16 4 5,42 2 1 34 23 21 36 27 28 51,33,0,60,0,0,20 24 22 19 52 46 16 4 5 7,42 2 1 34 23 21 36 27 28 51,0,3,0
51 29 22 3 6 2 32 0 30 13,43 34 42 21 52 25 50 27 24 15,28,4,0,1,4,6 2 52 3 32 29 30 31 0 13,43 34 42 21 52 25 24 15 22 41,0,2,1
4 28 25 2 52 42 0 27 1,52 41 45 48 20 31 32 13 17 36,15,8,0,1,3,4 28 2 0 1 25 52 12 27 42,52 41 45 48 31 32 36 30 35 46,1,2,0
41 6 4 52 20 49 37 24 14 46,52 1 33 48 2 17 0 16 27 10,40,28,0,1,3,52 37 24 14 4 6 20 33 41 10,52 1 48 2 17 0 16 27 49 46,0,3,0
23 14 5 47 17 15 12 30 26 36,25 41 16 7 24 46 28 42 51 6,18,7,0,1,7,5 14 15 17 44 6 8 26 0 1,25 41 7 46 42 51 12 33 52 43,1,0,2
52 27 4 28 49 29 1 40 43,30 50 32 26 14 3 38 41 42 31,17,0,22,0,3,27 28 29 4 21 8 1 2 3 43,30 50 32 26 38 41 42 31 52 44,2,0,1
34 46 15 48 19 10 7 12 28 4,0 23 26 11 6 9 44 22 45 25,33,0,11,0,5,46 15 28 10 12 11 49 7 51 20,0 23 26 6 22 45 25 52 19 18,1,1,1
