,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,60,60,0,25,0,0,0
1,60,60,0,25,0,0,0
2,60,60,1,25,1,0,0
3,60,60,0,25,0,0,0
4,60,60,1,25,0,0,0
5,35,51,0,25,0,0,2
6,33,40,0,25,0,1,0
7,21,48,0,25,0,0,2
8,60,60,1,25,0,0,0
9,29,38,0,25,0,2,0
10,60,60,1,25,0,0,0
11,60,60,0,25,0,0,0
12,60,60,0,25,0,0,0
13,60,60,0,25,0,0,0
14,60,60,1,25,0,0,0
15,60,60,1,25,0,0,0
16,60,60,0,25,0,0,0
17,60,60,0,25,0,0,0
18,22,48,0,25,0,0,2
19,60,60,0,25,0,0,0
20,60,60,1,25,0,0,0
21,60,60,1,25,0,0,0
22,60,60,0,25,0,0,0
23,53,39,1,25,0,0,1
24,60,60,1,25,0,0,0
25,60,60,0,25,0,0,0
26,60,60,1,25,0,0,0
27,60,60,0,25,0,0,0
28,60,60,0,25,0,0,0
29,55,35,1,25,0,0,2
30,54,31,1,25,0,0,2
31,60,60,1,25,0,0,0
32,60,60,1,25,0,0,0
33,60,60,0,25,0,0,0
34,60,60,1,25,0,0,0
35,34,37,0,25,0,0,1
36,60,60,1,25,0,0,0
37,60,60,1,25,0,0,0
38,60,60,0,25,0,0,0
39,60,60,0,25,0,0,0
40,60,60,0,25,0,0,0
41,60,60,1,25,0,0,0
42,59,47,1,25,0,1,0
43,60,60,1,25,0,0,0
44,60,60,0,25,1,0,0
45,60,60,1,25,0,0,0
46,60,60,0,25,0,0,0
47,60,60,0,25,0,0,0
48,60,60,0,25,0,0,0
49,60,60,1,25,0,0,0
50,60,60,1,25,0,0,0
51,60,60,1,25,0,0,0
52,60,60,0,25,0,0,0
53,60,60,1,25,0,0,0
54,60,60,1,25,0,0,0
55,50,53,0,25,0,1,0
56,60,60,1,25,0,0,1
57,36,21,1,25,0,1,1
58,46,42,1,25,0,1,0
59,60,60,1,25,0,0,0
60,43,35,1,25,0,0,1
61,49,20,1,25,0,1,1
