,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,60,0,1,2,1,2,0
1,60,0,1,11,0,1,2
2,50,0,1,3,0,1,2
3,60,0,1,9,0,3,0
4,60,0,1,4,0,2,1
5,60,0,1,3,0,3,0
6,60,0,1,7,2,0,1
7,60,0,1,6,0,0,3
8,60,0,1,6,1,1,1
9,56,0,1,5,0,2,1
10,60,0,1,2,1,0,2
11,60,0,1,6,2,1,0
12,60,0,1,5,1,2,0
13,60,0,1,5,2,1,0
14,60,0,1,8,2,0,1
15,60,0,1,6,1,1,1
16,60,0,1,10,1,1,1
17,60,0,1,9,0,1,2
18,60,0,1,6,1,2,0
19,60,0,1,12,1,1,1
20,60,0,1,8,1,0,2
21,60,0,1,10,0,1,2
22,60,0,1,10,0,1,2
23,60,0,1,4,0,1,2
24,60,0,1,12,1,0,2
25,60,0,1,11,0,2,1
26,60,0,1,8,2,0,1
27,60,0,1,8,1,1,1
28,60,0,1,4,2,0,1
29,60,0,1,9,0,1,2
30,60,0,1,3,0,1,2
31,60,0,1,6,0,0,3
32,60,0,1,7,0,1,2
33,60,0,1,8,1,2,0
34,60,0,1,9,1,2,0
35,60,0,1,9,1,1,1
36,60,0,1,9,1,1,1
37,60,0,1,4,1,1,1
38,58,0,1,11,1,2,0
39,60,0,1,9,1,1,1
40,60,0,1,6,1,1,1
41,60,0,1,4,1,2,0
42,60,0,1,9,1,2,0
43,60,0,1,4,1,1,1
44,60,0,1,12,1,2,0
45,60,0,1,12,0,1,2
46,60,0,1,6,1,2,0
47,60,0,1,9,1,1,1
48,60,0,1,15,0,0,3
49,60,0,1,4,0,1,2
50,60,0,1,8,1,1,1
51,60,0,1,10,0,2,1
52,60,0,1,4,1,1,1
53,60,0,1,3,0,1,2
54,60,0,1,4,2,0,1
55,60,0,1,6,1,0,2
56,60,0,1,5,0,1,2
57,60,0,1,5,0,1,2
58,60,0,1,12,0,2,1
59,60,0,1,2,0,1,2
60,60,0,1,3,2,1,0
61,60,0,1,3,0,3,0
62,60,0,1,9,1,1,1
63,38,0,1,2,0,1,2
64,60,0,1,7,0,3,0
65,60,0,1,2,0,0,3
66,60,0,1,7,1,1,1
67,60,0,1,5,1,2,0
68,60,0,1,6,2,1,0
69,60,0,1,8,0,1,2
70,60,0,1,3,0,2,1
71,60,0,1,3,1,0,2
72,60,0,1,9,2,0,1
73,60,0,1,6,2,1,0
74,60,0,1,7,1,0,2
75,60,0,1,9,2,1,0
76,60,0,1,11,0,1,2
77,60,0,1,8,0,1,2
78,60,0,1,14,0,3,0
79,60,0,1,9,1,0,2
80,60,0,1,4,1,1,1
81,60,0,1,5,1,0,2
82,60,0,1,5,1,1,1
83,60,0,1,10,1,2,0
84,60,0,1,7,1,1,1
85,60,0,1,4,0,1,2
86,60,0,1,4,1,1,1
87,60,0,1,5,1,1,1
88,60,0,1,4,0,2,1
89,60,0,1,5,0,1,2
90,60,0,1,2,1,2,0
91,60,0,1,5,2,1,0
92,60,0,1,6,1,1,1
93,60,0,1,10,1,1,1
94,60,0,1,5,0,1,2
95,60,0,1,8,1,2,0
96,60,0,1,15,0,2,1
97,60,0,1,4,0,1,2
98,60,0,1,5,0,2,1
99,60,0,1,8,1,2,0
100,60,0,1,5,1,1,1
101,60,0,1,5,0,1,2
102,60,0,1,8,1,0,2
103,60,0,1,9,2,1,0
104,60,0,1,12,1,0,2
105,60,0,1,5,1,1,1
106,60,0,1,7,0,2,1
107,60,0,1,8,0,2,1
108,60,0,1,6,1,0,2
109,60,0,1,12,0,0,3
110,60,0,1,7,1,1,1
111,60,0,1,6,0,1,2
112,60,0,1,12,0,2,1
113,60,0,1,8,1,1,1
114,60,0,1,7,0,3,0
115,60,0,1,6,0,0,3
116,60,0,1,9,0,0,3
117,60,0,1,6,1,0,2
118,60,0,1,11,1,2,0
119,60,0,1,11,0,2,1
120,60,0,1,7,0,0,3
121,60,0,1,6,1,1,1
122,60,0,1,6,1,0,2
123,60,0,1,4,1,2,0
124,60,0,1,5,1,2,0
125,60,0,1,4,0,2,1
126,60,0,1,10,0,2,1
127,46,0,1,2,0,1,2
128,60,0,1,6,2,1,0
129,60,0,1,9,1,1,1
130,60,0,1,8,1,1,1
131,60,0,1,7,1,2,0
132,60,0,1,8,2,1,0
133,60,0,1,4,1,0,2
134,60,0,1,5,1,1,1
135,60,0,1,10,0,1,2
136,60,0,1,6,1,1,1
137,60,0,1,2,0,1,2
138,60,0,1,4,0,1,2
139,60,0,1,6,0,0,3
140,60,0,1,9,1,1,1
141,60,0,1,2,1,0,2
142,60,0,1,12,1,2,0
143,60,0,1,8,1,2,0
144,60,0,1,9,1,1,1
145,60,0,1,5,0,0,3
146,60,0,1,3,1,2,0
147,60,0,1,6,1,1,1
148,60,0,1,7,2,0,1
149,60,0,1,5,0,2,1
150,60,0,1,14,1,2,0
151,60,0,1,13,2,1,0
152,60,0,1,3,1,1,1
153,60,0,1,4,0,2,1
154,60,0,1,3,1,0,2
155,60,0,1,7,1,2,0
156,54,0,1,5,0,0,3
157,60,0,1,6,2,1,0
158,60,0,1,4,1,1,1
159,60,0,1,7,0,0,3
160,60,0,1,9,1,1,1
161,60,0,1,4,0,2,1
162,60,0,1,7,1,1,1
163,60,0,1,5,0,1,2
164,60,0,1,6,0,1,2
165,60,0,1,4,0,2,1
166,60,0,1,5,1,2,0
167,60,0,1,5,2,0,1
168,60,0,1,3,1,0,2
169,60,0,1,11,0,2,1
170,60,0,1,4,2,0,1
171,60,0,1,10,2,1,0
172,60,0,1,15,0,2,0
173,60,0,1,5,1,0,2
174,60,0,1,6,2,0,1
175,60,0,1,10,0,3,0
176,60,0,1,4,1,1,1
177,60,0,1,10,1,1,1
178,60,0,1,8,0,0,3
179,60,0,1,9,1,2,0
180,60,0,1,7,1,0,2
181,60,0,1,8,1,2,0
182,60,0,1,3,2,1,0
183,60,0,1,5,0,1,2
184,60,0,1,8,1,2,0
185,60,0,1,6,1,0,2
186,60,0,1,9,1,1,1
187,60,0,1,4,1,0,2
188,60,0,1,7,0,1,2
189,60,0,1,6,1,0,2
190,60,0,1,7,0,2,1
191,60,0,1,17,1,1,1
192,60,0,1,3,0,1,2
193,60,0,1,5,2,0,1
194,60,0,1,10,0,0,3
195,60,0,1,5,1,0,2
196,60,0,1,9,1,2,0
197,60,0,1,7,0,0,3
198,60,0,1,5,1,1,1
199,60,0,1,12,1,0,2
200,60,0,1,4,0,2,1
201,60,0,1,4,1,1,1
202,60,0,1,9,1,0,2
203,60,0,1,4,0,0,3
204,60,0,1,9,0,2,1
205,60,0,1,4,0,1,2
206,60,0,1,5,1,0,2
207,60,0,1,8,1,2,0
208,60,0,1,6,2,1,0
209,56,0,1,2,0,2,1
210,60,0,1,5,2,0,1
211,60,0,1,13,1,1,1
212,60,0,1,6,1,1,1
213,60,0,1,11,0,1,2
214,60,0,1,4,1,0,2
215,60,0,1,9,0,3,0
216,60,0,1,2,0,1,2
217,60,0,1,6,0,2,1
218,60,0,1,6,1,1,1
219,60,0,1,5,1,0,2
220,60,0,1,3,0,2,1
221,60,0,1,8,0,1,2
222,60,0,1,3,1,0,2
223,60,0,1,15,1,1,1
224,60,0,1,3,0,1,2
225,60,0,1,3,1,1,1
226,50,0,1,1,0,1,2
227,60,0,1,8,0,1,2
228,60,0,1,6,0,1,2
229,60,0,1,8,2,1,0
230,60,0,1,7,1,0,2
231,60,0,1,2,1,1,1
232,60,0,1,6,1,0,2
233,60,0,1,8,0,1,2
234,60,0,1,8,0,1,2
235,60,0,1,7,1,2,0
236,60,0,1,6,1,0,2
237,60,0,1,4,0,2,1
238,60,0,1,4,1,1,1
239,60,0,1,10,0,1,2
240,60,0,1,12,1,1,1
241,60,0,1,7,0,1,2
242,60,0,1,8,0,1,2
243,60,0,1,7,0,2,1
244,60,0,1,5,0,2,1
245,60,0,1,9,1,1,1
246,60,0,1,14,1,1,1
247,60,0,1,5,0,3,0
248,60,0,1,11,0,0,3
249,23,0,1,3,0,2,1
250,60,0,1,4,1,2,0
251,60,0,1,7,0,2,1
252,60,0,1,7,1,0,2
253,60,0,1,3,1,1,1
254,60,0,1,6,1,0,2
255,60,0,1,6,1,1,1
256,60,0,1,6,1,1,1
257,60,0,1,6,1,0,2
258,60,0,1,4,1,2,0
259,60,0,1,12,0,1,2
260,60,0,1,12,1,2,0
261,60,0,1,7,0,1,2
262,60,0,1,7,0,1,2
263,60,0,1,10,1,2,0
264,60,0,1,7,1,0,2
265,60,0,1,9,1,2,0
266,60,0,1,10,1,1,1
267,60,0,1,11,1,2,0
268,60,0,1,4,1,1,1
269,60,0,1,8,0,2,1
270,60,0,1,7,2,0,1
271,60,0,1,10,1,2,0
272,60,0,1,9,0,1,2
273,60,0,1,15,1,1,1
274,60,0,1,4,1,2,0
275,60,0,1,3,0,2,1
276,60,0,1,1,0,1,2
277,60,0,1,6,1,1,1
278,60,0,1,4,1,0,2
279,60,0,1,8,2,1,0
280,60,0,1,6,0,1,2
281,60,0,1,2,1,1,1
282,60,0,1,13,1,1,1
283,60,0,1,8,1,2,0
284,60,0,1,7,0,1,2
285,60,0,1,6,1,1,1
286,60,0,1,7,1,2,0
287,60,0,1,6,0,1,2
288,60,0,1,5,1,1,1
289,60,0,1,9,0,1,2
290,60,0,1,11,0,1,2
291,60,0,1,1,1,1,1
292,60,0,1,15,2,1,0
293,60,0,1,3,2,1,0
294,60,0,1,5,0,1,2
295,60,0,1,7,1,1,1
296,60,0,1,2,1,1,1
297,60,0,1,2,0,1,2
298,60,0,1,6,0,1,2
299,60,0,1,6,1,2,0
300,60,0,1,5,2,1,0
301,60,0,1,2,2,0,1
302,60,0,1,14,1,1,1
303,60,0,1,4,0,1,2
304,60,0,1,5,2,1,0
305,60,0,1,4,0,0,3
306,60,0,1,7,0,1,2
307,60,0,1,4,1,2,0
308,60,0,1,6,0,2,1
309,60,0,1,8,1,2,0
310,60,0,1,3,1,1,1
311,60,0,1,2,1,1,1
312,60,0,1,5,0,2,1
313,60,0,1,6,0,1,2
314,60,0,1,7,0,1,2
315,60,0,1,4,0,0,3
316,60,0,1,10,0,1,2
317,60,0,1,11,1,0,2
318,60,0,1,6,0,3,0
319,60,0,1,2,0,3,0
320,60,0,1,7,0,3,0
321,60,0,1,2,0,2,1
322,60,0,1,16,0,1,2
323,60,0,1,5,1,2,0
324,60,0,1,6,1,1,1
325,60,0,1,5,0,0,3
326,60,0,1,8,1,2,0
327,60,0,1,6,1,1,1
328,60,0,1,8,1,1,1
329,60,0,1,8,1,1,1
330,60,0,1,14,0,2,1
331,60,0,1,2,0,2,1
332,60,0,1,6,0,0,3
333,60,0,1,9,1,2,0
334,60,0,1,7,1,1,1
335,60,0,1,5,0,2,1
336,60,0,1,12,1,2,0
337,60,0,1,5,0,3,0
338,56,0,1,1,1,0,2
339,60,0,1,5,0,1,2
340,60,0,1,9,1,2,0
341,60,0,1,4,0,1,2
342,60,0,1,4,0,0,3
343,60,0,1,5,1,1,1
344,60,0,1,4,1,1,1
345,60,0,1,7,1,0,2
346,60,0,1,6,3,0,0
347,60,0,1,4,1,1,1
348,60,0,1,11,0,1,2
349,60,0,1,2,0,1,2
350,60,0,1,7,1,2,0
351,60,0,1,8,1,2,0
352,60,0,1,6,1,2,0
353,60,0,1,6,1,1,1
354,60,0,1,9,0,2,1
355,60,0,1,11,2,1,0
356,60,0,1,4,2,1,0
357,60,0,1,4,1,1,1
358,60,0,1,9,1,1,1
359,60,0,1,6,1,1,1
360,60,0,1,14,0,0,3
361,60,0,1,3,0,0,3
362,60,0,1,4,0,2,1
363,60,0,1,7,0,1,2
364,60,0,1,3,0,1,2
365,60,0,1,6,0,0,3
366,60,0,1,8,0,0,3
367,60,0,1,14,0,0,3
368,60,0,1,12,1,1,1
369,58,0,1,5,1,1,1
370,60,0,1,7,2,0,1
371,60,0,1,16,0,2,1
372,60,0,1,6,0,1,2
373,60,0,1,11,0,1,2
374,60,0,1,7,1,2,0
375,60,0,1,7,2,1,0
376,60,0,1,6,1,0,2
377,60,0,1,11,0,1,2
378,43,0,1,2,0,1,2
379,60,0,1,3,0,2,1
380,60,0,1,6,0,1,2
381,60,0,1,8,0,1,2
382,60,0,1,8,0,0,3
383,60,0,1,3,0,2,1
384,60,0,1,9,0,2,1
385,60,0,1,5,1,2,0
386,60,0,1,4,1,1,1
387,60,0,1,8,1,2,0
388,60,0,1,4,0,0,3
389,60,0,1,3,1,1,1
390,60,0,1,4,0,2,1
391,60,0,1,6,0,2,1
392,60,0,1,6,1,1,1
393,60,0,1,10,1,1,1
394,60,0,1,14,1,2,0
395,60,0,1,9,2,1,0
396,60,0,1,5,1,1,1
397,60,0,1,2,0,1,2
398,60,0,1,10,0,1,2
399,60,0,1,6,1,1,1
400,60,0,1,3,1,0,2
401,60,0,1,2,1,0,2
402,60,0,1,11,0,3,0
403,60,0,1,5,0,0,3
404,60,0,1,7,1,1,1
405,60,0,1,2,0,0,3
406,60,0,1,9,2,1,0
407,60,0,1,8,1,1,1
408,60,0,1,9,1,1,1
409,60,0,1,5,1,1,1
410,60,0,1,16,1,2,0
411,60,0,1,12,0,1,2
412,60,0,1,5,2,1,0
413,60,0,1,6,2,0,1
414,60,0,1,6,1,2,0
415,60,0,1,4,2,0,1
416,60,0,1,2,1,1,1
417,60,0,1,7,0,1,2
418,60,0,1,5,2,1,0
419,60,0,1,7,1,1,1
420,60,0,1,6,0,1,2
421,60,0,1,4,2,0,1
422,60,0,1,5,1,1,1
423,60,0,1,5,2,1,0
424,60,0,1,6,0,3,0
425,60,0,1,3,2,1,0
426,60,0,1,9,2,1,0
427,60,0,1,9,1,1,1
428,60,0,1,6,2,1,0
429,60,0,1,10,1,1,1
430,60,0,1,10,2,1,0
431,60,0,1,7,2,1,0
432,60,0,1,7,2,1,0
433,60,0,1,5,1,1,1
434,44,0,1,3,0,3,0
435,60,0,1,2,1,2,0
436,60,0,1,6,0,1,2
437,60,0,1,4,1,1,1
438,60,0,1,4,1,2,0
439,60,0,1,7,1,1,1
440,60,0,1,5,2,0,1
441,60,0,1,5,2,1,0
442,60,0,1,7,0,1,2
443,60,0,1,2,2,1,0
444,60,0,1,3,0,2,1
445,60,0,1,4,1,1,1
446,60,0,1,3,0,1,2
447,48,0,1,2,1,2,0
448,60,0,1,5,1,2,0
449,54,0,1,6,1,1,1
450,60,0,1,7,0,1,2
451,60,0,1,4,2,0,1
452,60,0,1,15,2,1,0
453,60,0,1,5,1,0,2
454,60,0,1,12,0,1,2
455,60,0,1,11,0,2,1
456,60,0,1,3,0,2,1
457,60,0,1,7,1,2,0
458,60,0,1,11,1,2,0
459,60,0,1,5,1,1,1
460,60,0,1,7,1,1,1
461,60,0,1,4,1,2,0
462,60,0,1,2,1,1,1
463,60,0,1,4,0,1,2
464,60,0,1,7,1,1,1
465,60,0,1,3,0,0,3
466,60,0,1,5,0,1,2
467,60,0,1,8,0,2,1
468,60,0,1,8,0,2,1
469,60,0,1,3,1,1,1
470,60,0,1,3,0,2,1
471,60,0,1,3,0,0,3
472,60,0,1,7,1,0,2
473,60,0,1,6,2,1,0
474,60,0,1,6,1,2,0
475,60,0,1,5,0,1,2
476,60,0,1,2,0,2,1
477,60,0,1,4,1,1,1
478,60,0,1,8,0,1,2
479,60,0,1,13,1,2,0
480,60,0,1,7,1,0,2
481,60,0,1,8,0,3,0
482,60,0,1,15,0,2,1
483,60,0,1,5,1,1,1
484,60,0,1,4,1,0,2
485,60,0,1,9,1,1,1
486,60,0,1,3,1,1,1
487,60,0,1,8,1,0,2
488,60,0,1,3,0,2,1
489,60,0,1,10,0,1,2
490,60,0,1,8,1,2,0
491,60,0,1,4,0,2,1
492,60,0,1,4,0,3,0
493,60,0,1,2,1,1,1
494,60,0,1,5,0,1,2
495,60,0,1,2,2,1,0
496,60,0,1,3,0,1,2
497,60,0,1,3,1,1,1
498,60,0,1,3,1,0,2
499,60,0,1,3,1,2,0
500,60,0,1,5,0,0,3
501,60,0,1,7,0,2,1
502,60,0,1,12,0,2,1
503,60,0,1,10,1,1,1
504,51,0,1,3,0,2,1
505,60,0,1,5,1,2,0
506,60,0,1,5,1,0,2
507,60,0,1,7,1,2,0
508,60,0,1,4,2,0,1
509,60,0,1,7,0,2,1
510,60,0,1,4,1,2,0
511,60,0,1,4,1,0,2
512,60,0,1,5,0,2,1
513,60,0,1,4,0,0,3
514,60,0,1,9,2,1,0
515,60,0,1,11,0,2,1
516,60,0,1,6,2,0,1
517,60,0,1,5,1,1,1
518,60,0,1,4,0,1,2
519,60,0,1,8,0,2,1
520,60,0,1,8,0,1,2
521,30,0,1,1,2,0,1
522,60,0,1,5,1,1,1
523,60,0,1,6,0,3,0
