,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,60,0,1,6,1,1,1
1,60,0,1,1,1,1,1
2,60,0,1,6,0,2,1
3,50,0,1,3,1,2,0
4,60,0,1,6,1,1,1
5,60,0,1,6,1,0,2
6,60,0,1,10,1,1,1
7,60,0,1,1,0,1,2
8,43,0,1,2,0,2,1
9,60,0,1,3,0,2,1
10,60,0,1,2,0,0,3
11,60,0,1,9,1,1,1
12,60,0,1,4,0,2,1
13,60,0,1,8,1,1,1
14,60,0,1,4,0,2,1
15,60,0,1,6,1,1,1
16,60,0,1,4,0,2,1
17,60,0,1,2,1,1,1
18,60,0,1,6,0,0,3
19,60,0,1,5,0,1,2
20,60,0,1,6,0,2,1
21,60,0,1,4,1,1,1
22,60,0,1,5,0,1,2
23,60,0,1,5,0,0,3
24,60,0,1,3,0,2,1
25,60,0,1,9,1,0,2
26,60,0,1,3,0,2,1
27,60,0,1,5,1,1,1
28,60,0,1,3,1,0,2
29,60,0,1,6,0,1,2
30,60,0,1,2,1,1,0
31,60,0,1,8,0,2,1
32,60,0,1,4,1,1,1
33,60,0,1,7,1,1,1
34,60,0,1,4,0,2,1
35,53,0,1,1,1,2,0
36,60,0,1,3,1,2,0
37,60,0,1,4,0,0,3
38,56,0,1,2,0,0,3
39,60,0,1,4,0,3,0
40,60,0,1,7,1,1,1
41,60,0,1,3,1,1,1
42,57,0,1,2,0,3,0
43,60,0,1,4,1,2,0
44,60,0,1,1,0,3,0
45,60,0,1,5,0,1,2
46,60,0,1,4,1,1,1
47,60,0,1,4,1,2,0
48,60,0,1,4,0,1,2
49,60,0,1,1,1,1,1
50,60,0,1,3,0,0,3
51,60,0,1,6,0,0,3
52,60,0,1,4,0,1,2
53,60,0,1,4,0,2,1
54,60,0,1,6,1,2,0
55,60,0,1,3,1,1,1
56,60,0,1,5,1,2,0
57,60,0,1,3,0,1,2
58,60,0,1,4,1,0,2
59,60,0,1,3,1,2,0
60,60,0,1,3,0,2,1
61,60,0,1,10,0,2,1
62,60,0,1,4,0,2,1
63,60,0,1,4,1,1,1
64,60,0,1,3,0,2,1
65,60,0,1,3,0,0,3
66,60,0,1,9,2,0,1
67,60,0,1,4,1,1,1
68,60,0,1,6,0,1,2
69,30,0,1,2,1,2,0
70,60,0,1,8,0,0,3
71,60,0,1,2,0,1,2
72,60,0,1,10,0,0,3
73,60,0,1,7,0,2,1
74,60,0,1,2,0,0,3
75,60,0,1,4,1,1,1
76,49,0,1,3,0,2,1
77,60,0,1,4,0,3,0
78,60,0,1,5,1,1,1
79,60,0,1,4,1,0,2
80,60,0,1,5,1,2,0
81,60,0,1,2,0,2,1
82,60,0,1,4,1,1,1
83,60,0,1,4,0,2,1
84,60,0,1,10,0,1,2
85,60,0,1,3,0,1,2
86,60,0,1,6,1,0,2
87,60,0,1,5,0,2,1
88,60,0,1,3,0,1,2
89,60,0,1,4,1,1,1
90,60,0,1,2,0,2,1
91,60,0,1,11,0,1,2
92,60,0,1,8,1,1,1
93,60,0,1,6,0,1,2
94,60,0,1,6,0,1,2
95,60,0,1,2,0,0,3
96,60,0,1,10,1,2,0
97,60,0,1,3,1,1,1
98,60,0,1,3,1,0,2
99,60,0,1,4,0,1,2
100,60,0,1,5,0,2,1
101,60,0,1,9,1,1,1
102,60,0,1,5,0,0,3
103,60,0,1,3,1,2,0
104,60,0,1,3,0,1,2
105,60,0,1,7,0,0,3
106,60,0,1,3,0,1,2
107,60,0,1,7,0,0,3
108,60,0,1,4,2,1,0
109,60,0,1,3,0,2,1
110,60,0,1,2,0,0,3
111,60,0,1,4,0,2,1
112,60,0,1,6,1,1,1
113,60,0,1,3,2,1,0
114,60,0,1,8,0,2,1
115,60,0,1,5,0,1,2
116,60,0,1,4,1,1,1
117,60,0,1,4,0,0,3
118,60,0,1,8,1,1,1
119,44,0,1,2,0,2,1
120,60,0,1,6,0,2,1
121,60,0,1,5,1,1,1
122,60,0,1,3,1,2,0
123,60,0,1,6,2,0,1
124,60,0,1,3,0,2,1
