,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,60,0,1,4,1,1,1
1,32,0,1,2,0,0,3
2,60,0,1,11,1,0,2
3,60,0,1,2,1,0,2
4,52,0,1,2,0,2,1
5,60,0,1,7,0,2,1
6,60,0,1,3,0,0,3
7,60,0,1,4,0,2,1
8,60,0,1,5,0,2,1
9,60,0,1,2,0,1,2
10,60,0,1,4,1,0,2
11,60,0,1,4,0,1,2
12,60,0,1,5,0,1,2
13,60,0,1,4,0,3,0
14,60,0,1,3,0,1,2
15,60,0,1,6,1,2,0
16,60,0,1,7,0,0,3
17,60,0,1,9,0,1,2
18,60,0,1,3,1,1,1
19,60,0,1,3,0,3,0
20,60,0,1,9,1,1,1
21,60,0,1,2,2,1,0
22,60,0,1,5,0,0,3
23,60,0,1,5,0,3,0
24,60,0,1,8,1,1,1
25,60,0,1,6,0,3,0
26,60,0,1,5,0,1,2
27,60,0,1,5,0,2,1
28,60,0,1,4,1,2,0
29,60,0,1,4,1,2,0
30,60,0,1,5,0,1,2
31,60,0,1,7,0,0,3
32,44,0,1,1,0,1,2
33,60,0,1,5,0,1,2
34,13,0,1,2,0,3,0
35,60,0,1,6,1,1,1
36,60,0,1,4,1,0,2
37,60,0,1,4,0,1,2
38,60,0,1,3,0,0,3
39,60,0,1,2,0,0,3
40,60,0,1,6,1,1,1
41,23,0,1,2,0,1,2
42,60,0,1,5,0,2,1
43,60,0,1,3,0,2,1
44,60,0,1,3,1,1,1
45,60,0,1,4,0,2,1
46,60,0,1,4,0,1,2
47,60,0,1,4,0,0,3
48,60,0,1,4,1,1,1
49,60,0,1,5,2,1,0
50,60,0,1,8,1,1,1
51,55,0,1,8,1,0,2
52,60,0,1,3,1,2,0
53,60,0,1,9,1,1,1
54,60,0,1,4,1,1,1
55,60,0,1,2,1,2,0
56,60,0,1,3,0,0,3
57,60,0,1,5,1,1,1
58,60,0,1,3,0,2,1
59,60,0,1,4,1,1,1
60,47,0,1,4,0,2,1
61,60,0,1,5,1,1,1
62,60,0,1,3,0,2,1
63,60,0,1,7,0,2,1
64,60,0,1,6,0,0,3
65,60,0,1,5,0,2,1
66,60,0,1,10,0,0,3
67,60,0,1,7,1,1,1
68,60,0,1,7,1,0,2
69,60,0,1,6,1,2,0
70,60,0,1,11,1,0,2
71,60,0,1,3,1,1,1
72,60,0,1,4,1,1,1
73,60,0,1,3,1,1,1
74,60,0,1,4,0,0,3
75,60,0,1,5,0,1,2
76,60,0,1,2,0,2,1
77,60,0,1,3,1,1,1
78,60,0,1,5,0,0,3
79,60,0,1,5,0,0,3
80,60,0,1,2,0,3,0
81,53,0,1,4,0,2,1
82,60,0,1,3,0,2,1
83,60,0,1,4,1,0,2
84,60,0,1,7,0,1,2
85,60,0,1,5,0,1,2
86,60,0,1,3,0,1,2
87,41,0,1,3,0,3,0
88,60,0,1,6,0,1,2
89,60,0,1,4,0,0,3
90,60,0,1,8,0,1,2
91,60,0,1,9,1,1,1
92,60,0,1,4,0,1,2
93,28,0,1,2,0,2,1
94,60,0,1,4,0,1,2
95,60,0,1,1,0,2,1
96,60,0,1,4,1,2,0
97,60,0,1,7,0,1,2
98,43,0,1,1,0,2,1
99,60,0,1,2,0,3,0
100,60,0,1,7,1,0,2
101,60,0,1,6,2,1,0
102,60,0,1,3,0,2,1
103,44,0,1,2,1,1,1
