,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,60,47,1,25,0,1,0
1,60,60,0,25,0,0,0
2,60,0,1,1,1,1,1
3,60,46,1,25,0,1,0
4,60,40,1,25,0,0,1
5,60,60,1,25,0,0,1
6,60,54,1,25,0,0,1
7,60,37,1,25,0,1,0
8,60,53,1,25,0,0,1
9,60,28,1,25,1,0,1
10,60,28,1,25,0,1,1
11,60,48,1,25,1,0,0
12,60,14,1,25,1,0,1
13,60,35,1,25,0,0,1
14,60,20,1,25,0,1,1
15,60,44,1,25,0,0,1
16,60,60,1,25,0,0,0
17,60,56,1,25,0,0,0
18,60,40,1,25,0,0,1
19,60,35,1,25,0,2,0
20,60,40,1,25,0,0,1
21,60,22,1,25,0,1,1
22,60,20,1,25,0,0,2
23,60,44,1,25,0,1,0
24,60,36,1,25,0,1,0
25,60,60,1,25,0,0,0
26,60,36,1,25,0,0,1
27,60,50,1,25,0,1,0
28,60,60,0,25,0,0,0
29,60,41,1,25,0,1,0
30,60,60,0,25,0,0,0
31,60,60,1,25,0,0,0
32,60,37,1,25,1,0,0
33,60,41,1,25,0,0,1
34,60,47,1,25,1,0,0
35,60,53,1,25,0,0,1
36,60,47,1,25,0,1,0
37,60,20,1,25,0,2,0
38,60,43,1,25,0,1,0
39,60,50,1,25,0,1,0
40,60,4,1,25,0,2,1
41,60,46,1,25,0,1,0
42,60,48,1,25,0,0,1
43,60,23,1,25,0,2,0
44,60,60,1,25,0,0,0
45,60,38,1,25,0,0,1
46,60,60,0,25,0,0,0
47,60,26,1,25,0,1,0
48,60,45,1,25,1,0,0
49,60,41,1,25,1,0,0
50,60,37,1,25,0,1,0
51,60,54,1,25,0,0,1
52,60,33,1,25,0,0,1
53,60,48,1,25,0,1,0
54,60,40,1,25,0,0,1
55,60,24,1,25,0,1,1
56,60,25,1,25,1,0,1
57,60,35,1,25,0,2,0
58,60,9,1,25,0,1,1
59,60,39,1,25,0,1,0
60,60,60,1,25,0,0,0
61,60,0,1,20,1,1,1
62,60,25,1,25,1,0,1
63,60,36,1,25,0,0,1
64,60,47,1,25,0,0,1
65,60,46,1,25,0,1,0
66,60,34,1,25,1,0,0
67,60,42,1,25,0,0,1
68,60,60,1,25,0,0,1
69,60,48,1,25,0,0,1
70,60,44,1,25,0,0,1
71,60,28,1,25,0,0,2
72,60,21,1,25,1,1,0
73,60,49,1,25,1,0,0
74,60,60,1,25,0,0,0
75,60,36,1,25,0,0,1
76,60,49,1,25,0,0,1
77,60,60,1,25,0,0,0
78,60,0,1,7,0,2,1
79,60,21,1,25,0,1,1
80,60,0,1,19,0,2,1
81,60,59,1,25,0,0,0
82,60,60,0,25,0,0,0
83,60,60,1,25,0,0,0
84,60,60,1,25,0,0,0
85,60,24,1,25,0,1,1
86,60,0,1,3,0,2,1
87,0,60,0,0,1,0,2
88,60,34,1,25,0,0,1
89,60,20,1,25,0,0,2
90,60,56,1,25,0,0,0
91,60,43,1,25,0,1,0
92,60,60,0,25,0,0,0
93,60,41,1,25,0,1,0
94,60,60,0,25,0,0,0
95,60,17,1,25,0,0,2
96,60,60,1,25,0,0,0
97,60,41,1,25,1,0,0
98,60,60,0,25,0,0,0
99,60,24,1,25,0,0,2
100,60,0,1,12,2,1,0
101,60,53,1,25,0,0,1
102,60,52,1,25,0,1,0
103,60,17,1,25,0,2,0
104,60,2,1,25,0,2,1
105,60,56,1,25,0,0,1
106,60,39,1,25,0,1,0
107,60,26,1,25,0,1,1
108,60,40,1,25,0,0,1
109,60,0,1,11,0,2,1
110,60,47,1,25,0,0,1
111,60,53,1,25,0,0,1
112,60,31,1,25,0,0,2
113,60,43,1,25,0,0,1
114,60,58,1,25,0,0,1
115,60,36,1,25,0,0,1
116,60,56,1,25,0,0,0
117,60,20,1,25,0,0,2
118,60,42,1,25,0,1,0
119,60,40,1,25,0,1,0
120,60,0,1,3,0,2,1
121,60,20,1,25,0,0,2
122,60,42,1,25,1,0,0
123,60,60,1,25,0,0,0
124,60,32,1,25,1,0,1
125,60,49,1,25,0,0,1
126,60,41,1,25,1,0,0
127,60,23,1,25,0,2,0
128,60,60,1,25,0,0,0
129,60,33,1,25,0,0,1
130,60,60,1,25,0,0,0
131,60,55,1,25,0,0,1
132,60,39,1,25,0,0,1
133,60,44,1,25,0,1,0
134,60,8,1,25,1,0,2
135,60,60,0,25,1,0,0
136,60,50,1,25,0,1,0
137,60,36,1,25,1,0,0
138,60,51,1,25,0,0,1
139,60,33,1,25,1,0,1
140,60,19,1,25,0,1,1
141,60,20,1,25,0,1,1
142,60,60,0,25,0,0,0
143,60,34,1,25,0,1,0
144,60,49,1,25,0,0,1
145,60,47,1,25,0,1,0
146,60,22,1,25,0,2,0
147,60,43,1,25,1,0,0
148,60,31,1,25,2,0,0
149,60,42,1,25,0,1,0
150,60,50,1,25,0,1,0
