,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,0,17,0,3,1,1,1
1,0,23,0,4,1,1,1
2,0,30,0,6,1,1,1
3,50,0,1,3,0,1,2
4,0,45,0,2,0,1,2
5,0,16,0,9,0,2,1
6,55,0,1,4,0,1,2
7,0,2,0,2,0,2,1
8,0,20,0,6,1,2,0
9,0,10,0,8,2,1,0
10,20,0,1,2,0,2,1
11,0,32,0,2,0,2,1
12,20,0,1,3,1,2,0
13,0,18,0,1,2,1,0
14,0,20,0,2,1,1,1
15,0,19,0,2,0,3,0
16,57,0,1,2,2,0,1
17,60,0,1,2,1,1,1
18,0,14,0,1,0,2,1
19,0,27,0,9,2,1,0
20,40,0,1,2,1,0,2
21,0,18,0,3,0,2,1
22,0,43,0,1,0,3,0
23,24,0,1,4,0,0,3
24,50,0,1,3,0,1,2
25,0,18,0,5,1,0,2
26,35,0,1,2,0,1,2
27,21,0,1,4,2,1,0
28,23,0,1,6,0,1,2
29,0,0,1,10,1,0,2
30,0,60,0,0,0,3,0
31,59,0,1,2,0,1,2
32,17,0,1,12,2,1,0
33,0,4,0,4,2,1,0
34,54,0,1,7,2,1,0
35,0,10,0,3,1,1,1
36,19,0,1,6,1,0,2
37,0,22,0,8,0,1,2
38,0,19,0,3,1,1,1
39,0,10,0,4,0,1,2
40,25,0,1,4,0,0,3
41,0,19,0,5,1,1,1
42,19,0,1,5,0,2,1
43,35,0,1,4,0,2,1
44,0,2,0,6,1,1,1
45,0,15,0,3,1,1,1
46,23,0,1,6,2,1,0
47,0,33,0,6,0,2,1
48,23,0,1,9,0,1,2
49,26,0,1,1,1,0,2
50,0,32,0,3,1,2,0
51,0,33,0,0,2,1,0
52,56,0,1,4,0,1,2
53,0,18,0,2,0,2,1
54,0,39,0,1,1,1,1
55,0,22,0,5,0,2,1
56,0,5,0,7,0,3,0
57,0,48,0,4,0,3,0
58,0,10,0,3,0,1,2
59,36,0,1,2,0,2,1
60,55,0,1,2,0,3,0
61,15,0,1,11,0,1,2
62,0,23,0,3,1,0,2
63,16,0,1,3,0,1,2
64,0,30,0,3,0,1,2
65,0,57,0,2,1,1,1
66,0,15,0,5,1,0,2
67,22,0,1,7,0,1,2
68,0,40,0,5,0,3,0
69,49,0,1,2,0,3,0
70,4,0,1,6,1,0,2
71,28,0,1,5,0,1,2
72,49,0,1,2,0,3,0
73,0,17,0,4,0,2,1
74,0,14,0,4,1,1,1
75,19,0,1,4,1,2,0
76,2,0,1,3,0,2,1
77,13,0,1,5,0,2,1
78,36,0,1,2,1,1,1
79,0,2,0,4,2,1,0
80,0,21,0,5,0,1,2
81,0,24,0,5,0,2,1
82,0,14,0,2,0,0,3
83,17,0,1,10,0,0,3
84,0,45,0,3,0,1,2
85,21,0,1,6,1,0,2
86,38,0,1,3,0,1,2
87,39,0,1,8,1,1,1
88,0,29,0,2,0,2,1
89,0,36,0,5,1,2,0
90,0,2,0,4,0,2,1
91,0,29,0,3,1,1,1
92,0,47,0,3,2,1,0
93,0,24,0,3,2,1,0
94,0,45,0,1,0,1,2
95,0,4,0,3,0,2,1
96,11,0,1,5,2,0,1
97,52,0,1,2,0,0,3
98,0,33,0,2,1,2,0
99,44,0,1,5,1,1,1
100,16,0,1,6,1,1,1
101,43,0,1,6,1,1,1
102,0,22,0,6,1,1,1
103,0,10,0,6,1,1,1
104,0,45,0,2,0,0,3
105,0,23,0,8,0,0,3
106,0,15,0,4,1,1,1
107,0,60,0,1,1,0,2
108,0,52,0,3,1,1,1
109,0,18,0,3,0,2,1
110,0,13,0,1,0,3,0
111,0,23,0,3,1,2,0
112,25,0,1,3,1,1,1
113,0,7,0,4,0,1,2
114,15,0,1,6,0,1,2
115,0,0,0,2,0,2,1
116,16,0,1,3,1,2,0
117,0,13,0,7,0,1,2
118,35,0,1,1,3,0,0
119,0,23,0,6,0,2,1
120,0,6,0,1,2,1,0
121,27,0,1,6,1,2,0
122,0,8,0,2,1,2,0
123,0,18,0,4,0,1,2
124,23,0,1,6,0,2,1
125,0,46,0,2,1,1,1
126,0,16,0,4,1,1,1
127,29,0,1,5,0,1,2
128,35,0,1,1,0,2,1
129,0,19,0,5,0,1,2
130,27,0,1,3,0,0,3
131,26,0,1,2,0,2,1
132,0,21,0,3,0,0,3
133,0,7,0,4,0,0,3
134,0,41,0,4,1,0,2
135,0,9,0,2,0,1,2
136,29,0,1,4,0,1,2
137,0,20,0,9,1,2,0
138,0,8,0,4,2,1,0
139,59,0,1,4,1,1,1
140,28,0,1,3,0,1,2
141,6,0,1,3,0,0,3
142,18,0,1,3,0,1,2
143,25,0,1,3,2,0,1
144,16,0,1,5,1,1,1
145,0,0,1,7,0,0,3
146,0,16,0,7,1,1,1
147,10,0,1,2,1,2,0
148,0,12,0,3,0,2,1
149,12,0,1,6,1,0,2
150,2,0,1,5,0,1,2
151,23,0,1,2,1,1,1
152,21,0,1,4,1,2,0
153,0,15,0,3,0,1,2
154,0,60,0,1,0,1,2
155,18,0,1,11,0,1,2
156,22,0,1,3,1,2,0
157,0,41,0,5,0,1,2
158,0,19,0,6,1,1,1
159,10,0,1,7,1,1,1
160,0,60,0,0,0,2,1
161,0,27,0,3,1,1,1
162,0,22,0,2,0,1,2
163,48,0,1,1,0,2,1
164,6,0,1,3,0,1,2
165,27,0,1,4,0,2,1
166,41,0,1,7,0,1,2
167,0,44,0,3,0,2,1
168,0,0,1,4,0,2,1
169,59,0,1,1,0,1,2
170,0,60,0,0,0,1,2
171,31,0,1,2,0,1,2
172,0,4,0,8,0,1,2
173,0,45,0,3,1,2,0
174,0,44,0,6,1,1,1
175,31,0,1,6,0,2,1
176,16,0,1,7,0,0,3
177,13,0,1,7,1,0,2
178,0,48,0,2,3,0,0
179,0,19,0,1,0,1,2
180,2,0,1,4,1,1,1
181,0,34,0,2,1,1,1
182,17,0,1,7,0,0,3
183,0,2,0,4,1,2,0
184,2,0,1,5,1,2,0
185,0,46,0,2,0,3,0
186,54,0,1,2,1,1,1
187,0,54,0,2,0,2,1
188,0,0,0,3,2,1,0
189,0,30,0,1,0,1,2
190,0,44,0,2,0,2,1
191,0,44,0,4,0,0,3
192,0,43,0,4,0,0,3
193,0,48,0,1,0,1,2
194,2,0,1,4,0,0,3
195,2,0,1,1,1,1,1
196,0,60,0,0,1,1,1
197,0,51,0,3,1,2,0
198,52,0,1,4,0,2,1
199,0,20,0,5,0,2,1
200,0,3,0,3,1,1,1
201,54,0,1,4,0,3,0
202,0,36,0,3,1,0,2
203,0,16,0,4,1,1,1
204,50,0,1,2,0,1,2
205,43,0,1,2,1,1,1
206,30,0,1,8,1,2,0
207,15,0,1,4,0,2,1
208,32,0,1,2,0,3,0
209,0,6,0,3,1,2,0
210,0,7,0,6,1,1,1
211,55,0,1,3,0,1,2
212,23,0,1,9,1,1,1
213,58,0,1,3,1,0,2
214,0,3,0,2,0,0,3
215,16,0,1,8,0,0,3
216,0,15,0,3,1,2,0
217,0,23,0,3,1,1,1
218,7,0,1,5,1,2,0
219,0,27,0,6,1,1,1
220,0,60,0,0,0,0,3
221,60,0,1,1,1,1,1
222,32,0,1,2,0,0,3
223,0,7,0,4,0,1,2
224,13,0,1,6,2,1,0
225,0,2,0,3,1,1,1
226,45,0,1,6,0,3,0
227,3,0,1,4,0,2,1
228,0,30,0,0,1,2,0
229,0,23,0,2,1,0,2
230,46,0,1,2,0,1,2
231,0,60,0,3,0,2,1
232,0,13,0,3,0,1,2
233,19,0,1,3,1,1,1
234,20,0,1,5,0,0,3
235,8,0,1,3,1,2,0
236,44,0,1,4,1,1,1
237,0,23,0,4,1,1,1
238,0,7,0,3,1,1,1
239,17,0,1,2,1,1,1
240,8,0,1,5,2,1,0
241,26,0,1,3,1,2,0
242,22,0,1,5,1,0,2
243,15,0,1,2,2,1,0
244,0,7,0,3,0,1,2
245,18,0,1,5,1,1,1
246,0,5,0,3,0,0,3
247,60,0,1,5,0,2,1
248,31,0,1,2,1,2,0
249,0,13,0,6,1,1,1
250,22,0,1,6,0,2,1
251,19,0,1,9,1,1,1
252,0,60,0,0,1,1,1
253,0,0,1,9,0,2,1
254,46,0,1,4,1,2,0
255,0,27,0,3,1,1,1
256,39,0,1,1,0,1,2
257,0,47,0,2,0,0,3
258,21,0,1,5,1,1,1
259,23,0,1,1,1,0,2
260,16,0,1,4,1,1,1
261,13,0,1,4,1,2,0
262,0,55,0,3,1,1,1
263,16,0,1,8,0,1,2
264,5,0,1,3,1,0,2
265,35,0,1,6,0,1,2
266,0,60,0,1,0,2,1
267,32,0,1,6,0,0,3
268,15,0,1,3,0,1,2
269,0,4,0,5,0,2,1
270,60,0,1,5,1,1,1
271,14,0,1,4,1,1,1
272,0,21,0,2,0,2,1
273,3,0,1,4,0,0,3
