,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,28,0,1,10,0,0,3
1,31,0,1,2,1,1,1
2,13,0,1,6,0,2,1
3,0,25,0,1,0,1,2
4,0,60,0,1,0,0,3
5,0,46,0,1,1,1,1
6,14,0,1,6,0,1,2
7,50,0,1,2,1,1,1
8,2,0,1,4,0,0,3
9,20,0,1,3,1,1,1
10,19,0,1,7,0,0,3
11,0,30,0,4,2,0,1
12,0,52,0,2,1,1,1
13,0,22,0,3,0,2,1
14,0,33,0,6,0,2,1
15,0,32,0,8,1,1,1
16,57,0,1,2,1,2,0
17,0,6,0,4,1,1,1
18,38,0,1,1,1,1,1
19,23,0,1,6,1,1,1
20,6,0,1,7,0,0,3
21,9,0,1,5,0,1,2
22,0,23,0,7,1,1,1
23,0,45,0,1,0,2,1
24,0,42,0,2,1,1,1
25,0,43,0,1,1,1,1
26,0,60,0,1,0,1,2
27,0,49,0,2,0,2,1
28,15,0,1,5,1,1,1
29,0,34,0,4,0,2,1
30,0,60,0,1,1,1,1
31,0,30,0,1,0,0,3
32,0,24,0,2,0,1,2
33,0,9,0,2,2,0,1
34,22,0,1,3,2,1,0
35,0,2,0,3,1,1,1
36,5,0,1,4,1,1,1
37,0,38,0,2,1,1,1
38,12,0,1,2,0,2,1
39,0,22,0,0,1,2,0
40,0,25,0,2,0,2,1
41,2,0,1,4,2,0,1
42,0,16,0,6,0,1,2
43,28,0,1,6,0,1,2
44,0,59,0,5,1,1,1
45,0,13,0,5,0,1,2
46,0,13,0,6,2,1,0
47,54,0,1,3,1,2,0
48,0,42,0,2,0,2,1
49,0,49,0,4,0,1,2
50,0,2,0,4,2,1,0
51,0,60,0,1,0,2,1
52,0,8,0,8,1,2,0
53,0,2,0,5,0,2,1
54,0,27,0,1,2,1,0
55,27,0,1,4,0,0,3
56,10,0,1,11,0,1,2
57,24,0,1,1,0,1,2
58,0,41,0,2,1,1,1
59,25,0,1,5,2,1,0
60,0,32,0,2,0,1,2
61,0,3,0,6,0,1,2
62,0,25,0,4,1,1,1
63,0,18,0,3,1,1,1
64,0,14,0,5,0,0,3
65,39,0,1,2,0,2,1
66,20,0,1,1,1,0,2
67,16,0,1,6,0,2,1
68,43,0,1,5,0,0,3
69,0,2,0,5,2,1,0
70,19,0,1,2,0,1,2
71,60,0,1,3,1,1,1
72,21,0,1,3,1,2,0
73,0,53,0,0,0,3,0
74,11,0,1,6,0,1,2
75,0,18,0,2,2,1,0
76,0,22,0,5,1,1,1
77,24,0,1,2,0,2,1
78,32,0,1,3,0,2,1
79,0,5,0,3,0,1,2
80,0,6,0,2,0,1,2
81,20,0,1,4,0,2,1
82,0,51,0,0,1,0,2
83,16,0,1,4,1,1,1
84,0,28,0,1,0,2,1
85,0,20,0,5,0,2,1
86,0,40,0,1,0,2,1
87,0,9,0,6,0,1,2
88,14,0,1,4,0,3,0
89,25,0,1,7,1,2,0
90,12,0,1,3,0,1,2
91,0,12,0,4,0,2,1
92,0,37,0,1,0,3,0
93,0,20,0,1,0,1,2
94,0,20,0,5,1,1,1
95,31,0,1,3,0,1,2
96,0,21,0,4,1,2,0
97,0,11,0,7,1,0,2
98,0,6,0,6,0,0,3
99,16,0,1,5,0,2,1
100,0,60,0,1,0,2,1
101,8,0,1,2,0,1,2
102,3,0,1,4,1,1,1
103,10,0,1,12,0,1,2
104,0,30,0,6,1,2,0
105,0,16,0,2,1,1,1
106,0,10,0,4,1,2,0
107,11,0,1,5,1,0,2
108,22,0,1,4,1,2,0
109,0,25,0,5,0,2,1
110,0,10,0,5,1,2,0
111,21,0,1,10,0,1,2
112,0,25,0,3,0,1,2
113,0,18,0,4,1,1,1
114,8,0,1,3,1,0,2
115,0,16,0,5,0,2,1
