,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,55,0,1,3,1,2,0
1,0,32,0,3,0,2,1
2,28,0,1,10,0,1,2
3,31,0,1,2,1,1,1
4,0,5,0,5,1,1,1
5,0,25,0,1,0,1,2
6,0,60,0,1,0,0,3
7,0,46,0,1,1,1,1
8,14,0,1,6,0,1,2
9,50,0,1,2,1,1,1
10,2,0,1,4,0,0,3
11,20,0,1,3,1,1,1
12,19,0,1,7,0,0,3
13,0,30,0,4,2,0,1
14,0,51,0,3,1,1,1
15,0,22,0,3,0,2,1
16,0,58,0,3,0,2,1
17,0,2,0,8,0,1,2
18,57,0,1,2,1,2,0
19,0,10,0,4,1,1,1
20,38,0,1,1,1,1,1
21,0,60,0,4,0,3,0
22,6,0,1,7,0,0,3
23,9,0,1,4,1,1,1
24,0,10,0,7,1,1,1
25,0,45,0,1,0,2,1
26,0,42,0,2,1,1,1
27,0,43,0,1,1,1,1
28,0,60,0,1,0,1,2
29,0,49,0,2,0,2,1
30,15,0,1,5,1,1,1
31,0,34,0,4,0,2,1
32,0,60,0,1,1,1,1
33,0,30,0,1,0,0,3
34,0,23,0,1,0,1,2
35,0,9,0,2,2,0,1
36,22,0,1,3,2,1,0
37,0,2,0,3,1,1,1
38,5,0,1,4,1,1,1
39,0,38,0,2,1,1,1
40,12,0,1,2,0,2,1
41,0,22,0,0,1,2,0
42,0,24,0,2,0,2,1
43,2,0,1,4,2,0,1
44,0,38,0,4,1,1,1
45,0,24,0,6,1,1,1
46,0,60,0,4,1,1,1
47,0,13,0,5,0,1,2
48,0,13,0,6,2,1,0
49,54,0,1,3,1,2,0
50,0,42,0,2,0,2,1
51,0,44,0,4,0,1,2
52,0,2,0,4,2,1,0
53,0,60,0,1,0,2,1
54,12,0,1,5,1,1,1
55,0,2,0,5,0,2,1
56,0,27,0,1,2,1,0
57,27,0,1,4,0,0,3
58,0,36,0,10,1,0,2
59,24,0,1,1,0,1,2
60,0,41,0,2,1,1,1
61,7,0,1,5,2,1,0
62,0,32,0,2,0,1,2
63,16,0,1,5,1,0,2
64,0,24,0,4,1,1,1
65,0,18,0,3,1,1,1
66,20,0,1,5,0,2,1
67,39,0,1,2,0,2,1
68,20,0,1,1,1,0,2
69,20,0,1,5,0,1,2
70,43,0,1,5,0,0,3
71,0,2,0,5,2,1,0
72,19,0,1,2,0,1,2
73,60,0,1,3,1,1,1
74,21,0,1,3,1,2,0
75,0,53,0,0,0,3,0
76,0,8,0,5,0,1,2
77,0,16,0,3,1,2,0
78,16,0,1,4,1,0,2
79,24,0,1,2,0,2,1
80,32,0,1,3,0,2,1
81,0,5,0,4,0,1,2
82,0,6,0,2,0,1,2
83,6,0,1,5,0,2,1
84,0,51,0,0,1,0,2
85,16,0,1,4,2,1,0
86,0,28,0,1,0,2,1
87,0,20,0,5,0,2,1
88,0,40,0,1,0,2,1
89,0,4,0,6,0,1,2
90,14,0,1,4,0,3,0
91,25,0,1,6,1,1,1
92,12,0,1,3,0,1,2
93,0,12,0,4,0,2,1
94,0,37,0,2,0,2,1
95,0,20,0,1,0,1,2
96,0,8,0,4,1,1,1
97,47,0,1,3,0,1,2
98,16,0,1,5,2,0,1
99,0,11,0,7,1,0,2
100,0,6,0,6,0,0,3
101,16,0,1,5,0,2,1
102,0,60,0,1,0,2,1
103,8,0,1,2,0,1,2
104,3,0,1,5,1,1,1
105,8,0,1,8,1,0,2
106,0,30,0,6,1,2,0
107,0,16,0,2,1,1,1
108,0,10,0,4,1,2,0
109,11,0,1,5,1,0,2
110,22,0,1,4,1,2,0
111,0,25,0,5,0,2,1
112,0,10,0,5,1,2,0
113,28,0,1,7,0,1,2
114,0,17,0,3,0,1,2
115,0,16,0,4,1,1,1
116,8,0,1,3,1,0,2
117,39,0,1,4,1,1,1
118,0,5,0,5,0,1,2
119,2,0,1,7,1,2,0
120,30,0,1,4,0,1,2
121,0,26,0,3,0,0,3
122,2,0,1,6,0,1,2
123,0,20,0,4,1,2,0
124,15,0,1,7,0,2,1
125,0,6,0,6,0,2,1
126,0,12,0,1,2,1,0
127,0,16,0,5,0,0,3
128,0,3,0,3,0,3,0
129,7,0,1,5,1,1,1
130,23,0,1,7,0,3,0
131,0,51,0,2,1,1,1
132,0,16,0,6,1,1,1
133,23,0,1,6,0,1,2
134,35,0,1,1,0,2,1
135,11,0,1,6,2,0,1
136,0,18,0,2,1,1,1
137,48,0,1,2,0,2,1
138,11,0,1,3,0,1,2
139,0,10,0,4,0,0,3
140,0,48,0,3,1,0,2
141,0,9,0,2,0,1,2
142,0,6,0,3,0,1,2
143,16,0,1,3,0,0,3
144,2,0,1,7,2,1,0
145,57,0,1,4,1,1,1
146,28,0,1,3,0,1,2
147,6,0,1,3,0,0,3
148,18,0,1,3,0,0,3
149,0,11,0,5,0,1,2
150,16,0,1,5,1,1,1
151,0,0,1,7,1,2,0
152,0,21,0,4,1,1,1
153,10,0,1,2,1,2,0
154,18,0,1,3,0,1,2
155,0,19,0,3,2,1,0
156,2,0,1,5,0,1,2
157,23,0,1,2,1,1,1
158,21,0,1,4,1,2,0
159,9,0,1,4,1,2,0
160,0,60,0,1,0,1,2
161,6,0,1,6,0,0,3
162,22,0,1,3,1,2,0
163,0,27,0,5,0,1,2
164,0,33,0,1,1,1,1
165,15,0,1,8,1,0,2
166,0,60,0,0,0,2,1
167,0,27,0,1,1,1,1
168,0,23,0,2,0,1,2
169,48,0,1,1,0,2,1
170,6,0,1,3,0,1,2
171,27,0,1,4,0,2,1
172,41,0,1,9,0,1,2
173,0,36,0,3,0,2,1
174,0,0,1,6,1,0,2
175,59,0,1,1,0,1,2
176,0,60,0,0,0,1,2
177,31,0,1,4,0,2,1
178,25,0,1,7,0,0,3
179,0,43,0,3,1,2,0
180,0,42,0,8,1,1,1
181,29,0,1,6,1,0,2
182,16,0,1,6,0,1,2
183,0,36,0,3,0,2,1
184,0,37,0,2,2,1,0
185,0,23,0,1,1,0,2
186,2,0,1,4,1,1,1
187,0,10,0,3,1,1,1
188,30,0,1,7,0,2,1
189,0,6,0,3,1,2,0
190,0,13,0,5,1,1,1
191,16,0,1,4,0,0,3
192,54,0,1,2,1,2,0
193,0,56,0,2,0,2,1
194,23,0,1,1,0,3,0
195,0,17,0,1,0,1,2
196,0,44,0,2,0,2,1
197,6,0,1,7,1,1,1
198,0,29,0,4,0,0,3
199,0,49,0,1,0,1,2
200,2,0,1,4,0,0,3
201,2,0,1,1,1,1,1
202,0,60,0,0,1,1,1
203,0,39,0,5,0,3,0
204,52,0,1,6,0,2,1
205,0,19,0,4,0,2,1
206,0,3,0,3,1,1,1
207,54,0,1,3,0,3,0
208,0,14,0,7,1,0,2
209,0,45,0,1,1,1,1
210,50,0,1,5,0,1,2
211,43,0,1,2,1,1,1
212,30,0,1,8,1,1,1
213,15,0,1,4,0,2,1
214,32,0,1,2,0,3,0
215,34,0,1,3,1,0,2
216,0,8,0,6,1,1,1
217,55,0,1,3,0,1,2
218,58,0,1,7,0,2,1
219,58,0,1,2,1,0,2
220,0,3,0,3,0,0,3
