,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,9,0,1,4,2,0,1
1,7,0,1,9,2,0,1
2,0,2,0,4,1,1,1
3,60,0,1,1,1,0,2
4,0,28,0,5,1,1,1
5,34,0,1,5,1,1,1
6,0,2,0,4,2,0,1
7,19,0,1,4,2,1,0
8,0,20,0,4,0,1,2
9,20,0,1,5,1,1,1
10,47,0,1,4,1,0,2
11,0,25,0,3,0,3,0
12,16,0,1,10,0,0,3
13,0,38,0,1,0,2,1
14,0,3,0,6,1,1,1
15,43,0,1,2,1,1,1
16,0,7,0,4,1,0,2
17,0,12,0,4,1,0,2
18,23,0,1,7,1,1,1
19,18,0,1,9,0,2,1
20,24,0,1,11,2,0,1
21,0,12,0,3,2,1,0
22,0,40,0,2,1,2,0
23,22,0,1,9,0,0,3
24,0,12,0,11,0,1,2
25,0,3,0,8,1,1,1
26,3,0,1,6,1,2,0
27,0,40,0,3,0,2,1
28,22,0,1,5,1,0,2
29,0,19,0,8,2,1,0
30,22,0,1,4,2,0,1
31,40,0,1,4,0,1,2
32,22,0,1,4,2,0,1
33,44,0,1,2,0,2,1
34,0,20,0,2,1,1,1
35,0,12,0,4,1,1,1
36,0,21,0,4,1,1,1
37,9,0,1,7,1,0,2
38,0,21,0,5,1,1,1
39,0,60,0,4,0,2,1
40,17,0,1,12,0,0,3
41,37,0,1,6,0,1,2
42,2,0,1,3,0,1,2
43,24,0,1,8,1,1,1
44,36,0,1,5,0,0,3
45,57,0,1,12,0,0,3
46,45,0,1,7,0,1,2
47,60,0,1,2,2,1,0
48,0,8,0,5,1,1,1
49,5,0,1,4,1,0,2
50,0,3,0,9,1,1,1
51,25,0,1,8,0,0,3
52,0,35,0,5,0,2,1
53,0,4,0,6,1,1,1
54,0,24,0,0,2,1,0
55,0,39,0,1,1,1,1
56,0,2,0,6,1,1,1
57,39,0,1,10,0,2,1
58,0,9,0,8,1,1,1
59,8,0,1,9,1,1,1
60,0,11,0,4,0,1,2
61,0,43,0,3,0,2,1
62,0,25,0,2,1,2,0
63,0,8,0,7,0,1,2
64,0,60,0,0,0,2,1
65,24,0,1,7,0,1,2
66,0,60,0,2,1,2,0
67,21,0,1,6,0,2,1
68,20,0,1,4,0,0,3
69,0,3,0,9,0,1,2
70,12,0,1,8,2,0,1
71,58,0,1,6,0,1,2
72,0,33,0,0,1,1,1
73,0,12,0,5,2,0,1
74,17,0,1,3,1,2,0
75,8,0,1,6,1,1,1
76,0,39,0,0,1,0,2
77,2,0,1,2,2,1,0
78,17,0,1,10,0,0,3
79,0,8,0,5,1,1,1
80,0,2,0,4,1,0,2
