,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,0,23,0,4,0,2,1
1,0,49,0,1,0,2,1
2,0,55,0,6,0,1,2
3,0,60,0,4,1,0,2
4,0,58,0,3,0,0,3
5,0,48,0,7,1,1,1
6,0,17,0,8,0,3,0
7,0,53,0,6,0,0,3
8,0,21,0,5,0,1,2
9,0,40,0,4,0,0,3
10,0,57,0,6,0,3,0
11,0,36,0,2,0,2,1
12,0,32,0,4,0,2,1
13,0,17,0,2,0,1,2
14,0,49,0,2,0,0,3
15,0,60,0,4,0,1,2
16,0,60,0,7,0,0,3
17,0,40,0,8,0,2,1
18,0,27,0,13,0,3,0
19,0,53,0,10,1,2,0
20,0,60,0,7,0,2,1
21,0,17,0,11,1,1,1
22,0,60,0,7,1,2,0
23,0,45,0,3,1,1,1
24,0,46,0,7,0,1,2
25,0,42,0,5,1,2,0
26,0,30,0,5,0,2,1
27,0,26,0,17,0,1,2
28,0,60,0,3,0,2,1
29,0,60,0,4,0,3,0
30,0,10,0,8,1,0,2
31,0,60,0,1,1,2,0
32,0,17,0,5,1,1,1
33,0,60,0,7,1,0,2
34,0,10,0,6,1,2,0
35,0,17,0,9,1,1,1
36,0,39,0,7,0,1,2
37,0,43,0,3,1,1,1
38,0,47,0,7,1,2,0
39,0,45,0,7,2,1,0
40,0,60,0,5,1,0,2
41,0,38,0,5,0,0,3
42,0,21,0,2,0,1,2
43,0,60,0,0,0,3,0
44,0,60,0,4,1,0,2
45,0,60,0,12,1,1,1
46,0,54,0,4,1,0,2
47,0,27,0,7,0,1,2
48,0,47,0,2,1,0,2
49,0,54,0,13,0,3,0
50,0,18,0,3,1,1,1
51,0,37,0,2,0,1,2
52,0,45,0,2,0,1,2
53,0,60,0,3,3,0,0
54,0,60,0,5,0,2,1
55,0,60,0,2,0,0,3
56,0,18,0,4,1,1,1
57,0,32,0,2,1,0,2
58,0,48,0,4,0,3,0
59,0,47,0,7,1,1,0
60,0,26,0,4,1,2,0
61,0,52,0,1,0,1,2
62,0,47,0,2,0,1,2
63,0,60,0,13,0,1,2
64,0,37,0,11,0,1,2
65,0,60,0,9,0,1,2
66,23,0,1,9,0,3,0
67,0,20,0,5,1,2,0
68,0,45,0,1,0,1,2
69,0,25,0,5,0,3,0
70,0,24,0,2,1,2,0
71,0,55,0,6,1,1,1
72,0,47,0,9,0,2,1
73,0,58,0,3,1,1,1
74,0,55,0,1,0,2,1
75,0,26,0,3,0,0,3
76,0,15,0,12,2,1,0
77,0,60,0,5,1,1,1
78,0,50,0,5,1,0,2
79,0,14,0,7,0,2,1
80,0,60,0,11,0,2,1
81,0,60,0,6,0,1,2
82,0,49,0,6,1,2,0
83,0,51,0,1,1,1,1
84,0,18,0,10,0,1,2
85,0,58,0,3,0,1,2
86,0,46,0,7,2,1,0
87,0,19,0,4,1,0,2
88,0,42,0,3,0,1,2
89,0,24,0,2,1,1,1
90,0,60,0,0,0,1,2
91,15,0,1,2,1,1,1
92,0,42,0,3,1,1,1
93,0,49,0,3,2,0,1
94,0,35,0,0,0,1,2
95,0,53,0,3,1,1,1
96,0,55,0,1,1,0,2
97,0,35,0,10,3,0,0
98,0,22,0,8,1,1,1
99,0,40,0,6,1,1,1
100,0,18,0,5,0,1,2
101,0,60,0,6,1,1,1
102,0,50,0,3,0,1,2
103,0,8,0,6,2,1,0
104,0,27,0,2,0,2,0
105,0,60,0,4,0,1,2
106,0,60,0,8,2,0,1
107,0,22,0,8,2,1,0
108,0,54,0,5,1,0,2
109,0,60,0,0,0,2,1
110,0,42,0,10,0,2,1
111,0,56,0,6,0,2,1
112,0,34,0,4,0,1,2
113,0,34,0,7,1,1,1
114,0,24,0,2,2,0,1
115,0,36,0,1,2,1,0
116,0,60,0,6,0,1,2
117,0,53,0,5,1,1,1
118,0,60,0,6,0,1,2
119,0,60,0,1,1,1,1
120,0,34,0,8,0,0,3
121,0,60,0,5,0,1,2
122,0,0,1,8,0,1,2
123,0,60,0,8,0,2,1
124,0,60,0,4,0,1,2
125,0,21,0,2,0,1,2
126,0,52,0,7,1,1,1
127,0,48,0,3,0,1,2
128,0,60,0,6,0,3,0
129,0,60,0,11,1,1,1
130,0,24,0,1,0,1,2
131,0,51,0,7,2,0,1
132,0,60,0,6,0,1,2
133,0,42,0,5,2,1,0
134,0,34,0,6,1,2,0
135,0,55,0,4,1,1,1
136,0,60,0,7,0,1,2
137,0,33,0,3,1,0,2
138,0,26,0,3,0,2,1
139,0,20,0,4,1,1,1
140,0,45,0,17,1,2,0
141,0,43,0,8,0,1,2
142,0,57,0,3,0,3,0
143,0,47,0,3,1,1,1
144,0,24,0,5,3,0,0
145,0,60,0,5,0,3,0
146,0,49,0,8,0,2,1
147,0,46,0,3,0,0,3
148,0,60,0,5,2,0,1
149,0,21,0,2,0,0,3
150,0,47,0,1,2,1,0
151,0,49,0,4,0,1,2
152,0,23,0,0,1,2,0
153,0,40,0,7,0,1,2
154,0,60,0,0,0,1,2
155,0,45,0,6,2,1,0
156,0,60,0,7,0,3,0
157,0,60,0,8,1,1,1
158,0,60,0,5,0,2,1
159,0,17,0,11,1,1,1
160,0,15,0,2,2,1,0
161,0,29,0,1,0,1,2
162,0,13,0,4,1,1,1
163,0,60,0,6,1,1,1
164,0,46,0,7,1,1,1
165,0,29,0,8,0,3,0
166,0,52,0,4,1,2,0
167,0,50,0,4,1,2,0
168,0,36,0,2,0,0,3
169,0,27,0,4,0,2,1
170,0,23,0,2,1,1,1
171,0,60,0,2,0,2,1
172,0,43,0,2,1,1,1
173,0,60,0,1,0,1,2
174,0,42,0,6,0,2,1
175,0,40,0,13,0,1,2
176,0,35,0,7,1,1,1
177,0,60,0,3,0,0,3
178,0,33,0,8,1,1,1
179,0,43,0,4,0,0,3
180,0,26,0,2,0,0,3
181,0,50,0,1,1,1,1
182,0,28,0,1,0,2,1
183,0,52,0,2,0,2,1
184,0,60,0,3,1,0,2
185,0,47,0,3,0,2,1
186,0,41,0,6,1,2,0
187,0,15,0,9,0,2,1
188,0,19,0,5,0,2,1
189,0,55,0,6,3,0,0
190,0,60,0,2,2,1,0
191,0,41,0,10,1,1,1
192,0,58,0,6,0,2,1
193,0,60,0,2,0,1,2
194,0,46,0,6,0,1,2
195,0,12,0,4,1,0,2
196,0,49,0,1,0,1,2
197,0,51,0,3,0,1,2
198,0,54,0,2,1,0,2
199,0,60,0,2,1,1,1
200,0,30,0,13,1,1,1
201,0,24,0,6,0,1,2
202,60,0,1,1,0,1,2
203,0,23,0,2,1,2,0
204,0,53,0,5,0,1,2
205,0,60,0,4,1,2,0
206,0,60,0,6,2,1,0
207,0,19,0,8,0,1,2
208,0,60,0,4,0,0,3
209,0,56,0,4,1,1,1
210,0,60,0,3,0,2,1
211,0,60,0,2,1,0,2
212,0,49,0,2,0,2,1
213,0,44,0,10,0,3,0
214,0,30,0,4,0,1,2
215,0,36,0,6,1,0,2
216,0,25,0,5,1,1,1
217,0,27,0,4,0,2,1
218,0,52,0,2,0,1,2
219,0,59,0,1,0,0,3
220,0,24,0,5,2,0,1
221,0,26,0,6,0,2,1
222,0,52,0,3,0,2,1
223,0,26,0,4,1,1,1
224,0,60,0,14,0,2,1
225,0,52,0,6,1,0,2
226,0,60,0,3,1,1,1
227,0,29,0,7,1,1,1
228,0,60,0,1,1,1,1
229,0,60,0,3,1,1,1
230,0,60,0,1,0,0,3
231,0,60,0,9,0,3,0
232,0,60,0,1,2,0,1
233,0,47,0,4,2,1,0
234,0,49,0,2,2,1,0
235,0,44,0,7,0,2,1
236,0,60,0,7,0,2,1
237,0,37,0,7,1,1,1
238,0,23,0,5,2,1,0
239,0,42,0,1,1,1,1
240,0,59,0,4,0,1,2
241,0,60,0,6,1,1,1
242,0,50,0,0,0,2,1
243,0,60,0,6,0,2,1
244,0,45,0,5,0,2,1
245,0,60,0,6,1,2,0
246,0,48,0,4,1,1,1
247,0,60,0,4,0,2,1
248,0,34,0,5,2,0,1
249,0,60,0,7,1,1,1
250,0,22,0,11,2,1,0
251,0,37,0,2,0,2,1
252,0,38,0,2,1,1,1
253,0,53,0,5,0,2,1
254,0,60,0,9,1,1,1
255,0,53,0,6,1,0,2
256,0,28,0,9,0,0,3
257,0,42,0,5,0,0,3
258,0,60,0,7,0,0,3
259,0,13,0,17,1,1,1
260,0,43,0,6,1,1,1
261,0,60,0,3,1,0,2
262,0,37,0,4,0,0,3
263,0,60,0,4,1,1,1
264,0,47,0,12,0,1,2
265,0,60,0,9,1,0,2
266,0,23,0,13,0,2,1
267,0,51,0,11,1,2,0
268,0,21,0,6,1,1,1
269,0,42,0,8,0,0,3
270,0,60,0,3,0,0,3
271,0,19,0,3,0,0,3
272,0,27,0,5,2,1,0
273,0,60,0,7,2,0,1
274,0,39,0,3,2,0,1
275,0,38,0,2,1,1,1
276,0,56,0,2,1,0,2
277,0,28,0,7,0,1,2
278,0,40,0,6,1,1,1
279,0,59,0,6,1,1,1
280,0,20,0,5,2,0,1
281,0,26,0,7,1,1,1
282,0,60,0,5,0,2,1
283,0,47,0,7,1,1,1
284,0,60,0,3,0,1,2
285,0,60,0,3,1,0,2
286,0,4,0,11,2,1,0
287,0,46,0,8,0,2,1
288,0,44,0,9,1,2,0
289,0,50,0,5,1,1,1
290,0,60,0,3,0,1,2
291,0,49,0,6,1,0,2
292,0,50,0,7,0,1,2
293,0,25,0,3,1,1,1
294,0,39,0,7,0,1,2
295,0,23,0,12,1,1,1
296,0,29,0,3,1,0,2
297,0,60,0,5,0,1,2
298,0,60,0,4,1,2,0
299,0,60,0,7,1,1,1
300,0,54,0,3,0,1,2
301,0,55,0,7,0,3,0
302,0,51,0,9,0,2,1
303,0,48,0,3,1,1,1
304,0,60,0,5,0,0,3
305,0,53,0,3,0,2,1
306,0,60,0,6,0,1,2
307,0,45,0,3,1,1,1
308,0,44,0,5,2,0,1
309,0,38,0,13,0,1,2
310,0,36,0,3,1,1,1
311,0,60,0,7,1,1,1
312,0,60,0,5,1,1,1
313,0,60,0,4,0,2,1
314,0,60,0,1,1,1,1
315,0,53,0,5,0,2,1
316,0,39,0,1,1,2,0
317,0,60,0,5,1,1,1
318,0,60,0,6,0,1,2
319,22,0,1,2,1,1,1
320,0,26,0,5,1,1,1
321,0,32,0,1,0,2,1
322,0,47,0,4,1,2,0
323,0,55,0,6,0,1,2
324,0,58,0,7,0,2,1
325,0,47,0,4,2,0,1
326,0,3,0,8,1,1,1
327,0,17,0,10,0,1,2
328,0,27,0,14,2,1,0
329,0,46,0,5,1,1,1
330,0,60,0,8,0,1,2
331,0,30,0,10,1,1,1
332,0,20,0,14,0,1,2
333,0,20,0,5,2,1,0
334,0,50,0,7,0,2,1
335,0,60,0,3,0,2,1
336,0,47,0,3,0,1,2
337,0,37,0,14,0,1,2
338,0,42,0,10,0,1,2
339,0,40,0,1,1,2,0
340,0,18,0,4,0,0,3
341,0,46,0,2,2,1,0
342,0,36,0,3,1,0,2
343,0,31,0,13,0,2,1
344,0,50,0,6,2,1,0
345,0,47,0,12,1,2,0
346,0,50,0,4,0,1,2
347,0,46,0,15,1,0,2
348,0,23,0,2,1,0,2
349,0,36,0,11,2,1,0
350,0,17,0,3,1,1,1
351,0,60,0,4,0,2,1
352,0,60,0,4,0,1,2
353,0,28,0,14,0,2,1
354,0,60,0,7,2,1,0
355,0,15,0,7,0,1,2
356,0,27,0,4,0,3,0
357,0,28,0,4,0,1,2
358,0,39,0,1,1,1,1
359,0,60,0,5,1,2,0
360,0,60,0,1,0,1,2
361,0,43,0,3,0,1,2
362,0,29,0,5,2,1,0
363,0,54,0,5,0,1,2
364,42,0,1,4,0,2,1
365,0,60,0,4,1,1,1
366,0,47,0,9,1,1,1
367,0,52,0,6,0,1,2
368,0,60,0,4,1,2,0
369,0,60,0,11,2,0,1
370,0,60,0,7,1,2,0
371,0,56,0,5,0,1,2
372,0,38,0,7,1,1,1
373,0,60,0,5,1,2,0
374,0,60,0,5,0,2,1
375,0,60,0,9,0,1,2
376,0,60,0,4,1,1,1
377,0,60,0,4,2,1,0
378,0,30,0,3,1,1,1
379,0,56,0,1,0,2,1
380,0,34,0,7,0,1,2
381,0,55,0,5,0,1,2
382,0,54,0,13,2,1,0
383,0,50,0,4,2,0,1
384,0,28,0,9,0,0,3
385,0,21,0,10,0,2,1
386,18,0,1,2,2,1,0
387,0,45,0,3,1,1,1
388,0,60,0,6,1,0,2
389,0,26,0,2,1,0,2
390,0,44,0,7,1,1,1
391,0,47,0,6,1,2,0
392,0,52,0,6,0,0,3
393,0,60,0,9,1,1,1
394,0,2,0,2,0,1,2
395,0,52,0,6,1,2,0
396,0,23,0,4,1,1,1
397,0,31,0,4,1,1,1
398,0,60,0,5,2,1,0
399,0,36,0,3,1,0,2
400,0,20,0,7,2,1,0
401,0,5,0,4,2,1,0
402,0,51,0,13,1,2,0
403,0,60,0,3,1,1,1
404,0,16,0,2,1,1,1
405,0,45,0,2,1,0,2
406,0,58,0,6,0,1,2
407,0,22,0,7,2,1,0
408,0,34,0,2,0,0,3
409,0,28,0,7,2,1,0
410,0,25,0,10,1,1,1
411,0,48,0,7,1,0,2
412,0,60,0,6,0,1,2
413,0,18,0,1,1,1,1
414,0,29,0,4,1,2,0
415,0,47,0,1,1,0,2
416,0,60,0,8,0,1,2
417,0,26,0,2,1,2,0
418,0,35,0,8,0,2,1
419,0,15,0,1,0,1,2
420,0,19,0,5,0,0,3
421,0,52,0,4,0,1,2
422,0,48,0,5,0,2,1
423,0,38,0,0,1,1,1
424,0,25,0,2,0,1,2
425,0,49,0,2,0,1,2
426,0,24,0,2,1,0,2
427,0,60,0,3,1,1,1
428,0,52,0,13,1,2,0
429,0,52,0,1,0,1,2
430,0,22,0,3,0,1,2
431,0,55,0,5,0,2,1
432,0,14,0,13,1,2,0
433,0,23,0,2,1,2,0
434,0,60,0,9,0,1,2
435,0,23,0,2,0,2,1
436,0,47,0,3,0,2,1
437,0,60,0,4,1,1,1
438,0,42,0,3,0,1,2
439,0,37,0,4,0,3,0
440,0,48,0,2,0,2,1
441,0,40,0,10,1,1,1
442,0,53,0,4,0,1,2
443,0,50,0,3,0,1,2
444,0,23,0,3,1,2,0
445,0,31,0,7,0,1,2
446,0,53,0,10,0,1,2
447,0,60,0,3,1,1,1
448,0,40,0,5,1,1,1
449,0,53,0,6,1,1,1
450,0,35,0,4,0,0,3
451,0,44,0,8,1,1,1
452,0,36,0,5,2,1,0
453,0,31,0,3,2,1,0
454,0,55,0,4,0,2,1
455,0,44,0,2,0,2,1
456,0,54,0,5,0,1,2
457,0,60,0,10,0,1,2
458,0,60,0,4,1,1,1
459,0,50,0,1,1,1,1
460,0,35,0,5,1,0,2
461,0,60,0,3,2,0,1
462,0,60,0,8,1,0,2
463,0,43,0,4,0,0,3
464,0,53,0,9,0,1,2
465,0,42,0,5,0,0,3
466,0,60,0,4,0,2,1
467,0,24,0,7,2,1,0
468,0,24,0,10,1,1,1
469,0,55,0,4,0,1,2
470,0,60,0,4,0,0,3
471,0,59,0,3,1,2,0
472,0,43,0,1,0,1,2
473,0,22,0,3,2,0,1
474,0,56,0,2,1,2,0
475,0,30,0,3,0,2,1
476,0,42,0,4,0,1,2
477,0,44,0,8,0,1,2
478,0,30,0,6,0,2,1
479,0,50,0,4,1,1,1
480,0,38,0,4,1,2,0
481,0,6,0,4,1,2,0
482,0,60,0,2,0,2,1
483,0,42,0,6,0,1,2
484,0,47,0,1,0,0,3
485,0,47,0,8,0,1,2
486,0,60,0,4,2,0,1
487,0,39,0,4,1,2,0
488,0,54,0,7,0,2,1
489,0,39,0,1,1,1,1
490,0,47,0,3,0,1,2
491,0,30,0,4,1,1,1
492,0,56,0,14,1,0,2
493,0,41,0,10,1,0,2
494,0,42,0,8,2,0,1
495,0,57,0,5,1,2,0
496,0,46,0,1,0,2,1
497,0,36,0,6,1,1,1
498,0,42,0,1,1,1,1
499,0,30,0,4,0,2,1
500,0,41,0,4,0,2,1
501,0,48,0,0,0,1,2
502,0,20,0,16,1,1,1
503,0,34,0,10,1,2,0
504,0,23,0,2,0,1,2
505,0,51,0,8,0,0,3
506,0,60,0,4,1,2,0
507,0,33,0,5,0,1,2
508,0,46,0,0,1,0,2
509,0,51,0,4,2,1,0
510,0,41,0,9,2,1,0
511,0,60,0,4,1,1,1
512,0,16,0,8,1,1,1
513,0,22,0,4,0,1,2
514,0,47,0,4,1,0,2
515,0,38,0,3,0,0,3
516,0,28,0,7,0,0,3
517,0,60,0,7,1,1,1
518,0,60,0,2,1,1,1
519,0,39,0,10,1,2,0
520,0,60,0,3,2,1,0
521,0,60,0,4,0,2,1
522,0,60,0,6,1,2,0
523,0,52,0,5,0,2,1
524,0,32,0,1,0,0,3
525,0,30,0,4,1,1,1
526,0,60,0,6,0,1,2
527,0,53,0,5,1,2,0
528,0,17,0,0,0,3,0
529,0,60,0,2,0,2,1
530,0,28,0,2,0,1,2
531,0,36,0,3,0,1,2
532,0,54,0,1,1,2,0
533,0,43,0,3,0,0,3
534,0,59,0,3,0,1,2
535,0,41,0,5,1,0,2
536,0,46,0,14,0,1,2
537,0,27,0,6,1,1,1
538,0,51,0,9,0,1,2
539,0,30,0,1,1,0,2
540,0,60,0,10,1,2,0
541,0,49,0,7,1,2,0
542,0,24,0,7,0,0,3
543,0,27,0,4,1,2,0
544,0,60,0,4,0,1,2
545,0,60,0,6,0,1,2
546,0,60,0,2,1,1,1
547,0,31,0,5,0,1,2
548,0,60,0,3,0,1,2
549,0,60,0,1,1,1,1
550,0,54,0,8,0,2,1
551,0,33,0,8,0,2,1
552,0,16,0,8,0,1,2
553,0,59,0,0,0,2,1
554,0,13,0,6,0,0,3
555,0,28,0,4,0,2,1
556,0,44,0,9,1,1,1
557,0,50,0,3,0,1,2
558,0,22,0,5,1,1,1
559,0,43,0,10,2,1,0
560,0,44,0,9,2,0,1
561,0,48,0,13,1,1,1
562,0,29,0,3,0,0,3
563,0,45,0,4,0,1,2
564,0,40,0,5,1,0,2
565,0,42,0,5,1,1,1
566,0,23,0,6,0,1,2
567,0,60,0,1,1,2,0
568,0,24,0,7,0,1,2
569,0,24,0,14,0,0,3
570,0,57,0,6,3,0,0
571,0,25,0,4,0,0,3
572,0,51,0,3,0,1,2
573,0,28,0,1,1,1,1
574,0,50,0,2,1,2,0
575,0,31,0,6,1,2,0
576,0,43,0,1,1,2,0
577,0,10,0,7,1,1,1
578,0,47,0,5,1,0,2
579,0,31,0,9,0,0,3
580,0,49,0,2,1,0,2
581,0,60,0,4,0,2,0
582,0,39,0,3,1,0,2
583,0,30,0,4,2,1,0
584,0,45,0,0,0,2,1
585,0,51,0,8,0,0,3
586,0,25,0,7,0,0,3
587,0,60,0,3,1,0,2
588,0,29,0,2,0,2,1
589,0,54,0,3,1,0,2
590,0,30,0,7,1,1,1
591,0,19,0,8,2,1,0
