,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,0,60,0,5,1,1,1
1,0,60,0,7,0,1,2
2,0,60,0,7,0,2,1
3,0,60,0,2,0,2,1
4,0,54,0,1,0,1,2
5,0,60,0,4,0,0,3
6,0,60,0,1,1,1,1
7,0,60,0,5,0,2,1
8,0,44,0,4,0,3,0
9,0,54,0,2,1,2,0
10,0,60,0,3,0,1,2
11,0,60,0,3,1,2,0
12,0,60,0,2,2,0,1
13,0,60,0,2,0,2,1
14,0,60,0,3,0,1,2
15,0,60,0,4,1,2,0
16,0,60,0,4,1,1,1
17,0,60,0,3,0,1,2
18,0,56,0,2,0,2,1
19,0,56,0,3,1,2,0
20,0,60,0,3,0,2,1
21,0,60,0,6,1,0,2
22,0,60,0,2,1,1,1
23,0,60,0,6,1,2,0
24,0,60,0,1,0,3,0
25,0,60,0,4,1,1,1
26,0,60,0,1,1,1,1
27,0,60,0,1,0,1,2
28,0,60,0,6,0,2,1
29,0,60,0,2,0,1,2
30,0,60,0,3,1,1,1
31,0,60,0,1,1,1,1
32,0,31,0,1,0,0,3
33,0,48,0,1,0,1,2
34,0,60,0,1,1,1,1
35,0,27,0,1,2,1,0
36,0,60,0,4,0,2,1
37,0,60,0,2,0,0,3
38,0,60,0,2,0,2,1
39,0,53,0,3,0,2,1
40,0,22,0,0,1,2,0
41,0,60,0,2,0,2,1
42,0,60,0,4,1,1,1
43,0,60,0,8,1,1,1
44,0,60,0,6,1,1,1
45,0,60,0,4,2,0,1
46,0,60,0,8,0,1,2
47,0,60,0,3,0,3,0
48,0,60,0,3,0,3,0
49,0,60,0,1,0,2,1
50,0,60,0,5,0,1,2
51,0,60,0,3,0,3,0
52,0,60,0,1,0,2,1
53,0,58,0,3,1,2,0
54,0,60,0,3,0,2,1
55,0,44,0,2,2,1,0
56,0,59,0,3,0,1,2
57,0,60,0,9,0,0,3
58,0,51,0,2,0,1,2
59,0,60,0,2,1,1,1
60,0,60,0,5,1,2,0
61,0,60,0,1,0,1,2
62,0,60,0,6,1,1,1
63,0,60,0,4,1,1,1
64,0,60,0,1,0,2,1
65,0,60,0,4,0,0,3
66,0,59,0,3,0,2,1
67,0,44,0,2,1,0,2
68,0,60,0,5,0,1,2
69,0,60,0,10,0,3,0
70,0,60,0,6,0,2,1
71,0,48,0,2,1,1,1
72,0,60,0,10,1,1,1
73,0,60,0,2,0,2,1
74,0,53,0,0,0,3,0
75,0,60,0,2,0,1,2
76,0,21,0,1,1,2,0
77,0,60,0,4,2,1,0
78,0,53,0,2,0,0,3
79,0,56,0,3,0,2,1
80,0,60,0,3,1,1,1
81,0,60,0,2,0,1,2
82,0,60,0,3,0,2,1
83,0,51,0,0,1,0,2
84,0,60,0,2,0,1,2
85,0,34,0,1,0,2,1
86,0,60,0,4,0,2,1
87,0,60,0,1,0,1,2
88,0,60,0,3,0,1,2
89,0,60,0,2,0,2,1
90,0,60,0,3,0,2,1
91,0,60,0,2,0,2,1
92,0,60,0,9,0,2,1
93,0,60,0,1,0,3,0
94,0,60,0,3,0,1,2
95,0,60,0,3,0,1,2
96,0,60,0,5,0,1,2
97,0,60,0,2,0,2,1
