,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,55,0,1,2,1,2,0
1,24,0,1,12,0,1,2
2,0,60,0,2,1,1,1
3,0,38,0,2,1,0,2
4,39,0,1,3,1,1,1
5,0,25,0,1,1,1,1
6,15,0,1,8,2,0,1
7,0,45,0,3,1,1,1
8,0,40,0,3,1,1,1
9,0,60,0,0,0,1,2
10,2,0,1,5,0,1,2
11,0,38,0,6,1,1,1
12,16,0,1,6,2,1,0
13,3,0,1,5,1,1,1
14,0,34,0,10,0,2,1
15,44,0,1,4,0,2,1
16,0,50,0,6,0,1,2
17,29,0,1,8,0,0,3
18,0,60,0,3,0,2,1
19,0,37,0,10,0,0,3
20,21,0,1,6,0,0,3
21,51,0,1,5,0,0,3
22,0,43,0,3,1,1,1
23,0,3,0,3,2,1,0
24,0,17,0,8,1,0,2
25,0,47,0,8,0,0,3
26,0,25,0,5,2,1,0
27,0,32,0,2,0,0,3
28,54,0,1,2,1,1,1
29,0,30,0,10,0,1,2
30,0,17,0,9,2,0,1
31,0,2,0,5,0,2,1
32,0,17,0,6,1,1,1
33,0,46,0,4,1,1,1
34,0,19,0,3,3,0,0
35,0,20,0,3,2,1,0
36,0,18,0,3,1,1,1
37,7,0,1,10,0,0,3
38,0,60,0,5,1,0,2
39,30,0,1,8,0,1,2
40,0,21,0,10,1,1,1
41,53,0,1,3,1,2,0
42,25,0,1,7,1,2,0
43,0,5,0,8,1,0,2
44,42,0,1,11,2,1,0
45,46,0,1,5,0,1,2
46,21,0,1,6,2,1,0
47,0,60,0,5,2,1,0
48,0,51,0,10,1,2,0
49,0,36,0,4,0,1,2
50,0,46,0,3,2,1,0
51,0,3,0,2,1,1,1
52,0,18,0,6,0,1,2
53,0,22,0,2,0,2,1
54,23,0,1,6,1,2,0
55,0,31,0,3,0,1,2
56,0,17,0,3,1,2,0
57,0,22,0,2,1,1,1
58,0,34,0,4,1,0,2
59,42,0,1,6,1,0,2
60,18,0,1,9,2,0,1
61,16,0,1,4,2,1,0
62,0,33,0,9,0,0,3
63,0,32,0,0,1,1,1
64,10,0,1,7,0,2,1
65,0,19,0,6,1,1,1
66,32,0,1,10,1,1,1
67,0,7,0,6,0,1,2
68,0,41,0,6,0,0,3
69,2,0,1,8,0,1,2
70,0,25,0,3,1,1,1
71,0,23,0,2,2,0,1
72,0,44,0,2,1,0,2
73,0,12,0,5,2,0,1
74,0,16,0,12,1,1,1
75,0,38,0,6,1,0,2
76,0,29,0,10,2,1,0
77,0,25,0,5,0,1,2
78,23,0,1,6,1,2,0
79,14,0,1,6,1,0,2
80,0,45,0,3,1,1,1
81,35,0,1,4,1,0,2
82,10,0,1,10,2,0,1
83,0,49,0,3,2,0,1
84,7,0,1,9,1,1,1
85,22,0,1,6,1,1,1
86,18,0,1,5,1,2,0
87,0,50,0,7,1,2,0
88,48,0,1,4,1,1,1
89,0,18,0,7,0,2,1
90,30,0,1,2,1,2,0
91,0,30,0,6,1,0,2
92,0,32,0,5,0,0,3
93,0,44,0,9,1,0,2
94,0,9,0,10,2,1,0
95,0,49,0,4,0,1,2
96,0,14,0,6,1,0,2
97,0,10,0,10,1,1,1
98,0,46,0,4,1,1,1
99,0,19,0,8,2,0,1
100,41,0,1,6,1,1,1
101,0,18,0,3,2,0,1
102,25,0,1,6,0,1,2
103,0,53,0,7,1,1,1
104,3,0,1,5,1,0,2
105,18,0,1,6,1,1,1
106,0,3,0,2,1,0,2
107,0,18,0,7,1,0,2
108,0,33,0,6,1,1,1
109,50,0,1,6,0,0,3
110,23,0,1,6,1,1,1
111,0,2,0,3,1,0,2
112,0,47,0,8,3,0,0
113,0,41,0,4,1,1,1
114,4,0,1,4,1,1,1
115,25,0,1,5,0,0,3
116,0,46,0,2,0,0,3
117,21,0,1,6,1,0,2
118,0,19,0,6,1,1,1
119,0,4,0,8,2,0,1
120,0,39,0,10,1,2,0
121,0,51,0,0,1,0,2
122,0,19,0,6,2,0,1
123,34,0,1,4,1,2,0
124,25,0,1,5,2,1,0
125,0,9,0,9,1,0,2
126,18,0,1,10,1,1,1
127,27,0,1,2,1,0,2
128,0,47,0,5,2,1,0
129,0,15,0,6,1,0,2
130,0,13,0,8,0,2,1
131,0,18,0,7,0,2,1
132,39,0,1,7,3,0,0
133,14,0,1,4,1,0,2
134,0,28,0,2,1,1,1
135,0,42,0,3,0,1,2
136,20,0,1,8,1,1,1
137,12,0,1,12,0,2,0
138,0,8,0,5,0,0,3
139,20,0,1,8,0,0,3
140,37,0,1,5,0,0,3
141,38,0,1,5,1,0,2
142,0,60,0,1,2,0,1
143,0,39,0,5,1,1,1
144,0,46,0,2,0,1,2
145,0,14,0,7,0,0,3
146,0,23,0,2,1,1,1
147,15,0,1,9,0,1,2
148,16,0,1,7,1,1,1
149,10,0,1,6,0,2,1
150,0,30,0,5,1,0,2
151,0,17,0,15,2,1,0
152,25,0,1,5,1,1,1
153,28,0,1,4,0,2,1
154,60,0,1,4,0,1,2
155,21,0,1,7,2,1,0
156,0,30,0,2,1,0,2
157,0,51,0,2,2,1,0
158,25,0,1,6,0,1,2
159,0,4,0,12,2,0,1
160,0,29,0,6,1,1,1
161,0,11,0,10,1,2,0
162,0,53,0,6,1,0,2
163,0,18,0,7,1,1,1
164,0,4,0,5,0,0,3
165,0,45,0,2,2,1,0
166,0,8,0,4,1,0,2
167,22,0,1,3,1,0,2
168,36,0,1,3,1,0,2
169,0,60,0,2,1,0,2
170,0,22,0,7,2,1,0
171,0,9,0,9,2,1,0
172,0,34,0,14,1,1,1
173,3,0,1,6,0,1,2
174,0,10,0,11,2,0,1
175,0,60,0,3,2,0,1
176,29,0,1,6,1,1,1
177,22,0,1,12,1,1,1
178,0,25,0,5,1,1,1
179,26,0,1,4,1,1,1
180,0,60,0,4,0,1,2
181,0,44,0,6,0,1,2
182,60,0,1,2,2,1,0
183,27,0,1,6,0,1,2
184,0,17,0,5,2,0,1
185,0,36,0,3,1,0,2
186,0,60,0,1,2,0,1
187,0,27,0,3,1,1,1
188,12,0,1,6,1,0,2
189,0,22,0,7,1,0,2
190,0,32,0,6,1,2,0
191,21,0,1,15,1,1,1
192,16,0,1,5,0,2,1
193,41,0,1,3,3,0,0
194,0,21,0,3,1,1,1
195,29,0,1,4,1,0,2
196,0,55,0,2,0,1,2
197,0,5,0,5,1,0,2
