,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,9,0,1,3,1,1,1
1,26,0,1,6,2,1,0
2,20,0,1,4,2,0,1
3,60,0,1,1,1,0,2
4,0,34,0,4,1,1,1
5,15,0,1,4,2,1,0
6,25,0,1,9,0,1,2
7,16,0,1,4,2,1,0
8,0,45,0,4,0,1,2
9,20,0,1,5,0,1,2
10,28,0,1,5,0,1,2
11,0,46,0,3,0,3,0
12,21,0,1,5,2,0,1
13,0,38,0,1,0,2,1
14,0,53,0,4,2,0,1
15,40,0,1,1,1,1,1
16,0,31,0,4,0,1,2
17,0,11,0,6,1,0,2
18,0,27,0,6,1,1,1
19,19,0,1,4,0,1,2
20,23,0,1,11,2,0,1
21,0,20,0,4,2,1,0
22,0,35,0,2,1,1,1
23,21,0,1,8,0,0,3
24,0,33,0,8,1,0,2
25,0,21,0,9,1,2,0
26,0,22,0,7,2,0,1
27,0,58,0,1,1,1,1
28,35,0,1,4,1,2,0
29,0,42,0,7,2,1,0
30,25,0,1,4,0,0,3
31,5,0,1,5,0,0,3
32,27,0,1,4,2,1,0
33,42,0,1,4,1,1,1
34,0,19,0,2,1,1,1
35,0,25,0,3,1,0,2
36,4,0,1,4,0,1,2
37,43,0,1,6,3,0,0
38,0,51,0,1,1,1,1
39,0,60,0,5,0,2,1
40,18,0,1,7,1,1,1
41,14,0,1,10,2,0,1
42,0,8,0,6,0,1,2
43,10,0,1,7,1,1,1
44,37,0,1,5,0,0,3
45,32,0,1,11,1,0,2
46,6,0,1,8,1,0,2
47,60,0,1,1,2,1,0
48,19,0,1,3,1,0,2
49,0,16,0,3,1,1,1
50,39,0,1,5,1,2,0
51,0,28,0,6,2,1,0
52,0,50,0,4,0,2,1
53,29,0,1,5,2,0,1
54,0,24,0,0,2,1,0
55,0,16,0,3,1,1,1
56,0,56,0,5,0,0,3
57,45,0,1,9,0,2,1
58,0,42,0,6,1,1,1
59,37,0,1,3,1,1,1
60,45,0,1,2,1,1,1
61,0,60,0,2,0,2,1
62,0,28,0,4,1,2,0
63,0,10,0,6,0,1,2
64,0,60,0,0,0,2,1
65,13,0,1,5,0,0,3
66,0,59,0,2,1,2,0
67,0,34,0,5,0,1,2
68,44,0,1,2,0,0,3
69,9,0,1,7,1,0,2
70,0,25,0,4,2,0,1
71,58,0,1,6,0,2,1
72,0,33,0,0,1,1,1
73,23,0,1,6,0,1,2
74,16,0,1,3,1,2,0
75,22,0,1,4,1,2,0
76,0,39,0,0,1,0,2
77,0,17,0,1,1,0,2
78,6,0,1,10,0,1,2
79,0,11,0,4,1,1,1
80,0,2,0,4,1,0,2
