,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,0,7,0,4,2,1,0
1,21,0,1,3,0,0,3
2,60,0,1,1,1,0,2
3,0,28,0,6,0,2,1
4,15,0,1,4,2,1,0
5,25,0,1,9,0,1,2
6,16,0,1,4,2,0,1
7,0,46,0,4,0,1,2
8,20,0,1,5,0,0,3
9,0,2,0,7,1,1,1
10,0,46,0,3,0,3,0
11,21,0,1,5,2,0,1
12,0,38,0,1,0,2,1
13,0,47,0,4,2,0,1
14,40,0,1,1,1,1,1
15,0,31,0,4,0,1,2
16,0,11,0,6,1,0,2
17,0,13,0,8,0,2,1
18,33,0,1,3,0,1,2
19,19,0,1,9,2,0,1
20,11,0,1,6,0,1,2
21,0,35,0,2,1,1,1
22,0,23,0,8,1,0,2
23,0,41,0,7,0,1,2
24,0,19,0,6,2,1,0
25,0,3,0,7,2,0,1
26,0,58,0,1,1,1,1
27,35,0,1,4,1,2,0
28,0,42,0,7,2,1,0
29,25,0,1,4,0,0,3
30,0,3,0,5,0,1,2
31,27,0,1,4,2,1,0
32,13,0,1,4,1,1,1
33,0,19,0,2,1,1,1
34,0,12,0,3,1,0,2
35,4,0,1,4,0,1,2
36,43,0,1,8,2,0,1
37,0,51,0,1,1,1,1
38,0,37,0,5,0,2,1
39,18,0,1,7,1,1,1
40,0,10,0,10,1,2,0
41,0,2,0,6,0,1,2
42,26,0,1,8,1,1,1
43,37,0,1,5,0,0,3
44,0,30,0,9,1,1,1
45,6,0,1,8,1,0,2
46,60,0,1,1,2,1,0
47,19,0,1,3,1,0,2
48,2,0,1,5,1,2,0
49,39,0,1,5,1,2,0
50,0,27,0,6,2,1,0
51,0,35,0,4,0,2,1
52,29,0,1,5,2,0,1
53,0,24,0,0,2,1,0
54,0,16,0,3,1,1,1
55,0,58,0,5,0,0,3
56,45,0,1,8,1,2,0
57,0,31,0,6,1,1,1
58,37,0,1,3,1,1,1
59,45,0,1,2,1,1,1
60,0,43,0,3,0,2,1
61,0,27,0,4,1,2,0
62,0,3,0,6,0,1,2
63,0,60,0,0,0,2,1
64,0,5,0,6,0,2,1
65,0,59,0,2,1,2,0
66,0,34,0,5,0,1,2
67,44,0,1,2,0,0,3
68,9,0,1,7,1,0,2
69,0,25,0,4,2,0,1
70,50,0,1,4,1,2,0
71,0,33,0,0,1,1,1
72,23,0,1,6,0,0,3
73,16,0,1,3,1,2,0
74,22,0,1,4,1,2,0
75,0,39,0,0,1,0,2
76,0,17,0,1,1,0,2
77,0,18,0,11,0,0,3
78,0,11,0,4,1,1,1
79,0,2,0,4,1,0,2
80,0,44,0,3,2,0,1
81,0,45,0,1,1,2,0
82,0,58,0,2,1,0,2
83,59,0,1,3,0,1,2
84,0,43,0,4,0,1,2
85,0,22,0,5,1,1,1
86,0,60,0,0,1,0,2
87,0,38,0,7,1,1,1
88,22,0,1,4,1,2,0
89,11,0,1,10,0,1,2
90,0,33,0,3,1,0,2
91,13,0,1,4,1,1,1
92,35,0,1,2,1,0,2
93,24,0,1,9,0,1,2
94,29,0,1,8,2,0,1
95,0,28,0,3,1,0,2
96,0,7,0,4,1,1,0
97,43,0,1,3,0,2,1
98,32,0,1,4,1,1,1
99,8,0,1,7,0,1,2
100,57,0,1,5,2,0,1
101,42,0,1,8,0,1,2
102,0,43,0,3,1,1,1
103,0,32,0,4,1,1,1
104,0,52,0,5,1,1,1
105,60,0,1,3,0,2,1
106,11,0,1,11,1,1,1
107,0,13,0,4,0,0,3
108,0,29,0,7,2,1,0
109,17,0,1,5,0,2,1
110,0,11,0,10,1,0,2
111,10,0,1,5,1,1,1
112,11,0,1,7,1,0,2
113,0,11,0,7,1,0,2
114,0,7,0,8,0,1,2
115,0,22,0,4,1,1,1
116,28,0,1,4,1,1,1
117,0,16,0,6,1,1,1
118,55,0,1,4,0,2,1
119,42,0,1,1,1,1,1
120,0,29,0,2,1,0,2
121,0,12,0,2,1,0,2
122,0,6,0,4,0,0,3
123,0,22,0,6,2,1,0
124,0,27,0,3,2,1,0
125,0,12,0,7,1,0,2
126,0,60,0,1,0,1,2
127,26,0,1,4,1,1,1
128,0,36,0,5,1,1,1
129,27,0,1,5,0,2,1
130,0,45,0,2,0,1,2
131,10,0,1,1,0,1,2
132,9,0,1,3,0,1,2
133,42,0,1,7,1,1,1
134,0,7,0,6,2,1,0
135,0,39,0,2,1,2,0
136,6,0,1,4,1,0,2
137,0,60,0,1,0,2,1
138,0,37,0,6,1,0,2
139,0,13,0,7,0,1,2
140,41,0,1,3,1,1,1
141,0,23,0,3,0,1,2
142,31,0,1,6,0,3,0
143,27,0,1,5,0,2,1
144,0,16,0,8,0,0,3
145,14,0,1,7,1,1,1
146,0,55,0,0,0,2,1
147,0,31,0,1,0,1,2
148,0,60,0,5,0,1,2
149,0,23,0,2,0,1,2
150,0,31,0,5,1,1,1
151,0,48,0,1,1,2,0
152,10,0,1,3,0,1,2
153,11,0,1,7,0,2,1
154,30,0,1,6,1,1,1
155,0,42,0,1,0,3,0
156,0,25,0,5,0,2,1
157,0,10,0,5,0,0,3
158,51,0,1,4,2,0,1
159,20,0,1,5,1,1,1
160,43,0,1,3,3,0,0
161,0,34,0,1,0,0,3
162,0,4,0,6,2,1,0
163,45,0,1,6,2,0,1
164,0,40,0,1,1,0,2
165,58,0,1,3,1,0,2
166,0,7,0,3,1,1,1
167,0,52,0,2,0,1,2
168,0,6,0,9,0,0,3
169,0,56,0,4,2,1,0
170,30,0,1,2,1,0,2
171,0,4,0,8,2,0,1
172,42,0,1,2,1,2,0
173,9,0,1,6,0,1,2
174,0,58,0,5,1,1,1
175,0,16,0,5,1,0,2
176,14,0,1,6,1,1,1
177,46,0,1,5,1,2,0
178,24,0,1,6,2,0,1
179,0,25,0,5,2,0,1
180,0,10,0,3,1,1,1
181,0,17,0,2,1,0,2
182,0,27,0,9,2,1,0
183,0,60,0,1,0,1,2
184,0,5,0,7,2,1,0
185,0,21,0,6,1,1,1
186,0,60,0,1,1,2,0
187,14,0,1,7,0,1,2
188,0,45,0,2,0,3,0
189,0,26,0,4,1,0,2
190,60,0,1,3,1,1,1
191,4,0,1,5,0,1,2
192,0,11,0,7,2,0,1
193,0,7,0,5,2,1,0
194,0,2,0,5,1,1,1
195,0,49,0,3,1,1,1
196,0,53,0,8,2,0,1
197,0,10,0,3,0,1,2
198,0,27,0,0,1,2,0
199,0,2,0,10,1,2,0
200,0,26,0,2,1,1,1
201,3,0,1,8,1,1,1
202,0,14,0,5,0,0,3
203,0,60,0,4,0,1,2
204,0,5,0,7,1,1,1
205,59,0,1,7,1,1,1
206,51,0,1,2,0,1,2
207,0,21,0,4,1,2,0
208,0,48,0,2,1,1,1
209,6,0,1,8,1,0,2
210,0,35,0,5,0,1,2
211,0,21,0,3,1,1,1
212,0,30,0,5,2,1,0
213,0,60,0,3,0,1,2
214,0,30,0,2,0,0,3
215,42,0,1,5,2,1,0
216,60,0,1,6,1,1,1
217,37,0,1,4,0,2,1
218,0,29,0,3,2,0,1
219,0,9,0,6,1,1,1
220,0,24,0,3,2,1,0
221,0,32,0,4,1,1,1
222,0,60,0,5,1,1,1
223,0,31,0,4,2,1,0
224,2,0,1,9,1,0,2
225,16,0,1,5,1,1,1
226,16,0,1,3,0,0,3
227,9,0,1,5,2,0,1
228,0,39,0,3,1,1,1
229,0,35,0,2,1,1,1
230,0,60,0,3,2,0,1
231,0,52,0,4,0,2,1
232,0,46,0,2,1,0,2
233,0,2,0,5,0,0,3
234,0,55,0,3,0,0,3
235,0,10,0,10,0,2,1
236,0,13,0,4,0,1,2
237,26,0,1,2,1,1,1
238,39,0,1,3,0,0,3
239,0,60,0,2,1,0,2
240,22,0,1,3,1,1,1
241,0,10,0,5,0,1,2
242,0,6,0,8,0,2,1
243,7,0,1,5,0,2,1
244,0,19,0,6,0,0,3
245,26,0,1,3,1,0,2
246,18,0,1,3,0,2,1
247,11,0,1,5,0,0,3
248,22,0,1,2,1,1,1
249,0,37,0,3,1,1,1
250,14,0,1,11,2,0,1
251,33,0,1,2,0,1,2
252,51,0,1,2,0,1,2
253,0,12,0,7,3,0,0
254,4,0,1,7,1,1,1
255,26,0,1,3,0,1,2
256,11,0,1,5,1,1,1
257,0,60,0,0,0,2,1
258,35,0,1,4,1,0,2
259,0,25,0,5,1,0,2
260,0,30,0,1,0,1,2
261,0,10,0,4,1,0,2
262,0,28,0,3,0,0,3
263,52,0,1,5,0,2,1
264,22,0,1,6,2,1,0
265,0,11,0,10,0,1,2
266,0,17,0,3,0,2,1
267,0,12,0,7,2,0,1
268,0,8,0,5,1,1,1
269,0,12,0,7,1,1,1
270,0,42,0,3,0,2,1
271,58,0,1,5,1,2,0
272,0,50,0,2,2,0,1
273,0,27,0,3,1,2,0
274,39,0,1,4,0,2,1
275,0,21,0,5,0,1,2
276,0,21,0,13,2,0,1
277,0,9,0,4,0,0,3
278,0,43,0,4,1,1,1
279,6,0,1,4,1,0,2
280,17,0,1,4,1,1,1
281,0,36,0,7,2,1,0
282,26,0,1,3,0,2,1
