,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,10,0,1,2,1,1,1
1,26,0,1,11,1,1,0
2,16,0,1,4,1,0,2
3,60,0,1,1,1,0,2
4,0,29,0,4,1,1,1
5,16,0,1,4,1,1,1
6,26,0,1,6,1,1,1
7,16,0,1,4,2,1,0
8,0,21,0,4,0,1,2
9,20,0,1,5,0,0,3
10,28,0,1,5,2,0,1
11,0,25,0,3,0,3,0
12,0,12,0,8,1,1,1
13,0,2,0,5,1,1,1
14,0,17,0,6,0,2,1
15,40,0,1,1,1,1,1
16,0,6,0,3,0,1,2
17,0,12,0,4,1,0,2
18,0,16,0,7,0,2,1
19,33,0,1,3,0,1,2
20,18,0,1,8,2,0,1
21,18,0,1,4,1,1,1
22,0,45,0,1,1,1,1
23,20,0,1,8,1,0,2
24,0,33,0,6,1,0,2
25,0,30,0,4,1,2,0
26,0,3,0,7,2,0,1
27,0,54,0,1,0,2,1
28,19,0,1,6,1,1,1
29,0,3,0,7,2,1,0
30,30,0,1,4,0,1,2
31,5,0,1,5,0,0,3
32,0,7,0,6,0,2,1
33,43,0,1,2,0,2,1
34,21,0,1,3,1,0,2
35,0,21,0,4,1,1,1
36,0,4,0,5,1,1,1
37,11,0,1,9,2,1,0
38,0,21,0,5,1,1,1
39,0,11,0,10,1,1,1
40,0,35,0,3,2,0,1
41,38,0,1,10,0,1,2
42,0,2,0,6,0,1,2
43,0,7,0,9,2,0,1
44,18,0,1,9,0,2,1
45,0,11,0,12,1,1,1
46,0,23,0,4,2,1,0
47,60,0,1,1,2,1,0
48,21,0,1,3,1,0,2
49,0,3,0,10,0,2,1
50,38,0,1,5,2,1,0
51,3,0,1,7,2,0,1
52,0,30,0,5,0,2,1
53,0,4,0,6,1,1,1
54,0,24,0,0,2,1,0
55,0,39,0,1,1,1,1
56,36,0,1,6,1,1,1
57,0,2,0,9,1,0,2
58,0,40,0,5,2,1,0
59,45,0,1,4,1,2,0
60,8,0,1,5,1,0,2
61,0,45,0,3,0,2,1
62,0,24,0,2,1,2,0
63,0,7,0,7,0,1,2
64,0,60,0,0,0,2,1
65,0,3,0,6,0,2,1
66,0,60,0,2,1,2,0
67,0,17,0,7,0,1,2
68,44,0,1,2,0,0,3
69,0,4,0,8,0,0,3
70,0,5,0,4,1,0,2
71,54,0,1,9,1,2,0
72,0,33,0,0,1,1,1
73,0,12,0,4,2,0,1
74,21,0,1,3,1,2,0
75,23,0,1,5,2,0,1
