,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,0,29,0,6,1,2,0
1,0,60,0,4,0,1,2
2,0,49,0,9,0,2,1
3,0,60,0,3,2,1,0
4,0,36,0,5,1,1,1
5,0,43,0,7,2,0,1
6,0,47,0,4,2,1,0
7,0,55,0,2,1,0,2
8,0,60,0,6,0,1,2
9,0,60,0,5,0,0,3
10,0,48,0,6,1,0,2
11,0,5,0,6,3,0,0
12,0,47,0,6,1,1,1
13,0,45,0,6,1,2,0
14,0,60,0,11,1,0,2
15,0,20,0,3,1,1,1
16,0,50,0,3,3,0,0
17,0,32,0,1,1,2,0
18,0,34,0,7,0,1,2
19,0,34,0,5,2,0,1
20,0,60,0,16,1,1,1
21,0,60,0,4,1,0,2
22,0,36,0,2,1,1,1
23,0,35,0,1,2,1,0
24,0,25,0,4,1,1,1
25,0,43,0,3,0,3,0
26,0,58,0,3,0,2,1
27,0,23,0,4,3,0,0
28,0,43,0,5,1,0,2
29,0,37,0,2,2,1,0
30,0,29,0,6,1,1,1
31,0,60,0,0,0,2,1
32,0,52,0,3,0,3,0
33,0,22,0,10,0,1,2
34,0,37,0,7,1,0,2
35,0,43,0,1,0,3,0
36,0,55,0,1,0,1,2
37,0,38,0,2,0,2,1
38,0,60,0,4,1,0,2
39,0,52,0,5,1,2,0
40,0,60,0,4,0,0,3
41,0,60,0,4,0,2,1
42,0,60,0,3,1,2,0
43,0,39,0,5,2,0,1
44,0,56,0,12,0,2,1
45,0,26,0,6,0,0,3
46,0,39,0,5,2,0,1
47,0,8,0,6,1,1,1
48,0,59,0,4,1,1,1
49,0,60,0,3,0,0,3
50,0,42,0,6,0,1,2
51,0,60,0,7,1,1,1
52,0,36,0,11,1,1,1
53,0,60,0,4,0,2,1
54,0,60,0,5,1,0,2
55,0,25,0,8,1,2,0
56,0,45,0,12,0,0,3
57,0,27,0,3,2,0,1
58,0,60,0,6,1,0,2
59,0,38,0,9,0,1,2
60,0,60,0,5,1,2,0
61,0,40,0,2,0,1,2
62,0,19,0,1,1,2,0
63,0,55,0,1,1,2,0
64,0,20,0,11,1,1,1
65,0,58,0,0,1,0,2
66,0,60,0,2,0,1,2
67,0,29,0,5,1,2,0
68,0,35,0,14,1,1,1
69,0,33,0,13,1,1,1
70,0,23,0,7,2,1,0
71,0,48,0,6,2,0,1
72,0,45,0,3,0,0,3
73,0,43,0,12,0,1,2
74,0,60,0,3,1,0,2
75,0,49,0,2,0,1,2
76,0,44,0,1,1,1,1
77,0,38,0,5,0,1,2
78,0,52,0,6,1,1,1
79,0,58,0,3,0,1,2
80,0,31,0,7,2,0,1
81,0,15,0,3,0,2,1
82,0,60,0,6,1,1,1
83,0,12,0,8,1,0,2
84,0,37,0,4,1,0,2
85,0,26,0,6,0,2,1
86,0,23,0,4,0,0,3
87,0,47,0,11,2,1,0
88,0,51,0,9,0,1,2
89,0,60,0,8,1,1,1
90,0,46,0,4,0,0,3
91,0,28,0,13,1,1,1
92,0,60,0,3,0,2,1
93,0,26,0,4,0,0,3
94,0,49,0,9,1,1,1
95,0,46,0,7,1,1,1
96,0,55,0,6,1,1,1
97,0,48,0,8,0,2,1
98,0,60,0,5,1,1,1
99,0,42,0,7,2,1,0
100,0,51,0,4,0,1,2
101,0,39,0,7,0,1,2
102,0,18,0,8,1,2,0
103,0,23,0,9,1,2,0
104,0,47,0,3,0,1,2
105,0,25,0,4,1,1,1
106,0,26,0,4,2,1,0
107,0,51,0,3,1,1,1
108,0,41,0,10,0,1,2
109,0,31,0,3,1,2,0
110,0,45,0,1,1,1,1
111,0,39,0,3,0,2,1
112,0,18,0,3,1,1,1
113,0,60,0,4,1,0,2
114,0,51,0,3,1,0,2
115,0,10,0,12,0,1,2
116,0,35,0,8,0,2,1
117,0,45,0,3,3,0,0
118,0,47,0,4,1,1,1
119,0,45,0,6,1,1,1
120,0,39,0,6,0,2,1
121,0,52,0,1,1,0,2
122,0,60,0,8,0,1,2
123,0,53,0,4,1,0,2
124,0,46,0,10,0,1,2
125,0,20,0,5,2,0,1
126,0,60,0,10,1,2,0
127,0,43,0,1,1,2,0
128,0,39,0,6,3,0,0
129,0,14,0,2,1,0,2
130,0,22,0,10,0,0,3
131,0,60,0,3,0,1,2
132,0,46,0,3,2,0,1
133,0,47,0,4,1,2,0
134,0,8,0,3,1,1,1
135,0,9,0,16,1,1,1
136,0,43,0,4,1,0,2
137,0,56,0,7,0,0,3
138,0,60,0,7,1,2,0
139,0,60,0,8,1,1,1
140,0,18,0,4,1,2,0
141,0,60,0,2,2,1,0
142,0,60,0,4,0,1,2
143,0,26,0,2,0,2,1
144,0,60,0,2,0,0,3
145,0,53,0,1,0,1,2
146,0,13,0,7,1,2,0
147,0,56,0,11,1,1,1
148,0,26,0,4,3,0,0
