,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,0,12,0,3,1,1,1
1,0,25,0,1,0,1,2
2,0,60,0,1,0,0,3
3,0,43,0,1,1,1,1
4,0,8,0,4,0,2,1
5,41,0,1,2,1,2,0
6,2,0,1,3,0,1,2
7,0,22,0,3,0,2,1
8,0,9,0,9,1,1,1
9,0,21,0,2,1,1,1
10,0,49,0,3,1,1,1
11,0,27,0,3,0,0,3
12,0,33,0,6,1,1,1
13,0,33,0,7,1,1,1
14,60,0,1,2,1,2,0
15,9,0,1,4,0,2,1
16,46,0,1,1,1,1,1
17,19,0,1,5,1,1,1
18,12,0,1,9,0,1,2
19,7,0,1,3,1,1,1
20,0,36,0,5,1,1,1
21,0,49,0,1,0,3,0
22,0,26,0,4,1,1,1
23,0,35,0,1,1,1,1
24,0,60,0,1,0,1,2
25,0,52,0,2,0,2,1
26,0,29,0,3,0,1,2
27,0,28,0,2,1,1,1
28,0,60,0,1,1,1,1
29,0,4,0,2,0,0,3
30,0,34,0,2,1,0,2
31,0,2,0,2,2,0,1
32,18,0,1,2,1,2,0
33,0,17,0,3,2,1,0
34,0,51,0,2,0,0,3
35,0,22,0,4,0,1,2
36,21,0,1,2,0,1,2
37,0,22,0,0,1,2,0
38,0,30,0,2,0,3,0
39,3,0,1,4,1,0,2
40,0,48,0,5,0,0,3
41,22,0,1,6,2,0,1
42,0,58,0,2,1,1,1
43,20,0,1,5,1,1,1
44,0,13,0,6,2,0,1
45,37,0,1,6,1,2,0
46,0,49,0,1,0,2,1
47,0,52,0,5,0,1,2
48,0,4,0,4,1,0,2
49,0,60,0,1,0,2,1
50,4,0,1,10,0,3,0
51,0,22,0,2,0,0,3
52,0,27,0,1,2,1,0
53,30,0,1,4,2,1,0
54,0,47,0,10,0,0,3
55,31,0,1,1,0,1,2
56,0,45,0,2,1,1,1
57,19,0,1,4,1,0,2
58,0,24,0,2,0,1,2
59,0,18,0,6,0,0,3
60,0,7,0,5,1,1,1
61,0,33,0,1,1,1,1
62,38,0,1,3,0,3,0
63,26,0,1,2,1,1,1
64,16,0,1,1,1,0,2
65,42,0,1,5,0,2,1
66,60,0,1,4,0,0,3
67,46,0,1,5,1,2,0
68,8,0,1,6,0,1,2
69,60,0,1,3,1,1,1
70,0,22,0,2,1,1,1
71,0,53,0,0,0,3,0
72,13,0,1,6,1,1,1
73,0,11,0,1,2,1,0
74,23,0,1,4,1,0,2
75,25,0,1,2,0,2,1
76,23,0,1,4,0,2,1
77,0,2,0,5,1,0,2
78,10,0,1,6,0,0,3
79,21,0,1,4,0,2,1
80,0,51,0,0,1,0,2
81,24,0,1,3,1,1,1
82,0,24,0,1,0,2,1
83,0,19,0,7,0,2,1
84,0,27,0,2,0,3,0
85,0,45,0,3,0,1,2
86,11,0,1,4,0,3,0
87,6,0,1,9,2,1,0
88,0,22,0,2,0,2,1
89,0,35,0,3,0,1,2
90,0,45,0,1,0,3,0
91,0,14,0,5,0,2,1
92,0,13,0,3,0,1,2
93,37,0,1,2,0,1,2
94,0,39,0,4,1,1,1
95,0,25,0,5,1,0,2
96,23,0,1,4,0,1,2
97,0,2,0,3,0,0,3
98,0,60,0,1,0,2,1
99,5,0,1,3,1,0,2
100,14,0,1,6,0,3,0
101,0,4,0,5,1,0,2
102,0,11,0,8,0,2,0
103,0,13,0,2,1,1,1
104,17,0,1,4,1,2,0
105,0,2,0,4,1,0,2
106,26,0,1,2,0,2,1
107,0,2,0,5,1,1,1
108,0,34,0,5,0,1,2
109,18,0,1,10,1,1,1
110,0,20,0,2,0,3,0
111,0,10,0,5,0,0,3
112,10,0,1,3,1,0,2
113,0,22,0,4,0,2,1
114,0,6,0,5,1,0,2
115,0,19,0,7,0,1,2
116,26,0,1,4,0,2,1
117,10,0,1,4,1,0,2
118,0,19,0,5,0,0,3
119,0,47,0,1,1,2,0
120,0,15,0,4,1,1,1
121,0,28,0,4,1,2,0
122,0,6,0,1,2,1,0
123,0,9,0,6,0,1,2
124,0,19,0,2,1,2,0
125,0,18,0,4,0,1,2
126,15,0,1,7,0,3,0
127,0,46,0,2,1,1,1
128,0,15,0,5,2,1,0
129,33,0,1,3,0,1,2
130,29,0,1,1,0,2,1
131,0,19,0,5,0,1,2
132,27,0,1,3,0,0,3
133,48,0,1,2,0,3,0
134,2,0,1,8,1,2,0
135,0,26,0,4,0,0,3
136,0,12,0,5,0,0,3
137,0,9,0,2,0,1,2
138,23,0,1,4,1,1,1
139,0,20,0,3,1,1,1
140,0,8,0,3,1,1,1
141,60,0,1,4,1,1,1
142,26,0,1,1,1,0,2
143,8,0,1,3,0,0,3
144,10,0,1,2,0,1,2
145,21,0,1,3,2,0,1
146,0,13,0,6,0,0,3
147,0,38,0,0,0,2,1
148,0,16,0,7,1,1,1
149,0,9,0,1,1,1,1
150,0,11,0,3,0,1,2
151,0,6,0,6,1,1,1
152,0,13,0,6,2,1,0
153,0,20,0,1,1,1,1
154,0,16,0,2,1,1,1
155,0,6,0,3,1,0,2
156,0,47,0,2,0,0,3
157,0,22,0,7,0,1,2
158,10,0,1,3,1,2,0
159,0,41,0,5,0,1,2
160,0,28,0,3,0,1,2
161,3,0,1,3,0,1,2
162,0,60,0,0,0,2,1
163,0,40,0,1,1,2,0
164,0,22,0,2,0,1,2
165,55,0,1,1,0,2,1
166,27,0,1,2,0,1,2
167,0,6,0,4,1,2,0
168,32,0,1,6,1,1,1
169,0,44,0,3,0,2,1
170,0,47,0,0,2,0,1
171,53,0,1,1,0,1,2
172,0,60,0,0,0,1,2
173,12,0,1,4,0,1,2
174,0,4,0,7,0,0,3
175,0,51,0,3,1,2,0
176,0,33,0,6,1,0,2
177,56,0,1,5,0,2,1
178,0,10,0,6,1,1,1
179,0,14,0,7,1,1,1
180,0,48,0,2,3,0,0
181,0,15,0,1,0,1,2
182,0,8,0,4,0,0,3
183,0,34,0,3,1,0,2
184,19,0,1,7,0,0,3
185,0,20,0,2,1,2,0
186,0,21,0,4,0,0,3
187,0,37,0,2,0,1,2
188,9,0,1,5,1,1,1
189,0,54,0,2,0,1,2
190,0,0,0,3,2,1,0
191,0,30,0,1,0,1,2
192,19,0,1,6,0,0,3
193,0,60,0,3,0,0,3
194,0,26,0,4,0,0,3
195,0,48,0,1,0,1,2
196,10,0,1,4,0,0,3
197,5,0,1,1,2,0,1
198,0,60,0,0,1,1,1
199,0,45,0,4,1,2,0
200,0,16,0,3,1,1,1
201,0,27,0,2,0,1,2
202,0,23,0,3,1,0,2
203,33,0,1,4,0,3,0
204,0,10,0,3,1,0,2
205,0,16,0,4,1,1,1
206,19,0,1,3,1,1,1
207,22,0,1,5,0,1,2
208,33,0,1,2,2,1,0
209,11,0,1,5,0,2,1
210,35,0,1,2,0,3,0
211,0,6,0,3,1,2,0
212,16,0,1,6,2,1,0
213,36,0,1,3,1,1,1
214,0,9,0,11,1,1,1
215,60,0,1,2,1,1,1
216,0,8,0,2,0,0,3
217,44,0,1,5,0,0,3
218,0,35,0,2,1,1,1
219,3,0,1,5,2,1,0
220,0,27,0,4,0,1,2
221,13,0,1,8,2,0,1
222,0,60,0,0,0,0,3
223,60,0,1,1,1,1,1
224,26,0,1,2,0,2,1
225,0,7,0,1,0,1,2
226,0,16,0,5,1,2,0
227,0,10,0,3,0,2,1
228,29,0,1,4,1,2,0
229,0,32,0,3,0,2,1
230,0,30,0,0,1,2,0
231,0,23,0,4,0,1,2
232,50,0,1,2,1,1,1
233,0,60,0,3,0,2,1
234,18,0,1,3,0,1,2
235,23,0,1,5,1,1,1
236,0,2,0,5,1,1,1
237,17,0,1,3,1,1,1
238,33,0,1,3,1,0,2
239,49,0,1,3,0,1,2
240,0,7,0,3,1,1,1
241,24,0,1,2,1,2,0
242,34,0,1,4,0,2,1
243,0,15,0,5,1,2,0
244,19,0,1,6,1,0,2
245,17,0,1,2,2,1,0
246,26,0,1,2,0,2,1
247,31,0,1,5,1,2,0
248,28,0,1,5,0,1,2
249,60,0,1,3,1,2,0
250,0,12,0,7,0,1,2
251,17,0,1,7,2,1,0
252,56,0,1,5,1,0,2
253,0,20,0,3,1,0,2
254,0,60,0,0,1,1,1
255,0,60,0,0,0,0,3
256,36,0,1,4,1,2,0
257,0,27,0,3,1,1,1
258,47,0,1,1,0,1,2
259,0,30,0,2,0,0,3
260,18,0,1,9,0,2,1
261,24,0,1,1,1,0,2
262,23,0,1,4,1,1,1
263,17,0,1,3,1,2,0
264,0,55,0,3,1,1,1
265,0,11,0,6,1,0,2
266,2,0,1,3,1,1,1
