,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,28,0,1,2,1,1,1
1,0,35,0,6,0,0,3
2,13,0,1,4,1,1,1
3,60,0,1,1,1,0,2
4,0,14,0,6,0,2,1
5,11,0,1,4,3,0,0
6,22,0,1,5,0,1,2
7,16,0,1,4,2,1,0
8,0,45,0,4,0,1,2
9,20,0,1,5,0,1,2
10,54,0,1,4,1,0,2
11,0,44,0,5,0,2,1
12,21,0,1,5,2,0,1
13,0,38,0,1,0,2,1
14,3,0,1,7,1,1,1
15,40,0,1,1,1,1,1
16,0,31,0,4,0,1,2
17,0,15,0,5,1,1,1
18,8,0,1,7,0,1,2
19,19,0,1,4,0,1,2
20,0,4,0,10,3,0,0
21,9,0,1,6,1,0,2
22,0,10,0,4,0,2,1
23,14,0,1,8,0,0,3
24,2,0,1,11,0,0,3
25,18,0,1,4,0,1,2
26,0,25,0,5,3,0,0
27,0,58,0,1,1,1,1
28,15,0,1,6,1,2,0
29,0,41,0,6,2,1,0
30,25,0,1,4,0,0,3
31,5,0,1,5,0,0,3
32,53,0,1,3,2,1,0
33,32,0,1,4,1,1,1
34,0,19,0,2,1,1,1
35,0,25,0,3,1,0,2
36,4,0,1,4,0,1,2
37,42,0,1,5,3,0,0
38,0,51,0,1,1,1,1
39,0,60,0,5,0,1,2
40,0,12,0,9,0,1,2
41,9,0,1,10,2,0,1
42,0,8,0,6,0,1,2
43,0,22,0,6,1,1,1
44,32,0,1,5,0,0,3
45,14,0,1,10,1,1,1
46,0,8,0,5,2,0,1
47,60,0,1,1,2,1,0
48,19,0,1,3,1,0,2
49,0,16,0,3,1,1,1
50,37,0,1,5,1,2,0
51,0,7,0,8,1,1,1
52,0,37,0,6,1,1,1
53,0,34,0,9,1,0,2
54,0,24,0,0,2,1,0
55,0,19,0,2,1,0,2
56,0,56,0,5,0,0,3
57,3,0,1,14,0,2,1
58,0,33,0,6,2,0,1
59,37,0,1,3,1,1,1
60,44,0,1,2,1,1,1
61,0,60,0,2,0,2,1
62,8,0,1,3,2,1,0
63,0,12,0,5,0,1,2
64,0,60,0,0,0,2,1
65,3,0,1,6,0,0,3
66,0,59,0,2,1,2,0
67,28,0,1,6,0,1,2
68,44,0,1,2,0,0,3
69,35,0,1,7,0,1,2
70,20,0,1,5,1,0,2
71,59,0,1,4,1,1,1
72,0,33,0,0,1,1,1
73,4,0,1,6,0,1,2
74,23,0,1,3,1,2,0
75,3,0,1,6,1,2,0
76,0,39,0,0,1,0,2
77,0,17,0,1,1,0,2
78,0,20,0,8,1,0,2
79,0,11,0,4,1,1,1
80,0,2,0,4,1,0,2
81,0,47,0,2,2,0,1
82,0,45,0,1,1,2,0
83,0,58,0,2,1,0,2
84,37,0,1,3,0,0,3
85,0,28,0,5,0,0,3
86,25,0,1,7,2,0,1
87,0,60,0,0,1,0,2
88,2,0,1,8,2,0,1
89,22,0,1,4,1,1,1
90,0,11,0,8,0,0,3
91,28,0,1,8,1,0,2
92,4,0,1,5,1,1,1
93,35,0,1,2,1,0,2
94,12,0,1,9,0,1,2
95,0,6,0,12,2,0,1
96,0,28,0,3,1,0,2
97,0,6,0,4,2,1,0
98,43,0,1,3,0,2,1
99,27,0,1,5,1,2,0
100,0,41,0,5,1,1,1
101,60,0,1,5,1,0,2
102,18,0,1,8,0,1,2
103,0,23,0,6,1,2,0
104,0,42,0,4,2,1,0
105,0,46,0,6,1,2,0
106,60,0,1,3,0,2,1
107,8,0,1,8,1,1,1
108,17,0,1,4,2,0,1
109,0,17,0,7,2,1,0
110,28,0,1,4,0,1,2
111,5,0,1,5,2,1,0
112,10,0,1,5,1,1,1
113,11,0,1,4,1,1,1
114,0,11,0,7,1,0,2
115,0,26,0,7,1,1,1
116,10,0,1,5,0,1,2
117,20,0,1,4,1,1,1
118,0,6,0,7,1,0,2
119,8,0,1,6,1,1,1
120,42,0,1,1,1,1,1
121,0,29,0,2,1,0,2
122,0,14,0,2,1,0,2
123,0,6,0,4,0,0,3
124,2,0,1,6,1,1,1
125,20,0,1,4,2,1,0
126,3,0,1,9,1,2,0
127,0,60,0,1,0,1,2
128,26,0,1,4,1,1,1
129,0,24,0,6,2,1,0
130,27,0,1,5,0,2,1
