,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,21,0,1,3,0,0,3
1,60,0,1,1,1,0,2
2,0,14,0,6,0,2,1
3,11,0,1,4,3,0,0
4,22,0,1,9,0,1,2
5,16,0,1,4,2,0,1
6,0,46,0,4,0,1,2
7,20,0,1,5,0,0,3
8,54,0,1,4,1,0,2
9,0,40,0,5,0,2,1
10,21,0,1,5,2,0,1
11,0,38,0,1,0,2,1
12,10,0,1,7,1,1,1
13,40,0,1,1,1,1,1
14,0,31,0,4,0,1,2
15,0,14,0,5,1,1,1
16,0,13,0,8,0,2,1
17,33,0,1,3,0,1,2
18,0,25,0,10,2,1,0
19,9,0,1,6,1,1,1
20,0,10,0,4,0,2,1
21,0,23,0,8,1,1,1
22,0,45,0,8,0,0,3
23,18,0,1,4,0,1,2
24,0,3,0,7,3,0,0
25,0,58,0,1,1,1,1
26,14,0,1,7,0,2,1
27,0,41,0,6,2,1,0
28,25,0,1,4,0,0,3
29,0,3,0,5,0,1,2
30,53,0,1,3,2,1,0
31,23,0,1,4,1,1,1
32,0,19,0,2,1,1,1
33,0,12,0,3,1,0,2
34,4,0,1,4,0,1,2
35,42,0,1,5,3,0,0
36,0,51,0,1,1,1,1
37,0,37,0,5,0,1,2
38,0,12,0,9,0,1,2
39,0,10,0,10,1,2,0
40,0,2,0,6,0,1,2
41,0,25,0,6,0,2,1
42,32,0,1,5,0,0,3
43,3,0,1,13,2,1,0
44,0,8,0,5,2,0,1
45,60,0,1,1,2,1,0
46,19,0,1,3,1,0,2
47,2,0,1,5,1,2,0
48,37,0,1,5,1,2,0
49,0,18,0,8,1,1,1
50,0,26,0,6,1,1,1
51,0,41,0,9,1,0,2
52,0,24,0,0,2,1,0
53,0,19,0,2,1,0,2
54,0,58,0,5,0,0,3
55,23,0,1,10,1,2,0
56,0,23,0,6,2,0,1
57,37,0,1,3,1,1,1
58,44,0,1,2,1,1,1
59,0,43,0,3,0,2,1
60,8,0,1,3,2,1,0
61,0,12,0,5,0,1,2
62,0,60,0,0,0,2,1
63,0,5,0,4,0,1,2
64,0,59,0,2,1,2,0
65,28,0,1,6,0,1,2
66,44,0,1,2,0,0,3
67,35,0,1,7,0,0,3
68,20,0,1,5,1,0,2
69,60,0,1,7,0,2,1
70,0,33,0,0,1,1,1
71,0,35,0,4,2,0,1
72,23,0,1,3,1,2,0
73,0,4,0,5,0,1,2
74,0,39,0,0,1,0,2
75,0,17,0,1,1,0,2
76,0,20,0,8,1,0,2
77,0,11,0,4,1,1,1
78,0,2,0,4,1,0,2
79,0,44,0,3,2,0,1
80,0,45,0,1,1,2,0
81,0,58,0,2,1,0,2
82,37,0,1,3,0,0,3
83,0,43,0,4,0,1,2
84,0,12,0,8,1,1,1
85,0,60,0,0,1,0,2
