,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,56,0,1,4,2,0,1
1,0,30,0,1,0,2,1
2,41,0,1,9,0,0,3
3,46,0,1,5,2,1,0
4,0,12,0,3,1,1,1
5,0,4,0,3,0,0,3
6,0,60,0,1,0,0,3
7,0,37,0,1,1,1,1
8,0,8,0,4,0,2,1
9,4,0,1,6,1,1,1
10,0,2,0,4,0,1,2
11,0,17,0,3,2,1,0
12,60,0,1,4,1,0,2
13,0,10,0,6,2,0,1
14,0,43,0,3,1,1,1
15,8,0,1,4,1,0,2
16,0,36,0,7,0,2,1
17,5,0,1,8,0,2,1
18,18,0,1,7,2,1,0
19,4,0,1,5,0,2,1
20,46,0,1,1,1,1,1
21,0,56,0,4,0,2,1
22,6,0,1,9,1,1,1
23,0,8,0,3,2,1,0
24,0,19,0,7,1,2,0
25,0,45,0,1,0,2,1
26,0,42,0,2,1,1,1
27,0,35,0,1,1,1,1
28,0,57,0,1,0,1,2
29,0,46,0,2,0,2,1
30,0,11,0,3,0,1,2
31,0,24,0,2,1,1,1
32,0,60,0,1,1,1,1
33,0,4,0,2,0,0,3
34,0,19,0,2,0,1,2
35,0,15,0,2,2,0,1
36,0,7,0,4,2,0,1
37,19,0,1,4,0,1,2
38,0,48,0,2,0,0,3
39,0,13,0,4,0,1,2
40,9,0,1,6,0,2,1
41,0,22,0,0,1,2,0
42,0,7,0,2,0,3,0
43,3,0,1,5,0,2,1
44,0,41,0,3,0,0,3
45,0,18,0,7,0,1,2
46,0,60,0,4,2,0,1
47,0,3,0,3,0,1,2
48,0,30,0,4,1,2,0
49,9,0,1,5,1,2,0
50,0,49,0,1,0,2,1
51,0,5,0,4,1,0,2
52,0,2,0,4,1,0,2
53,0,60,0,1,0,2,1
54,0,9,0,3,2,1,0
55,0,14,0,2,0,0,3
56,0,27,0,1,2,1,0
57,25,0,1,6,1,1,1
58,0,9,0,11,0,1,2
59,27,0,1,3,0,1,2
60,0,40,0,2,1,1,1
61,13,0,1,7,1,2,0
62,0,20,0,2,0,1,2
63,5,0,1,6,1,0,2
64,0,49,0,4,1,1,1
65,0,33,0,1,1,1,1
66,38,0,1,3,0,2,1
67,26,0,1,2,1,1,1
68,16,0,1,1,1,0,2
69,42,0,1,5,0,2,1
70,60,0,1,4,0,0,3
71,0,3,0,5,2,1,0
72,8,0,1,6,0,1,2
73,60,0,1,3,1,1,1
74,0,25,0,3,0,1,2
75,0,53,0,0,0,3,0
76,16,0,1,8,1,1,1
77,0,11,0,1,2,1,0
78,0,2,0,6,2,0,1
79,10,0,1,3,0,3,0
80,28,0,1,5,0,2,1
81,8,0,1,4,1,1,1
82,10,0,1,6,0,0,3
83,0,5,0,5,2,1,0
84,0,51,0,0,1,0,2
85,24,0,1,3,1,1,1
86,0,24,0,1,0,2,1
87,0,13,0,7,0,2,1
88,0,27,0,2,0,3,0
89,0,37,0,3,0,1,2
90,38,0,1,3,1,2,0
91,20,0,1,6,1,1,1
92,0,18,0,2,0,2,1
93,0,22,0,4,0,1,2
94,0,32,0,2,0,3,0
95,0,2,0,7,0,2,1
96,0,2,0,4,1,1,1
97,37,0,1,2,0,0,3
98,0,15,0,4,1,1,1
99,2,0,1,9,0,1,2
100,23,0,1,4,0,1,2
101,0,2,0,4,1,2,0
102,0,60,0,1,0,2,1
103,0,16,0,2,0,2,1
104,3,0,1,7,0,2,1
105,0,2,0,8,1,1,1
106,4,0,1,7,1,0,2
107,0,13,0,2,1,1,1
108,14,0,1,5,0,3,0
109,26,0,1,5,0,2,1
110,2,0,1,13,0,1,2
111,0,2,0,6,1,1,1
112,0,15,0,5,1,0,2
113,19,0,1,8,1,1,1
114,7,0,1,6,0,1,2
115,5,0,1,5,0,2,1
116,10,0,1,3,1,0,2
117,0,2,0,4,0,2,1
118,19,0,1,8,0,0,3
119,6,0,1,4,1,2,0
120,2,0,1,5,1,1,1
121,10,0,1,4,1,0,2
122,0,13,0,5,0,0,3
123,0,47,0,1,1,2,0
124,33,0,1,7,0,3,0
125,0,2,0,8,0,1,2
126,0,6,0,1,2,1,0
127,0,12,0,5,1,0,2
128,0,19,0,2,1,2,0
129,4,0,1,7,0,0,3
130,0,9,0,7,0,0,3
131,0,43,0,2,1,1,1
132,17,0,1,6,0,3,0
133,33,0,1,3,0,2,1
134,29,0,1,1,0,2,1
135,28,0,1,4,2,0,1
136,27,0,1,3,0,0,3
137,39,0,1,2,0,2,1
138,0,22,0,3,1,0,2
139,0,2,0,7,0,0,3
140,0,48,0,5,0,1,2
141,0,6,0,2,0,1,2
142,23,0,1,4,1,1,1
143,0,2,0,3,0,2,1
144,0,8,0,6,0,1,2
145,9,0,1,6,0,2,1
146,17,0,1,3,1,0,2
147,0,4,0,5,1,0,2
148,10,0,1,2,0,1,2
149,6,0,1,4,3,0,0
150,0,2,0,6,0,0,3
151,0,38,0,0,0,2,1
152,0,13,0,9,0,2,1
153,0,7,0,1,1,1,1
154,11,0,1,3,0,2,1
155,0,2,0,5,1,1,1
156,0,29,0,6,1,1,1
157,0,4,0,2,1,1,1
158,0,13,0,2,1,0,2
159,0,11,0,3,1,0,2
160,0,44,0,2,0,0,3
161,0,15,0,7,0,1,2
162,10,0,1,3,1,2,0
163,0,17,0,5,0,1,2
164,0,40,0,2,0,1,2
165,3,0,1,3,0,1,2
166,0,60,0,0,0,2,1
167,0,35,0,1,1,1,1
168,0,19,0,2,0,1,2
169,27,0,1,2,1,1,1
170,2,0,1,3,0,0,3
171,12,0,1,4,0,0,3
172,0,3,0,7,2,0,1
173,0,18,0,3,0,2,1
174,0,47,0,0,2,0,1
175,53,0,1,2,0,0,3
176,0,60,0,0,0,1,2
177,9,0,1,2,0,0,3
178,50,0,1,4,2,1,0
179,0,35,0,4,1,1,1
180,0,13,0,6,0,1,2
181,9,0,1,6,1,0,2
182,0,10,0,7,1,2,0
183,0,31,0,4,0,1,2
184,0,33,0,3,2,0,1
185,0,15,0,1,0,1,2
186,0,8,0,4,0,0,3
187,0,13,0,3,1,0,2
188,0,2,0,7,0,0,3
189,0,16,0,2,1,1,1
190,0,10,0,5,0,1,2
191,0,29,0,3,0,2,1
192,9,0,1,5,1,1,1
193,0,54,0,2,0,1,2
194,21,0,1,1,0,2,1
195,0,17,0,1,0,1,2
196,19,0,1,6,1,2,0
197,0,60,0,3,0,0,3
198,0,22,0,4,0,0,3
199,0,48,0,1,0,1,2
200,10,0,1,4,0,0,3
201,5,0,1,1,2,0,1
202,0,60,0,0,1,1,1
203,0,42,0,3,0,2,1
204,23,0,1,3,0,2,1
205,0,14,0,3,0,0,3
206,0,19,0,2,1,0,2
207,20,0,1,8,1,2,0
208,0,10,0,3,1,0,2
209,0,24,0,4,0,2,1
210,19,0,1,3,1,1,1
211,45,0,1,3,1,2,0
212,33,0,1,2,2,1,0
213,17,0,1,3,0,1,2
214,30,0,1,3,0,3,0
215,20,0,1,4,1,1,1
216,0,17,0,6,1,0,2
217,43,0,1,3,1,0,2
218,47,0,1,10,0,1,2
219,60,0,1,2,0,1,2
220,0,18,0,2,0,0,3
221,44,0,1,5,0,0,3
222,0,26,0,2,1,1,1
223,0,23,0,5,1,1,1
224,0,12,0,4,0,1,2
225,2,0,1,10,0,0,3
226,0,60,0,0,0,0,3
227,60,0,1,1,1,1,1
228,26,0,1,2,0,1,2
229,0,7,0,1,0,1,2
230,0,60,0,3,1,2,0
231,0,8,0,5,0,0,3
232,29,0,1,4,1,2,0
233,0,5,0,4,0,1,2
234,0,30,0,0,1,2,0
235,0,10,0,5,0,0,3
236,48,0,1,3,1,1,1
237,0,60,0,3,0,2,1
238,3,0,1,5,0,1,2
239,30,0,1,3,0,1,2
240,0,2,0,5,1,1,1
241,17,0,1,3,1,1,1
242,2,0,1,5,2,0,1
243,49,0,1,3,0,1,2
244,0,38,0,3,1,1,1
245,16,0,1,3,1,1,1
246,18,0,1,4,1,1,1
247,0,9,0,3,1,2,0
248,5,0,1,7,1,2,0
249,17,0,1,2,2,1,0
250,26,0,1,2,0,2,1
251,31,0,1,5,1,1,1
252,0,26,0,3,0,1,2
253,60,0,1,2,1,1,1
254,28,0,1,4,1,1,1
255,0,12,0,7,0,1,2
256,40,0,1,4,1,1,1
257,0,25,0,3,1,0,2
258,0,60,0,0,1,1,1
259,0,60,0,0,0,0,3
260,10,0,1,5,2,1,0
261,0,44,0,3,1,1,1
262,47,0,1,1,0,1,2
263,0,23,0,2,0,0,3
264,0,13,0,5,1,1,1
265,24,0,1,1,1,0,2
266,0,13,0,4,0,2,1
267,0,7,0,4,1,2,0
268,0,13,0,6,0,2,1
269,26,0,1,6,0,0,3
270,2,0,1,3,1,1,1
271,4,0,1,6,0,0,3
272,0,60,0,1,0,2,1
273,0,2,0,6,1,1,1
274,22,0,1,5,0,2,1
275,0,2,0,5,1,1,1
276,60,0,1,5,1,1,1
277,16,0,1,5,1,0,2
278,2,0,1,6,0,1,2
279,0,2,0,3,0,0,3
280,10,0,1,9,0,3,0
281,25,0,1,4,1,1,1
282,14,0,1,5,3,0,0
283,0,21,0,1,1,2,0
284,0,2,0,7,0,0,3
285,0,37,0,3,0,3,0
286,37,0,1,2,1,2,0
287,0,8,0,2,0,3,0
288,0,18,0,5,0,0,3
289,0,7,0,4,0,2,1
290,0,8,0,4,0,1,2
291,0,12,0,5,1,0,2
292,0,52,0,0,0,1,2
293,2,0,1,7,1,0,2
294,0,22,0,1,1,1,1
295,5,0,1,7,1,0,2
296,10,0,1,4,0,1,2
297,3,0,1,4,0,0,3
298,28,0,1,4,1,1,1
299,23,0,1,4,0,1,2
300,0,17,0,2,0,2,1
301,0,9,0,6,2,1,0
302,38,0,1,2,2,1,0
303,0,2,0,3,1,0,2
304,0,17,0,3,0,2,1
305,0,37,0,3,1,1,1
306,0,49,0,0,0,0,3
307,2,0,1,3,0,3,0
308,15,0,1,6,1,1,1
309,10,0,1,3,1,0,2
310,60,0,1,5,2,1,0
311,28,0,1,4,0,1,2
312,0,40,0,0,1,2,0
313,0,16,0,2,0,2,1
314,9,0,1,5,1,0,2
315,24,0,1,2,0,2,1
316,31,0,1,4,0,1,2
317,0,48,0,1,0,1,2
318,0,15,0,5,1,1,1
319,0,60,0,4,0,1,2
320,0,9,0,8,2,1,0
321,51,0,1,5,0,2,1
322,0,12,0,3,0,2,1
323,0,60,0,4,1,0,2
324,39,0,1,6,0,2,1
325,0,14,0,3,0,2,1
326,41,0,1,5,0,1,2
327,46,0,1,1,0,0,3
328,0,4,0,8,1,1,1
329,0,46,0,4,1,0,2
330,0,9,0,1,1,0,2
331,27,0,1,3,1,0,2
332,0,50,0,2,0,0,3
333,0,60,0,1,0,2,1
334,0,38,0,2,1,0,2
335,50,0,1,1,0,2,1
336,0,24,0,2,1,2,0
337,0,6,0,7,1,1,1
338,26,0,1,4,0,0,3
339,0,39,0,1,0,1,2
340,0,51,0,2,0,0,3
341,0,2,0,6,1,1,1
342,0,13,0,4,0,1,2
343,0,2,0,3,1,0,2
344,29,0,1,1,0,0,3
345,28,0,1,8,0,2,1
346,0,31,0,2,0,0,3
347,52,0,1,4,1,1,1
348,7,0,1,4,0,2,1
349,0,2,0,5,1,1,1
350,9,0,1,7,0,2,1
351,0,21,0,3,2,1,0
352,0,10,0,5,0,1,2
353,0,19,0,4,1,1,1
354,13,0,1,5,1,0,2
355,0,2,0,4,0,2,1
356,0,2,0,4,0,1,2
357,29,0,1,1,0,2,1
358,60,0,1,6,1,1,1
359,0,45,0,0,1,2,0
360,0,3,0,5,1,1,1
361,2,0,1,10,0,0,3
362,0,2,0,4,0,1,2
363,0,2,0,3,0,2,1
364,3,0,1,6,0,0,3
365,13,0,1,5,1,1,1
366,11,0,1,3,1,0,2
367,0,36,0,4,1,1,1
368,0,21,0,5,0,1,2
369,28,0,1,3,1,1,1
370,3,0,1,5,1,0,2
371,45,0,1,2,0,1,2
372,22,0,1,6,1,1,1
373,0,24,0,3,1,1,1
374,8,0,1,3,0,1,2
375,5,0,1,6,0,1,2
376,0,22,0,4,0,2,1
377,0,38,0,1,0,1,2
378,0,3,0,6,1,1,1
379,0,19,0,5,1,1,1
380,0,30,0,5,2,1,0
381,0,52,0,2,1,2,0
382,0,7,0,7,2,0,1
383,15,0,1,5,2,0,1
384,0,21,0,3,2,0,1
385,8,0,1,5,0,3,0
386,0,2,0,6,0,1,2
387,0,50,0,0,0,1,2
388,3,0,1,6,1,1,1
389,2,0,1,8,1,1,1
390,0,2,0,4,1,2,0
391,0,19,0,2,1,2,0
392,0,14,0,7,0,0,3
393,0,2,0,4,1,1,1
394,3,0,1,7,1,1,1
395,0,2,0,6,1,2,0
396,15,0,1,4,0,0,3
397,0,15,0,8,0,2,1
398,34,0,1,5,1,0,2
399,0,12,0,4,1,1,1
400,26,0,1,4,1,2,0
401,0,53,0,5,1,0,2
402,0,58,0,3,0,2,1
403,0,38,0,2,1,2,0
404,0,28,0,1,0,1,2
405,0,10,0,5,0,0,3
406,0,5,0,6,0,2,1
407,10,0,1,4,1,1,1
408,2,0,1,5,1,0,2
409,0,2,0,11,0,2,1
410,19,0,1,6,2,0,0
411,0,15,0,1,1,1,1
412,0,31,0,3,0,1,2
413,0,15,0,2,0,1,2
414,19,0,1,6,1,0,2
415,0,7,0,6,0,0,3
416,0,23,0,2,1,1,1
417,18,0,1,3,1,1,1
418,4,0,1,5,1,0,2
419,0,2,0,9,1,0,2
420,0,15,0,3,0,0,3
421,25,0,1,2,1,1,1
422,33,0,1,4,1,0,2
423,42,0,1,1,0,1,2
424,0,44,0,2,0,1,2
425,0,53,0,1,1,1,1
426,0,2,0,5,0,3,0
427,0,30,0,1,1,0,2
428,0,16,0,4,2,0,1
429,0,9,0,8,1,1,1
430,0,28,0,1,0,0,3
431,0,24,0,3,0,2,1
432,0,23,0,0,0,0,3
433,21,0,1,5,1,2,0
434,0,37,0,3,1,1,1
435,0,2,0,5,2,0,1
436,0,16,0,4,0,2,1
437,0,21,0,1,0,2,1
438,0,2,0,5,2,1,0
439,16,0,1,7,1,0,2
440,0,2,0,7,0,2,1
441,0,2,0,5,1,1,1
442,27,0,1,4,0,2,1
443,0,41,0,2,1,1,1
444,0,18,0,1,1,1,1
445,5,0,1,4,0,1,2
446,0,2,0,4,0,0,3
447,0,2,0,10,2,0,1
448,8,0,1,10,1,1,1
449,0,13,0,4,1,1,1
450,19,0,1,5,1,0,2
451,0,41,0,3,2,1,0
452,18,0,1,4,1,0,2
453,0,60,0,0,0,1,2
454,0,15,0,3,1,2,0
455,2,0,1,7,1,1,1
456,28,0,1,4,2,1,0
457,3,0,1,4,1,1,1
458,3,0,1,5,1,1,1
459,0,48,0,1,0,1,2
460,0,33,0,3,0,0,3
461,41,0,1,3,1,0,2
462,0,12,0,5,3,0,0
463,0,57,0,1,0,0,3
464,38,0,1,3,0,1,2
465,2,0,1,5,1,2,0
466,0,15,0,5,0,1,2
467,0,29,0,2,0,3,0
468,0,22,0,1,0,1,2
469,0,3,0,7,1,0,2
470,0,16,0,5,1,1,1
471,0,20,0,5,0,1,2
472,47,0,1,7,1,1,1
473,43,0,1,3,0,2,1
474,0,25,0,4,0,1,2
475,0,2,0,2,0,0,3
476,20,0,1,6,1,0,2
477,28,0,1,6,0,1,2
478,22,0,1,3,1,1,1
479,16,0,1,8,1,2,0
480,0,26,0,2,1,1,1
481,16,0,1,3,1,1,1
482,0,3,0,5,0,0,3
483,0,37,0,2,1,1,1
484,12,0,1,8,0,2,1
485,0,44,0,2,2,1,0
486,0,2,0,7,0,3,0
487,15,0,1,6,1,0,2
488,56,0,1,4,1,0,2
489,0,44,0,3,1,2,0
490,0,3,0,5,1,1,1
491,0,2,0,10,1,0,2
492,0,2,0,1,1,2,0
493,13,0,1,7,1,1,1
494,26,0,1,5,0,0,3
495,0,56,0,2,1,0,2
496,0,5,0,3,0,0,3
497,42,0,1,4,0,1,2
498,17,0,1,4,1,1,1
499,15,0,1,4,1,2,0
500,22,0,1,2,0,3,0
501,38,0,1,4,1,0,2
502,20,0,1,3,0,0,3
503,0,3,0,6,0,0,3
504,0,16,0,4,1,0,2
505,10,0,1,6,0,2,1
506,0,2,0,6,1,0,2
507,47,0,1,2,0,1,2
508,0,4,0,3,0,2,1
509,0,16,0,2,0,1,2
510,0,2,0,5,0,1,2
511,0,55,0,1,0,3,0
512,0,2,0,3,1,0,2
513,0,4,0,5,2,1,0
514,2,0,1,3,1,0,2
515,2,0,1,3,0,2,1
516,0,50,0,1,1,0,2
517,0,14,0,4,1,0,2
518,0,6,0,6,2,1,0
519,0,31,0,4,0,1,2
520,0,16,0,2,0,1,2
521,12,0,1,9,0,0,3
522,29,0,1,3,0,3,0
523,0,17,0,3,1,1,1
524,7,0,1,10,0,0,3
525,0,2,0,3,0,0,3
526,8,0,1,2,0,0,3
527,0,46,0,1,2,1,0
528,5,0,1,4,0,2,1
529,2,0,1,2,0,2,1
530,0,21,0,4,0,0,3
531,39,0,1,3,1,1,1
532,0,37,0,3,0,1,2
533,0,20,0,2,1,0,2
534,8,0,1,5,1,1,1
535,0,29,0,5,0,0,3
536,0,19,0,3,0,1,2
537,16,0,1,6,0,1,2
538,26,0,1,2,0,1,2
539,0,60,0,1,0,2,1
540,0,17,0,6,0,1,2
541,0,3,0,3,1,0,2
542,0,12,0,6,1,1,1
543,53,0,1,4,2,0,1
544,0,2,0,5,0,1,2
545,0,12,0,0,1,1,1
546,0,26,0,0,0,0,3
547,7,0,1,6,2,1,0
548,60,0,1,6,0,0,3
549,0,11,0,2,1,1,1
550,0,7,0,3,0,0,3
551,0,3,0,7,1,1,1
552,47,0,1,2,1,1,1
553,2,0,1,2,0,0,3
554,2,0,1,6,1,1,1
555,26,0,1,5,2,1,0
556,37,0,1,5,2,1,0
557,0,22,0,1,0,1,2
558,0,16,0,4,0,1,2
559,19,0,1,7,0,1,2
560,0,12,0,5,1,2,0
561,0,27,0,1,0,1,2
562,0,14,0,4,1,2,0
563,0,2,0,4,0,2,1
564,9,0,1,8,2,1,0
565,0,8,0,3,2,0,1
566,0,13,0,3,0,1,2
567,0,8,0,2,0,1,2
568,0,4,0,3,1,1,1
569,0,5,0,2,0,3,0
570,16,0,1,3,0,1,2
571,0,29,0,2,1,1,1
572,0,43,0,3,0,2,1
573,48,0,1,4,1,1,1
574,3,0,1,2,1,1,1
575,45,0,1,2,0,1,2
576,7,0,1,8,1,0,2
577,0,32,0,6,2,0,1
578,0,17,0,1,1,1,1
