,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,47,0,1,2,1,2,0
1,27,0,1,5,1,0,2
2,0,58,0,2,0,2,1
3,0,31,0,4,1,0,2
4,0,21,0,8,2,0,1
5,0,43,0,1,2,0,1
6,9,0,1,10,2,0,1
7,16,0,1,4,1,0,2
8,10,0,1,5,1,1,1
9,0,60,0,0,0,1,2
10,0,17,0,5,0,1,2
11,0,27,0,10,2,0,1
12,0,29,0,6,1,2,0
13,3,0,1,10,1,0,2
14,32,0,1,12,1,2,0
15,60,0,1,3,1,1,1
16,0,35,0,5,0,1,2
17,0,60,0,7,2,1,0
18,0,60,0,4,1,1,1
19,0,32,0,6,2,0,1
20,2,0,1,12,1,1,1
21,16,0,1,5,0,0,3
22,0,51,0,3,1,1,1
23,24,0,1,3,0,1,2
24,4,0,1,5,0,1,2
25,0,22,0,8,1,1,1
26,2,0,1,5,3,0,0
27,0,30,0,2,0,0,3
28,9,0,1,3,2,1,0
29,0,26,0,8,0,0,3
30,51,0,1,3,0,1,2
31,0,24,0,3,1,1,1
32,5,0,1,7,0,1,2
33,0,11,0,4,1,1,1
34,3,0,1,6,1,1,1
35,0,33,0,6,2,1,0
36,0,26,0,2,0,1,2
37,0,21,0,9,1,1,1
38,0,30,0,5,2,0,1
39,0,14,0,5,0,0,3
40,0,20,0,11,1,2,0
41,52,0,1,4,1,2,0
42,14,0,1,8,0,2,1
43,35,0,1,2,1,0,2
44,0,13,0,12,1,0,2
45,41,0,1,7,2,0,1
46,16,0,1,6,2,1,0
47,0,5,0,8,2,0,1
48,0,42,0,10,1,0,2
49,0,32,0,3,0,1,2
50,0,5,0,5,1,1,1
51,0,18,0,5,0,1,2
52,10,0,1,7,1,1,1
53,0,34,0,2,0,1,2
54,2,0,1,9,1,1,1
55,0,33,0,3,0,1,2
56,2,0,1,6,0,1,2
57,0,25,0,2,1,1,1
58,0,16,0,5,1,1,1
59,31,0,1,4,0,1,2
60,2,0,1,7,3,0,0
61,13,0,1,6,2,0,1
62,0,21,0,10,1,1,1
63,0,32,0,0,1,1,1
64,0,24,0,7,0,2,1
65,10,0,1,8,0,0,3
66,0,28,0,7,0,1,2
67,0,22,0,6,0,1,2
68,2,0,1,6,1,1,1
69,0,46,0,7,1,1,1
70,0,18,0,3,1,0,2
71,0,30,0,2,2,1,0
72,0,16,0,7,1,1,1
73,5,0,1,7,2,1,0
74,0,60,0,2,1,1,1
75,0,34,0,6,0,0,3
76,0,54,0,5,1,1,1
77,0,48,0,4,0,1,2
78,3,0,1,7,1,1,1
79,0,9,0,6,2,1,0
80,0,60,0,2,0,2,1
81,4,0,1,10,2,1,0
82,0,9,0,6,1,0,2
83,12,0,1,8,2,1,0
84,2,0,1,6,3,0,0
85,17,0,1,5,0,1,2
86,48,0,1,4,1,1,1
87,0,14,0,8,1,1,1
88,15,0,1,5,0,2,1
89,18,0,1,7,1,0,2
90,17,0,1,2,1,2,0
91,0,16,0,12,1,0,2
92,21,0,1,3,0,0,3
93,0,14,0,12,1,0,2
94,0,32,0,6,0,1,2
95,0,30,0,5,0,0,3
96,36,0,1,5,1,0,2
97,0,35,0,5,1,0,2
98,14,0,1,5,1,2,0
99,11,0,1,5,0,1,2
100,32,0,1,6,1,1,1
101,0,25,0,8,0,1,2
102,0,15,0,7,0,0,3
103,3,0,1,7,2,0,1
104,5,0,1,5,2,0,1
105,0,12,0,10,2,1,0
106,0,10,0,2,1,0,2
107,0,25,0,3,0,1,2
108,2,0,1,11,1,0,2
109,14,0,1,6,0,1,2
110,36,0,1,5,1,1,1
111,11,0,1,5,0,1,2
112,0,22,0,13,2,1,0
113,2,0,1,8,2,0,1
114,4,0,1,4,0,2,1
115,4,0,1,6,2,0,1
116,0,32,0,3,0,1,2
117,4,0,1,6,1,0,2
118,0,10,0,7,1,1,1
119,0,28,0,3,3,0,0
120,18,0,1,7,2,0,1
121,0,51,0,0,1,0,2
122,7,0,1,7,1,1,1
123,26,0,1,3,1,1,1
124,33,0,1,2,1,1,1
125,0,8,0,8,0,0,3
126,14,0,1,10,1,2,0
127,6,0,1,4,0,1,2
128,19,0,1,6,2,1,0
129,0,14,0,5,2,1,0
130,0,19,0,7,1,0,2
131,18,0,1,7,2,1,0
132,4,0,1,8,3,0,0
133,7,0,1,5,1,0,2
134,0,37,0,3,1,0,2
135,0,23,0,4,0,1,2
136,0,4,0,7,1,0,2
137,19,0,1,3,0,2,1
138,33,0,1,4,1,0,2
139,0,6,0,8,2,0,1
140,0,2,0,7,1,1,1
141,29,0,1,5,1,0,2
142,0,60,0,2,2,0,1
143,0,9,0,7,2,0,1
144,0,54,0,2,0,2,1
145,27,0,1,4,0,0,3
146,18,0,1,3,1,2,0
147,3,0,1,10,0,1,2
148,33,0,1,3,1,1,1
149,31,0,1,5,0,2,1
150,0,35,0,5,0,0,3
151,2,0,1,11,2,1,0
152,0,25,0,5,2,1,0
153,47,0,1,3,1,1,1
154,56,0,1,5,1,1,1
155,14,0,1,7,1,1,1
156,0,27,0,2,2,0,1
157,0,26,0,3,2,0,1
158,6,0,1,5,0,1,2
159,20,0,1,4,0,0,3
160,0,58,0,2,0,1,2
161,0,60,0,2,0,1,2
162,0,33,0,7,0,1,2
163,0,15,0,7,2,0,1
164,2,0,1,6,1,1,1
165,0,18,0,4,1,1,1
166,0,4,0,7,1,0,2
167,31,0,1,5,0,1,2
168,48,0,1,7,2,0,1
169,0,60,0,2,1,0,2
170,0,16,0,10,0,1,2
171,0,34,0,10,0,0,3
172,13,0,1,7,1,0,2
173,0,58,0,3,1,1,1
174,0,23,0,9,1,0,2
175,0,60,0,3,0,0,3
176,8,0,1,7,1,2,0
177,0,11,0,10,2,0,1
178,0,4,0,7,2,0,1
179,22,0,1,6,0,1,2
180,0,53,0,3,0,1,2
181,6,0,1,8,1,1,1
182,21,0,1,8,1,2,0
183,30,0,1,6,0,1,2
184,0,29,0,3,1,0,2
185,0,21,0,4,1,0,2
186,0,22,0,9,3,0,0
187,4,0,1,5,1,0,2
188,3,0,1,6,1,0,2
189,0,10,0,5,0,1,2
190,0,5,0,4,0,1,2
191,16,0,1,6,0,0,3
192,2,0,1,5,0,0,3
193,14,0,1,4,2,1,0
194,0,60,0,1,1,1,1
195,0,32,0,4,2,1,0
196,0,60,0,3,1,0,2
197,3,0,1,7,0,0,3
198,0,24,0,4,0,2,1
199,0,23,0,7,2,0,1
200,0,15,0,8,1,0,2
201,2,0,1,9,1,1,1
202,0,37,0,7,2,0,1
203,29,0,1,3,0,0,3
204,3,0,1,8,1,1,1
205,9,0,1,4,1,0,2
206,0,45,0,4,0,1,2
207,0,45,0,9,0,0,3
208,0,12,0,6,0,1,2
209,0,23,0,1,1,2,0
210,19,0,1,9,1,0,2
211,0,60,0,2,1,0,2
212,0,16,0,8,1,2,0
213,7,0,1,8,1,0,2
214,41,0,1,3,1,0,2
215,0,46,0,2,0,0,3
216,20,0,1,5,0,1,2
217,0,38,0,5,1,0,2
218,51,0,1,5,0,2,1
219,0,19,0,5,2,1,0
220,35,0,1,2,1,1,1
221,0,28,0,6,0,1,2
222,0,24,0,3,0,1,2
223,0,60,0,2,1,1,1
224,0,23,0,6,1,2,0
225,3,0,1,2,2,0,1
226,18,0,1,1,0,1,2
227,2,0,1,6,2,0,1
228,0,2,0,6,2,0,1
229,2,0,1,11,2,1,0
230,3,0,1,12,1,1,1
231,19,0,1,2,1,1,1
232,0,23,0,5,0,0,3
233,0,33,0,6,1,0,2
234,0,35,0,2,1,2,0
235,0,60,0,3,0,0,3
236,7,0,1,7,1,1,1
237,30,0,1,4,0,2,1
238,18,0,1,3,0,2,1
239,46,0,1,9,0,1,2
240,0,22,0,4,2,0,1
241,0,43,0,5,0,1,2
242,3,0,1,9,0,2,1
243,37,0,1,2,0,1,2
244,17,0,1,7,0,1,2
245,3,0,1,4,1,1,1
246,9,0,1,10,1,1,1
247,0,52,0,3,0,2,1
248,2,0,1,6,1,1,1
249,0,60,0,0,2,1,0
250,10,0,1,9,2,1,0
251,0,40,0,5,1,1,1
252,0,19,0,5,1,0,2
253,34,0,1,3,1,1,1
254,0,57,0,1,0,0,3
255,21,0,1,7,1,1,1
256,0,32,0,2,1,1,1
257,0,21,0,7,2,0,1
258,0,26,0,2,1,1,1
259,0,60,0,2,1,1,1
260,37,0,1,3,0,2,1
261,22,0,1,4,2,1,0
262,0,2,0,7,1,0,2
