,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,0,8,0,6,2,0,1
1,14,0,1,3,0,1,2
2,0,43,0,4,0,0,3
3,9,0,1,5,0,1,2
4,2,0,1,4,0,0,3
5,5,0,1,6,1,1,1
6,0,60,0,0,1,1,1
7,2,0,1,6,1,0,2
8,0,60,0,0,2,1,0
9,0,25,0,0,0,0,3
10,0,60,0,1,0,1,2
11,0,22,0,5,0,0,3
12,0,38,0,3,1,2,0
13,0,10,0,2,1,1,1
14,0,32,0,3,0,1,2
15,2,0,1,6,2,0,1
16,14,0,1,3,0,2,1
17,0,12,0,1,1,0,2
18,18,0,1,7,0,2,0
19,60,0,1,2,0,1,2
20,15,0,1,5,0,0,3
21,42,0,1,6,1,2,0
22,27,0,1,7,0,2,1
23,12,0,1,4,1,1,1
24,0,42,0,2,0,1,2
25,0,31,0,2,0,0,3
26,10,0,1,2,0,2,1
27,44,0,1,2,1,0,2
28,14,0,1,7,0,2,1
29,2,0,1,8,1,1,1
30,53,0,1,3,1,1,1
31,60,0,1,3,2,0,1
32,0,3,0,3,0,0,3
33,4,0,1,7,1,2,0
34,0,10,0,6,1,1,1
35,0,59,0,2,0,2,1
36,0,24,0,3,0,0,3
37,0,2,0,9,1,1,1
38,0,56,0,1,1,1,1
39,17,0,1,4,1,1,1
40,0,38,0,4,0,1,2
41,0,17,0,2,1,0,2
42,0,60,0,0,1,1,1
43,3,0,1,6,1,0,2
44,41,0,1,5,0,1,2
45,29,0,1,8,1,2,0
46,6,0,1,4,1,2,0
47,3,0,1,4,0,2,1
48,0,11,0,9,1,0,2
49,2,0,1,7,1,2,0
50,12,0,1,4,1,1,1
51,15,0,1,4,1,1,1
52,37,0,1,4,0,1,2
53,0,60,0,3,0,2,1
54,0,56,0,2,0,0,3
55,60,0,1,1,2,1,0
56,0,52,0,2,1,1,1
57,9,0,1,10,2,0,1
58,0,45,0,0,0,1,2
59,0,11,0,8,1,1,1
60,0,4,0,8,1,0,2
61,2,0,1,8,2,0,1
62,5,0,1,4,1,2,0
63,0,17,0,6,1,0,2
64,0,36,0,2,0,1,2
65,0,50,0,1,0,2,1
66,0,60,0,4,0,0,3
67,15,0,1,3,0,1,2
68,0,14,0,3,1,1,1
69,4,0,1,3,1,2,0
70,0,52,0,1,1,1,1
71,3,0,1,3,0,0,3
72,0,23,0,2,1,0,2
73,0,33,0,3,0,1,2
74,15,0,1,9,2,1,0
75,0,8,0,5,1,0,2
76,2,0,1,8,1,0,2
77,38,0,1,2,0,2,1
78,0,19,0,7,1,0,2
79,5,0,1,5,1,1,1
80,13,0,1,4,0,1,2
81,0,8,0,6,0,1,2
82,38,0,1,1,1,1,1
83,47,0,1,2,0,1,2
84,14,0,1,4,1,1,1
85,15,0,1,3,1,0,2
86,10,0,1,4,2,0,1
87,4,0,1,6,1,2,0
88,60,0,1,2,1,2,0
89,0,18,0,8,0,1,2
90,0,14,0,4,1,2,0
91,0,24,0,2,2,0,1
92,0,20,0,5,0,1,2
93,14,0,1,4,0,1,2
94,0,54,0,5,0,1,2
95,7,0,1,7,1,2,0
96,60,0,1,3,1,2,0
97,0,10,0,3,0,0,3
98,15,0,1,4,0,1,2
99,3,0,1,12,2,0,1
100,21,0,1,5,1,1,1
101,6,0,1,6,0,0,3
102,0,17,0,0,0,1,2
103,2,0,1,10,0,0,3
104,3,0,1,4,0,1,2
105,9,0,1,9,2,0,1
106,0,60,0,4,1,2,0
107,0,2,0,10,1,1,1
108,20,0,1,5,1,0,2
109,0,25,0,4,0,2,1
110,60,0,1,4,0,3,0
111,0,9,0,7,0,1,2
112,13,0,1,7,0,1,2
113,9,0,1,6,0,1,2
114,30,0,1,2,0,2,1
115,2,0,1,4,3,0,0
116,0,17,0,4,0,2,1
117,0,3,0,4,1,1,1
118,0,32,0,2,0,0,3
119,0,8,0,5,0,1,2
120,0,38,0,3,1,1,1
121,0,10,0,7,0,0,3
122,0,46,0,2,0,1,2
123,13,0,1,7,0,1,2
124,2,0,1,10,1,1,1
125,0,17,0,6,0,1,2
126,0,14,0,5,1,1,1
127,29,0,1,4,1,1,1
128,0,20,0,1,1,2,0
129,15,0,1,4,1,1,1
130,6,0,1,4,2,1,0
131,3,0,1,5,1,0,2
132,34,0,1,5,1,1,1
133,3,0,1,5,0,1,2
134,0,36,0,3,2,1,0
135,0,20,0,5,2,0,1
136,0,20,0,3,0,2,1
137,0,39,0,1,0,3,0
138,0,28,0,7,0,1,2
139,0,28,0,6,1,2,0
140,0,60,0,0,0,1,2
141,10,0,1,5,2,1,0
142,29,0,1,6,0,2,1
143,2,0,1,5,0,1,2
144,0,32,0,8,0,2,1
145,3,0,1,5,0,0,3
146,9,0,1,5,2,1,0
147,0,7,0,6,2,0,1
148,0,60,0,3,0,1,2
149,29,0,1,4,1,2,0
150,33,0,1,4,0,1,2
151,10,0,1,9,1,0,2
152,0,3,0,4,0,1,2
153,0,49,0,3,0,3,0
154,4,0,1,9,1,1,1
155,0,24,0,4,1,1,1
156,2,0,1,8,1,0,2
157,46,0,1,3,1,0,2
158,0,6,0,1,1,2,0
159,13,0,1,5,1,1,1
160,0,8,0,1,0,3,0
161,7,0,1,4,0,0,3
162,2,0,1,3,1,1,1
163,17,0,1,3,0,1,2
164,11,0,1,6,0,1,2
165,0,8,0,6,1,0,2
166,36,0,1,3,0,2,1
167,0,5,0,1,1,1,1
168,3,0,1,4,1,0,2
169,0,51,0,6,0,0,3
170,0,24,0,3,0,2,1
171,0,12,0,7,2,0,1
172,0,33,0,6,1,0,2
173,2,0,1,9,1,2,0
174,0,4,0,6,1,2,0
175,13,0,1,4,0,1,2
176,2,0,1,5,0,2,1
177,0,13,0,5,0,0,3
178,20,0,1,6,0,2,1
179,0,38,0,2,1,1,1
180,2,0,1,5,2,1,0
181,0,36,0,2,2,1,0
182,0,2,0,6,0,0,3
183,0,7,0,6,1,2,0
184,0,28,0,2,1,2,0
185,0,9,0,3,1,1,0
186,9,0,1,3,0,1,2
187,0,3,0,8,2,0,1
188,0,14,0,5,1,0,2
189,0,60,0,3,1,1,1
190,0,8,0,8,1,1,1
191,4,0,1,7,1,0,2
192,0,60,0,1,0,1,2
193,33,0,1,3,0,1,2
194,0,28,0,4,1,1,1
195,12,0,1,5,0,0,3
196,2,0,1,4,1,1,1
197,0,39,0,4,0,0,3
198,3,0,1,2,2,0,1
199,0,17,0,7,1,0,2
200,12,0,1,4,1,0,2
201,0,46,0,2,0,1,2
202,29,0,1,3,1,1,1
203,0,19,0,6,1,2,0
204,7,0,1,5,0,1,2
205,7,0,1,7,0,1,2
206,0,16,0,2,1,0,2
207,0,25,0,2,1,0,2
208,20,0,1,2,1,1,1
209,0,46,0,2,1,1,1
210,8,0,1,4,1,0,2
211,0,30,0,4,1,0,2
212,13,0,1,4,1,1,1
213,0,4,0,8,1,1,1
214,22,0,1,5,1,1,1
215,2,0,1,5,0,1,2
216,0,60,0,2,0,0,3
217,58,0,1,2,2,0,1
218,0,13,0,4,1,0,2
219,60,0,1,3,2,0,1
220,0,19,0,4,1,1,1
221,0,51,0,0,0,1,2
222,0,57,0,5,1,1,1
223,9,0,1,6,0,0,3
224,47,0,1,4,1,0,2
225,12,0,1,6,1,1,1
226,0,32,0,2,1,0,2
227,8,0,1,8,1,0,2
228,24,0,1,1,0,0,3
229,0,7,0,4,0,2,1
230,0,60,0,1,1,1,1
231,0,20,0,2,0,1,2
232,14,0,1,6,0,0,3
233,60,0,1,2,0,2,1
234,2,0,1,5,2,0,1
235,4,0,1,5,1,0,2
236,57,0,1,1,1,2,0
237,13,0,1,7,0,1,2
238,18,0,1,6,0,2,1
239,11,0,1,5,1,2,0
240,4,0,1,6,0,3,0
241,9,0,1,12,1,1,1
242,14,0,1,4,2,1,0
243,60,0,1,1,0,2,1
244,55,0,1,1,0,1,2
245,10,0,1,3,0,1,2
246,3,0,1,6,0,0,3
247,12,0,1,7,0,1,2
248,0,10,0,3,0,1,2
249,0,30,0,3,1,0,2
250,32,0,1,4,1,0,2
251,2,0,1,4,1,1,1
252,4,0,1,3,1,2,0
253,8,0,1,4,1,1,1
254,3,0,1,3,0,1,2
255,33,0,1,7,0,3,0
