,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,47,0,1,2,1,2,0
1,46,0,1,4,0,2,1
2,0,56,0,2,1,1,1
3,0,31,0,4,2,0,1
4,34,0,1,3,1,1,1
5,0,43,0,1,2,0,1
6,30,0,1,10,1,0,2
7,0,54,0,3,1,1,1
8,0,17,0,6,1,1,1
9,0,60,0,0,0,1,2
10,2,0,1,6,0,0,3
11,0,20,0,5,0,1,2
12,0,12,0,7,1,1,1
13,3,0,1,4,2,1,0
14,35,0,1,12,2,0,1
15,45,0,1,4,0,1,2
16,0,4,0,8,0,1,2
17,10,0,1,8,0,0,3
18,0,60,0,1,0,2,1
19,0,7,0,6,1,0,2
20,3,0,1,11,0,0,3
21,2,0,1,6,0,0,3
22,0,2,0,8,1,1,1
23,32,0,1,3,0,1,2
24,2,0,1,11,0,2,1
25,0,20,0,7,1,1,1
26,0,3,0,8,1,1,1
27,0,25,0,2,0,0,3
28,9,0,1,3,2,1,0
29,0,37,0,8,1,1,1
30,51,0,1,3,0,1,2
31,0,2,0,6,0,1,2
32,5,0,1,7,0,1,2
33,0,21,0,4,1,1,1
34,0,5,0,7,2,0,1
35,0,18,0,4,2,0,1
36,3,0,1,9,1,0,2
37,0,2,0,10,1,1,1
38,0,19,0,7,2,0,1
39,0,14,0,6,0,0,3
40,0,19,0,9,1,2,0
41,0,20,0,4,0,0,3
42,12,0,1,8,2,0,1
43,35,0,1,2,1,0,2
44,26,0,1,6,2,1,0
45,4,0,1,14,1,1,1
46,30,0,1,8,1,1,1
47,0,7,0,9,1,0,2
48,7,0,1,10,1,0,2
49,0,32,0,3,0,1,2
50,0,2,0,4,2,1,0
51,0,20,0,2,1,1,1
52,5,0,1,7,1,1,1
53,0,3,0,8,1,1,1
54,0,2,0,9,1,0,2
55,0,33,0,3,0,1,2
56,0,9,0,6,2,0,1
57,0,17,0,2,1,1,1
58,0,3,0,7,0,1,2
59,31,0,1,4,1,0,2
60,11,0,1,8,3,0,0
61,0,10,0,5,0,0,3
62,0,14,0,6,1,0,2
63,0,32,0,0,1,1,1
64,2,0,1,8,1,0,2
65,10,0,1,8,0,0,3
66,10,0,1,7,1,0,2
67,8,0,1,8,1,0,2
68,0,14,0,5,0,0,3
69,0,30,0,7,1,1,1
70,0,14,0,3,1,0,2
71,2,0,1,10,2,0,1
72,13,0,1,7,0,0,3
73,3,0,1,8,1,1,1
