,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,0,60,0,3,1,2,0
1,0,32,0,5,1,0,2
2,0,52,0,9,0,0,3
3,0,60,0,5,0,2,1
4,0,56,0,13,3,0,0
5,0,60,0,5,0,1,2
6,0,60,0,5,0,1,2
7,0,52,0,7,1,2,0
8,0,50,0,1,0,1,2
9,0,58,0,12,1,0,2
10,0,45,0,5,2,1,0
11,0,60,0,3,1,2,0
12,0,33,0,15,1,2,0
13,0,36,0,9,0,1,2
14,0,54,0,4,1,0,2
15,0,60,0,8,0,3,0
16,0,44,0,6,0,1,2
17,0,60,0,4,1,1,1
18,0,44,0,12,0,0,3
19,0,42,0,5,0,0,3
20,0,50,0,7,1,1,1
21,0,49,0,7,1,0,2
22,0,50,0,3,1,0,2
23,0,60,0,5,1,2,0
24,0,24,0,0,2,0,1
25,0,52,0,2,2,0,1
26,0,26,0,4,1,0,2
27,0,53,0,4,1,1,1
28,0,48,0,4,0,1,2
29,0,53,0,8,0,2,1
30,0,44,0,9,0,1,2
31,0,60,0,6,1,1,1
32,0,45,0,6,0,1,2
33,0,23,0,15,0,2,1
34,0,60,0,1,0,2,1
35,0,49,0,8,1,1,1
36,0,53,0,7,0,2,1
37,0,23,0,7,1,2,0
38,0,49,0,5,1,0,2
39,0,54,0,4,0,0,3
40,0,60,0,6,0,1,2
41,0,12,0,13,0,1,2
42,17,0,1,3,1,1,1
43,0,60,0,6,0,1,2
44,0,33,0,4,1,0,2
45,0,54,0,4,0,1,2
46,0,52,0,7,0,1,2
47,0,23,0,10,1,0,2
48,0,60,0,11,1,0,2
49,0,60,0,11,0,2,1
50,0,60,0,8,1,0,2
51,0,30,0,9,1,2,0
52,0,44,0,4,0,1,2
53,0,40,0,3,0,1,2
54,0,42,0,3,1,2,0
55,0,29,0,7,1,1,1
56,0,60,0,5,1,1,1
57,0,60,0,8,0,1,2
58,0,53,0,9,0,1,2
59,0,60,0,2,1,1,1
60,0,44,0,9,1,0,2
61,0,29,0,8,1,0,2
62,0,53,0,10,1,0,2
63,0,60,0,13,0,0,3
64,0,60,0,4,1,1,0
65,0,60,0,5,1,1,1
66,0,42,0,6,0,1,2
67,0,47,0,15,0,2,1
68,0,48,0,6,0,0,3
69,0,48,0,2,1,0,2
70,0,60,0,4,2,1,0
71,0,60,0,4,1,0,2
72,0,60,0,3,1,1,1
73,0,19,0,12,1,0,2
74,0,46,0,6,1,0,2
75,0,60,0,11,0,1,2
76,0,46,0,8,1,0,2
77,0,38,0,6,1,0,2
78,0,49,0,6,0,1,2
79,0,60,0,5,0,1,2
80,0,60,0,6,2,1,0
81,0,54,0,2,0,3,0
82,0,40,0,2,1,1,1
83,0,51,0,5,0,1,2
84,0,60,0,9,1,1,1
85,0,60,0,7,1,0,2
86,0,33,0,7,0,1,2
87,0,60,0,6,1,0,2
88,0,29,0,7,0,1,2
89,0,35,0,10,0,0,3
90,0,25,0,11,2,1,0
91,0,60,0,1,0,2,1
92,0,57,0,9,1,1,1
93,0,55,0,9,0,2,1
94,0,60,0,1,0,2,1
95,0,60,0,7,0,0,3
96,0,60,0,9,1,0,2
97,0,49,0,7,1,2,0
98,0,60,0,7,0,2,1
99,0,47,0,0,1,1,1
100,0,60,0,0,1,2,0
101,0,44,0,2,0,1,2
102,0,46,0,4,0,1,2
103,0,27,0,13,2,1,0
104,0,27,0,5,0,2,1
105,0,37,0,8,0,0,3
106,0,41,0,7,2,1,0
107,0,60,0,8,1,0,2
108,0,60,0,3,2,0,1
109,0,60,0,10,0,2,1
110,0,60,0,8,1,0,2
111,0,60,0,8,1,0,2
112,0,60,0,7,1,1,1
113,0,51,0,13,0,1,2
114,0,47,0,2,0,1,2
115,0,51,0,10,1,1,1
