,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,25,60,0,25,1,1,0
1,25,60,0,25,0,1,1
2,29,60,0,25,0,1,1
3,38,60,0,25,0,0,1
4,60,60,0,25,0,0,0
5,38,60,0,25,0,1,0
6,46,60,0,25,0,1,0
7,60,60,0,25,0,0,0
8,44,60,0,25,0,0,1
9,51,60,0,25,0,0,1
10,27,60,0,25,0,0,2
11,55,60,0,25,0,0,0
12,37,60,0,25,0,0,1
13,41,60,0,25,0,0,1
14,19,60,0,25,0,2,0
15,60,60,0,25,0,0,0
16,0,60,0,19,0,0,3
17,31,60,0,25,0,0,2
18,41,60,0,25,0,1,0
19,60,60,1,25,0,0,0
20,36,60,0,25,0,1,0
21,28,60,0,25,0,0,2
22,47,60,0,25,0,1,0
23,20,60,0,25,1,1,0
24,50,60,0,25,0,0,1
25,20,60,0,25,0,1,1
26,60,60,0,25,0,0,0
27,31,60,0,25,0,1,0
28,8,60,0,25,0,2,0
29,32,60,0,25,0,0,2
30,60,60,0,25,0,0,0
31,15,60,0,25,0,2,0
32,60,60,1,25,0,0,0
33,26,60,0,25,1,1,0
34,60,60,0,25,0,0,0
35,13,60,0,25,0,1,1
36,40,60,0,25,0,1,0
37,34,60,0,25,0,1,0
38,32,60,0,25,0,0,2
39,23,60,0,25,0,1,1
40,60,60,1,25,1,0,0
41,23,60,0,25,0,1,1
42,25,60,0,25,0,2,0
43,10,60,0,25,1,0,2
44,58,60,0,25,0,0,1
45,0,60,0,20,0,2,1
46,3,60,0,25,0,0,3
47,55,60,0,25,0,0,1
48,60,60,0,25,0,0,0
49,50,60,0,25,0,1,0
50,15,60,0,25,0,2,0
51,38,60,0,25,1,0,0
52,60,60,0,25,0,0,0
53,21,60,0,25,1,1,0
54,37,60,0,25,1,1,0
55,44,60,0,25,0,0,1
56,4,60,0,25,0,1,2
57,60,60,1,25,0,0,0
58,47,60,0,25,0,0,1
59,16,60,0,25,0,0,2
60,55,60,0,25,1,0,0
61,60,60,0,25,0,0,1
62,18,60,0,25,0,0,2
63,39,60,0,25,0,1,0
64,60,60,1,25,0,0,0
65,60,60,0,25,0,0,0
