,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,46,0,1,11,1,0,2
1,53,0,1,7,0,3,0
2,53,0,1,15,1,1,1
3,50,0,1,7,1,1,1
4,50,0,1,11,1,1,1
5,48,0,1,7,1,1,1
6,28,0,1,12,1,2,0
7,44,0,1,3,0,1,2
8,46,0,1,9,0,0,3
9,40,0,1,7,1,1,1
10,60,0,1,2,2,1,0
11,21,0,1,2,1,2,0
12,60,0,1,9,0,2,1
13,50,0,1,8,0,1,2
14,44,0,1,16,2,0,1
15,52,0,1,3,1,0,2
16,41,0,1,2,1,1,1
17,29,0,1,10,1,1,1
18,60,0,1,4,2,1,0
19,50,0,1,9,1,2,0
20,36,0,1,6,2,0,1
21,52,0,1,7,0,1,2
22,58,0,1,5,0,3,0
23,27,0,1,10,2,1,0
24,28,0,1,9,1,0,2
25,42,0,1,12,1,2,0
26,60,0,1,4,0,1,2
27,49,0,1,6,0,1,2
28,54,0,1,7,0,2,1
29,21,0,1,7,1,0,2
30,24,0,1,3,0,2,1
31,22,0,1,2,1,0,2
32,49,0,1,5,0,0,3
33,33,0,1,7,2,1,0
34,60,0,1,3,0,1,2
35,44,0,1,5,0,0,3
36,60,0,1,8,0,2,1
37,47,0,1,8,2,1,0
38,33,0,1,9,0,2,1
39,60,0,1,8,1,2,0
40,53,0,1,3,0,1,2
41,60,0,1,9,1,2,0
42,60,0,1,5,0,1,2
43,41,0,1,5,0,0,3
44,51,0,1,11,1,0,2
45,48,0,1,7,0,1,2
46,60,0,1,8,0,1,2
47,60,0,1,6,1,1,1
48,19,0,1,7,1,1,1
49,33,0,1,9,0,2,1
50,57,0,1,11,1,1,1
51,25,0,1,7,0,1,2
52,29,0,1,7,1,1,1
53,37,0,1,15,1,2,0
54,49,0,1,14,1,1,1
55,60,0,1,7,0,1,2
56,57,0,1,4,0,1,2
57,60,0,1,8,0,2,1
58,46,0,1,10,0,1,2
59,48,0,1,3,0,2,1
60,60,0,1,14,0,2,1
61,60,0,1,11,1,1,1
62,21,0,1,12,2,1,0
63,45,0,1,15,0,0,3
64,27,0,1,6,1,1,1
65,60,0,1,6,0,1,2
66,59,0,1,7,1,0,2
67,60,0,1,8,0,0,3
68,46,0,1,6,0,2,1
69,60,0,1,5,1,1,1
70,12,0,1,7,0,0,3
71,28,0,1,5,0,0,3
72,32,0,1,10,1,1,1
73,60,0,1,2,0,0,3
74,10,0,1,16,0,1,2
75,45,0,1,3,0,2,1
76,60,0,1,4,2,1,0
77,34,0,1,12,1,2,0
78,26,0,1,8,0,3,0
79,48,0,1,4,1,0,2
80,60,0,1,3,1,1,1
81,42,0,1,12,1,1,1
82,27,0,1,5,1,1,1
83,50,0,1,5,1,2,0
84,60,0,1,11,0,1,2
85,60,0,1,5,1,2,0
86,53,0,1,8,1,2,0
87,50,0,1,8,0,1,2
88,46,0,1,3,0,1,2
89,19,0,1,5,1,0,2
90,25,0,1,13,0,0,3
91,42,0,1,3,2,1,0
92,37,0,1,9,1,1,1
93,60,0,1,7,1,1,1
94,44,0,1,5,0,2,1
95,51,0,1,3,1,2,0
96,60,0,1,11,0,1,2
97,45,0,1,9,1,0,2
98,21,0,1,3,0,0,3
99,55,0,1,6,0,0,3
100,36,0,1,4,0,1,2
101,46,0,1,3,1,2,0
102,60,0,1,2,1,1,1
103,50,0,1,6,0,1,2
104,54,0,1,2,0,2,1
105,25,0,1,9,0,1,2
106,46,0,1,2,1,0,2
107,7,0,1,3,1,1,1
108,38,0,1,3,0,0,3
109,44,0,1,5,1,0,2
110,16,0,1,14,0,1,2
111,32,0,1,9,0,1,2
112,51,0,1,9,0,0,3
113,60,0,1,5,1,0,2
114,51,0,1,3,0,2,1
115,60,0,1,7,1,1,1
116,47,0,1,14,2,1,0
117,60,0,1,6,1,1,1
118,48,0,1,9,1,0,2
119,17,0,1,8,1,0,2
120,60,0,1,3,1,1,1
121,44,0,1,2,0,1,2
122,29,0,1,5,0,1,2
123,52,0,1,7,1,0,2
124,29,0,1,6,0,1,2
125,60,0,1,9,1,2,0
126,60,0,1,8,1,1,1
127,47,0,1,5,1,1,1
128,21,0,1,8,2,0,1
129,42,0,1,3,1,1,1
130,18,0,1,16,1,0,2
131,60,0,1,7,1,2,0
132,60,0,1,4,0,2,1
133,50,0,1,8,1,1,1
134,48,0,1,4,0,0,3
135,58,0,1,15,0,1,2
136,38,0,1,8,1,1,1
137,60,0,1,4,0,3,0
138,49,0,1,8,0,0,3
139,46,0,1,6,1,1,1
140,60,0,1,4,1,2,0
141,30,0,1,2,1,2,0
142,52,0,1,5,0,1,2
143,20,0,1,8,1,1,1
144,40,0,1,10,0,2,1
145,18,0,1,13,1,0,2
146,22,0,1,13,1,1,1
147,35,0,1,7,2,1,0
148,46,0,1,6,0,0,3
149,30,0,1,9,1,1,1
150,33,0,1,9,2,1,0
151,60,0,1,2,0,2,1
152,18,0,1,5,1,1,1
153,51,0,1,7,3,0,0
154,50,0,1,8,2,0,1
155,56,0,1,11,0,2,1
156,58,0,1,13,0,1,2
157,60,0,1,7,2,0,1
158,22,0,1,5,0,0,3
159,49,0,1,7,3,0,0
160,28,0,1,9,1,0,2
161,60,0,1,5,0,3,0
162,55,0,1,6,0,1,2
163,28,0,1,3,0,0,3
164,50,0,1,5,1,1,1
165,48,0,1,9,1,0,2
166,60,0,1,13,1,1,1
167,37,0,1,7,0,1,2
168,45,0,1,8,0,0,3
169,26,0,1,3,0,1,2
