,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,48,0,1,2,2,1,0
1,52,0,1,3,0,1,2
2,60,0,1,10,0,2,1
3,23,0,1,6,0,1,2
4,54,0,1,8,2,1,0
5,60,0,1,6,1,0,2
6,60,0,1,13,1,2,0
7,42,0,1,8,1,1,1
8,43,0,1,6,2,0,1
9,46,0,1,5,1,0,2
10,45,0,1,3,1,0,2
11,60,0,1,10,0,0,3
12,56,0,1,6,0,0,3
13,29,0,1,11,0,0,3
14,60,0,1,14,2,0,1
15,60,0,1,8,0,1,2
16,60,0,1,6,1,0,2
17,24,0,1,2,2,0,1
18,60,0,1,9,0,2,1
19,25,0,1,6,1,1,1
20,26,0,1,12,1,1,1
21,60,0,1,1,1,2,0
22,50,0,1,8,0,0,3
23,20,0,1,21,2,0,1
24,60,0,1,4,0,1,2
25,49,0,1,5,1,2,0
26,29,0,1,11,0,1,2
27,53,0,1,6,1,1,1
28,58,0,1,4,1,1,1
29,60,0,1,6,0,1,2
30,60,0,1,9,1,2,0
31,60,0,1,8,2,0,1
32,36,0,1,3,0,1,2
33,60,0,1,8,1,0,2
34,28,0,1,5,1,1,1
35,60,0,1,7,2,1,0
36,52,0,1,5,2,1,0
37,50,0,1,4,1,1,1
38,31,0,1,13,0,1,2
39,23,0,1,12,1,0,2
40,51,0,1,7,2,0,1
41,60,0,1,2,0,1,2
42,58,0,1,15,1,2,0
43,60,0,1,5,0,0,3
44,60,0,1,9,0,1,2
45,34,0,1,7,1,1,1
46,38,0,1,8,0,0,3
47,47,0,1,13,1,1,1
48,45,0,1,6,1,0,2
49,60,0,1,7,1,1,1
50,60,0,1,8,1,1,1
51,60,0,1,12,1,0,2
52,60,0,1,10,0,2,1
53,20,0,1,8,1,1,1
54,43,0,1,9,1,1,1
55,60,0,1,4,1,1,1
56,42,0,1,9,0,1,2
57,59,0,1,15,0,1,2
58,57,0,1,2,0,0,3
59,49,0,1,6,2,1,0
60,60,0,1,8,1,1,1
61,60,0,1,10,2,1,0
62,60,0,1,11,1,1,1
63,50,0,1,7,2,0,1
64,60,0,1,11,1,1,1
65,43,0,1,2,0,2,1
66,51,0,1,11,1,0,2
67,42,0,1,4,0,0,3
68,45,0,1,6,0,2,1
69,60,0,1,3,0,1,2
70,42,0,1,8,0,1,2
71,30,0,1,4,0,2,1
72,39,0,1,3,0,2,1
73,60,0,1,7,1,1,1
74,53,0,1,4,0,1,2
75,55,0,1,4,0,0,3
76,46,0,1,7,1,0,2
77,58,0,1,7,1,2,0
78,60,0,1,4,1,1,1
79,60,0,1,7,0,1,2
80,38,0,1,6,0,0,3
81,60,0,1,4,2,0,1
82,47,0,1,10,1,1,1
83,43,0,1,9,1,0,2
84,60,0,1,5,2,0,1
85,58,0,1,5,1,1,1
86,60,0,1,13,0,1,2
87,54,0,1,11,1,2,0
88,42,0,1,6,0,1,2
89,40,0,1,6,1,1,1
90,42,0,1,13,1,1,1
91,60,0,1,7,1,1,1
92,60,0,1,10,1,0,2
93,53,0,1,13,1,1,1
94,51,0,1,5,0,0,3
95,33,0,1,4,0,2,1
96,56,0,1,10,1,0,2
97,60,0,1,6,0,2,1
