,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,53,0,1,9,0,1,2
1,17,0,1,10,0,1,2
2,27,0,1,3,1,2,0
3,48,0,1,7,0,2,1
4,15,0,1,1,0,2,1
5,15,0,1,6,0,0,3
6,12,0,1,6,2,0,1
7,32,0,1,6,0,2,1
8,36,0,1,4,0,2,1
9,29,0,1,3,0,2,1
10,52,0,1,1,0,1,2
11,42,0,1,8,1,1,1
12,44,0,1,2,1,2,0
13,41,0,1,3,2,1,0
14,21,0,1,3,1,1,1
15,53,0,1,4,0,1,2
16,48,0,1,7,0,3,0
17,48,0,1,3,0,2,1
18,45,0,1,9,0,2,1
19,60,0,1,5,1,2,0
20,60,0,1,15,0,1,2
21,60,0,1,9,1,1,1
22,47,0,1,3,0,2,1
23,60,0,1,6,0,1,2
24,30,0,1,6,1,1,1
25,15,0,1,6,0,1,2
26,60,0,1,7,0,2,1
27,42,0,1,2,1,2,0
28,60,0,1,3,0,3,0
29,36,0,1,6,2,0,1
30,13,0,1,3,1,0,2
31,60,0,1,5,0,0,3
32,29,0,1,2,0,0,3
33,37,0,1,9,1,1,1
34,49,0,1,7,0,3,0
35,35,0,1,5,1,1,1
36,48,0,1,8,1,0,2
37,31,0,1,5,1,1,1
38,60,0,1,12,0,1,2
39,60,0,1,11,1,0,2
40,60,0,1,10,0,2,1
41,41,0,1,4,0,1,2
42,54,0,1,8,0,1,2
43,21,0,1,4,1,1,1
44,40,0,1,12,1,2,0
45,25,0,1,7,0,2,1
46,35,0,1,2,0,1,2
47,29,0,1,10,0,1,2
48,53,0,1,7,1,2,0
49,45,0,1,9,0,1,2
50,48,0,1,6,0,2,1
51,44,0,1,7,1,0,2
52,52,0,1,4,2,0,1
53,30,0,1,4,0,0,3
54,39,0,1,14,0,1,2
55,42,0,1,7,0,3,0
56,50,0,1,5,0,0,3
57,0,60,0,1,1,1,1
58,53,0,1,5,0,2,1
59,24,0,1,2,1,1,1
60,60,0,1,9,0,1,2
61,40,0,1,2,0,2,1
62,25,0,1,5,1,2,0
63,24,0,1,5,1,1,1
64,44,0,1,4,1,2,0
65,50,0,1,4,1,2,0
66,5,0,1,5,0,0,3
67,53,0,1,3,0,0,3
68,56,0,1,4,1,2,0
69,49,0,1,4,1,1,1
70,60,0,1,9,0,1,2
71,52,0,1,4,2,0,1
72,26,0,1,6,1,1,1
73,48,0,1,4,1,1,1
74,39,0,1,5,0,1,2
75,21,0,1,3,1,1,1
76,24,0,1,13,2,0,1
77,37,0,1,7,2,1,0
78,20,0,1,5,0,2,1
79,60,0,1,2,0,2,1
80,5,0,1,2,0,0,3
81,22,0,1,7,1,0,2
82,15,0,1,13,2,1,0
83,2,0,1,14,0,2,1
84,17,0,1,5,0,1,2
85,46,0,1,8,1,2,0
86,52,0,1,7,1,0,2
87,48,0,1,4,0,1,2
88,49,0,1,2,0,1,2
89,39,0,1,2,1,1,1
90,46,0,1,1,0,3,0
91,39,0,1,5,1,0,2
92,26,0,1,3,1,0,2
93,37,0,1,11,0,0,3
94,23,0,1,7,1,2,0
95,30,0,1,2,0,1,2
96,13,0,1,1,0,1,2
97,32,0,1,1,0,1,2
98,44,0,1,3,1,1,1
99,53,0,1,10,1,1,1
100,4,0,1,6,0,0,3
101,14,0,1,4,1,1,1
102,37,0,1,7,1,2,0
103,60,0,1,8,1,0,2
104,60,0,1,3,0,2,1
105,10,0,1,3,1,1,1
106,33,0,1,4,0,2,1
107,31,0,1,6,1,0,2
108,30,0,1,10,0,0,3
109,60,0,1,3,0,2,1
110,27,0,1,7,2,0,1
111,28,0,1,3,0,2,1
112,19,0,1,6,1,1,1
113,0,28,0,5,1,2,0
114,36,0,1,3,0,2,1
115,44,0,1,7,0,2,1
116,18,0,1,2,1,1,1
117,19,0,1,5,0,2,1
118,26,0,1,6,0,1,2
119,58,0,1,4,1,2,0
120,44,0,1,5,0,1,2
121,25,0,1,12,2,1,0
122,48,0,1,7,0,2,1
123,60,0,1,13,1,1,1
124,30,0,1,5,1,0,2
125,46,0,1,7,0,1,2
126,49,0,1,8,0,0,3
127,48,0,1,5,1,0,2
128,41,0,1,6,0,1,2
129,29,0,1,4,1,2,0
130,60,0,1,3,0,1,2
131,47,0,1,1,1,0,2
132,20,0,1,8,0,1,2
133,53,0,1,5,0,1,2
134,49,0,1,4,1,1,1
135,47,0,1,8,0,1,2
136,42,0,1,5,1,1,1
137,60,0,1,4,0,1,2
138,30,0,1,1,0,1,2
139,48,0,1,9,1,1,1
140,45,0,1,7,1,1,1
141,60,0,1,10,0,1,2
142,41,0,1,14,2,1,0
143,27,0,1,4,1,1,1
144,60,0,1,5,0,2,1
145,36,0,1,8,2,1,0
146,45,0,1,5,1,2,0
147,51,0,1,8,0,2,1
148,37,0,1,8,1,0,2
149,47,0,1,6,1,1,1
150,59,0,1,2,0,3,0
151,39,0,1,11,1,2,0
152,0,60,0,0,1,1,1
153,32,0,1,5,1,1,1
154,58,0,1,5,1,1,1
155,21,0,1,3,0,2,1
156,50,0,1,10,1,0,2
157,51,0,1,3,1,1,1
158,44,0,1,15,2,1,0
159,39,0,1,3,1,2,0
160,13,0,1,1,0,2,1
161,49,0,1,8,0,1,2
162,50,0,1,3,1,0,2
163,34,0,1,3,1,1,1
164,39,0,1,4,1,0,2
165,58,0,1,6,0,2,1
166,55,0,1,4,0,1,2
167,24,0,1,4,1,0,2
168,25,0,1,3,0,1,2
169,42,0,1,6,0,1,2
170,43,0,1,14,1,1,1
171,45,0,1,13,0,1,2
172,16,0,1,5,0,0,3
173,42,0,1,5,0,2,1
174,45,0,1,3,1,0,2
175,60,0,1,2,1,1,1
176,16,0,1,8,0,0,3
177,60,0,1,2,2,1,0
178,26,0,1,3,0,0,3
179,41,0,1,6,0,1,2
180,22,0,1,4,0,1,2
181,46,0,1,6,0,0,3
182,43,0,1,6,0,2,1
183,29,0,1,3,1,2,0
184,13,0,1,8,1,1,1
185,48,0,1,4,0,0,3
186,60,0,1,4,0,2,1
187,60,0,1,2,0,0,3
188,29,0,1,3,1,2,0
189,47,0,1,6,0,1,2
190,58,0,1,7,1,2,0
191,27,0,1,9,0,2,1
192,51,0,1,5,0,2,1
193,60,0,1,4,1,0,2
194,22,0,1,4,2,0,1
195,26,0,1,4,0,1,2
196,49,0,1,4,1,0,2
197,25,0,1,7,1,1,1
198,30,0,1,5,0,1,2
199,48,0,1,5,0,2,1
200,0,23,0,2,0,3,0
201,49,0,1,3,0,2,1
202,60,0,1,3,0,2,1
203,42,0,1,7,0,2,1
204,39,0,1,2,0,3,0
205,57,0,1,8,1,2,0
206,58,0,1,7,0,1,2
207,17,0,1,3,2,0,1
208,24,0,1,1,0,2,1
209,50,0,1,17,0,0,3
210,23,0,1,4,0,3,0
211,16,0,1,3,1,1,1
212,60,0,1,9,0,1,2
213,28,0,1,10,0,1,2
214,43,0,1,3,2,1,0
215,22,0,1,5,1,1,1
216,17,0,1,9,0,2,1
217,2,0,1,8,1,1,1
218,45,0,1,5,0,1,2
219,57,0,1,8,0,1,2
220,30,0,1,11,0,1,2
221,46,0,1,6,0,1,2
222,60,0,1,10,1,1,1
223,34,0,1,5,0,1,2
224,17,0,1,4,0,2,1
225,30,0,1,2,0,3,0
226,60,0,1,4,2,1,0
227,36,0,1,5,1,1,1
228,50,0,1,5,1,2,0
229,24,0,1,1,1,1,1
230,60,0,1,3,0,1,2
231,57,0,1,9,0,2,1
232,55,0,1,7,2,1,0
233,24,0,1,5,0,1,2
234,35,0,1,6,0,0,3
235,21,0,1,6,1,0,2
236,29,0,1,13,0,0,3
237,27,0,1,7,1,1,1
238,46,0,1,12,0,1,2
239,60,0,1,9,0,2,1
240,2,0,1,7,1,1,1
241,60,0,1,8,1,0,2
242,27,0,1,4,0,1,2
243,28,0,1,9,0,1,2
244,34,0,1,5,1,1,1
245,22,0,1,8,0,1,2
246,60,0,1,6,2,1,0
247,54,0,1,6,1,1,1
248,60,0,1,3,0,2,1
249,22,0,1,11,0,2,1
250,29,0,1,4,0,1,2
251,51,0,1,1,1,0,2
252,36,0,1,7,1,0,2
253,51,0,1,4,0,1,2
254,28,0,1,2,0,3,0
255,29,0,1,7,0,2,1
256,19,0,1,3,1,1,1
257,60,0,1,6,1,1,1
258,46,0,1,11,0,0,3
259,60,0,1,4,1,1,1
260,28,0,1,7,1,2,0
261,55,0,1,1,0,3,0
262,21,0,1,4,1,0,2
263,27,0,1,8,2,0,1
264,35,0,1,12,0,2,1
265,30,0,1,7,0,2,1
266,44,0,1,6,1,2,0
267,59,0,1,6,0,1,2
268,47,0,1,6,1,1,1
269,41,0,1,6,0,2,1
270,60,0,1,5,1,2,0
271,28,0,1,8,1,1,1
272,60,0,1,7,1,1,1
273,33,0,1,8,0,0,3
274,51,0,1,8,0,1,2
275,44,0,1,6,1,1,1
276,28,0,1,5,1,2,0
277,60,0,1,5,1,1,1
278,5,0,1,7,0,2,1
279,60,0,1,2,0,1,2
280,43,0,1,5,1,1,1
281,20,0,1,8,0,1,2
282,54,0,1,4,0,1,2
283,43,0,1,5,0,2,1
284,48,0,1,5,0,1,2
285,60,0,1,10,1,0,2
286,20,0,1,13,1,0,2
287,23,0,1,4,1,1,1
288,60,0,1,8,0,1,2
289,41,0,1,2,1,2,0
290,53,0,1,3,1,2,0
291,33,0,1,9,2,0,1
292,53,0,1,1,1,1,1
293,43,0,1,8,1,1,1
294,36,0,1,3,1,2,0
295,56,0,1,5,0,0,3
296,60,0,1,4,0,0,3
297,32,0,1,11,0,1,2
298,57,0,1,8,0,1,2
299,43,0,1,4,1,1,1
300,60,0,1,1,0,1,2
301,53,0,1,2,1,1,1
302,54,0,1,3,0,1,2
303,45,0,1,6,1,0,2
304,32,0,1,3,0,2,1
305,60,0,1,5,1,2,0
306,54,0,1,9,1,1,1
307,10,0,1,10,1,1,1
308,53,0,1,4,1,0,2
309,60,0,1,3,0,1,2
310,5,0,1,3,0,0,3
311,40,0,1,13,0,2,1
312,34,0,1,6,1,1,1
313,39,0,1,3,1,0,2
314,18,0,1,10,1,1,1
315,45,0,1,8,1,2,0
316,45,0,1,7,2,0,1
317,29,0,1,3,1,2,0
318,60,0,1,8,0,0,3
319,47,0,1,5,1,0,2
320,59,0,1,10,1,0,2
321,42,0,1,2,1,1,1
322,60,0,1,2,0,1,2
323,29,0,1,1,1,1,1
324,49,0,1,8,0,0,3
325,15,0,1,15,2,0,1
326,0,15,0,2,0,1,2
327,37,0,1,6,0,0,3
328,35,0,1,11,1,1,1
329,22,0,1,4,1,0,2
330,24,0,1,5,0,1,2
331,60,0,1,6,0,2,1
332,54,0,1,4,1,1,1
333,60,0,1,3,0,1,2
334,22,0,1,4,0,1,2
335,31,0,1,3,0,0,3
336,38,0,1,12,1,2,0
337,58,0,1,7,0,2,1
338,47,0,1,9,1,1,1
339,29,0,1,9,1,1,1
340,23,0,1,9,1,1,1
341,41,0,1,5,0,2,1
342,48,0,1,9,1,1,1
343,31,0,1,7,0,1,2
344,60,0,1,5,2,0,1
345,27,0,1,3,1,1,1
346,47,0,1,3,1,0,2
347,60,0,1,7,2,0,1
348,29,0,1,7,1,0,2
349,20,0,1,10,1,2,0
350,22,0,1,7,2,1,0
351,47,0,1,10,0,1,2
352,38,0,1,3,1,1,1
353,56,0,1,3,0,1,2
354,43,0,1,3,0,2,1
355,34,0,1,9,0,1,2
356,54,0,1,3,1,1,1
357,39,0,1,6,1,1,1
358,25,0,1,2,0,1,2
359,60,0,1,2,1,2,0
360,30,0,1,6,0,0,3
361,50,0,1,5,1,1,1
362,24,0,1,19,2,0,1
363,49,0,1,5,0,1,2
364,11,0,1,4,1,2,0
365,43,0,1,6,0,0,3
366,60,0,1,6,2,0,1
367,45,0,1,5,1,0,2
368,60,0,1,5,0,0,3
369,38,0,1,10,0,1,2
370,28,0,1,10,1,0,2
371,36,0,1,4,0,0,3
372,25,0,1,10,2,1,0
373,29,0,1,5,0,3,0
374,14,0,1,3,1,2,0
375,53,0,1,6,0,0,3
376,48,0,1,5,1,0,2
377,44,0,1,7,0,1,2
378,51,0,1,10,1,1,1
379,45,0,1,3,0,1,2
380,24,0,1,5,0,3,0
381,60,0,1,3,0,2,1
382,60,0,1,4,1,1,1
383,49,0,1,4,1,1,1
384,27,0,1,2,0,2,1
385,60,0,1,8,0,0,3
386,58,0,1,5,0,0,3
387,36,0,1,6,1,1,1
388,60,0,1,5,1,1,1
389,52,0,1,6,2,0,1
390,48,0,1,7,0,1,2
391,51,0,1,9,0,3,0
392,60,0,1,3,0,2,1
393,13,0,1,4,1,2,0
394,55,0,1,6,0,0,3
395,20,0,1,4,0,1,2
396,60,0,1,3,1,1,1
397,19,0,1,3,2,1,0
398,27,0,1,10,0,2,1
399,60,0,1,6,0,2,1
400,24,0,1,5,0,0,3
401,60,0,1,4,1,1,1
402,53,0,1,3,0,0,3
403,49,0,1,12,1,1,1
404,60,0,1,5,0,1,2
405,51,0,1,6,1,2,0
406,12,0,1,5,1,1,1
407,18,0,1,3,0,0,3
408,29,0,1,9,1,1,1
409,60,0,1,2,0,0,3
410,10,0,1,2,1,2,0
411,16,0,1,9,1,1,1
412,60,0,1,14,1,1,1
413,60,0,1,4,0,1,2
414,30,0,1,6,2,1,0
415,47,0,1,7,1,1,1
416,60,0,1,9,1,0,2
417,29,0,1,10,0,0,3
418,23,0,1,6,0,1,2
419,60,0,1,4,1,2,0
420,52,0,1,5,1,1,1
421,53,0,1,4,1,2,0
422,42,0,1,5,2,1,0
423,56,0,1,4,1,1,1
424,31,0,1,2,1,2,0
425,37,0,1,2,0,1,2
426,50,0,1,9,0,1,2
427,60,0,1,6,0,1,2
428,31,0,1,4,0,1,2
429,15,0,1,5,0,0,3
430,60,0,1,4,0,2,1
431,43,0,1,8,1,2,0
432,10,0,1,8,1,1,1
433,41,0,1,5,0,1,2
434,20,0,1,5,1,2,0
435,51,0,1,4,1,1,1
436,56,0,1,6,0,1,2
437,25,0,1,4,2,0,1
438,44,0,1,4,1,2,0
439,44,0,1,6,0,1,2
440,24,0,1,10,0,2,1
441,27,0,1,6,0,1,2
442,38,0,1,5,1,0,2
443,25,0,1,2,1,1,1
444,10,0,1,16,0,0,3
445,42,0,1,3,0,0,3
446,56,0,1,4,0,1,2
447,22,0,1,9,2,0,1
448,60,0,1,11,0,2,1
449,60,0,1,3,0,1,2
450,20,0,1,5,0,3,0
451,60,0,1,11,0,0,3
452,32,0,1,5,0,1,2
453,34,0,1,8,0,1,2
454,15,0,1,7,0,0,3
455,17,0,1,3,2,1,0
456,23,0,1,3,1,1,1
457,60,0,1,2,0,2,1
458,0,5,0,6,1,2,0
459,28,0,1,8,0,2,1
460,19,0,1,4,1,2,0
461,38,0,1,5,2,0,1
462,60,0,1,2,1,1,1
463,47,0,1,1,2,1,0
464,45,0,1,16,1,0,2
465,26,0,1,9,0,2,1
466,22,0,1,5,0,0,3
467,60,0,1,3,1,2,0
468,44,0,1,3,0,2,1
469,50,0,1,5,1,1,1
470,48,0,1,3,0,1,2
471,22,0,1,3,2,0,1
472,57,0,1,5,1,2,0
473,60,0,1,2,0,3,0
474,7,0,1,4,1,1,1
475,51,0,1,1,1,2,0
476,15,0,1,3,1,1,1
477,18,0,1,4,0,0,3
478,44,0,1,7,1,0,2
479,44,0,1,9,1,0,2
480,32,0,1,6,1,2,0
481,21,0,1,3,1,2,0
482,26,0,1,3,1,0,2
483,0,60,0,4,1,1,1
484,36,0,1,3,2,1,0
485,57,0,1,3,1,2,0
486,60,0,1,6,1,1,1
487,19,0,1,9,2,0,1
488,54,0,1,3,1,1,1
489,44,0,1,7,0,0,3
490,19,0,1,6,1,1,1
491,42,0,1,3,2,1,0
492,60,0,1,8,0,1,2
493,40,0,1,7,0,0,3
494,20,0,1,3,1,0,2
495,50,0,1,7,0,2,1
496,28,0,1,9,2,1,0
497,33,0,1,4,1,1,1
498,55,0,1,10,0,1,2
499,30,0,1,7,1,1,1
500,39,0,1,4,1,1,1
501,56,0,1,4,1,1,1
502,60,0,1,2,0,2,1
503,7,0,1,8,1,2,0
504,40,0,1,3,0,0,3
505,20,0,1,9,1,1,1
506,32,0,1,7,0,2,1
507,60,0,1,9,2,0,1
508,21,0,1,9,1,1,1
509,48,0,1,8,0,1,2
510,23,0,1,5,0,1,2
511,37,0,1,4,0,2,1
512,35,0,1,4,1,1,1
513,20,0,1,9,1,1,1
514,60,0,1,4,0,2,1
515,55,0,1,3,1,1,1
516,25,0,1,8,2,0,1
517,21,0,1,3,0,2,1
518,46,0,1,6,0,1,2
519,19,0,1,9,2,0,1
520,50,0,1,5,1,1,1
521,57,0,1,9,1,0,2
522,10,0,1,6,1,0,2
523,43,0,1,4,0,1,2
524,45,0,1,1,0,1,2
525,60,0,1,2,0,2,1
526,21,0,1,5,0,3,0
527,60,0,1,3,1,1,1
528,27,0,1,8,0,1,2
529,39,0,1,7,1,2,0
530,40,0,1,6,0,1,2
531,20,0,1,4,0,0,3
532,27,0,1,1,0,3,0
533,26,0,1,4,1,0,2
534,3,0,1,7,0,0,3
535,59,0,1,8,0,2,1
536,44,0,1,9,1,2,0
537,29,0,1,8,0,2,1
538,50,0,1,8,0,2,1
539,60,0,1,7,0,0,3
540,60,0,1,1,0,2,1
541,58,0,1,4,1,1,1
542,31,0,1,4,0,1,2
543,53,0,1,3,0,1,2
544,60,0,1,9,1,0,2
545,40,0,1,4,0,1,2
546,33,0,1,5,0,1,2
547,55,0,1,10,1,2,0
548,47,0,1,10,2,0,1
549,43,0,1,4,0,1,2
550,51,0,1,8,1,0,2
551,37,0,1,6,0,0,3
552,40,0,1,8,1,0,2
553,60,0,1,14,1,0,2
554,37,0,1,3,0,1,2
555,47,0,1,5,2,0,1
556,47,0,1,8,1,0,2
557,21,0,1,8,1,1,1
558,0,25,0,5,2,0,1
559,20,0,1,6,2,1,0
560,47,0,1,10,1,1,1
561,44,0,1,1,1,1,1
562,34,0,1,3,0,2,1
563,26,0,1,4,0,0,3
564,36,0,1,3,0,0,3
565,34,0,1,5,1,1,1
566,37,0,1,14,0,1,2
567,35,0,1,8,0,1,2
568,48,0,1,3,1,1,1
569,56,0,1,2,1,2,0
570,28,0,1,5,1,0,2
571,47,0,1,20,1,1,1
572,47,0,1,2,0,1,2
573,34,0,1,8,1,1,1
574,25,0,1,5,1,1,1
575,57,0,1,2,0,3,0
576,42,0,1,9,0,1,2
577,29,0,1,6,0,0,3
578,47,0,1,4,0,1,2
579,25,0,1,4,0,1,2
580,29,0,1,5,1,1,1
581,41,0,1,7,0,2,1
582,37,0,1,2,2,1,0
583,58,0,1,3,0,1,2
584,35,0,1,1,0,1,2
585,51,0,1,3,0,1,2
586,58,0,1,5,0,1,2
587,20,0,1,6,2,1,0
588,28,0,1,1,0,1,2
589,45,0,1,7,0,1,2
590,60,0,1,3,0,2,1
591,43,0,1,3,0,0,3
592,52,0,1,10,0,1,2
593,60,0,1,7,0,2,1
594,47,0,1,2,0,0,3
595,50,0,1,6,0,2,1
596,44,0,1,4,1,2,0
597,60,0,1,4,0,2,1
598,19,0,1,5,0,1,2
599,37,0,1,6,0,3,0
600,12,0,1,2,0,2,1
601,60,0,1,15,2,1,0
602,60,0,1,7,1,1,1
603,60,0,1,10,1,2,0
604,46,0,1,6,1,1,1
605,41,0,1,11,0,1,2
606,60,0,1,7,0,2,1
607,16,0,1,7,0,1,2
608,50,0,1,15,2,1,0
609,60,0,1,11,0,0,3
610,60,0,1,8,0,0,3
611,28,0,1,6,1,0,2
612,60,0,1,13,1,2,0
613,45,0,1,2,0,3,0
614,48,0,1,8,0,2,1
615,60,0,1,12,0,0,3
616,47,0,1,3,1,2,0
617,60,0,1,7,0,3,0
618,60,0,1,8,0,2,1
619,47,0,1,4,1,2,0
620,40,0,1,3,1,2,0
621,56,0,1,10,1,1,1
622,60,0,1,5,0,0,3
623,0,3,0,5,0,1,2
624,15,0,1,7,0,2,1
625,60,0,1,5,0,2,1
626,29,0,1,4,0,3,0
627,60,0,1,5,0,0,3
628,50,0,1,9,0,2,1
629,53,0,1,6,1,2,0
630,24,0,1,5,1,1,1
631,57,0,1,4,0,3,0
632,60,0,1,3,0,3,0
633,34,0,1,2,0,2,1
634,22,0,1,6,1,0,2
635,23,0,1,2,1,1,1
636,16,0,1,2,0,2,1
637,52,0,1,7,0,3,0
638,57,0,1,6,0,1,2
639,32,0,1,7,2,0,1
640,23,0,1,1,0,3,0
641,32,0,1,12,0,2,1
642,17,0,1,8,0,2,1
643,31,0,1,2,0,2,1
644,24,0,1,2,1,1,1
645,46,0,1,7,2,0,1
646,25,0,1,2,2,0,1
647,42,0,1,3,1,0,2
648,40,0,1,9,1,1,1
649,31,0,1,4,1,2,0
650,60,0,1,4,1,0,2
651,32,0,1,7,0,1,2
652,17,0,1,6,1,1,1
653,32,0,1,3,1,2,0
654,25,0,1,6,2,1,0
655,58,0,1,1,0,3,0
656,49,0,1,7,0,1,2
657,2,0,1,5,1,2,0
658,23,0,1,7,2,0,1
659,54,0,1,3,0,0,3
660,47,0,1,6,0,2,1
661,36,0,1,2,1,0,2
662,50,0,1,16,0,0,3
663,36,0,1,4,0,3,0
664,60,0,1,11,1,1,1
665,43,0,1,3,1,1,1
666,48,0,1,5,0,1,2
667,0,19,0,8,2,0,1
668,51,0,1,3,0,2,1
669,27,0,1,7,0,1,2
670,34,0,1,3,1,1,1
671,56,0,1,6,1,1,1
672,30,0,1,7,0,1,2
673,28,0,1,4,0,1,2
674,47,0,1,2,0,0,3
675,40,0,1,11,1,1,1
676,55,0,1,8,0,0,3
677,23,0,1,6,1,2,0
678,21,0,1,9,1,0,2
679,46,0,1,7,0,2,1
680,48,0,1,3,1,2,0
681,60,0,1,12,1,1,1
682,41,0,1,6,0,3,0
683,44,0,1,9,0,2,1
684,51,0,1,3,0,2,1
685,7,0,1,2,0,1,2
686,45,0,1,7,1,1,1
687,60,0,1,7,0,0,3
688,60,0,1,4,1,0,2
689,60,0,1,9,0,0,3
690,21,0,1,3,1,1,1
691,17,0,1,1,0,0,3
692,60,0,1,4,0,0,3
693,51,0,1,5,2,1,0
694,33,0,1,3,1,0,2
695,43,0,1,5,0,2,1
696,60,0,1,7,0,1,2
697,60,0,1,7,2,1,0
698,46,0,1,5,0,1,2
699,22,0,1,9,1,2,0
700,32,0,1,1,1,1,1
701,33,0,1,6,1,0,2
702,18,0,1,14,2,0,1
703,57,0,1,9,0,2,1
704,60,0,1,10,0,0,3
705,36,0,1,6,2,0,1
706,53,0,1,8,0,2,1
707,60,0,1,6,1,1,1
