,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,60,0,1,7,0,0,3
1,43,0,1,3,0,1,2
2,60,0,1,3,0,1,2
3,0,60,0,1,0,2,1
4,60,0,1,8,1,2,0
5,40,0,1,8,1,1,1
6,0,44,0,2,0,1,2
7,49,0,1,7,1,0,2
8,31,0,1,5,1,0,2
9,19,0,1,4,0,2,1
10,44,0,1,11,1,0,2
11,25,0,1,9,0,1,2
12,50,0,1,1,0,1,2
13,16,0,1,7,1,2,0
14,55,0,1,4,0,1,2
15,28,0,1,3,0,1,2
16,19,0,1,5,2,1,0
17,60,0,1,6,0,1,2
18,60,0,1,3,0,1,2
19,41,0,1,7,0,1,2
20,54,0,1,12,0,2,1
21,60,0,1,1,0,1,2
22,60,0,1,7,2,0,1
23,32,0,1,6,0,1,2
24,28,0,1,8,0,3,0
25,18,0,1,4,0,1,2
26,35,0,1,6,1,1,1
27,60,0,1,3,2,1,0
28,49,0,1,5,0,1,2
29,44,0,1,6,0,1,2
30,60,0,1,7,0,0,3
31,18,0,1,9,0,1,2
32,34,0,1,3,1,0,2
33,35,0,1,1,0,1,2
34,31,0,1,3,0,1,2
35,54,0,1,6,0,1,2
36,47,0,1,11,0,0,3
37,23,0,1,2,0,2,1
38,45,0,1,4,0,2,1
39,30,0,1,8,0,0,3
40,2,0,1,3,1,1,1
41,53,0,1,6,0,1,2
42,48,0,1,3,0,1,2
43,20,0,1,5,0,2,1
44,23,0,1,3,1,2,0
45,39,0,1,8,1,1,1
46,35,0,1,10,1,1,1
47,43,0,1,4,2,0,1
48,52,0,1,2,2,1,0
49,43,0,1,5,0,0,3
50,23,0,1,5,0,2,1
51,31,0,1,6,1,0,2
52,60,0,1,6,1,1,1
53,23,0,1,3,1,0,2
54,60,0,1,7,0,1,2
55,60,0,1,4,0,2,1
56,39,0,1,4,1,0,2
57,60,0,1,9,0,3,0
58,36,0,1,4,1,1,1
59,60,0,1,8,0,2,1
60,57,0,1,2,0,3,0
61,60,0,1,2,0,1,2
62,20,0,1,13,0,0,3
63,27,0,1,4,1,2,0
64,22,0,1,1,0,1,2
65,51,0,1,11,1,2,0
66,24,0,1,4,0,1,2
67,34,0,1,5,0,3,0
68,55,0,1,4,0,2,1
69,18,0,1,4,0,1,2
70,56,0,1,1,0,3,0
71,27,0,1,5,1,0,2
72,21,0,1,16,0,0,3
73,60,0,1,9,1,1,1
74,32,0,1,4,0,2,1
75,25,0,1,5,2,1,0
76,60,0,1,4,0,2,1
77,53,0,1,12,0,2,1
