,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,45,30,1,25,1,0,1
1,60,11,1,25,0,1,1
2,23,28,0,25,0,1,1
3,32,0,1,10,2,1,0
4,52,0,1,22,0,2,1
5,56,21,1,25,0,2,0
6,26,31,0,25,0,1,1
7,19,60,0,25,0,0,2
8,23,49,0,25,0,1,1
9,0,31,0,16,0,2,1
10,47,44,1,25,1,0,0
11,30,30,0,25,1,1,0
12,40,14,1,25,0,1,1
13,9,31,0,25,1,0,2
14,0,60,0,1,0,2,1
15,35,27,1,25,0,2,0
16,10,0,1,23,0,1,2
17,51,24,1,25,0,1,1
18,54,16,1,25,0,0,2
19,30,46,0,25,0,0,2
20,60,25,1,25,0,1,1
21,38,42,0,25,0,0,1
22,0,51,0,0,0,2,1
23,0,25,0,8,0,2,1
24,52,0,1,15,1,1,1
25,52,54,0,25,0,0,1
26,35,60,0,25,0,0,1
27,25,0,1,23,1,1,1
28,36,55,0,25,0,1,0
29,36,60,0,25,1,0,1
30,18,10,1,25,0,2,0
31,0,15,0,1,1,2,0
32,51,6,1,25,0,2,0
33,38,47,0,25,0,1,0
34,0,45,0,20,0,2,1
35,32,5,1,25,0,1,2
36,24,25,0,25,0,1,1
37,27,60,0,25,0,1,1
38,28,5,1,25,0,2,1
39,50,55,0,25,0,0,1
40,43,28,1,25,1,1,0
41,60,33,1,25,0,1,0
42,60,43,1,25,0,1,0
43,37,46,0,25,0,1,0
44,51,19,1,25,0,0,2
45,31,27,1,25,0,0,2
46,24,52,0,25,0,1,1
47,47,38,1,25,0,0,1
48,38,28,1,25,0,0,2
49,29,35,0,25,0,0,2
50,24,41,0,25,0,2,0
51,28,60,0,25,0,1,1
52,21,60,0,25,0,2,0
53,59,19,1,25,0,1,1
54,35,53,0,25,0,1,1
55,35,19,1,25,1,0,1
56,14,55,0,25,0,2,0
57,48,20,1,25,0,2,0
58,24,26,0,25,0,1,1
59,38,44,0,25,0,0,1
60,24,53,0,25,1,1,0
61,50,37,1,25,0,0,1
62,30,28,1,25,0,2,0
63,17,26,0,25,0,2,0
64,39,20,1,25,0,1,1
65,17,31,0,25,0,0,2
66,48,35,1,25,0,1,0
67,60,45,1,25,0,0,1
68,51,60,0,25,0,0,1
69,45,51,0,25,0,0,1
70,60,0,1,10,0,0,3
71,2,43,0,25,0,1,2
72,53,18,1,25,0,1,1
73,54,20,1,25,0,1,1
74,27,60,0,25,1,1,0
75,60,60,0,25,0,0,0
76,28,43,0,25,0,1,1
77,42,41,1,25,0,0,1
78,13,21,0,25,0,2,0
79,22,60,0,25,0,0,2
80,60,50,1,25,0,1,0
81,25,24,1,25,0,0,2
82,53,60,0,25,0,1,0
83,38,46,0,25,1,0,0
84,39,41,0,25,0,0,1
85,53,27,1,25,0,0,2
86,26,0,1,4,1,1,1
87,30,47,0,25,0,0,2
88,10,15,0,25,0,0,3
89,25,60,0,25,1,0,1
90,28,60,0,25,0,0,2
91,28,60,0,25,0,1,1
92,34,51,0,25,0,0,2
93,41,38,1,25,0,0,1
94,56,60,0,25,0,1,0
95,0,39,0,2,0,3,0
96,29,31,0,25,1,1,0
97,0,41,0,2,0,1,2
98,48,21,1,25,0,1,1
99,60,51,1,25,0,0,1
100,60,13,1,25,0,1,1
101,59,52,1,25,0,1,0
102,35,58,0,25,0,1,0
103,40,60,0,25,0,0,1
104,44,23,1,25,0,1,1
105,60,22,1,25,0,2,0
106,29,42,0,25,1,0,1
107,48,0,1,1,0,1,2
108,13,60,0,25,1,1,0
109,60,25,1,25,1,1,0
110,0,48,0,24,0,1,2
111,60,0,1,6,0,2,1
112,0,60,0,12,1,2,0
113,55,46,1,25,0,0,1
114,46,20,1,25,0,2,0
115,27,0,1,19,1,0,2
116,60,0,1,7,1,1,1
117,41,42,0,25,0,1,0
118,44,31,1,25,0,1,1
119,60,12,1,25,0,2,0
120,29,0,1,22,1,2,0
121,0,55,0,22,1,0,2
122,24,60,0,25,1,1,0
123,43,60,0,25,0,0,1
124,47,17,1,25,0,1,1
125,44,35,1,25,0,0,2
126,51,42,1,25,1,0,0
127,58,28,1,25,0,1,1
128,60,22,1,25,0,1,1
129,19,51,0,25,0,1,1
130,4,49,0,25,0,3,0
131,42,41,1,25,0,1,0
132,23,40,0,25,0,0,2
133,49,60,0,25,0,0,1
134,24,31,0,25,0,1,1
135,48,47,1,25,1,0,0
136,53,35,1,25,0,1,0
137,0,60,0,0,1,1,1
138,41,27,1,25,0,0,2
139,17,53,0,25,0,1,1
140,28,37,0,25,0,1,0
141,59,30,1,25,0,1,1
142,34,0,1,19,0,2,1
143,27,60,0,25,0,1,1
144,29,43,0,25,0,1,1
145,23,60,0,25,0,1,1
146,50,13,1,25,1,1,0
147,60,56,1,25,0,0,1
148,57,18,1,25,0,2,0
149,3,41,0,25,0,1,2
150,60,18,1,25,0,1,1
151,56,53,1,25,0,0,1
152,22,60,0,25,0,1,1
153,48,41,1,25,0,1,0
154,23,27,0,25,0,1,1
155,0,60,0,3,0,2,1
156,60,12,1,25,0,0,2
157,25,33,0,25,0,0,2
158,23,43,0,25,0,0,2
159,50,30,1,25,1,0,1
160,40,5,1,25,1,1,1
161,43,18,1,25,0,0,2
162,3,14,0,25,0,1,2
163,16,0,1,7,0,2,1
164,10,55,0,25,1,1,0
165,26,60,0,25,1,0,1
166,55,50,1,25,0,1,0
167,60,51,1,25,0,0,1
168,0,20,0,0,1,2,0
169,48,60,0,25,0,0,1
170,31,50,0,25,0,1,1
171,49,25,1,25,1,1,0
172,0,45,0,25,0,1,2
173,48,19,1,25,0,2,0
174,60,45,1,25,0,0,1
175,43,28,1,25,0,1,1
176,18,60,0,25,0,1,1
177,54,19,1,25,0,1,1
178,33,50,0,25,1,0,0
179,43,26,1,25,0,1,1
180,39,28,1,25,0,1,1
181,23,25,0,25,1,1,0
182,60,33,1,25,0,1,1
183,60,0,1,24,0,3,0
184,60,34,1,25,0,1,0
185,45,0,1,4,0,1,2
186,60,35,1,25,0,1,0
187,11,42,0,25,0,2,0
188,25,57,0,25,0,2,0
189,46,60,0,25,0,1,0
190,18,54,0,25,0,1,1
191,46,0,1,19,0,0,3
192,20,44,0,25,0,0,2
193,3,60,0,25,2,1,0
194,23,44,0,25,0,1,1
195,18,28,0,25,0,1,0
196,24,58,0,25,0,1,1
197,0,19,0,6,1,1,1
198,0,55,0,22,1,2,0
199,34,57,0,25,0,1,1
200,32,32,1,25,0,0,1
201,25,21,1,25,0,0,2
202,18,35,0,25,0,2,0
203,51,14,1,25,0,1,1
204,52,34,1,25,0,1,1
205,24,0,1,5,0,1,2
206,48,0,1,24,1,1,1
207,14,46,0,25,1,0,1
208,35,54,0,25,0,0,1
209,26,36,0,25,0,1,1
210,40,20,1,25,0,1,1
211,0,39,0,1,2,1,0
212,0,60,0,5,0,2,1
213,60,60,0,25,0,0,0
214,60,40,1,25,1,0,0
215,37,20,1,25,0,1,1
216,44,60,0,25,0,1,0
217,44,12,1,25,0,2,0
218,27,35,0,25,0,1,1
219,43,45,0,25,0,1,0
220,11,55,0,25,1,1,0
221,41,26,1,25,0,0,2
222,48,15,1,25,0,2,0
223,24,38,0,25,0,1,0
224,53,50,1,25,0,0,1
225,60,41,1,25,0,1,0
226,60,33,1,25,0,0,1
227,29,39,0,25,1,1,0
228,50,29,1,25,0,0,2
229,46,19,1,25,0,1,1
