,Random,Random,Random,Random,Random,Random,Defeat,Defeat,Defeat,Defeat,Defeat,Defeat,Minscore,Minscore,Minscore,Minscore,Minscore,Minscore,Mindist,Mindist,Mindist,Mindist,Mindist,Mindist,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp
,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp
0,1,35,-59,-28,-6,-50,-37,0,-60,-60,-60,-45,38,55,-3,-16,8,-3,23,60,-5,-17,-26,-20,32,60,-19,-20,-31,-19,32,60,-19,-20,-8,-19
1,-36,35,-46,-47,-56,-49,-39,0,-42,-60,-60,-59,60,60,-15,-4,-14,8,49,28,-23,60,-14,43,60,60,-10,24,2,-10,33,60,2,-31,-31,-8
2,-20,31,-49,-60,-51,-59,-38,0,-55,-60,-60,-60,60,60,-9,-36,43,-14,55,60,-46,-2,-20,-17,50,41,-47,17,-20,-9,60,60,-47,45,43,-23
3,-50,22,-19,-50,-60,-21,-60,0,-60,-60,-50,-60,53,60,19,45,-9,43,60,60,18,60,43,9,21,60,36,60,-6,-16,52,60,32,8,-20,43
4,-4,0,-57,-57,-17,-24,-21,0,-60,-60,-60,-60,30,60,12,12,-2,-9,58,60,-17,0,-17,-8,41,60,-20,-2,15,-20,60,60,-24,24,-6,-20
5,-9,22,-51,-54,-51,-43,-57,0,-60,-52,-60,-60,33,60,12,-2,-5,-2,48,60,-2,60,9,60,43,60,2,60,60,-6,27,60,12,17,15,-6
6,-11,14,-60,-53,-14,-35,-27,0,-60,-60,-60,-60,38,46,-17,17,60,-5,17,60,-23,50,3,-22,11,60,5,25,-21,15,48,60,5,60,60,15
7,44,0,-47,-37,-29,-60,-30,0,-60,-60,-60,-58,42,60,60,60,-2,60,53,16,60,38,60,60,55,60,60,42,60,60,48,60,60,-2,-22,60
8,21,16,-57,-49,-39,-39,-15,0,-60,-60,-43,-60,43,60,-2,-2,60,-2,21,60,2,60,-22,0,27,60,-2,26,25,-21,40,60,-2,60,60,-22
9,4,9,-43,-42,-39,-58,-22,0,-60,-60,-60,-60,60,60,60,60,25,60,40,60,60,26,60,60,60,60,60,18,52,60,46,25,60,25,25,60
10,1,33,-20,-24,-41,-47,-25,-7,-60,-60,-60,-60,26,60,25,25,60,25,57,60,0,15,0,47,20,60,25,60,40,25,39,60,25,60,45,25
11,-27,5,-60,-25,-60,-42,0,0,-60,-60,-60,-60,43,60,60,60,22,60,36,60,60,15,60,31,53,60,42,35,34,15,59,60,46,50,40,45
12,-21,23,-44,-41,-34,-23,-48,0,-60,-60,-60,-60,21,60,17,2,38,33,32,60,33,16,40,29,20,60,37,30,60,29,60,60,33,18,34,46
13,22,19,-45,-49,-18,-16,-9,0,-60,-60,-60,-60,60,60,10,31,10,38,17,39,36,-15,24,36,44,60,13,9,36,34,60,60,13,36,60,34
14,19,41,-35,-48,-60,-21,-39,0,-60,-60,-60,-60,52,60,6,10,32,10,49,60,38,-60,42,43,33,60,56,16,36,60,43,60,19,35,36,56
15,-9,0,-35,-44,-48,-60,-26,9,-60,-60,-60,-60,27,60,28,35,-2,35,60,60,16,-4,36,17,24,60,28,-17,-2,36,56,60,28,30,38,36
16,-44,60,-60,-60,-37,-45,-31,0,-60,-60,-60,-60,16,60,10,11,-14,-2,60,49,30,10,41,16,27,60,24,-60,16,38,38,60,27,9,-14,38
