,,win % (p1),0 % (p1),0 % (p2),avg gain (p1),med gain (p1),med nrounds,low 95% nrounds,up 95% nrounds,% nrounds 25,# 0 (pseq),# 0 (iseq),# 0 (seq),# 0 (set)
Random,Random,0.499,0.053,0.051,-0.006,0.0,25.0,5.0,25.0,0.9,0.608,0.122,0.059,0.247
Random,Defeat,0.957,0.089,0.001,26.323,26.0,25.0,4.0,25.0,0.913,0.647,0.113,0.071,0.293
Random,Minscore,0.015,0.015,0.985,-40.075,-43.0,6.0,1.0,13.0,0.0,0.508,0.284,0.121,0.176
Random,Mindist,0.011,0.011,0.989,-40.366,-43.0,5.0,1.0,13.0,0.003,0.533,0.183,0.078,0.23
Random,Mindistscore,0.015,0.015,0.985,-40.117,-43.0,5.0,1.0,13.0,0.0,0.526,0.232,0.096,0.2
Random,MindistOpp,0.014,0.014,0.986,-40.121,-43.0,5.0,1.0,12.0,0.0,0.531,0.194,0.077,0.208
Defeat,Random,0.045,0.001,0.085,-26.074,-26.0,25.0,5.0,25.0,0.916,0.68,0.088,0.055,0.282
Defeat,Defeat,0.49,0.001,0.002,-0.327,0.0,25.0,25.0,25.0,0.997,0.586,0.069,0.034,0.414
Defeat,Minscore,0.001,0.001,0.999,-58.293,-60.0,4.0,1.0,10.0,0.0,0.671,0.197,0.115,0.191
Defeat,Mindist,0.0,0.0,1.0,-58.022,-60.0,4.0,1.0,10.0,0.004,0.683,0.139,0.076,0.225
Defeat,Mindistscore,0.0,0.0,1.0,-58.032,-60.0,4.0,1.0,10.0,0.0,0.676,0.15,0.081,0.217
Defeat,MindistOpp,0.0,0.0,1.0,-58.018,-60.0,4.0,1.0,9.0,0.0,0.681,0.132,0.07,0.226
Minscore,Random,0.988,0.988,0.012,40.971,44.0,5.0,0.0,12.0,0.0,0.516,0.29,0.123,0.173
Minscore,Defeat,0.999,0.999,0.001,57.011,60.0,3.0,0.0,9.0,0.0,0.64,0.198,0.105,0.188
Minscore,Minscore,0.548,0.548,0.452,3.421,2.0,4.0,0.0,9.0,0.0,0.481,0.302,0.117,0.168
Minscore,Mindist,0.517,0.517,0.487,5.5,2.0,4.0,0.0,9.0,0.0,0.49,0.257,0.101,0.197
Minscore,Mindistscore,0.497,0.497,0.503,4.043,-2.0,4.0,0.0,9.0,0.0,0.485,0.269,0.104,0.183
Minscore,MindistOpp,0.482,0.482,0.518,4.417,-2.0,4.0,0.0,9.0,0.0,0.483,0.258,0.098,0.192
Mindist,Random,0.992,0.992,0.008,40.724,43.0,4.0,0.0,12.0,0.004,0.537,0.17,0.071,0.232
Mindist,Defeat,0.999,0.999,0.001,56.079,60.0,3.0,0.0,9.0,0.005,0.653,0.135,0.071,0.232
Mindist,Minscore,0.583,0.587,0.418,2.506,3.0,4.0,0.0,9.0,0.0,0.486,0.248,0.096,0.201
Mindist,Mindist,0.551,0.556,0.453,4.248,5.0,3.0,0.0,9.0,0.0,0.493,0.203,0.077,0.225
Mindist,Mindistscore,0.531,0.536,0.469,3.136,4.0,3.0,0.0,9.0,0.0,0.506,0.225,0.09,0.204
Mindist,MindistOpp,0.527,0.531,0.473,3.709,5.0,3.0,0.0,9.0,0.0,0.499,0.215,0.084,0.213
Mindistscore,Random,0.99,0.99,0.01,40.615,43.0,4.0,0.0,12.0,0.0,0.523,0.225,0.09,0.196
Mindistscore,Defeat,0.999,0.999,0.001,56.162,60.0,3.0,0.0,9.0,0.0,0.642,0.164,0.083,0.21
Mindistscore,Minscore,0.611,0.611,0.389,4.686,4.0,4.0,0.0,9.0,0.0,0.483,0.274,0.106,0.178
Mindistscore,Mindist,0.577,0.577,0.427,5.96,8.0,3.0,0.0,9.0,0.0,0.488,0.237,0.091,0.2
Mindistscore,Mindistscore,0.554,0.554,0.447,4.713,5.0,3.0,0.0,9.0,0.0,0.49,0.248,0.098,0.193
Mindistscore,MindistOpp,0.545,0.545,0.455,5.126,7.0,3.0,0.0,9.0,0.0,0.486,0.239,0.09,0.198
MindistOpp,Random,0.991,0.991,0.009,40.556,43.0,4.0,0.0,11.0,0.0,0.531,0.182,0.075,0.221
MindistOpp,Defeat,0.999,0.999,0.001,56.111,60.0,3.0,0.0,8.0,0.0,0.645,0.14,0.07,0.222
MindistOpp,Minscore,0.623,0.623,0.377,4.354,5.0,4.0,0.0,9.0,0.0,0.481,0.25,0.094,0.189
MindistOpp,Mindist,0.585,0.585,0.419,5.736,9.0,3.0,0.0,9.0,0.0,0.483,0.218,0.08,0.209
MindistOpp,Mindistscore,0.565,0.565,0.436,4.398,6.0,3.0,0.0,9.0,0.0,0.489,0.231,0.088,0.193
MindistOpp,MindistOpp,0.56,0.56,0.44,5.041,8.0,3.0,0.0,8.0,0.0,0.488,0.221,0.079,0.202
