,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,42,20,0,1,1,1,0
1,0,13,0,4,2,0,2
2,0,13,0,16,1,1,2
3,0,80,0,1,1,2,1
4,29,0,1,4,1,1,2
5,0,72,0,11,1,2,1
6,50,20,0,1,1,0,0
7,79,0,1,2,1,1,2
8,0,56,0,5,2,1,1
9,14,0,1,6,1,1,2
10,29,0,1,4,2,1,1
11,58,0,1,9,1,3,0
12,25,0,1,10,2,1,1
13,0,7,0,1,3,0,1
14,77,0,1,7,1,3,0
15,5,0,1,13,1,2,1
16,0,38,0,3,3,1,0
17,20,80,1,1,0,0,0
18,0,70,0,3,1,1,2
19,80,0,1,3,2,2,0
20,12,0,1,1,2,1,1
21,0,41,0,12,1,1,2
22,20,80,1,1,0,0,0
23,80,0,1,5,1,1,2
24,0,78,0,4,1,2,1
25,26,0,1,10,1,2,1
26,20,80,1,1,0,0,0
27,64,0,1,8,2,1,1
28,14,0,1,5,1,1,2
29,0,40,0,6,2,0,2
30,0,38,0,6,2,0,2
31,14,0,1,15,1,2,1
32,72,0,1,4,1,1,2
33,46,0,1,3,2,1,1
34,77,0,1,12,1,2,0
35,49,0,1,4,2,1,1
36,0,78,0,8,2,1,1
37,20,79,1,1,0,0,0
38,80,0,1,7,1,1,2
39,0,80,0,4,1,1,2
40,80,20,0,1,0,0,0
41,14,20,0,1,2,1,0
42,18,0,1,8,1,1,2
43,0,59,0,3,1,1,2
44,80,20,0,1,0,0,0
45,58,0,1,4,1,3,0
46,0,15,0,5,1,1,2
47,20,69,1,1,1,0,0
48,76,0,1,9,2,1,1
49,0,72,0,18,1,2,1
50,0,56,0,2,1,1,2
51,0,57,0,13,2,1,1
52,0,35,0,8,1,1,2
53,0,80,0,4,1,3,0
54,0,22,0,7,1,1,2
55,80,0,1,5,2,2,0
56,10,0,1,6,1,1,2
57,80,0,1,7,1,1,2
58,0,5,0,3,3,0,1
59,0,15,0,9,1,1,1
60,15,0,1,3,1,1,2
61,80,0,1,3,2,1,1
62,80,0,1,8,2,0,2
63,79,0,1,5,3,1,0
64,0,57,0,4,2,1,1
65,14,20,0,1,1,1,1
66,21,0,1,4,2,1,1
67,0,79,0,6,2,1,1
68,20,0,1,2,2,1,1
69,0,29,0,11,1,1,2
70,15,20,0,1,1,2,0
71,0,80,0,4,1,1,2
72,0,31,0,8,2,0,2
73,68,0,1,6,2,1,1
74,45,0,1,7,2,1,1
75,0,80,0,6,2,0,2
76,0,78,0,7,1,2,1
77,0,17,0,9,3,0,1
78,0,38,0,2,2,0,2
79,80,0,1,3,1,2,1
80,0,80,0,10,2,1,1
81,80,0,1,5,2,1,1
82,0,3,0,5,1,2,1
83,7,0,1,3,1,1,2
84,20,0,1,5,2,0,2
85,80,20,0,1,0,0,0
86,0,80,0,14,1,1,2
87,11,0,1,14,3,0,1
88,0,76,0,1,2,1,1
89,0,9,0,2,1,1,2
90,41,0,1,3,1,2,1
91,0,3,0,9,1,3,0
92,76,0,1,9,2,1,1
93,0,17,0,2,1,1,2
94,20,80,1,1,0,0,0
95,20,75,1,1,0,0,0
96,0,19,0,8,2,1,1
