,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,44,40,0,2,1,1,0
1,80,40,0,4,0,0,0
2,0,80,0,3,1,2,1
3,20,49,1,1,1,0,0
4,13,40,0,2,1,1,1
5,80,40,0,4,0,0,0
6,80,20,0,1,0,0,0
7,80,20,0,1,0,0,0
8,19,40,0,4,1,1,1
9,80,40,0,3,0,0,0
10,80,40,0,3,0,0,0
11,22,40,0,3,1,1,1
12,29,40,0,2,1,1,1
13,20,80,1,1,0,0,0
14,41,20,0,1,1,1,0
15,19,40,0,5,1,1,1
16,73,40,0,3,0,0,0
17,17,40,0,5,1,1,1
18,70,20,0,1,1,0,0
19,0,80,0,0,1,1,2
20,10,40,0,5,1,1,1
21,76,40,0,2,0,0,0
22,80,20,0,1,0,0,0
23,0,77,0,14,2,2,0
24,76,40,0,5,0,0,0
25,80,40,0,2,0,0,0
26,80,20,0,1,0,0,0
27,14,20,0,1,1,1,1
28,20,78,1,1,0,0,0
29,6,40,0,6,2,1,1
30,8,40,0,4,1,1,2
31,80,40,0,2,0,0,0
32,28,40,0,3,1,1,1
33,78,40,0,3,0,0,0
34,20,80,1,1,0,0,0
35,66,20,0,1,0,0,0
36,31,40,0,3,1,1,0
37,71,20,0,1,1,0,0
38,11,40,0,3,1,2,0
39,32,40,0,8,1,1,0
40,0,51,0,4,2,2,0
41,55,40,0,2,1,1,0
42,80,40,0,7,0,0,0
43,0,80,0,8,1,2,1
44,20,68,1,1,1,0,0
45,20,69,1,1,1,0,0
46,80,20,0,1,0,0,0
47,20,72,1,1,0,0,0
48,0,64,0,2,1,1,2
49,34,20,0,1,1,1,0
50,80,40,0,2,0,0,0
51,80,20,0,1,0,0,0
52,10,40,0,5,1,2,1
53,80,40,0,4,0,0,0
54,80,20,0,1,0,0,0
55,17,20,0,1,1,1,1
56,27,40,0,3,1,1,1
57,17,20,0,1,1,1,1
58,71,20,0,1,0,0,0
59,80,40,0,8,0,0,0
60,61,40,0,5,0,0,0
61,22,40,0,2,1,1,1
62,80,20,0,1,0,0,0
63,21,40,0,5,1,2,0
64,77,40,0,2,1,0,0
65,20,40,0,4,1,1,1
66,20,80,1,1,0,0,0
67,52,20,0,1,1,1,0
68,0,78,0,3,2,1,1
69,39,40,0,2,1,1,0
70,80,40,0,3,1,0,0
71,20,80,1,1,0,0,0
72,79,20,0,1,1,0,0
73,72,40,0,2,0,0,0
74,20,77,1,1,0,0,0
75,18,40,0,3,2,1,0
76,64,20,0,1,0,0,0
77,42,40,0,2,1,1,0
78,72,20,0,1,0,0,0
79,10,40,0,7,1,1,1
80,0,80,0,0,1,2,1
81,80,40,0,3,0,0,0
82,64,40,0,2,0,0,0
83,10,40,0,2,1,1,2
84,69,40,0,2,1,0,0
85,20,80,1,1,0,0,0
86,80,40,0,3,0,0,0
87,0,80,0,1,1,1,2
88,31,40,0,2,1,1,1
89,71,20,0,1,1,0,0
90,45,20,0,1,1,1,0
91,20,40,0,2,1,1,1
92,66,20,0,1,1,0,0
93,80,20,0,1,1,0,0
94,70,20,0,1,0,0,0
95,9,20,0,1,1,1,1
96,77,20,0,1,0,0,0
97,29,40,0,2,2,0,1
98,0,80,0,2,2,1,1
99,68,20,0,1,1,0,0
