,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,49,20,0,1,1,1,0
1,11,0,1,4,2,1,1
2,0,42,0,5,1,1,2
3,0,80,0,1,1,2,1
4,40,0,1,4,1,1,2
5,0,34,0,7,1,2,1
6,57,20,0,1,1,0,0
7,80,0,1,2,1,1,2
8,20,0,1,5,1,2,1
9,12,0,1,6,1,2,1
10,32,0,1,4,2,1,1
11,68,0,1,9,1,3,0
12,44,0,1,5,1,1,2
13,0,7,0,1,3,0,1
14,0,49,0,6,1,2,1
15,0,16,0,8,3,1,0
16,0,30,0,6,2,1,1
17,20,80,1,1,0,0,0
18,0,80,0,3,1,1,2
19,80,0,1,3,2,2,0
20,7,0,1,1,1,1,2
21,0,17,0,8,1,1,2
22,20,80,1,1,0,0,0
23,5,0,1,14,1,1,2
24,6,0,1,12,1,1,2
25,37,0,1,8,1,1,2
26,20,80,1,1,0,0,0
27,80,0,1,5,2,0,2
28,43,0,1,4,1,1,2
29,0,17,0,9,3,0,1
30,0,17,0,9,3,1,0
31,36,0,1,9,1,2,1
32,72,0,1,4,1,1,2
33,17,0,1,8,1,1,2
34,4,0,1,12,1,2,1
35,0,15,0,5,1,1,2
36,0,34,0,12,2,0,2
37,20,79,1,1,0,0,0
38,80,0,1,5,1,1,2
39,0,23,0,14,2,1,1
40,80,20,0,1,0,0,0
41,17,20,0,1,2,1,0
42,0,4,0,8,2,1,1
43,64,0,1,9,1,3,0
44,80,20,0,1,0,0,0
45,17,0,1,4,2,1,1
46,0,22,0,5,1,1,2
47,20,69,1,1,1,0,0
48,66,0,1,12,1,1,2
49,64,0,1,10,1,2,1
50,20,0,1,3,1,1,2
51,0,63,0,13,2,1,1
52,0,8,0,14,1,2,1
53,0,80,0,8,2,2,0
54,0,23,0,10,3,1,0
55,69,0,1,5,2,1,1
56,78,0,1,5,1,3,0
57,0,10,0,4,2,1,1
58,0,10,0,3,3,1,0
59,0,42,0,6,2,2,0
60,0,70,0,7,1,1,2
61,80,0,1,3,1,1,2
62,0,9,0,9,1,1,2
63,80,0,1,5,2,1,1
64,0,42,0,8,3,0,1
65,22,20,0,1,1,1,1
66,14,0,1,4,2,1,1
67,0,26,0,8,3,1,0
68,21,0,1,2,2,1,1
69,0,8,0,11,3,0,1
70,16,20,0,1,1,2,0
71,74,0,1,5,2,0,2
72,18,0,1,12,4,0,0
73,0,7,0,7,1,1,2
74,0,4,0,13,2,1,0
75,80,0,1,6,2,1,1
76,0,73,0,7,1,1,2
77,6,0,1,14,1,1,2
78,0,32,0,2,2,0,2
79,74,0,1,5,1,2,1
80,6,0,1,8,1,1,2
81,0,20,0,5,2,1,1
82,0,9,0,5,1,1,2
83,0,19,0,1,2,0,2
84,18,0,1,4,2,0,2
85,80,20,0,1,0,0,0
86,80,0,1,12,2,1,1
87,64,0,1,5,2,1,1
88,0,80,0,3,1,1,2
89,0,28,0,2,1,1,2
90,47,0,1,3,1,2,1
91,72,0,1,7,2,0,2
92,71,0,1,4,3,1,0
93,0,34,0,5,1,1,2
94,20,80,1,1,0,0,0
95,20,75,1,1,0,0,0
96,3,0,1,5,1,2,1
97,0,10,0,7,1,2,1
98,2,0,1,8,4,0,0
99,13,0,1,10,2,1,1
100,12,0,1,5,1,1,2
101,59,0,1,6,1,2,1
102,29,0,1,4,1,2,1
103,80,0,1,8,1,2,1
104,7,0,1,9,2,0,2
105,0,77,0,1,1,2,1
106,73,20,0,1,0,0,0
107,20,8,1,1,1,2,0
108,0,50,0,6,2,1,1
109,80,0,1,8,2,2,0
110,20,80,1,1,0,0,0
111,20,80,1,1,0,0,0
112,10,0,1,13,2,1,1
113,20,80,1,1,0,0,0
114,68,20,0,1,1,0,0
115,0,75,0,3,2,2,0
116,51,0,1,1,1,2,1
117,39,0,1,5,1,1,2
118,0,46,0,2,3,1,0
119,0,8,0,8,3,1,0
120,2,0,1,7,1,2,1
121,0,80,0,4,1,2,1
122,80,20,0,1,1,0,0
123,0,30,0,2,3,0,1
124,23,0,1,8,2,1,1
125,19,0,1,6,2,1,1
126,36,0,1,2,1,1,2
