,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,44,40,0,2,1,1,0
1,80,40,0,4,0,0,0
2,0,80,0,4,1,2,1
3,7,40,0,6,2,1,1
4,27,20,0,1,1,1,1
5,30,40,0,5,1,1,1
6,77,20,0,1,0,0,0
7,10,40,0,2,1,1,2
8,68,20,0,1,0,0,0
9,30,20,0,1,1,1,1
10,40,40,0,3,1,1,0
11,12,40,0,3,1,1,1
12,29,40,0,2,1,1,1
13,20,80,1,1,0,0,0
14,41,20,0,1,1,1,0
15,17,40,0,5,1,1,1
16,73,40,0,3,0,0,0
17,25,40,0,5,1,1,1
18,70,20,0,1,1,0,0
19,0,80,0,0,1,1,2
20,10,40,0,5,1,1,1
21,76,40,0,2,0,0,0
22,80,20,0,1,0,0,0
23,0,74,0,6,2,1,1
24,80,40,0,4,0,0,0
25,0,59,0,6,1,3,0
26,80,20,0,1,1,0,0
27,8,40,0,4,1,1,2
28,0,61,0,5,2,2,0
29,42,20,0,1,1,1,0
30,80,20,0,1,0,0,0
31,0,80,0,3,1,2,1
32,0,80,0,1,2,2,0
33,80,20,0,1,0,0,0
34,29,40,0,7,1,1,0
35,0,80,0,4,1,1,2
36,20,44,1,1,1,1,0
37,20,80,1,1,0,0,0
38,18,40,0,8,1,2,0
39,2,40,0,3,1,1,2
40,51,40,0,2,1,1,0
41,73,40,0,3,0,0,0
42,31,20,0,1,1,1,0
43,16,40,0,3,2,1,0
44,80,20,0,1,0,0,0
45,9,20,0,1,2,1,0
46,80,20,0,1,0,0,0
47,80,20,0,1,0,0,0
48,80,40,0,4,0,0,0
49,33,20,0,1,1,1,0
50,31,20,0,1,1,1,0
51,80,40,0,4,0,0,0
52,0,80,0,2,2,1,1
53,19,20,0,1,1,1,1
54,0,72,0,2,1,1,2
55,12,40,0,3,1,1,1
56,0,80,0,3,2,2,0
57,62,20,0,1,0,0,0
58,39,40,0,4,1,1,0
59,80,20,0,1,0,0,0
60,12,40,0,6,2,1,0
61,20,12,1,1,1,1,1
62,80,20,0,1,0,0,0
63,80,20,0,1,0,0,0
64,18,40,0,3,1,1,1
65,14,40,0,3,1,2,0
66,19,40,0,5,1,1,1
67,33,20,0,1,1,1,0
68,0,80,0,7,1,1,2
69,10,40,0,3,1,2,0
70,80,20,0,1,0,0,0
71,52,20,0,1,1,0,0
72,10,40,0,5,2,1,1
73,62,40,0,5,0,0,0
74,52,40,0,4,0,0,0
75,80,20,0,1,0,0,0
76,50,20,0,1,1,1,0
77,80,40,0,4,0,0,0
78,39,20,0,1,1,1,0
79,0,80,0,8,1,3,0
80,80,40,0,2,0,0,0
81,0,80,0,2,2,1,1
82,60,40,0,4,0,0,0
83,0,80,0,2,2,1,1
84,0,79,0,1,2,1,1
85,80,40,0,2,0,0,0
86,3,40,0,2,2,1,1
87,0,80,0,3,1,1,2
88,20,47,1,1,1,1,0
89,77,40,0,7,1,0,0
90,77,20,0,1,1,0,0
91,20,40,0,2,1,1,1
92,66,20,0,1,1,0,0
93,80,20,0,1,1,0,0
94,70,20,0,1,0,0,0
95,9,20,0,1,1,1,1
96,77,20,0,1,0,0,0
97,29,40,0,2,2,0,1
98,0,80,0,2,2,1,1
99,68,20,0,1,1,0,0
