,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,37,40,0,2,1,1,0
1,20,80,1,1,0,0,0
2,13,40,0,4,1,1,1
3,21,40,0,3,1,1,1
4,9,40,0,3,1,1,1
5,21,40,0,2,2,0,1
6,20,29,1,1,1,1,0
7,9,20,0,1,2,0,1
8,17,40,0,4,1,1,1
9,20,66,1,1,0,0,0
10,26,40,0,5,1,1,0
11,20,80,1,1,0,0,0
12,20,63,1,1,1,0,0
13,44,20,0,1,1,1,0
14,69,20,0,1,0,0,0
15,0,80,0,7,1,2,1
16,52,20,0,1,1,0,0
17,2,40,0,2,1,1,2
18,64,40,0,2,0,0,0
19,20,42,1,1,1,1,0
20,20,37,1,1,1,1,0
21,29,40,0,2,2,0,0
22,20,48,1,1,1,1,0
23,67,40,0,2,0,0,0
24,57,20,0,1,0,0,0
25,69,20,0,1,1,0,0
26,20,75,1,1,0,0,0
27,20,80,1,1,0,0,0
28,60,20,0,1,0,0,0
29,28,20,0,1,2,0,1
30,31,20,0,1,1,1,0
31,20,80,1,1,0,0,0
32,20,70,1,1,0,0,0
33,0,80,0,5,2,2,0
34,0,80,0,6,2,1,1
35,71,40,0,2,0,0,0
36,20,80,1,1,0,0,0
37,70,20,0,1,0,0,0
38,0,67,0,6,1,3,0
39,20,71,1,1,1,0,0
40,20,80,1,1,0,0,0
41,0,43,0,2,2,1,1
42,20,72,1,1,1,0,0
43,56,40,0,3,0,0,0
44,10,40,0,3,1,1,1
45,69,20,0,1,0,0,0
46,7,40,0,3,1,1,1
47,5,40,0,2,1,2,0
48,4,40,0,3,2,1,1
49,20,23,1,1,1,1,1
50,13,20,0,1,2,0,1
51,20,74,1,1,0,0,0
52,20,77,1,1,0,0,0
53,20,80,1,1,0,0,0
54,0,61,0,7,1,2,1
55,0,80,0,4,1,1,2
56,5,40,0,3,1,1,2
57,20,26,1,1,1,1,0
58,59,20,0,1,0,0,0
59,20,80,1,1,0,0,0
60,20,61,1,1,0,0,0
61,20,74,1,1,0,0,0
62,22,40,0,2,1,1,0
63,20,63,1,1,0,0,0
64,41,40,0,4,0,0,0
65,20,15,1,1,1,2,0
66,20,71,1,1,0,0,0
67,20,31,1,1,1,1,1
68,20,80,1,1,0,0,0
69,21,40,0,5,1,1,0
70,15,40,0,2,1,1,1
71,20,80,1,1,0,0,0
72,10,40,0,2,1,1,1
73,30,40,0,3,2,0,0
74,59,20,0,1,0,0,0
75,20,80,1,1,0,0,0
76,20,69,1,1,0,0,0
77,20,80,1,1,0,0,0
78,45,20,0,1,1,1,0
79,20,74,1,1,0,0,0
80,50,20,0,1,1,0,0
81,20,80,1,1,0,0,0
82,20,22,1,1,1,1,1
83,41,20,0,1,1,1,0
84,20,45,1,1,1,1,0
85,45,20,0,1,1,1,0
86,32,40,0,4,1,1,0
87,20,75,1,1,0,0,0
88,65,40,0,2,1,0,0
89,19,40,0,4,1,1,1
90,20,62,1,1,1,0,0
91,5,40,0,4,1,2,0
92,20,20,0,1,1,1,1
93,51,20,0,1,0,0,0
94,20,80,1,1,0,0,0
95,20,72,1,1,0,0,0
96,20,80,1,1,0,0,0
97,20,80,1,1,0,0,0
98,3,40,0,3,2,1,0
99,9,40,0,4,1,1,1
100,13,20,0,1,1,2,0
101,0,80,0,6,1,3,0
102,71,20,0,1,0,0,0
103,24,20,0,1,1,1,1
104,29,40,0,5,2,0,0
105,57,40,0,3,0,0,0
106,20,57,1,1,1,1,0
107,0,80,0,3,2,1,1
108,56,20,0,1,1,0,0
109,20,80,1,1,0,0,0
110,35,40,0,3,1,1,0
111,20,34,1,1,2,0,0
112,0,80,0,0,2,1,1
113,20,40,1,1,1,1,0
114,20,40,0,2,1,1,1
115,4,40,0,3,1,1,2
116,2,40,0,2,2,1,1
117,20,74,1,1,1,0,0
118,20,80,1,1,0,0,0
119,13,40,0,6,1,2,0
120,58,40,0,4,0,0,0
121,20,80,1,1,0,0,0
122,0,80,0,6,2,0,2
123,20,40,1,1,1,1,0
124,20,80,1,1,0,0,0
125,32,20,0,1,1,1,0
126,20,77,1,1,0,0,0
127,20,37,1,1,1,1,0
128,20,80,1,1,0,0,0
129,15,20,0,1,1,2,0
130,53,20,0,1,0,0,0
131,5,40,0,4,1,1,1
132,28,40,0,4,1,1,1
133,26,40,0,2,1,1,1
134,0,51,0,0,2,2,0
135,29,40,0,2,1,1,0
136,29,40,0,3,1,1,0
137,20,80,1,1,0,0,0
138,20,80,1,1,0,0,0
139,20,33,1,1,1,1,1
140,20,21,1,1,2,1,0
141,44,40,0,3,1,0,0
142,20,72,1,1,1,0,0
143,20,40,0,11,1,1,0
144,20,53,1,1,1,1,0
145,20,80,1,1,0,0,0
146,20,76,1,1,0,0,0
147,20,80,1,1,0,0,0
148,20,80,1,1,0,0,0
149,75,20,0,1,0,0,0
150,11,40,0,5,1,2,0
151,71,20,0,1,0,0,0
152,46,40,0,2,1,0,0
153,20,80,1,1,0,0,0
154,20,52,1,1,1,1,0
155,20,52,1,1,1,1,0
156,20,80,1,1,0,0,0
157,0,46,0,2,1,1,2
158,20,79,1,1,0,0,0
159,66,20,0,1,0,0,0
160,20,80,1,1,0,0,0
161,65,20,0,1,1,0,0
162,23,40,0,5,2,0,0
163,20,80,1,1,0,0,0
164,20,64,1,1,1,0,0
165,26,40,0,3,1,1,0
166,20,75,1,1,0,0,0
167,0,80,0,5,1,2,1
168,65,40,0,3,0,0,0
169,66,40,0,3,0,0,0
170,20,80,1,1,1,0,0
171,20,80,1,1,0,0,0
172,16,20,0,1,1,1,1
173,44,20,0,1,2,0,0
174,51,40,0,2,2,0,0
175,20,23,1,1,1,1,1
176,45,20,0,1,2,0,0
177,20,65,1,1,0,0,0
178,64,20,0,1,1,0,0
179,42,20,0,1,1,1,0
180,7,40,0,2,1,2,1
181,20,80,1,1,0,0,0
182,71,40,0,2,0,0,0
183,20,80,1,1,0,0,0
184,36,20,0,1,1,1,0
185,20,80,1,1,0,0,0
186,20,80,1,1,0,0,0
187,20,80,1,1,0,0,0
188,20,46,1,1,1,1,0
189,73,20,0,1,0,0,0
190,20,80,1,1,0,0,0
191,20,33,1,1,1,1,0
192,18,20,0,1,1,1,1
193,20,52,1,1,1,1,0
194,33,20,0,1,1,1,0
195,20,73,1,1,1,0,0
196,20,63,1,1,1,0,0
197,74,20,0,1,0,0,0
198,57,20,0,1,0,0,0
199,20,80,1,1,0,0,0
200,0,56,0,4,1,2,1
201,20,70,1,1,1,0,0
202,3,40,0,3,2,0,2
203,20,80,1,1,0,0,0
204,55,40,0,3,1,0,0
205,20,80,1,1,0,0,0
206,62,40,0,2,0,0,0
207,20,80,1,1,0,0,0
208,20,71,1,1,1,0,0
209,69,20,0,1,1,0,0
210,23,40,0,2,1,1,0
211,20,50,1,1,1,1,0
212,2,40,0,2,1,1,2
213,20,64,1,1,0,0,0
214,28,20,0,1,1,1,0
215,73,20,0,1,0,0,0
216,20,73,1,1,0,0,0
217,2,40,0,6,1,1,2
218,3,40,0,3,2,1,1
219,0,80,0,4,2,1,1
220,12,40,0,3,1,1,1
221,20,80,1,1,0,0,0
222,25,40,0,2,1,1,0
223,20,80,1,1,0,0,0
224,20,31,1,1,1,2,0
225,20,80,1,1,0,0,0
226,0,59,0,3,3,1,0
227,53,20,0,1,1,0,0
228,20,48,1,1,1,1,0
229,33,40,0,2,1,1,0
230,20,64,1,1,1,0,0
231,35,40,0,2,1,0,0
232,20,72,1,1,0,0,0
233,16,40,0,5,2,1,0
234,75,20,0,1,1,0,0
235,20,47,1,1,1,1,0
236,76,20,0,1,1,0,0
237,12,40,0,6,2,0,1
238,20,80,1,1,0,0,0
239,25,40,0,4,1,1,0
240,20,19,1,1,1,1,1
241,20,54,1,1,1,1,0
242,55,20,0,1,1,0,0
243,59,40,0,2,1,0,0
244,20,45,1,1,1,1,0
245,19,20,0,1,1,1,1
246,32,20,0,1,1,1,0
247,20,80,1,1,1,0,0
248,20,77,1,1,0,0,0
249,0,80,0,12,2,1,1
250,20,43,1,1,2,0,0
251,20,54,1,1,0,0,0
252,0,80,0,3,2,2,0
253,20,14,1,1,1,1,1
254,45,40,0,4,0,0,0
255,0,80,0,1,3,0,1
256,20,61,1,1,0,0,0
257,20,73,1,1,0,0,0
258,20,49,1,1,1,1,0
259,11,40,0,7,1,2,0
260,20,76,1,1,0,0,0
261,40,40,0,6,0,0,0
262,20,80,1,1,0,0,0
263,4,40,0,9,1,2,0
264,68,40,0,2,1,0,0
265,40,40,0,2,0,0,0
266,20,56,1,1,1,0,0
267,71,40,0,2,0,0,0
268,20,30,1,1,1,1,1
269,60,40,0,2,0,0,0
270,20,80,1,1,0,0,0
271,20,55,1,1,1,0,0
272,20,80,1,1,0,0,0
273,20,80,1,1,0,0,0
274,20,80,1,1,0,0,0
275,20,80,1,1,0,0,0
276,20,14,1,1,1,1,1
277,2,40,0,11,1,2,1
278,62,40,0,3,0,0,0
279,20,69,1,1,1,0,0
280,20,80,1,1,0,0,0
281,20,43,1,1,1,1,0
282,20,29,1,1,1,1,1
283,20,80,1,1,0,0,0
284,36,20,0,1,1,1,0
285,20,80,1,1,0,0,0
286,20,77,1,1,0,0,0
287,72,20,0,1,0,0,0
288,20,20,1,1,1,2,0
289,67,40,0,3,0,0,0
290,15,40,0,2,2,1,0
291,20,45,1,1,1,1,0
292,20,80,1,1,0,0,0
293,60,40,0,4,1,0,0
294,29,40,0,4,1,1,0
295,45,40,0,6,1,0,0
296,20,40,1,1,0,0,0
297,26,20,0,1,1,1,1
298,30,40,0,5,1,1,0
299,20,62,1,1,1,0,0
300,20,80,1,1,0,0,0
301,0,63,0,2,1,2,1
302,20,80,1,1,0,0,0
303,41,40,0,4,0,0,0
304,20,77,1,1,0,0,0
305,20,80,1,1,0,0,0
306,20,68,1,1,0,0,0
307,20,80,1,1,0,0,0
308,24,40,0,2,1,1,1
309,2,40,0,3,3,1,0
310,10,20,0,1,2,1,0
311,18,20,0,1,2,1,0
312,20,80,1,1,0,0,0
313,20,80,1,1,0,0,0
314,20,74,1,1,0,0,0
315,54,40,0,2,0,0,0
316,4,40,0,3,1,1,2
317,62,40,0,3,1,0,0
318,20,80,1,1,0,0,0
319,20,80,1,1,0,0,0
320,2,40,0,5,1,1,2
321,10,20,0,1,1,2,0
322,0,80,0,4,1,1,2
323,16,40,0,2,1,1,1
324,20,34,1,1,1,1,0
325,20,80,1,1,0,0,0
326,14,40,0,2,1,2,0
327,30,20,0,1,1,1,0
328,0,70,0,4,1,1,2
329,26,20,0,1,2,0,0
330,20,80,1,1,0,0,0
331,4,20,0,1,1,1,2
332,32,40,0,2,2,0,0
333,10,40,0,3,2,1,0
334,0,76,0,3,1,1,2
335,20,55,1,1,2,0,0
336,71,20,0,1,0,0,0
337,19,40,0,4,2,0,0
338,52,20,0,1,1,1,0
339,20,80,1,1,0,0,0
340,20,80,1,1,0,0,0
341,2,40,0,3,1,2,1
342,0,76,0,0,1,2,1
343,8,40,0,4,1,1,1
344,55,40,0,2,0,0,0
345,31,40,0,2,1,1,0
346,17,40,0,3,1,1,1
347,20,20,0,1,1,1,1
348,79,20,0,1,0,0,0
349,20,78,1,1,0,0,0
350,20,63,1,1,0,0,0
351,20,80,1,1,0,0,0
352,27,40,0,2,1,1,0
353,20,80,1,1,0,0,0
354,20,43,1,1,1,1,0
355,0,60,0,1,1,2,1
356,28,40,0,2,1,1,1
357,20,63,1,1,1,0,0
358,20,80,1,1,0,0,0
359,8,20,0,1,1,1,2
360,20,80,1,1,0,0,0
361,20,80,1,1,0,0,0
362,20,54,1,1,1,1,0
363,20,80,1,1,0,0,0
364,2,40,0,2,2,2,0
365,20,80,1,1,0,0,0
366,16,40,0,2,1,1,1
367,20,52,1,1,1,1,0
368,12,40,0,2,1,1,1
369,20,58,1,1,1,0,0
370,20,80,1,1,0,0,0
371,20,62,1,1,1,0,0
372,20,80,1,1,0,0,0
373,9,40,0,6,1,2,0
374,20,63,1,1,0,0,0
375,20,80,1,1,0,0,0
376,20,78,1,1,0,0,0
377,9,40,0,2,1,1,1
378,20,80,1,1,0,0,0
379,22,20,0,1,2,1,0
380,20,10,1,1,1,1,2
381,20,68,1,1,0,0,0
382,0,80,0,5,1,2,0
383,20,48,1,1,1,1,0
384,20,80,1,1,0,0,0
385,20,52,1,1,1,1,0
386,20,80,1,1,0,0,0
387,20,34,1,1,1,1,0
388,20,65,1,1,0,0,0
389,3,40,0,6,2,1,1
390,20,80,1,1,0,0,0
391,20,80,1,1,0,0,0
392,27,40,0,4,1,1,0
393,70,20,0,1,0,0,0
394,20,67,1,1,1,0,0
395,16,40,0,3,1,1,0
396,71,20,0,1,1,0,0
397,67,40,0,2,1,0,0
398,20,73,1,1,1,0,0
399,66,40,0,4,0,0,0
400,64,20,0,1,2,0,0
401,21,40,0,2,1,1,1
402,20,24,1,1,1,1,1
403,20,70,1,1,0,0,0
404,49,40,0,5,0,0,0
405,20,80,1,1,0,0,0
406,20,46,1,1,1,1,0
407,67,20,0,1,0,0,0
408,12,40,0,2,1,2,0
409,20,26,1,1,1,1,1
410,66,20,0,1,1,0,0
411,20,74,1,1,0,0,0
412,20,24,1,1,1,1,1
413,20,35,1,1,1,1,1
414,20,71,1,1,0,0,0
415,20,79,1,1,0,0,0
416,5,40,0,7,1,1,1
417,20,69,1,1,0,0,0
418,59,40,0,4,1,0,0
419,20,80,1,1,0,0,0
420,62,40,0,3,0,0,0
421,0,80,0,2,1,1,2
422,18,40,0,2,1,1,1
423,54,40,0,2,1,0,0
424,18,40,0,2,1,1,0
425,0,58,0,2,1,2,1
426,20,55,1,1,1,0,0
427,36,40,0,3,1,1,0
428,20,29,1,1,1,1,1
429,63,20,0,1,0,0,0
430,20,72,1,1,0,0,0
431,21,40,0,3,1,1,0
432,20,76,1,1,0,0,0
433,20,80,1,1,0,0,0
434,20,44,1,1,1,1,0
435,20,80,1,1,0,0,0
436,23,20,0,1,2,1,0
437,20,52,1,1,1,1,0
438,20,80,1,1,0,0,0
439,20,80,1,1,0,0,0
440,46,20,0,1,1,1,0
441,25,20,0,1,1,1,0
442,11,40,0,3,1,1,1
443,20,80,1,1,1,0,0
444,17,20,0,1,1,2,0
445,20,80,1,1,0,0,0
446,20,80,1,1,0,0,0
447,20,69,1,1,0,0,0
448,20,28,1,1,1,1,0
449,53,40,0,2,1,1,0
450,63,40,0,3,0,0,0
451,20,80,1,1,0,0,0
452,20,63,1,1,0,0,0
453,20,80,1,1,0,0,0
454,25,20,0,1,2,1,0
455,20,80,1,1,0,0,0
456,36,20,0,1,1,1,0
457,0,76,0,12,1,2,0
458,41,40,0,2,1,1,0
459,20,80,1,1,0,0,0
460,20,35,1,1,2,0,1
461,20,75,1,1,0,0,0
462,66,20,0,1,1,0,0
463,68,20,0,1,0,0,0
464,42,20,0,1,1,1,0
465,52,40,0,3,1,0,0
466,0,80,0,8,2,1,1
467,40,20,0,1,1,1,0
468,15,20,0,1,1,2,0
469,20,80,1,1,0,0,0
470,20,80,1,1,0,0,0
471,20,80,1,1,0,0,0
472,4,40,0,6,1,1,1
473,20,4,1,1,1,1,2
474,66,40,0,3,1,0,0
475,20,74,1,1,0,0,0
476,20,80,1,1,0,0,0
477,20,73,1,1,0,0,0
478,20,70,1,1,0,0,0
479,3,40,0,4,1,1,2
480,20,79,1,1,0,0,0
481,13,40,0,3,1,2,0
482,59,40,0,2,0,0,0
483,48,40,0,4,0,0,0
484,55,40,0,5,0,0,0
485,2,40,0,2,1,1,2
486,20,80,1,1,0,0,0
487,20,80,1,1,0,0,0
488,11,20,0,1,1,2,0
